Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,
LTBQ319,BUILDING,BUILDING,404202.049N,0300613.102E,343.04,34.45,NO,,NO,,
LTBQ320,BUILDING,BUILDING,404202.412N,0300612.423E,343.81,44.29,NO,,NO,,
LTBQ321,BUILDING,BUILDING,404159.933N,0300614.513E,392.96,54.13,NO,,NO,,
LTBQ322,BUILDING,BUILDING,404200.844N,0300612.417E,355.84,34.45,NO,,NO,,
LTBQ323,BUILDING,BUILDING,404201.257N,0300610.296E,330.91,24.60,NO,,NO,,
LTBQ324,BUILDING,BUILDING,404201.742N,0300610.708E,334.55,34.45,NO,,NO,,
LTBQ325,BUILDING,BUILDING,404201.455N,0300611.319E,342.62,34.45,NO,,NO,,
LTBQ326,BUILDING,BUILDING,404200.936N,0300610.850E,347.47,34.45,NO,,NO,,
LTBQ327,BUILDING,BUILDING,404200.265N,0300609.252E,342.05,34.45,NO,,NO,,
LTBQ328,BUILDING,BUILDING,404200.679N,0300608.620E,336.61,34.45,NO,,NO,,
LTBQ329,BUILDING,BUILDING,404201.110N,0300607.964E,328.67,34.45,NO,,NO,,
LTBQ330,BUILDING,BUILDING,404209.618N,0300710.263E,366.09,34.45,NO,,NO,,
LTBQ331,BUILDING,BUILDING,404208.985N,0300711.089E,367.00,34.45,NO,,NO,,
LTBQ332,BUILDING,BUILDING,404206.858N,0300713.311E,391.13,34.45,NO,,NO,,
LTBQ333,BUILDING,BUILDING,404205.793N,0300713.832E,408.96,34.45,NO,,NO,,
LTBQ334,BUILDING,BUILDING,404204.618N,0300714.262E,422.75,34.45,NO,,NO,,
LTBQ335,BUILDING,BUILDING,404207.083N,0300711.967E,391.93,34.45,NO,,NO,,
LTBQ336,BUILDING,BUILDING,404210.934N,0300700.115E,383.55,34.45,NO,,NO,,
LTBQ337,BUILDING,BUILDING,404211.426N,0300700.938E,371.86,34.45,NO,,NO,,
LTBQ338,BUILDING,BUILDING,404212.145N,0300701.740E,356.57,34.45,NO,,NO,,
LTBQ339,BUILDING,BUILDING,404212.768N,0300702.578E,337.62,34.45,NO,,NO,,
LTBQ340,BUILDING,BUILDING,404212.807N,0300700.609E,348.20,34.45,NO,,NO,,
LTBQ341,BUILDING,BUILDING,404212.010N,0300700.316E,367.49,34.45,NO,,NO,,
LTBQ342,BUILDING,BUILDING,404210.802N,0300656.234E,401.43,34.45,NO,,NO,,
LTBQ343,BUILDING,BUILDING,404212.100N,0300654.715E,376.99,34.45,NO,,NO,,
LTBQ344,BUILDING,BUILDING,404210.808N,0300653.651E,395.70,34.45,NO,,NO,,
LTBQ345,BUILDING,BUILDING,404212.656N,0300652.965E,374.65,34.45,NO,,NO,,
LTBQ346,BUILDING,BUILDING,404213.695N,0300657.718E,340.72,24.60,NO,,NO,,
LTBQ347,BUILDING,BUILDING,404213.441N,0300656.628E,343.58,24.60,NO,,NO,,
LTBQ348,BUILDING,BUILDING,404213.983N,0300656.848E,335.36,24.60,NO,,NO,,
LTBQ349,BUILDING,BUILDING,404213.876N,0300655.611E,337.96,24.60,NO,,NO,,
LTBQ350,BUILDING,BUILDING,404213.969N,0300654.822E,336.10,24.60,NO,,NO,,
LTBQ351,BUILDING,BUILDING,404214.046N,0300654.029E,339.93,24.60,NO,,NO,,
LTBQ352,BUILDING,BUILDING,404214.830N,0300649.664E,357.88,34.45,NO,,NO,,
LTBQ353,BUILDING,BUILDING,404201.391N,0300647.540E,489.17,34.45,NO,,NO,,
LTBQ354,BUILDING,BUILDING,404201.300N,0300648.256E,492.34,34.45,NO,,NO,,
LTBQ355,BUILDING,BUILDING,404203.155N,0300648.212E,476.09,34.45,NO,,NO,,
LTBQ356,BUILDING,BUILDING,404201.804N,0300652.466E,506.73,34.45,NO,,NO,,
LTBQ357,BUILDING,BUILDING,404209.665N,0300649.357E,412.90,34.45,NO,,NO,,
LTBQ358,BUILDING,BUILDING,404214.628N,0300647.777E,336.78,14.76,NO,,NO,,
LTBQ359,BUILDING,BUILDING,404205.455N,0300649.140E,461.72,34.45,NO,,NO,,
LTBQ360,BUILDING,BUILDING,404216.739N,0300646.468E,328.11,34.45,NO,,NO,,
LTBQ361,BUILDING,BUILDING,404207.221N,0300652.450E,438.18,34.45,NO,,NO,,
LTBQ362,BUILDING,BUILDING,404207.271N,0300651.461E,440.02,34.45,NO,,NO,,
LTBQ363,BUILDING,BUILDING,404207.448N,0300655.194E,449.17,34.45,NO,,NO,,
LTBQ364,BUILDING,BUILDING,404212.968N,0300659.257E,356.34,34.45,NO,,NO,,
LTBQ365,BUILDING,BUILDING,404213.052N,0300658.834E,354.29,34.45,NO,,NO,,
LTBQ366,BUILDING,BUILDING,404208.436N,0300622.549E,349.39,24.60,NO,,NO,,
LTBQ367,BUILDING,BUILDING,404215.880N,0300624.653E,333.21,44.29,NO,,NO,,
LTBQ368,BUILDING,BUILDING,404210.105N,0300624.997E,362.49,34.45,NO,,NO,,
LTBQ369,BUILDING,BUILDING,404212.579N,0300624.134E,330.97,24.60,NO,,NO,,
LTBQ370,BUILDING,BUILDING,404214.124N,0300624.397E,343.85,44.29,NO,,NO,,
LTBQ371,BUILDING,BUILDING,404203.379N,0300628.772E,416.70,34.45,NO,,NO,,
LTBQ372,BUILDING,BUILDING,404213.886N,0300629.131E,334.26,24.60,NO,,NO,,
LTBQ373,BUILDING,BUILDING,404212.652N,0300631.878E,342.81,14.76,NO,,NO,,
LTBQ374,BUILDING,BUILDING,404215.398N,0300634.720E,328.88,24.60,NO,,NO,,
LTBQ375,BUILDING,BUILDING,404209.503N,0300636.151E,390.48,34.45,NO,,NO,,
LTBQ376,BUILDING,BUILDING,404208.219N,0300629.903E,393.21,34.45,NO,,NO,,
LTBQ377,BUILDING,BUILDING,404206.671N,0300641.441E,423.27,34.45,NO,,NO,,
LTBQ378,BUILDING,BUILDING,404216.898N,0300635.737E,328.57,44.29,NO,,NO,,
LTBQ379,BUILDING,BUILDING,404214.406N,0300637.295E,335.42,24.60,NO,,NO,,
LTBQ380,BUILDING,BUILDING,404212.965N,0300643.597E,343.09,14.76,NO,,NO,,
LTBQ381,BUILDING,BUILDING,404214.995N,0300640.606E,331.89,34.45,NO,,NO,,
LTBQ382,BUILDING,BUILDING,404213.549N,0300641.977E,343.70,24.60,NO,,NO,,
LTBQ383,BUILDING,BUILDING,404208.622N,0300641.889E,405.90,34.45,NO,,NO,,
LTBQ384,BUILDING,BUILDING,404208.922N,0300636.916E,397.25,34.45,NO,,NO,,
LTBQ385,BUILDING,BUILDING,404209.027N,0300636.567E,394.77,34.45,NO,,NO,,
LTBQ386,BUILDING,BUILDING,404201.240N,0300616.733E,341.84,14.76,NO,,NO,,
LTBQ387,BUILDING,BUILDING,404201.666N,0300616.157E,356.98,34.45,NO,,NO,,
LTBQ388,BUILDING,BUILDING,404203.131N,0300614.709E,337.90,34.45,NO,,NO,,
LTBQ389,BUILDING,BUILDING,404140.743N,0300554.578E,497.64,34.45,NO,,NO,,
LTBQ390,BUILDING,BUILDING,404134.916N,0300537.174E,450.87,34.45,NO,,NO,,
LTBQ391,BUILDING,BUILDING,404128.978N,0300559.106E,707.91,34.45,NO,,NO,,
LTBQ392,BUILDING,BUILDING,404124.183N,0300558.995E,824.20,34.45,NO,,NO,,
LTBQ393,BUILDING,BUILDING,404133.772N,0300554.785E,626.89,34.45,NO,,NO,,
LTBQ394,BUILDING,BUILDING,404119.155N,0300556.795E,858.42,34.45,NO,,NO,,
LTBQ395,BUILDING,BUILDING,404123.345N,0300555.479E,749.11,34.45,NO,,NO,,
LTBQ396,BUILDING,BUILDING,404125.944N,0300554.690E,690.65,34.45,NO,,NO,,
LTBQ397,BUILDING,BUILDING,404124.054N,0300554.541E,729.02,34.45,NO,,NO,,
LTBQ398,BUILDING,BUILDING,404136.304N,0300547.861E,507.50,34.45,NO,,NO,,
LTBQ399,BUILDING,BUILDING,404121.756N,0300554.740E,789.08,34.45,NO,,NO,,
LTBQ400,BUILDING,BUILDING,404120.719N,0300537.860E,760.16,34.45,NO,,NO,,
LTBQ401,BUILDING,BUILDING,404127.148N,0300546.823E,616.82,34.45,NO,,NO,,
LTBQ402,BUILDING,BUILDING,404135.127N,0300538.293E,455.24,34.45,NO,,NO,,
LTBQ403,BUILDING,BUILDING,404136.188N,0300539.339E,431.81,24.60,NO,,NO,,
LTBQ404,BUILDING,BUILDING,404136.860N,0300540.340E,419.02,24.60,NO,,NO,,
LTBQ405,BUILDING,BUILDING,404137.042N,0300540.822E,408.48,14.76,NO,,NO,,
LTBQ406,BUILDING,BUILDING,404132.163N,0300540.337E,539.25,44.29,NO,,NO,,
LTBQ407,BUILDING,BUILDING,404130.713N,0300541.080E,558.95,34.45,NO,,NO,,
LTBQ408,BUILDING,BUILDING,404134.609N,0300540.744E,479.84,34.45,NO,,NO,,
LTBQ409,BUILDING,BUILDING,404114.876N,0300516.949E,753.29,34.45,NO,,NO,,
LTBQ410,BUILDING,BUILDING,404159.824N,0300610.023E,337.09,24.60,NO,,NO,,
LTBQ411,BUILDING,BUILDING,404159.896N,0300612.499E,362.55,34.45,NO,,NO,,
LTBQ412,BUILDING,BUILDING,404137.538N,0300539.959E,433.62,44.29,NO,,NO,,
LTBQ413,BUILDING,BUILDING,404139.146N,0300539.554E,398.02,24.60,NO,,NO,,
LTBQ414,BUILDING,BUILDING,404139.951N,0300539.772E,389.99,24.60,NO,,NO,,
LTBQ415,BUILDING,BUILDING,404139.848N,0300539.500E,391.40,24.60,NO,,NO,,
LTBQ416,BUILDING,BUILDING,404139.576N,0300539.876E,392.92,24.60,NO,,NO,,
LTBQ417,BUILDING,BUILDING,404140.077N,0300542.073E,395.36,34.45,NO,,NO,,
LTBQ418,BUILDING,BUILDING,404139.867N,0300545.356E,417.87,34.45,NO,,NO,,
LTBQ419,BUILDING,BUILDING,404140.159N,0300547.099E,418.63,34.45,NO,,NO,,
LTBQ420,BUILDING,BUILDING,404140.113N,0300543.305E,391.90,24.60,NO,,NO,,
LTBQ421,BUILDING,BUILDING,404140.988N,0300546.931E,398.48,24.60,NO,,NO,,
LTBQ422,BUILDING,BUILDING,404136.654N,0300711.108E,818.45,34.45,NO,,NO,,
LTBQ423,BUILDING,BUILDING,404136.019N,0300711.396E,827.61,34.45,NO,,NO,,
LTBQ424,BUILDING,BUILDING,404135.349N,0300711.776E,835.99,34.45,NO,,NO,,
LTBQ425,BUILDING,BUILDING,404134.868N,0300712.528E,843.54,34.45,NO,,NO,,
LTBQ426,BUILDING,BUILDING,404121.275N,0300711.827E,1001.7,34.45,NO,,NO,,
LTBQ427,BUILDING,BUILDING,404117.773N,0300709.107E,1078.2,34.45,NO,,NO,,
LTBQ428,BUILDING,BUILDING,404136.398N,0300650.163E,743.53,34.45,NO,,NO,,
LTBQ429,BUILDING,BUILDING,404115.614N,0300514.628E,680.09,34.45,NO,,NO,,
LTBQ430,BUILDING,BUILDING,404120.050N,0300457.163E,509.08,24.60,NO,,NO,,
LTBQ431,BUILDING,BUILDING,404120.804N,0300459.231E,506.55,24.60,NO,,NO,,
LTBQ432,BUILDING,BUILDING,404120.496N,0300459.231E,508.09,24.60,NO,,NO,,
LTBQ433,BUILDING,BUILDING,404124.410N,0300502.293E,483.94,24.60,NO,,NO,,
LTBQ434,BUILDING,BUILDING,404124.810N,0300500.683E,487.05,34.45,NO,,NO,,
LTBQ435,BUILDING,BUILDING,404123.485N,0300501.988E,489.58,24.60,NO,,NO,,
LTBQ436,BUILDING,BUILDING,404120.566N,0300455.396E,506.10,24.60,NO,,NO,,
LTBQ437,BUILDING,BUILDING,404118.787N,0300455.367E,537.52,24.60,NO,,NO,,
LTBQ438,BUILDING,BUILDING,404118.246N,0300455.695E,546.80,24.60,NO,,NO,,
LTBQ439,BUILDING,BUILDING,404116.106N,0300458.701E,591.55,34.45,NO,,NO,,
LTBQ440,BUILDING,BUILDING,404116.270N,0300457.640E,591.70,34.45,NO,,NO,,
LTBQ441,BUILDING,BUILDING,404116.439N,0300456.631E,584.51,34.45,NO,,NO,,
LTBQ442,BUILDING,BUILDING,404116.004N,0300501.416E,611.44,34.45,NO,,NO,,
LTBQ443,BUILDING,BUILDING,404119.770N,0300504.644E,562.96,44.29,NO,,NO,,
LTBQ444,BUILDING,BUILDING,404120.199N,0300503.416E,541.98,34.45,NO,,NO,,
LTBQ445,BUILDING,BUILDING,404115.699N,0300510.927E,675.78,34.45,NO,,NO,,
LTBQ446,BUILDING,BUILDING,404115.984N,0300509.972E,664.26,34.45,NO,,NO,,
LTBQ447,BUILDING,BUILDING,404115.700N,0300506.604E,619.81,34.45,NO,,NO,,
LTBQ448,BUILDING,BUILDING,404129.255N,0300433.748E,474.10,14.76,NO,,NO,,
LTBQ449,BUILDING,BUILDING,404128.141N,0300432.606E,495.51,24.60,NO,,NO,,
LTBQ450,BUILDING,BUILDING,404127.652N,0300433.009E,498.33,24.60,NO,,NO,,
LTBQ451,BUILDING,BUILDING,404116.396N,0300433.249E,621.55,34.45,NO,,NO,,
LTBQ452,BUILDING,BUILDING,404118.070N,0300433.139E,608.38,34.45,NO,,NO,,
LTBQ453,BUILDING,BUILDING,404116.523N,0300435.955E,632.04,34.45,NO,,NO,,
LTBQ454,BUILDING,BUILDING,404118.136N,0300438.884E,603.53,34.45,NO,,NO,,
LTBQ455,BUILDING,BUILDING,404124.661N,0300443.347E,491.12,14.76,NO,,NO,,
LTBQ456,BUILDING,BUILDING,404128.028N,0300436.376E,491.98,24.60,NO,,NO,,
LTBQ457,BUILDING,BUILDING,404125.977N,0300444.793E,494.15,34.45,NO,,NO,,
LTBQ458,BUILDING,BUILDING,404118.742N,0300448.062E,543.15,24.60,NO,,NO,,
LTBQ459,BUILDING,BUILDING,404118.354N,0300449.921E,542.48,24.60,NO,,NO,,
LTBQ460,BUILDING,BUILDING,404118.279N,0300450.515E,553.45,34.45,NO,,NO,,
LTBQ461,BUILDING,BUILDING,404116.867N,0300448.437E,637.95,34.45,NO,,NO,,
LTBQ462,BUILDING,BUILDING,404129.336N,0300430.111E,478.61,14.76,NO,,NO,,
LTBQ463,BUILDING,BUILDING,404139.168N,0300537.645E,396.65,24.60,NO,,NO,,
LTBQ464,BUILDING,BUILDING,404137.480N,0300524.761E,416.61,44.29,NO,,NO,,
LTBQ465,BUILDING,BUILDING,404137.631N,0300526.141E,419.23,44.29,NO,,NO,,
LTBQ466,BUILDING,BUILDING,404156.109N,0300559.592E,338.88,24.60,NO,,NO,,
LTBQ467,BUILDING,BUILDING,404142.739N,0300539.102E,377.38,34.45,NO,,NO,,
LTBQ468,BUILDING,BUILDING,404141.062N,0300540.071E,388.28,34.45,NO,,NO,,
LTBQ469,BUILDING,BUILDING,404139.758N,0300538.433E,393.24,24.60,NO,,NO,,
LTBQ470,BUILDING,BUILDING,404138.692N,0300539.862E,410.10,34.45,NO,,NO,,
LTBQ471,BUILDING,BUILDING,404148.002N,0300558.033E,362.08,24.60,NO,,NO,,
LTBQ472,BUILDING,BUILDING,404148.014N,0300557.286E,356.83,24.60,NO,,NO,,
LTBQ473,BUILDING,BUILDING,404153.924N,0300554.053E,331.44,24.60,NO,,NO,,
LTBQ474,BUILDING,BUILDING,404154.416N,0300555.035E,333.60,24.60,NO,,NO,,
LTBQ475,BUILDING,BUILDING,404155.523N,0300556.117E,330.31,24.60,NO,,NO,,
LTBQ476,BUILDING,BUILDING,404155.234N,0300558.644E,352.58,34.45,NO,,NO,,
LTBQ477,BUILDING,BUILDING,404150.168N,0300553.375E,344.66,34.45,NO,,NO,,
LTBQ478,BUILDING,BUILDING,404150.909N,0300552.529E,338.92,34.45,NO,,NO,,
LTBQ479,BUILDING,BUILDING,404150.505N,0300553.708E,342.83,24.60,NO,,NO,,
LTBQ480,BUILDING,BUILDING,404151.847N,0300553.436E,336.34,24.60,NO,,NO,,
LTBQ481,BUILDING,BUILDING,404152.330N,0300553.961E,350.90,34.45,NO,,NO,,
LTBQ482,BUILDING,BUILDING,404149.123N,0300555.230E,354.76,24.60,NO,,NO,,
LTBQ483,BUILDING,BUILDING,404144.386N,0300550.732E,389.27,24.60,NO,,NO,,
LTBQ484,BUILDING,BUILDING,404144.342N,0300558.497E,382.44,24.60,NO,,NO,,
LTBQ485,BUILDING,BUILDING,404142.232N,0300554.164E,470.13,34.45,NO,,NO,,
LTBQ486,BUILDING,BUILDING,404134.591N,0300523.649E,424.77,24.60,NO,,NO,,
LTBQ487,BUILDING,BUILDING,404134.282N,0300522.458E,425.91,24.60,NO,,NO,,
LTBQ488,BUILDING,BUILDING,404121.880N,0300515.412E,554.35,34.45,NO,,NO,,
LTBQ489,BUILDING,BUILDING,404129.273N,0300521.286E,487.55,34.45,NO,,NO,,
LTBQ490,BUILDING,BUILDING,404130.118N,0300522.796E,482.01,34.45,NO,,NO,,
LTBQ491,BUILDING,BUILDING,404130.384N,0300523.459E,482.78,34.45,NO,,NO,,
LTBQ492,BUILDING,BUILDING,404130.686N,0300524.162E,483.51,34.45,NO,,NO,,
LTBQ493,BUILDING,BUILDING,404131.052N,0300524.829E,482.19,34.45,NO,,NO,,
LTBQ494,BUILDING,BUILDING,404134.100N,0300527.560E,435.60,24.60,NO,,NO,,
LTBQ495,BUILDING,BUILDING,404134.646N,0300526.406E,432.17,24.60,NO,,NO,,
LTBQ496,BUILDING,BUILDING,404134.648N,0300525.209E,431.41,24.60,NO,,NO,,
LTBQ497,BUILDING,BUILDING,404123.581N,0300523.825E,602.05,34.45,NO,,NO,,
LTBQ498,BUILDING,BUILDING,404121.623N,0300522.898E,635.52,34.45,NO,,NO,,
LTBQ499,BUILDING,BUILDING,404116.461N,0300525.821E,712.25,34.45,NO,,NO,,
LTBQ500,BUILDING,BUILDING,404116.394N,0300526.074E,711.80,34.45,NO,,NO,,
LTBQ501,BUILDING,BUILDING,404126.061N,0300526.391E,570.56,34.45,NO,,NO,,
LTBQ502,BUILDING,BUILDING,404125.683N,0300527.215E,578.16,34.45,NO,,NO,,
LTBQ503,BUILDING,BUILDING,404129.895N,0300526.337E,504.03,34.45,NO,,NO,,
LTBQ504,BUILDING,BUILDING,404130.761N,0300528.143E,490.66,34.45,NO,,NO,,
LTBQ505,BUILDING,BUILDING,404131.710N,0300527.970E,478.88,34.45,NO,,NO,,
LTBQ506,BUILDING,BUILDING,404133.896N,0300531.876E,431.11,24.60,NO,,NO,,
LTBQ507,BUILDING,BUILDING,404127.996N,0300533.612E,537.75,44.29,NO,,NO,,
LTBQ508,BUILDING,BUILDING,404128.437N,0300536.023E,550.52,34.45,NO,,NO,,
LTBQ509,BUILDING,BUILDING,404125.273N,0300529.460E,575.06,34.45,NO,,NO,,
LTBQ510,BUILDING,BUILDING,404134.212N,0300535.659E,438.78,24.60,NO,,NO,,
LTBQ511,BUILDING,BUILDING,404134.029N,0300534.903E,437.21,24.60,NO,,NO,,
LTBQ512,BUILDING,BUILDING,404133.605N,0300533.287E,441.10,24.60,NO,,NO,,
LTBQ513,BUILDING,BUILDING,404135.516N,0300533.476E,424.89,34.45,NO,,NO,,
LTBQ514,BUILDING,BUILDING,404135.423N,0300535.254E,418.56,24.60,NO,,NO,,
LTBQ515,BUILDING,BUILDING,404132.787N,0300534.557E,466.84,34.45,NO,,NO,,
LTBQ516,BUILDING,BUILDING,404132.425N,0300523.375E,450.32,24.60,NO,,NO,,
LTBQ517,BUILDING,BUILDING,404113.992N,0300515.361E,758.95,34.45,NO,,NO,,
LTBQ518,BUILDING,BUILDING,404110.359N,0300515.991E,837.28,34.45,NO,,NO,,
LTBQ519,BUILDING,BUILDING,404114.251N,0300555.882E,984.12,34.45,NO,,NO,,
LTBQ520,BUILDING,BUILDING,404113.485N,0300435.423E,675.20,34.45,NO,,NO,,
LTBQ521,BUILDING,BUILDING,404112.605N,0300445.779E,737.13,34.45,NO,,NO,,
LTBQ522,BUILDING,BUILDING,404141.643N,0300632.127E,603.92,34.45,NO,,NO,,
LTBQ523,BUILDING,BUILDING,404141.163N,0300634.048E,620.27,34.45,NO,,NO,,
LTBQ524,BUILDING,BUILDING,404139.146N,0300632.144E,634.87,44.29,NO,,NO,,
LTBQ525,BUILDING,BUILDING,404139.286N,0300638.045E,648.49,34.45,NO,,NO,,
LTBQ526,BUILDING,BUILDING,404141.568N,0300638.686E,632.88,34.45,NO,,NO,,
LTBQ527,BUILDING,BUILDING,404150.706N,0300644.461E,606.33,34.45,NO,,NO,,
LTBQ528,BUILDING,BUILDING,404141.283N,0300641.779E,642.47,34.45,NO,,NO,,
LTBQ529,BUILDING,BUILDING,404141.612N,0300643.004E,644.50,34.45,NO,,NO,,
LTBQ530,BUILDING,BUILDING,404145.873N,0300644.409E,632.35,34.45,NO,,NO,,
LTBQ531,BUILDING,BUILDING,404140.199N,0300643.501E,657.32,34.45,NO,,NO,,
LTBQ532,BUILDING,BUILDING,404137.624N,0300643.613E,699.56,34.45,NO,,NO,,
LTBQ533,BUILDING,BUILDING,404136.567N,0300636.972E,659.20,34.45,NO,,NO,,
LTBQ534,BUILDING,BUILDING,404136.298N,0300637.173E,662.47,34.45,NO,,NO,,
LTBQ535,BUILDING,BUILDING,404136.609N,0300636.537E,654.58,34.45,NO,,NO,,
LTBQ536,BUILDING,BUILDING,404118.226N,0300602.510E,996.60,34.45,NO,,NO,,
LTBQ537,BUILDING,BUILDING,404146.615N,0300707.674E,681.63,34.45,NO,,NO,,
LTBQ538,BUILDING,BUILDING,404101.853N,0300440.601E,984.32,34.45,NO,,NO,,
LTBQ539,BUILDING,BUILDING,404114.680N,0300454.475E,638.13,34.45,NO,,NO,,
LTBQ540,BUILDING,BUILDING,404112.546N,0300503.722E,681.62,44.29,NO,,NO,,
LTBQ541,BUILDING,BUILDING,404114.430N,0300509.608E,715.20,34.45,NO,,NO,,
LTBQ542,BUILDING,BUILDING,404112.673N,0300509.211E,729.24,34.45,NO,,NO,,
LTBQ543,BUILDING,BUILDING,404111.828N,0300513.620E,821.89,34.45,NO,,NO,,
LTBQ544,BUILDING,BUILDING,404102.674N,0300508.004E,943.88,44.29,NO,,NO,,
LTBQ545,BUILDING,BUILDING,404156.023N,0300602.703E,350.14,24.60,NO,,NO,,
LTBQ546,BUILDING,BUILDING,404156.889N,0300603.908E,344.63,24.60,NO,,NO,,
LTBQ547,BUILDING,BUILDING,404157.062N,0300605.454E,365.34,44.29,NO,,NO,,
LTBQ548,BUILDING,BUILDING,404149.983N,0300602.450E,412.58,34.45,NO,,NO,,
LTBQ549,BUILDING,BUILDING,404159.413N,0300609.619E,334.87,24.60,NO,,NO,,
LTBQ550,BUILDING,BUILDING,404159.490N,0300611.137E,338.25,14.76,NO,,NO,,
LTBQ551,BUILDING,BUILDING,404158.874N,0300610.566E,341.09,24.60,NO,,NO,,
LTBQ552,BUILDING,BUILDING,404158.195N,0300611.961E,362.55,34.45,NO,,NO,,
LTBQ553,BUILDING,BUILDING,404147.408N,0300604.938E,428.17,34.45,NO,,NO,,
LTBQ554,BUILDING,BUILDING,404151.638N,0300610.085E,427.60,34.45,NO,,NO,,
LTBQ555,BUILDING,BUILDING,404158.422N,0300613.173E,370.52,34.45,NO,,NO,,
LTBQ556,BUILDING,BUILDING,404156.808N,0300613.993E,385.49,34.45,NO,,NO,,
LTBQ557,BUILDING,BUILDING,404150.367N,0300611.774E,446.66,34.45,NO,,NO,,
LTBQ558,BUILDING,BUILDING,404149.277N,0300612.113E,460.73,34.45,NO,,NO,,
LTBQ559,BUILDING,BUILDING,404149.041N,0300611.588E,459.61,34.45,NO,,NO,,
LTBQ560,BUILDING,BUILDING,404148.320N,0300610.790E,470.82,44.29,NO,,NO,,
LTBQ561,BUILDING,BUILDING,404146.942N,0300607.330E,440.32,34.45,NO,,NO,,
LTBQ562,BUILDING,BUILDING,404149.438N,0300619.056E,473.53,34.45,NO,,NO,,
LTBQ563,BUILDING,BUILDING,404145.102N,0300613.699E,466.47,34.45,NO,,NO,,
LTBQ564,BUILDING,BUILDING,404145.488N,0300611.906E,455.73,34.45,NO,,NO,,
LTBQ565,BUILDING,BUILDING,404154.684N,0300630.362E,483.97,34.45,NO,,NO,,
LTBQ566,BUILDING,BUILDING,404154.309N,0300629.801E,483.71,34.45,NO,,NO,,
LTBQ567,BUILDING,BUILDING,404153.655N,0300630.499E,495.72,34.45,NO,,NO,,
LTBQ568,BUILDING,BUILDING,404153.176N,0300631.008E,502.18,34.45,NO,,NO,,
LTBQ569,BUILDING,BUILDING,404152.825N,0300636.839E,541.00,34.45,NO,,NO,,
LTBQ570,BUILDING,BUILDING,404150.507N,0300637.700E,571.77,34.45,NO,,NO,,
LTBQ571,BUILDING,BUILDING,404151.555N,0300639.007E,568.57,34.45,NO,,NO,,
LTBQ572,BUILDING,BUILDING,404147.712N,0300627.434E,522.40,34.45,NO,,NO,,
LTBQ573,BUILDING,BUILDING,404149.087N,0300624.063E,491.82,34.45,NO,,NO,,
LTBQ574,BUILDING,BUILDING,404147.595N,0300623.912E,511.39,34.45,NO,,NO,,
LTBQ575,BUILDING,BUILDING,404148.117N,0300623.529E,505.03,34.45,NO,,NO,,
LTBQ576,BUILDING,BUILDING,404145.773N,0300623.247E,526.15,34.45,NO,,NO,,
LTBQ577,BUILDING,BUILDING,404147.759N,0300631.832E,553.36,34.45,NO,,NO,,
LTBQ578,BUILDING,BUILDING,404146.607N,0300632.476E,568.17,34.45,NO,,NO,,
LTBQ579,BUILDING,BUILDING,404144.397N,0300629.103E,564.80,34.45,NO,,NO,,
LTBQ580,BUILDING,BUILDING,404143.931N,0300627.292E,567.71,34.45,NO,,NO,,
LTBQ581,BUILDING,BUILDING,404144.290N,0300626.294E,560.76,34.45,NO,,NO,,
LTBQ582,BUILDING,BUILDING,404146.502N,0300627.351E,534.93,34.45,NO,,NO,,
LTBQ583,BUILDING,BUILDING,404142.005N,0300624.211E,559.24,34.45,NO,,NO,,
LTBQ584,BUILDING,BUILDING,404143.637N,0300633.140E,589.47,34.45,NO,,NO,,
LTBQ585,BUILDING,BUILDING,404143.191N,0300632.267E,589.39,34.45,NO,,NO,,
LTBQ586,BUILDING,BUILDING,404139.311N,0300650.824E,723.61,34.45,NO,,NO,,
LTBQ587,BUILDING,BUILDING,404139.524N,0300654.527E,739.61,34.45,NO,,NO,,
LTBQ588,BUILDING,BUILDING,404139.770N,0300655.204E,736.77,34.45,NO,,NO,,
LTBQ589,BUILDING,BUILDING,404144.608N,0300650.261E,664.85,34.45,NO,,NO,,
LTBQ590,BUILDING,BUILDING,404144.722N,0300647.420E,653.07,34.45,NO,,NO,,
LTBQ591,BUILDING,BUILDING,404140.272N,0300656.797E,735.89,34.45,NO,,NO,,
LTBQ592,BUILDING,BUILDING,404141.504N,0300659.066E,734.14,34.45,NO,,NO,,
LTBQ593,BUILDING,BUILDING,404142.745N,0300656.220E,712.16,34.45,NO,,NO,,
LTBQ594,BUILDING,BUILDING,404145.386N,0300657.849E,681.61,34.45,NO,,NO,,
LTBQ595,BUILDING,BUILDING,404144.586N,0300657.570E,693.44,34.45,NO,,NO,,
LTBQ596,BUILDING,BUILDING,404147.476N,0300651.167E,638.09,34.45,NO,,NO,,
LTBQ597,BUILDING,BUILDING,404147.738N,0300650.423E,635.08,34.45,NO,,NO,,
LTBQ598,BUILDING,BUILDING,404157.271N,0300652.538E,547.26,34.45,NO,,NO,,
LTBQ599,BUILDING,BUILDING,404157.639N,0300653.367E,544.24,34.45,NO,,NO,,
LTBQ600,BUILDING,BUILDING,404158.958N,0300650.346E,527.40,34.45,NO,,NO,,
LTBQ601,BUILDING,BUILDING,404158.166N,0300659.246E,551.71,34.45,NO,,NO,,
