Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,
LTBQ106,BUILDING,BUILDING,404119.841N,0300320.929E,557.75,24.60,NO,,NO,,
LTBQ107,BUILDING,BUILDING,404120.379N,0300326.575E,550.02,14.76,NO,,NO,,
LTBQ108,BUILDING,BUILDING,404120.167N,0300324.440E,577.62,34.45,NO,,NO,,
LTBQ109,BUILDING,BUILDING,404120.319N,0300325.223E,553.37,14.76,NO,,NO,,
LTBQ110,BUILDING,BUILDING,404120.060N,0300320.161E,549.56,24.60,NO,,NO,,
LTBQ111,BUILDING,BUILDING,404120.307N,0300321.894E,550.91,14.76,NO,,NO,,
LTBQ112,BUILDING,BUILDING,404120.410N,0300327.677E,564.88,24.60,NO,,NO,,
LTBQ113,BUILDING,BUILDING,404120.208N,0300320.697E,551.83,24.60,NO,,NO,,
LTBQ114,BUILDING,BUILDING,404120.511N,0300323.922E,572.64,34.45,NO,,NO,,
LTBQ115,BUILDING,BUILDING,404120.713N,0300323.146E,558.89,24.60,NO,,NO,,
LTBQ116,BUILDING,BUILDING,404121.136N,0300332.328E,565.97,24.60,NO,,NO,,
LTBQ117,BUILDING,BUILDING,404120.711N,0300322.610E,557.52,24.60,NO,,NO,,
LTBQ118,BUILDING,BUILDING,404120.932N,0300323.541E,545.68,14.76,NO,,NO,,
LTBQ119,BUILDING,BUILDING,404120.077N,0300307.305E,559.41,34.45,NO,,NO,,
LTBQ120,BUILDING,BUILDING,404120.957N,0300326.414E,562.99,34.45,NO,,NO,,
LTBQ121,BUILDING,BUILDING,404120.849N,0300320.821E,545.56,24.60,NO,,NO,,
LTBQ122,BUILDING,BUILDING,404120.480N,0300310.070E,555.28,14.76,NO,,NO,,
LTBQ123,BUILDING,BUILDING,404121.763N,0300334.197E,562.32,24.60,NO,,NO,,
LTBQ124,BUILDING,BUILDING,404121.326N,0300325.458E,549.73,24.60,NO,,NO,,
LTBQ125,BUILDING,BUILDING,404121.825N,0300329.927E,547.13,14.76,NO,,NO,,
LTBQ126,BUILDING,BUILDING,404120.990N,0300310.741E,552.83,14.76,NO,,NO,,
LTBQ127,BUILDING,BUILDING,404120.954N,0300309.579E,567.83,34.45,NO,,NO,,
LTBQ128,BUILDING,BUILDING,404122.069N,0300328.473E,537.50,14.76,NO,,NO,,
LTBQ129,BUILDING,BUILDING,404121.762N,0300324.022E,544.77,24.60,NO,,NO,,
LTBQ130,BUILDING,BUILDING,404122.080N,0300330.882E,569.95,34.45,NO,,NO,,
LTBQ131,BUILDING,BUILDING,404121.176N,0300308.802E,558.38,34.45,NO,,NO,,
LTBQ132,BUILDING,BUILDING,404122.182N,0300328.573E,537.21,14.76,NO,,NO,,
LTBQ133,BUILDING,BUILDING,404122.192N,0300329.622E,560.80,34.45,NO,,NO,,
LTBQ134,BUILDING,BUILDING,404121.290N,0300309.410E,553.00,24.60,NO,,NO,,
LTBQ135,BUILDING,BUILDING,404122.068N,0300323.307E,540.66,24.60,NO,,NO,,
LTBQ136,BUILDING,BUILDING,404122.580N,0300329.093E,536.19,14.76,NO,,NO,,
LTBQ137,BUILDING,BUILDING,404122.678N,0300328.877E,535.28,14.76,NO,,NO,,
LTBQ138,BUILDING,BUILDING,404122.457N,0300324.047E,536.93,24.60,NO,,NO,,
LTBQ139,BUILDING,BUILDING,404122.371N,0300322.387E,537.09,24.60,NO,,NO,,
LTBQ140,BUILDING,BUILDING,404122.275N,0300320.023E,539.38,34.45,NO,,NO,,
LTBQ141,BUILDING,BUILDING,404123.150N,0300326.695E,533.39,24.60,NO,,NO,,
LTBQ142,BUILDING,BUILDING,404123.307N,0300327.399E,544.75,34.45,NO,,NO,,
LTBQ143,BUILDING,BUILDING,404124.109N,0300337.240E,545.49,14.76,NO,,NO,,
LTBQ144,BUILDING,BUILDING,404123.929N,0300329.906E,533.54,14.76,NO,,NO,,
LTBQ145,BUILDING,BUILDING,404123.405N,0300317.840E,536.44,44.29,NO,,NO,,
LTBQ146,BUILDING,BUILDING,404123.976N,0300320.647E,530.16,34.45,NO,,NO,,
LTBQ147,BUILDING,BUILDING,404124.037N,0300318.201E,534.03,44.29,NO,,NO,,
LTBQ148,BUILDING,BUILDING,404124.226N,0300324.805E,529.16,34.45,NO,,NO,,
LTBQ149,BUILDING,BUILDING,404124.556N,0300313.574E,531.06,44.29,NO,,NO,,
LTBQ150,BUILDING,BUILDING,404125.363N,0300327.789E,528.75,24.60,NO,,NO,,
LTBQ151,BUILDING,BUILDING,404125.861N,0300328.839E,524.37,14.76,NO,,NO,,
LTBQ152,BUILDING,BUILDING,404125.916N,0300331.968E,549.56,24.60,NO,,NO,,
LTBQ153,BUILDING,BUILDING,404126.173N,0300337.355E,551.52,24.60,NO,,NO,,
LTBQ154,BUILDING,BUILDING,404125.755N,0300323.229E,532.17,44.29,NO,,NO,,
LTBQ155,BUILDING,BUILDING,404126.208N,0300328.569E,531.89,24.60,NO,,NO,,
LTBQ156,BUILDING,BUILDING,404126.448N,0300327.390E,513.54,14.76,NO,,NO,,
LTBQ157,BUILDING,BUILDING,404126.264N,0300324.878E,520.62,34.45,NO,,NO,,
LTBQ158,BUILDING,BUILDING,404126.651N,0300330.473E,552.28,34.45,NO,,NO,,
LTBQ159,BUILDING,BUILDING,404126.755N,0300329.853E,528.59,14.76,NO,,NO,,
LTBQ160,BUILDING,BUILDING,404126.799N,0300327.657E,513.89,14.76,NO,,NO,,
