Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude ( N ),Longitude ( E ),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,SURVEY_DATE
493179,STREETLIGHT,POLE,411443.4638N,0284536.7945E,401.6,49.0,NO,,NO,1.07.2021
493180,STREETLIGHT,POLE,411443.5206N,0284538.4737E,400.2,49.3,NO,,NO,1.07.2021
493181,STREETLIGHT,POLE,411443.5577N,0284540.1754E,398.2,49.9,NO,,NO,1.07.2021
493182,STREETLIGHT,POLE,411443.5967N,0284541.9071E,396.5,51.0,NO,,NO,1.07.2021
493183,STREETLIGHT,POLE,411443.6395N,0284543.6182E,393.4,51.0,NO,,NO,1.07.2021
493184,STREETLIGHT,POLE,411443.6753N,0284545.3371E,391.7,50.4,NO,,NO,1.07.2021
493185,STREETLIGHT,POLE,411443.7162N,0284547.0605E,389.5,50.0,NO,,NO,1.07.2021
493186,STREETLIGHT,POLE,411443.7509N,0284548.7738E,388.9,51.1,NO,,NO,1.07.2021
493187,STREETLIGHT,POLE,411443.7894N,0284550.4839E,388.3,51.9,NO,,NO,1.07.2021
493188,STREETLIGHT,POLE,411443.8317N,0284552.2216E,385.1,49.7,NO,,NO,1.07.2021
493194,STREETLIGHT,POLE,411442.6231N,0284539.8507E,400.2,49.6,NO,,NO,1.07.2021
493195,STREETLIGHT,POLE,411442.6636N,0284541.5577E,397.8,49.8,NO,,NO,1.07.2021
493196,STREETLIGHT,POLE,411442.7137N,0284543.2910E,396.0,50.9,NO,,NO,1.07.2021
493197,STREETLIGHT,POLE,411442.7446N,0284545.0133E,394.5,51.5,NO,,NO,1.07.2021
493198,STREETLIGHT,POLE,411442.7769N,0284546.7264E,391.7,50.4,NO,,NO,1.07.2021
493199,STREETLIGHT,POLE,411442.8146N,0284548.4497E,388.9,49.4,NO,,NO,1.07.2021
493200,STREETLIGHT,POLE,411442.8669N,0284550.1700E,387.9,49.9,NO,,NO,1.07.2021
493201,STREETLIGHT,POLE,411442.8931N,0284551.8922E,386.9,49.9,NO,,NO,1.07.2021
493202,STREETLIGHT,POLE,411442.9308N,0284553.6114E,386.9,50.5,NO,,NO,1.07.2021
493203,STREETLIGHT,POLE,411442.9685N,0284555.3205E,385.9,50.8,NO,,NO,1.07.2021
493206,STREETLIGHT,POLE,411443.0830N,0284600.4721E,386.7,49.3,NO,,NO,1.07.2021
493207,STREETLIGHT,POLE,411443.1183N,0284602.1985E,387.9,49.9,NO,,NO,1.07.2021
493208,STREETLIGHT,POLE,411443.1351N,0284603.8823E,387.9,49.2,NO,,NO,1.07.2021
493218,STREETLIGHT,POLE,411441.6486N,0284548.5208E,389.5,50.0,NO,,NO,1.07.2021
493219,STREETLIGHT,POLE,411441.6101N,0284546.7998E,390.5,49.4,NO,,NO,1.07.2021
493220,STREETLIGHT,POLE,411441.5723N,0284545.0748E,393.0,49.9,NO,,NO,1.07.2021
493222,STREETLIGHT,POLE,411441.4937N,0284541.6481E,397.4,49.4,NO,,NO,1.07.2021
493223,STREETLIGHT,POLE,411441.4580N,0284539.9331E,400.2,49.6,NO,,NO,1.07.2021
493224,STREETLIGHT,POLE,411441.4183N,0284538.1853E,402.8,48.9,NO,,NO,1.07.2021
493225,STREETLIGHT,POLE,411440.5213N,0284538.3941E,400.8,47.7,NO,,NO,1.07.2021
493226,STREETLIGHT,POLE,411440.5670N,0284540.1509E,396.4,48.2,NO,,NO,1.07.2021
493227,STREETLIGHT,POLE,411440.5534N,0284541.7198E,394.2,47.8,NO,,NO,1.07.2021
493228,STREETLIGHT,POLE,411440.4476N,0284543.3067E,391.4,48.0,NO,,NO,1.07.2021
493258,STREETLIGHT,POLE,411441.9838N,0284537.8521E,403.5,49.3,NO,,NO,1.07.2021
493262,STREETLIGHT,POLE,411437.5619N,0284648.0671E,441.1,51.7,NO,,NO,1.07.2021
493355,UTILITY_POLE,POLE,411348.5073N,0284145.1683E,525.9,26.4,NO,,NO,1.07.2021
493356,UTILITY_POLE,POLE,411348.9287N,0284145.2104E,538.7,38.0,NO,,NO,1.07.2021
493357,UTILITY_POLE,POLE,411350.3989N,0284148.2353E,542.8,42.6,NO,,NO,1.07.2021
493358,UTILITY_POLE,POLE,411347.9866N,0284146.3015E,532.3,32.8,NO,,NO,1.07.2021
493359,UTILITY_POLE,POLE,411345.0241N,0284146.7019E,502.4,24.2,NO,,NO,1.07.2021
493360,UTILITY_POLE,POLE,411343.8384N,0284146.8097E,493.7,24.0,NO,,NO,1.07.2021
493361,UTILITY_POLE,POLE,411343.6499N,0284147.3561E,488.0,19.8,NO,,NO,1.07.2021
493362,UTILITY_POLE,POLE,411342.9911N,0284146.6936E,489.6,19.0,NO,,NO,1.07.2021
493363,UTILITY_POLE,POLE,411350.4285N,0284137.7168E,485.4,37.5,NO,,NO,1.07.2021
493364,UTILITY_POLE,POLE,411349.2310N,0284142.3957E,523.8,41.5,NO,,NO,1.07.2021
493365,UTILITY_POLE,POLE,411348.4253N,0284143.2667E,516.4,29.7,NO,,NO,1.07.2021
493366,UTILITY_POLE,POLE,411348.0647N,0284142.0029E,495.1,28.2,NO,,NO,1.07.2021
493367,UTILITY_POLE,POLE,411347.6041N,0284140.9397E,475.3,26.9,NO,,NO,1.07.2021
493400,STREETLIGHT,POLE,411553.7029N,0284627.0682E,478.2,26.2,NO,,NO,1.07.2021
493401,STREETLIGHT,POLE,411550.9888N,0284626.7739E,493.5,38.7,NO,,NO,1.07.2021
493402,STREETLIGHT,POLE,411551.9837N,0284629.6892E,479.0,35.5,NO,,NO,1.07.2021
493403,STREETLIGHT,POLE,411554.3057N,0284630.5498E,516.2,79.8,NO,,NO,1.07.2021
493404,STREETLIGHT,POLE,411554.3115N,0284630.5429E,516.2,78.4,NO,,NO,1.07.2021
493405,STREETLIGHT,POLE,411542.1512N,0284630.0450E,477.6,34.4,NO,,NO,1.07.2021
493406,STREETLIGHT,POLE,411543.7560N,0284628.1578E,484.6,42.5,NO,,NO,1.07.2021
493408,APRON_LIGHT,POLE,411526.9905N,0284502.3816E,373.5,85.3,NO,,NO,1.07.2021
493557,UTILITY_POLE,POLE,411457.7289N,0284156.9192E,516.4,40.7,NO,,NO,1.07.2021
493558,UTILITY_POLE,POLE,411458.6395N,0284155.8347E,500.2,38.5,NO,,NO,1.07.2021
493576,UTILITY_POLE,POLE,411414.1617N,0284146.9881E,555.9,18.4,NO,,NO,1.07.2021
493577,UTILITY_POLE,POLE,411410.8804N,0284150.9796E,564.3,22.3,NO,,NO,1.07.2021
493578,UTILITY_POLE,POLE,411410.0693N,0284151.7713E,558.7,14.0,NO,,NO,1.07.2021
