Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude ( N ),Longitude ( E ),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,SURVEY_DATE
4,DVOR,NAVAID,411834.1809N,0284331.9548E,282.5,14.4,YES,RED,NO,1.07.2021
5,DVOR_LC,NAVAID,411834.3596N,0284332.4360E,291.3,25.2,YES,RED,NO,1.07.2021
6,DVOR_MONITOR,NAVAID,411834.2002N,0284327.6198E,276.9,22.6,YES,RED,NO,1.07.2021
8,PAPI_COVER,OTHER,411743.3311N,0284235.5485E,228.0,3.5,NO,,NO,1.07.2021
9,PAPI_COVER,OTHER,411743.3265N,0284235.1619E,228.6,3.5,NO,,NO,1.07.2021
10,PAPI_COVER,OTHER,411743.2919N,0284231.9375E,228.7,3.6,NO,,NO,1.07.2021
11,PAPI_COVER,OTHER,411743.2864N,0284231.5516E,228.3,3.6,NO,,NO,1.07.2021
15,PAPI_COVER,OTHER,411743.2476N,0284222.5921E,227.8,2.6,NO,,NO,1.07.2021
18,PAPI_COVER,OTHER,411743.2912N,0284226.4593E,228.0,3.1,NO,,NO,1.07.2021
19,PAPI_COVER,OTHER,411609.6634N,0284224.4396E,312.6,3.4,NO,,NO,1.07.2021
20,PAPI_COVER,OTHER,411609.7065N,0284228.3061E,312.6,3.1,NO,,NO,1.07.2021
22,PAPI_COVER,OTHER,411609.5863N,0284237.7808E,312.8,3.9,NO,,NO,1.07.2021
23,PAPI_COVER,OTHER,411609.5825N,0284237.3950E,313.3,3.9,NO,,NO,1.07.2021
24,PAPI_COVER,OTHER,411609.5770N,0284237.0090E,313.9,3.8,NO,,NO,1.07.2021
25,PAPI_COVER,OTHER,411609.5411N,0284233.7853E,313.9,3.9,NO,,NO,1.07.2021
26,PAPI_COVER,OTHER,411609.5370N,0284233.3995E,313.5,4.0,NO,,NO,1.07.2021
27,PAPI_COVER,OTHER,411609.5322N,0284233.0137E,312.8,3.9,NO,,NO,1.07.2021
45,BRIDGE_DECK,BUILDING,411511.3485N,0284138.9189E,505.5,52.2,NO,,NO,1.07.2021
46,BRIDGE_DECK,BUILDING,411506.6397N,0284143.7436E,507.6,129.2,NO,,NO,1.07.2021
47,BRIDGE_DECK,BUILDING,411459.3954N,0284146.9983E,511.8,97.1,NO,,NO,1.07.2021
486944,ANTENNA,ANTENNA,411511.5980N,0284400.2176E,365.9,84.5,NO,,NO,1.07.2021
486945,ANTENNA,ANTENNA,411514.1401N,0284400.1725E,365.4,84.1,NO,,NO,1.07.2021
486946,ANTENNA,ANTENNA,411517.1823N,0284400.0932E,364.0,82.6,NO,,NO,1.07.2021
486947,ANTENNA,ANTENNA,411519.3509N,0284400.2168E,364.9,83.6,NO,,NO,1.07.2021
486948,ANTENNA,ANTENNA,411514.1009N,0284411.9889E,373.5,84.1,NO,,NO,1.07.2021
486949,ANTENNA,ANTENNA,411512.8059N,0284412.0194E,375.4,86.1,NO,,NO,1.07.2021
486950,ANTENNA,ANTENNA,411511.0271N,0284412.0535E,373.5,84.2,NO,,NO,1.07.2021
486951,ANTENNA,ANTENNA,411509.7286N,0284412.0818E,373.5,83.8,NO,,NO,1.07.2021
486952,ANTENNA,ANTENNA,411508.2793N,0284411.9514E,373.5,84.7,NO,,NO,1.07.2021
486953,ANTENNA,ANTENNA,411506.8387N,0284411.7212E,373.1,85.7,NO,,NO,1.07.2021
486954,ANTENNA,ANTENNA,411501.3796N,0284411.8289E,372.6,83.7,NO,,NO,1.07.2021
487034,STREETLIGHT,POLE,411459.4472N,0284036.5781E,444.0,54.1,NO,,NO,1.07.2021
487088,STREETLIGHT,POLE,411443.7477N,0284113.7429E,453.4,49.6,NO,,NO,1.07.2021
487089,STREETLIGHT,POLE,411443.9334N,0284111.7813E,450.2,49.3,NO,,NO,1.07.2021
487090,STREETLIGHT,POLE,411444.1133N,0284109.8282E,447.5,50.3,NO,,NO,1.07.2021
487091,STREETLIGHT,POLE,411444.2990N,0284107.8641E,444.2,49.7,NO,,NO,1.07.2021
487092,STREETLIGHT,POLE,411444.5037N,0284105.6492E,441.0,49.6,NO,,NO,1.07.2021
487093,STREETLIGHT,POLE,411444.6989N,0284103.5910E,437.5,49.5,NO,,NO,1.07.2021
487094,STREETLIGHT,POLE,411444.8915N,0284101.5498E,434.1,49.5,NO,,NO,1.07.2021
487100,STREETLIGHT,POLE,411442.4390N,0284127.7537E,474.0,48.7,NO,,NO,1.07.2021
487101,STREETLIGHT,POLE,411442.2279N,0284129.9590E,476.9,48.4,NO,,NO,1.07.2021
487102,STREETLIGHT,POLE,411442.0264N,0284132.1607E,480.0,49.0,NO,,NO,1.07.2021
487103,STREETLIGHT,POLE,411441.8161N,0284134.3801E,481.4,48.7,NO,,NO,1.07.2021
487104,STREETLIGHT,POLE,411441.6129N,0284136.5975E,483.7,49.4,NO,,NO,1.07.2021
487105,STREETLIGHT,POLE,411441.4229N,0284138.8014E,484.2,48.7,NO,,NO,1.07.2021
487106,STREETLIGHT,POLE,411440.4079N,0284139.9964E,473.1,37.3,NO,,NO,1.07.2021
487112,STREETLIGHT,POLE,411459.9750N,0284134.4522E,525.2,49.3,NO,,NO,1.07.2021
487113,STREETLIGHT,POLE,411458.9075N,0284136.0692E,525.0,49.6,NO,,NO,1.07.2021
487114,STREETLIGHT,POLE,411457.7066N,0284137.9873E,525.0,50.5,NO,,NO,1.07.2021
487115,STREETLIGHT,POLE,411456.9143N,0284139.2961E,524.0,50.2,NO,,NO,1.07.2021
487116,STREETLIGHT,POLE,411455.8812N,0284141.1063E,521.9,49.9,NO,,NO,1.07.2021
487117,STREETLIGHT,POLE,411454.9321N,0284142.8536E,520.2,49.5,NO,,NO,1.07.2021
487118,STREETLIGHT,POLE,411455.8154N,0284142.4729E,519.7,49.5,NO,,NO,1.07.2021
487119,STREETLIGHT,POLE,411456.7742N,0284140.7456E,519.7,48.1,NO,,NO,1.07.2021
487120,STREETLIGHT,POLE,411457.7702N,0284139.0505E,521.4,49.1,NO,,NO,1.07.2021
487121,STREETLIGHT,POLE,411458.7920N,0284137.3799E,521.4,48.3,NO,,NO,1.07.2021
487122,STREETLIGHT,POLE,411459.8505N,0284135.7462E,523.3,49.2,NO,,NO,1.07.2021
487123,STREETLIGHT,POLE,411459.6831N,0284137.2406E,517.7,45.1,NO,,NO,1.07.2021
487124,STREETLIGHT,POLE,411458.6469N,0284138.8886E,517.7,45.8,NO,,NO,1.07.2021
487125,STREETLIGHT,POLE,411457.9310N,0284140.1386E,517.7,46.7,NO,,NO,1.07.2021
487126,STREETLIGHT,POLE,411456.7618N,0284142.3752E,517.7,48.9,NO,,NO,1.07.2021
487127,STREETLIGHT,POLE,411440.8856N,0284145.4715E,484.8,49.2,NO,,NO,1.07.2021
487128,STREETLIGHT,POLE,411440.0586N,0284144.4200E,472.7,36.5,NO,,NO,1.07.2021
487129,STREETLIGHT,POLE,411439.8933N,0284146.6748E,472.8,37.0,NO,,NO,1.07.2021
487130,STREETLIGHT,POLE,411440.5950N,0284149.7452E,483.0,48.6,NO,,NO,1.07.2021
487131,STREETLIGHT,POLE,411440.7336N,0284147.6875E,484.5,49.1,NO,,NO,1.07.2021
487132,STREETLIGHT,POLE,411441.7117N,0284146.5191E,473.1,39.3,NO,,NO,1.07.2021
487133,STREETLIGHT,POLE,411441.8797N,0284144.5103E,474.1,39.9,NO,,NO,1.07.2021
487139,STREETLIGHT,POLE,411440.4521N,0284151.8375E,481.9,49.1,NO,,NO,1.07.2021
487140,STREETLIGHT,POLE,411440.3177N,0284153.8602E,480.2,49.2,NO,,NO,1.07.2021
487141,STREETLIGHT,POLE,411440.1949N,0284155.6872E,477.7,49.1,NO,,NO,1.07.2021
487142,STREETLIGHT,POLE,411440.0522N,0284157.7264E,475.8,49.0,NO,,NO,1.07.2021
487145,STREETLIGHT,POLE,411454.9209N,0284145.9069E,509.8,44.2,NO,,NO,1.07.2021
487146,STREETLIGHT,POLE,411454.9010N,0284144.2111E,516.9,48.5,NO,,NO,1.07.2021
487147,STREETLIGHT,POLE,411455.8154N,0284144.1346E,515.8,48.4,NO,,NO,1.07.2021
487148,STREETLIGHT,POLE,411454.0471N,0284147.7113E,510.5,46.9,NO,,NO,1.07.2021
487149,STREETLIGHT,POLE,411453.1345N,0284147.8394E,512.8,48.2,NO,,NO,1.07.2021
487150,STREETLIGHT,POLE,411453.8341N,0284148.8223E,488.1,25.1,NO,,NO,1.07.2021
487151,STREETLIGHT,POLE,411453.3603N,0284149.6594E,508.6,48.1,NO,,NO,1.07.2021
487152,STREETLIGHT,POLE,411452.3059N,0284149.6923E,510.0,48.6,NO,,NO,1.07.2021
487153,STREETLIGHT,POLE,411448.8315N,0284145.9869E,553.4,41.0,NO,,NO,1.07.2021
487154,STREETLIGHT,POLE,411447.7972N,0284146.3360E,549.8,41.5,NO,,NO,1.07.2021
487155,STREETLIGHT,POLE,411446.8970N,0284147.0884E,542.4,40.8,NO,,NO,1.07.2021
487156,STREETLIGHT,POLE,411446.2869N,0284148.2544E,535.1,41.7,NO,,NO,1.07.2021
487157,STREETLIGHT,POLE,411446.0866N,0284149.6386E,528.1,41.9,NO,,NO,1.07.2021
487158,STREETLIGHT,POLE,411446.3144N,0284151.0063E,519.8,41.2,NO,,NO,1.07.2021
487159,STREETLIGHT,POLE,411446.9343N,0284152.1527E,512.2,41.8,NO,,NO,1.07.2021
487160,STREETLIGHT,POLE,411447.8462N,0284152.8825E,503.8,39.7,NO,,NO,1.07.2021
487161,STREETLIGHT,POLE,411448.9143N,0284153.0653E,504.1,43.6,NO,,NO,1.07.2021
487162,STREETLIGHT,POLE,411449.9315N,0284152.6776E,496.2,37.5,NO,,NO,1.07.2021
487163,STREETLIGHT,POLE,411451.5176N,0284151.5667E,507.8,49.0,NO,,NO,1.07.2021
487164,STREETLIGHT,POLE,411450.7663N,0284153.4638E,504.3,48.8,NO,,NO,1.07.2021
487165,STREETLIGHT,POLE,411450.0429N,0284155.3890E,501.4,49.9,NO,,NO,1.07.2021
487166,STREETLIGHT,POLE,411449.3597N,0284157.3450E,495.7,48.3,NO,,NO,1.07.2021
487167,STREETLIGHT,POLE,411452.8122N,0284151.2116E,501.4,41.3,NO,,NO,1.07.2021
487168,STREETLIGHT,POLE,411453.0474N,0284152.5905E,503.1,42.2,NO,,NO,1.07.2021
487169,STREETLIGHT,POLE,411453.6567N,0284153.7407E,506.6,41.5,NO,,NO,1.07.2021
487170,STREETLIGHT,POLE,411454.5409N,0284154.5089E,511.2,41.2,NO,,NO,1.07.2021
487171,STREETLIGHT,POLE,411448.7335N,0284159.3087E,492.6,50.2,NO,,NO,1.07.2021
487172,STREETLIGHT,POLE,411448.1211N,0284201.2968E,490.4,52.5,NO,,NO,1.07.2021
487173,STREETLIGHT,POLE,411447.5500N,0284203.3105E,483.5,50.1,NO,,NO,1.07.2021
487174,STREETLIGHT,POLE,411447.0178N,0284205.3316E,477.6,49.6,NO,,NO,1.07.2021
487176,STREETLIGHT,POLE,411446.0475N,0284209.4751E,470.7,52.8,NO,,NO,1.07.2021
487177,STREETLIGHT,POLE,411445.6501N,0284211.5202E,463.0,50.8,NO,,NO,1.07.2021
487178,STREETLIGHT,POLE,411445.2782N,0284213.6130E,457.8,50.1,NO,,NO,1.07.2021
487179,STREETLIGHT,POLE,411444.9464N,0284215.7148E,453.3,50.1,NO,,NO,1.07.2021
487180,STREETLIGHT,POLE,411444.6254N,0284217.8243E,450.2,50.1,NO,,NO,1.07.2021
487181,STREETLIGHT,POLE,411444.3086N,0284219.9233E,446.5,49.6,NO,,NO,1.07.2021
487182,STREETLIGHT,POLE,411444.0062N,0284222.0292E,443.0,50.0,NO,,NO,1.07.2021
487183,STREETLIGHT,POLE,411443.6838N,0284224.1187E,440.3,49.7,NO,,NO,1.07.2021
487184,STREETLIGHT,POLE,411444.6356N,0284223.2018E,436.8,45.5,NO,,NO,1.07.2021
487185,STREETLIGHT,POLE,411444.9931N,0284221.1077E,440.6,47.2,NO,,NO,1.07.2021
487186,STREETLIGHT,POLE,411445.3131N,0284218.9993E,444.4,47.5,NO,,NO,1.07.2021
487187,STREETLIGHT,POLE,411445.6280N,0284216.8875E,447.3,46.9,NO,,NO,1.07.2021
487188,STREETLIGHT,POLE,411445.9419N,0284214.7856E,452.1,47.9,NO,,NO,1.07.2021
487189,STREETLIGHT,POLE,411446.3027N,0284212.6982E,456.1,47.3,NO,,NO,1.07.2021
487190,STREETLIGHT,POLE,411446.7694N,0284210.6451E,460.0,47.6,NO,,NO,1.07.2021
487195,STREETLIGHT,POLE,411450.0922N,0284203.6669E,476.0,44.6,NO,,NO,1.07.2021
487196,STREETLIGHT,POLE,411450.8923N,0284202.6920E,478.3,43.6,NO,,NO,1.07.2021
487197,STREETLIGHT,POLE,411451.6997N,0284201.7944E,481.8,43.4,NO,,NO,1.07.2021
487198,STREETLIGHT,POLE,411452.5200N,0284200.8857E,483.5,41.4,NO,,NO,1.07.2021
487199,STREETLIGHT,POLE,411453.3424N,0284159.9966E,488.6,43.7,NO,,NO,1.07.2021
487200,STREETLIGHT,POLE,411454.1732N,0284159.0858E,491.2,42.6,NO,,NO,1.07.2021
487201,STREETLIGHT,POLE,411454.9844N,0284158.1780E,493.8,42.1,NO,,NO,1.07.2021
487202,STREETLIGHT,POLE,411455.8153N,0284157.2743E,494.8,39.6,NO,,NO,1.07.2021
487203,STREETLIGHT,POLE,411456.6497N,0284156.3782E,500.4,41.0,NO,,NO,1.07.2021
487204,STREETLIGHT,POLE,411446.2793N,0284201.1669E,489.6,42.3,NO,,NO,1.07.2021
487205,STREETLIGHT,POLE,411446.0852N,0284202.5741E,484.9,42.6,NO,,NO,1.07.2021
487206,STREETLIGHT,POLE,411445.8792N,0284203.9560E,478.6,41.4,NO,,NO,1.07.2021
487207,STREETLIGHT,POLE,411445.6700N,0284205.3514E,473.8,41.9,NO,,NO,1.07.2021
487209,STREETLIGHT,POLE,411445.2469N,0284208.2260E,470.5,47.9,NO,,NO,1.07.2021
487210,STREETLIGHT,POLE,411444.9402N,0284210.3258E,466.5,48.7,NO,,NO,1.07.2021
487211,STREETLIGHT,POLE,411444.6289N,0284212.4386E,461.4,48.3,NO,,NO,1.07.2021
487212,STREETLIGHT,POLE,411444.3174N,0284214.5372E,457.4,49.0,NO,,NO,1.07.2021
487213,STREETLIGHT,POLE,411444.0033N,0284216.6385E,451.5,47.9,NO,,NO,1.07.2021
487214,STREETLIGHT,POLE,411443.6811N,0284218.7471E,445.1,46.6,NO,,NO,1.07.2021
487215,STREETLIGHT,POLE,411443.3716N,0284220.8594E,442.4,48.2,NO,,NO,1.07.2021
487216,STREETLIGHT,POLE,411443.0662N,0284222.9667E,438.3,47.5,NO,,NO,1.07.2021
487217,STREETLIGHT,POLE,411442.7466N,0284225.0753E,435.7,48.2,NO,,NO,1.07.2021
487218,STREETLIGHT,POLE,411440.0615N,0284225.0609E,425.4,39.1,NO,,NO,1.07.2021
487219,STREETLIGHT,POLE,411440.6474N,0284223.5491E,431.2,39.8,NO,,NO,1.07.2021
487220,STREETLIGHT,POLE,411442.0121N,0284220.6017E,437.5,39.8,NO,,NO,1.07.2021
487221,STREETLIGHT,POLE,411441.3495N,0284222.0759E,432.5,37.6,NO,,NO,1.07.2021
487222,STREETLIGHT,POLE,411442.6747N,0284219.1168E,441.3,42.2,NO,,NO,1.07.2021
487223,STREETLIGHT,POLE,411442.9314N,0284217.4501E,439.4,40.1,NO,,NO,1.07.2021
487224,STREETLIGHT,POLE,411443.0497N,0284215.7154E,440.4,41.2,NO,,NO,1.07.2021
487225,STREETLIGHT,POLE,411443.1661N,0284214.0054E,440.4,40.6,NO,,NO,1.07.2021
487226,STREETLIGHT,POLE,411443.2850N,0284212.2655E,441.3,40.4,NO,,NO,1.07.2021
487227,STREETLIGHT,POLE,411443.3991N,0284210.5623E,442.7,40.5,NO,,NO,1.07.2021
487228,STREETLIGHT,POLE,411443.5162N,0284208.8283E,444.6,40.2,NO,,NO,1.07.2021
487234,STREETLIGHT,POLE,411442.4967N,0284200.3950E,500.2,82.3,NO,,NO,1.07.2021
487258,STREETLIGHT,POLE,411440.3127N,0284210.9678E,432.9,31.3,NO,,NO,1.07.2021
487259,STREETLIGHT,POLE,411440.4217N,0284209.3406E,432.7,29.0,NO,,NO,1.07.2021
487260,STREETLIGHT,POLE,411440.2013N,0284212.5916E,431.7,32.3,NO,,NO,1.07.2021
487261,STREETLIGHT,POLE,411440.0967N,0284214.2157E,431.7,34.4,NO,,NO,1.07.2021
487262,STREETLIGHT,POLE,411439.9846N,0284215.8455E,432.3,37.0,NO,,NO,1.07.2021
487263,STREETLIGHT,POLE,411439.8752N,0284217.4823E,432.6,39.3,NO,,NO,1.07.2021
487264,STREETLIGHT,POLE,411439.7618N,0284219.1177E,432.6,39.8,NO,,NO,1.07.2021
487265,STREETLIGHT,POLE,411439.6461N,0284220.7315E,432.3,40.4,NO,,NO,1.07.2021
487266,STREETLIGHT,POLE,411439.5341N,0284222.3636E,431.0,39.9,NO,,NO,1.07.2021
487267,STREETLIGHT,POLE,411438.2433N,0284224.4283E,436.5,51.8,NO,,NO,1.07.2021
487268,STREETLIGHT,POLE,411438.3861N,0284222.3790E,440.2,50.7,NO,,NO,1.07.2021
487269,STREETLIGHT,POLE,411438.5267N,0284220.3240E,442.1,50.1,NO,,NO,1.07.2021
487270,STREETLIGHT,POLE,411438.6650N,0284218.2750E,445.8,50.7,NO,,NO,1.07.2021
487271,STREETLIGHT,POLE,411438.8021N,0284216.2263E,448.8,50.5,NO,,NO,1.07.2021
487272,STREETLIGHT,POLE,411438.9428N,0284214.1697E,451.9,50.2,NO,,NO,1.07.2021
487273,STREETLIGHT,POLE,411439.0795N,0284212.1211E,454.5,50.1,NO,,NO,1.07.2021
487274,STREETLIGHT,POLE,411439.2204N,0284210.0620E,457.4,49.6,NO,,NO,1.07.2021
487275,STREETLIGHT,POLE,411439.3595N,0284208.0048E,461.4,50.3,NO,,NO,1.07.2021
487276,STREETLIGHT,POLE,411439.4978N,0284205.9501E,463.7,49.3,NO,,NO,1.07.2021
487277,STREETLIGHT,POLE,411439.6367N,0284203.8975E,467.4,49.9,NO,,NO,1.07.2021
487278,STREETLIGHT,POLE,411439.7747N,0284201.8439E,470.3,50.1,NO,,NO,1.07.2021
487279,STREETLIGHT,POLE,411439.9105N,0284159.7819E,472.9,49.6,NO,,NO,1.07.2021
487280,STREETLIGHT,POLE,411440.8892N,0284220.5496E,479.8,83.5,NO,,NO,1.07.2021
487281,STREETLIGHT,POLE,411442.1652N,0284207.7197E,486.6,83.8,NO,,NO,1.07.2021
487282,STREETLIGHT,POLE,411443.3719N,0284226.2418E,436.2,49.5,NO,,NO,1.07.2021
487283,STREETLIGHT,POLE,411443.0565N,0284228.3482E,432.4,48.6,NO,,NO,1.07.2021
487284,STREETLIGHT,POLE,411442.7400N,0284230.4570E,429.8,49.4,NO,,NO,1.07.2021
487285,STREETLIGHT,POLE,411442.4282N,0284232.5634E,425.2,48.2,NO,,NO,1.07.2021
487286,STREETLIGHT,POLE,411442.1145N,0284234.6771E,422.9,49.7,NO,,NO,1.07.2021
487287,STREETLIGHT,POLE,411441.8075N,0284236.7338E,419.2,49.4,NO,,NO,1.07.2021
487288,STREETLIGHT,POLE,411441.4871N,0284238.8839E,415.9,49.6,NO,,NO,1.07.2021
487289,STREETLIGHT,POLE,411441.1771N,0284240.9842E,413.3,50.1,NO,,NO,1.07.2021
487290,STREETLIGHT,POLE,411440.8642N,0284243.1088E,410.5,50.6,NO,,NO,1.07.2021
487291,STREETLIGHT,POLE,411438.2841N,0284246.4289E,432.6,84.0,NO,,NO,1.07.2021
487292,STREETLIGHT,POLE,411438.1815N,0284243.4709E,436.9,82.6,NO,,NO,1.07.2021
487293,STREETLIGHT,POLE,411438.3445N,0284239.9666E,444.1,84.3,NO,,NO,1.07.2021
487296,STREETLIGHT,POLE,411438.9171N,0284229.9973E,415.4,39.6,NO,,NO,1.07.2021
487297,STREETLIGHT,POLE,411439.2317N,0284228.3102E,418.6,40.6,NO,,NO,1.07.2021
487298,STREETLIGHT,POLE,411439.6223N,0284226.6848E,421.7,40.5,NO,,NO,1.07.2021
487299,STREETLIGHT,POLE,411438.1086N,0284226.4885E,432.7,51.0,NO,,NO,1.07.2021
487300,STREETLIGHT,POLE,411437.9668N,0284228.5347E,430.0,51.0,NO,,NO,1.07.2021
487301,STREETLIGHT,POLE,411437.8224N,0284230.7602E,426.2,50.3,NO,,NO,1.07.2021
487302,STREETLIGHT,POLE,411437.6689N,0284232.9916E,423.1,50.7,NO,,NO,1.07.2021
487303,STREETLIGHT,POLE,411442.4667N,0284227.1930E,433.2,48.8,NO,,NO,1.07.2021
487319,COMMS_MAST,POLE,411446.6272N,0284413.5611E,417.8,69.0,NO,,NO,1.07.2021
487339,COMMS_MAST,POLE,411447.9428N,0284503.6674E,428.6,98.7,NO,,NO,1.07.2021
487346,ANTENNA,ANTENNA,411631.9125N,0284353.9586E,324.0,65.3,NO,,NO,1.07.2021
487347,ANTENNA,ANTENNA,411630.5127N,0284506.6939E,319.1,58.7,NO,,NO,1.07.2021
487349,STREETLIGHT,POLE,411354.8672N,0284158.1662E,519.7,25.1,NO,,NO,1.07.2021
487350,STREETLIGHT,POLE,411354.5938N,0284156.4086E,505.1,27.7,NO,,NO,1.07.2021
487351,STREETLIGHT,POLE,411354.1952N,0284154.7667E,498.5,25.4,NO,,NO,1.07.2021
487352,STREETLIGHT,POLE,411353.8705N,0284153.3024E,501.0,25.6,NO,,NO,1.07.2021
487353,STREETLIGHT,POLE,411353.5020N,0284151.6338E,510.6,27.7,NO,,NO,1.07.2021
487354,STREETLIGHT,POLE,411353.1516N,0284150.3197E,523.0,30.7,NO,,NO,1.07.2021
487366,ANTENNA,ANTENNA,411619.1938N,0284354.4698E,334.5,64.1,NO,,NO,1.07.2021
487376,FLAG_POLE,POLE,411556.5074N,0284116.8215E,525.4,16.8,NO,,NO,1.07.2021
487377,FLAG_POLE,POLE,411556.4791N,0284116.7885E,525.4,16.8,NO,,NO,1.07.2021
487456,STREETLIGHT,POLE,411440.5561N,0284245.1393E,407.1,49.6,NO,,NO,1.07.2021
487457,STREETLIGHT,POLE,411440.2305N,0284247.3082E,403.8,50.0,NO,,NO,1.07.2021
487460,STREETLIGHT,POLE,411438.3681N,0284249.2498E,426.9,83.8,NO,,NO,1.07.2021
487474,STREETLIGHT,POLE,411438.1281N,0284253.2559E,422.4,83.7,NO,,NO,1.07.2021
487674,STREETLIGHT,POLE,411445.6911N,0284403.5457E,385.6,50.0,NO,,NO,1.07.2021
487675,STREETLIGHT,POLE,411445.5807N,0284405.6941E,389.3,51.3,NO,,NO,1.07.2021
487676,STREETLIGHT,POLE,411445.4641N,0284407.8364E,391.5,50.7,NO,,NO,1.07.2021
487677,STREETLIGHT,POLE,411445.3461N,0284409.9841E,394.4,50.7,NO,,NO,1.07.2021
487678,STREETLIGHT,POLE,411445.2328N,0284412.1228E,397.2,50.0,NO,,NO,1.07.2021
487679,STREETLIGHT,POLE,411445.1185N,0284414.2690E,399.4,49.6,NO,,NO,1.07.2021
487818,STREETLIGHT,POLE,411444.1031N,0284433.5402E,424.9,49.5,NO,,NO,1.07.2021
487819,STREETLIGHT,POLE,411444.2177N,0284431.3880E,422.1,50.4,NO,,NO,1.07.2021
487820,STREETLIGHT,POLE,411444.3299N,0284429.2540E,419.8,50.2,NO,,NO,1.07.2021
487821,STREETLIGHT,POLE,411444.4437N,0284427.1208E,416.5,50.6,NO,,NO,1.07.2021
487824,STREETLIGHT,POLE,411444.7833N,0284420.6852E,407.0,49.2,NO,,NO,1.07.2021
487825,STREETLIGHT,POLE,411444.8967N,0284418.5453E,405.3,50.6,NO,,NO,1.07.2021
487826,STREETLIGHT,POLE,411445.0051N,0284416.4010E,402.9,51.4,NO,,NO,1.07.2021
487852,STREETLIGHT,POLE,411355.3197N,0284200.7954E,547.2,28.1,NO,,NO,1.07.2021
487853,STREETLIGHT,POLE,411355.1846N,0284200.0784E,538.8,25.9,NO,,NO,1.07.2021
487854,STREETLIGHT,POLE,411437.5235N,0284235.2082E,419.5,49.7,NO,,NO,1.07.2021
487855,STREETLIGHT,POLE,411437.3701N,0284237.4237E,416.4,49.8,NO,,NO,1.07.2021
487856,STREETLIGHT,POLE,411435.9760N,0284239.8762E,443.1,82.3,NO,,NO,1.07.2021
487857,STREETLIGHT,POLE,411435.4981N,0284243.0856E,436.3,81.5,NO,,NO,1.07.2021
487858,STREETLIGHT,POLE,411435.1430N,0284246.0418E,431.7,81.7,NO,,NO,1.07.2021
487860,STREETLIGHT,POLE,411434.3671N,0284248.0815E,429.7,83.1,NO,,NO,1.07.2021
487861,STREETLIGHT,POLE,411434.1359N,0284253.2979E,420.6,82.6,NO,,NO,1.07.2021
487862,STREETLIGHT,POLE,411434.6711N,0284257.0320E,415.6,83.2,NO,,NO,1.07.2021
487863,STREETLIGHT,POLE,411434.9030N,0284301.0030E,409.2,82.3,NO,,NO,1.07.2021
487864,STREETLIGHT,POLE,411437.1979N,0284301.0976E,410.3,81.4,NO,,NO,1.07.2021
487865,STREETLIGHT,POLE,411437.4160N,0284257.2641E,415.7,82.0,NO,,NO,1.07.2021
488104,STREETLIGHT,POLE,411442.7441N,0284459.2465E,451.2,50.0,NO,,NO,1.07.2021
488105,STREETLIGHT,POLE,411442.8640N,0284457.1024E,450.7,50.0,NO,,NO,1.07.2021
488106,STREETLIGHT,POLE,411442.9751N,0284454.9517E,450.0,50.0,NO,,NO,1.07.2021
488107,STREETLIGHT,POLE,411443.0871N,0284452.8050E,447.9,49.7,NO,,NO,1.07.2021
488108,STREETLIGHT,POLE,411443.2030N,0284450.6543E,447.6,51.2,NO,,NO,1.07.2021
488109,STREETLIGHT,POLE,411443.3080N,0284448.5337E,444.5,50.3,NO,,NO,1.07.2021
488110,STREETLIGHT,POLE,411443.4289N,0284446.3844E,442.1,50.2,NO,,NO,1.07.2021
488373,STREETLIGHT,POLE,411435.1155N,0284418.9811E,406.0,49.3,NO,,NO,1.07.2021
488410,STREETLIGHT,POLE,411430.4025N,0284446.2599E,422.7,49.4,NO,,NO,1.07.2021
488444,STREETLIGHT,POLE,411430.4795N,0284457.2629E,446.3,49.2,NO,,NO,1.07.2021
488451,STREETLIGHT,POLE,411432.4321N,0284457.9710E,451.2,49.5,NO,,NO,1.07.2021
488470,STREETLIGHT,POLE,411506.7283N,0284037.3169E,475.3,50.2,NO,,NO,1.07.2021
488471,STREETLIGHT,POLE,411506.5191N,0284039.2990E,467.5,50.1,NO,,NO,1.07.2021
488473,STREETLIGHT,POLE,411508.1314N,0284037.7516E,477.4,47.8,NO,,NO,1.07.2021
488474,STREETLIGHT,POLE,411509.5396N,0284038.3331E,483.3,50.9,NO,,NO,1.07.2021
488475,STREETLIGHT,POLE,411509.0802N,0284040.3279E,473.9,49.0,NO,,NO,1.07.2021
488476,STREETLIGHT,POLE,411510.3964N,0284041.1087E,479.1,50.3,NO,,NO,1.07.2021
488477,STREETLIGHT,POLE,411510.8729N,0284039.1129E,484.7,48.6,NO,,NO,1.07.2021
488478,STREETLIGHT,POLE,411510.8790N,0284041.5058E,495.1,63.9,NO,,NO,1.07.2021
488480,STREETLIGHT,POLE,411512.1840N,0284039.9527E,485.8,49.1,NO,,NO,1.07.2021
488481,STREETLIGHT,POLE,411512.0872N,0284043.2111E,520.6,86.2,NO,,NO,1.07.2021
488482,STREETLIGHT,POLE,411513.2414N,0284040.4367E,537.1,100.3,NO,,NO,1.07.2021
488483,STREETLIGHT,POLE,411514.9077N,0284041.7424E,528.1,92.8,NO,,NO,1.07.2021
