Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT) ,Height (FT),Lighting,Color of Lighting,Group,
LTCC_1424,BUILDING,BUILDING,375549.944N,0401218.036E,2408.17,142.72,NO INFO,,NO,
LTCC_1425,BUILDING,BUILDING,375552.447N,0401104.194E,2433.60,83.66,NO INFO,,NO,
LTCC_1426,BUILDING,BUILDING,375555.097N,0400956.042E,2489.30,83.66,NO INFO,,NO,
LTCC_1427,BUILDING,BUILDING,375554.860N,0401004.496E,2493.96,93.50,NO INFO,,NO,
LTCC_1428,BUILDING,BUILDING,375552.859N,0401056.746E,2439.44,83.66,NO INFO,,NO,
LTCC_1429,BUILDING,BUILDING,375555.217N,0400952.124E,2492.75,83.66,NO INFO,,NO,
LTCC_1430,BUILDING,BUILDING,375554.181N,0401025.187E,2470.90,83.66,NO INFO,,NO,
LTCC_1431,BUILDING,BUILDING,375554.634N,0401010.661E,2478.74,83.66,NO INFO,,NO,
LTCC_1432,BUILDING,BUILDING,375556.805N,0400915.053E,2574.28,132.87,NO INFO,,NO,
LTCC_1433,BUILDING,BUILDING,375553.981N,0401037.643E,2416.14,44.29,NO INFO,,NO,
LTCC_1434,BUILDING,BUILDING,375554.384N,0401031.324E,2451.31,73.82,NO INFO,,NO,
LTCC_1435,BUILDING,BUILDING,375553.095N,0401058.031E,2438.39,83.66,NO INFO,,NO,
LTCC_1436,BUILDING,BUILDING,375555.503N,0400954.475E,2491.63,83.66,NO INFO,,NO,
LTCC_1437,BUILDING,BUILDING,375554.755N,0401014.271E,2478.67,83.66,NO INFO,,NO,
LTCC_1438,BUILDING,BUILDING,375554.364N,0401030.926E,2461.52,83.66,NO INFO,,NO,
LTCC_1439,BUILDING,BUILDING,375556.769N,0400923.273E,2544.06,103.35,NO INFO,,NO,
LTCC_1440,BUILDING,BUILDING,375556.022N,0400942.958E,2496.92,83.66,NO INFO,,NO,
LTCC_1441,BUILDING,BUILDING,375552.407N,0401121.253E,2410.04,83.66,NO INFO,,NO,
LTCC_1442,BUILDING,BUILDING,375554.581N,0401030.637E,2452.07,73.82,NO INFO,,NO,
LTCC_1443,BUILDING,BUILDING,375554.905N,0401019.329E,2488.52,93.50,NO INFO,,NO,
LTCC_1444,BUILDING,BUILDING,375556.074N,0400944.961E,2495.41,83.66,NO INFO,,NO,
LTCC_1445,BUILDING,BUILDING,375554.367N,0401029.346E,2463.45,83.66,NO INFO,,NO,
LTCC_1446,BUILDING,BUILDING,375553.239N,0401105.886E,2402.36,54.13,NO INFO,,NO,
LTCC_1447,BUILDING,BUILDING,375556.733N,0400931.469E,2534.88,103.35,NO INFO,,NO,
LTCC_1448,BUILDING,BUILDING,375555.414N,0401007.961E,2482.45,83.66,NO INFO,,NO,
LTCC_1449,BUILDING,BUILDING,375556.659N,0400933.701E,2531.66,103.35,NO INFO,,NO,
LTCC_1450,BUILDING,BUILDING,375555.446N,0401000.977E,2487.83,83.66,NO INFO,,NO,
LTCC_1451,BUILDING,BUILDING,375556.493N,0400938.249E,2504.69,83.66,NO INFO,,NO,
LTCC_1452,BUILDING,BUILDING,375554.745N,0401023.331E,2484.61,93.50,NO INFO,,NO,
LTCC_1453,BUILDING,BUILDING,375557.149N,0400918.835E,2545.57,103.35,NO INFO,,NO,
LTCC_1454,BUILDING,BUILDING,375555.051N,0401018.043E,2478.67,83.66,NO INFO,,NO,
LTCC_1455,BUILDING,BUILDING,375553.296N,0401101.742E,2435.37,83.66,NO INFO,,NO,
LTCC_1456,BUILDING,BUILDING,375555.553N,0401002.224E,2487.24,83.66,NO INFO,,NO,
LTCC_1457,BUILDING,BUILDING,375553.678N,0401055.096E,2450.46,93.50,NO INFO,,NO,
LTCC_1458,BUILDING,BUILDING,375556.463N,0400940.649E,2501.18,83.66,NO INFO,,NO,
LTCC_1459,BUILDING,BUILDING,375550.706N,0401222.246E,2406.50,142.72,NO INFO,,NO,
LTCC_1460,BUILDING,BUILDING,375555.581N,0401009.770E,2481.14,83.66,NO INFO,,NO,
LTCC_1461,BUILDING,BUILDING,375555.738N,0401003.755E,2496.49,93.50,NO INFO,,NO,
LTCC_1462,BUILDING,BUILDING,375553.542N,0401107.041E,2401.48,54.13,NO INFO,,NO,
LTCC_1463,BUILDING,BUILDING,375555.389N,0401015.321E,2478.67,83.66,NO INFO,,NO,
LTCC_1464,BUILDING,BUILDING,375555.028N,0401031.471E,2451.35,73.82,NO INFO,,NO,
LTCC_1465,BUILDING,BUILDING,375555.081N,0401022.037E,2487.43,93.50,NO INFO,,NO,
LTCC_1466,BUILDING,BUILDING,375552.987N,0401120.096E,2411.12,83.66,NO INFO,,NO,
LTCC_1467,BUILDING,BUILDING,375553.856N,0401056.482E,2449.28,93.50,NO INFO,,NO,
LTCC_1468,BUILDING,BUILDING,375555.814N,0401004.575E,2495.90,93.50,NO INFO,,NO,
LTCC_1469,BUILDING,BUILDING,375554.993N,0401031.068E,2461.35,83.66,NO INFO,,NO,
LTCC_1470,BUILDING,BUILDING,375553.996N,0401057.773E,2448.26,93.50,NO INFO,,NO,
LTCC_1471,BUILDING,BUILDING,375553.622N,0401103.224E,2433.99,83.66,NO INFO,,NO,
LTCC_1472,BUILDING,BUILDING,375555.957N,0401005.599E,2495.44,93.50,NO INFO,,NO,
LTCC_1473,BUILDING,BUILDING,375553.850N,0401104.995E,2403.12,54.13,NO INFO,,NO,
LTCC_1474,BUILDING,BUILDING,375553.230N,0401121.276E,2408.30,83.66,NO INFO,,NO,
LTCC_1475,BUILDING,BUILDING,375551.164N,0401218.391E,2409.28,142.72,NO INFO,,NO,
LTCC_1476,BUILDING,BUILDING,375556.517N,0400952.634E,2494.55,83.66,NO INFO,,NO,
LTCC_1477,BUILDING,BUILDING,375555.353N,0401029.795E,2462.89,83.66,NO INFO,,NO,
LTCC_1478,BUILDING,BUILDING,375556.770N,0400954.830E,2493.08,83.66,NO INFO,,NO,
LTCC_1479,BUILDING,BUILDING,375556.168N,0401007.788E,2483.69,83.66,NO INFO,,NO,
LTCC_1480,BUILDING,BUILDING,375555.021N,0401026.505E,2469.29,83.66,NO INFO,,NO,
LTCC_1481,BUILDING,BUILDING,375554.339N,0401101.475E,2435.47,83.66,NO INFO,,NO,
LTCC_1482,BUILDING,BUILDING,375555.233N,0401040.244E,2413.98,44.29,NO INFO,,NO,
LTCC_1483,BUILDING,BUILDING,375556.683N,0400956.579E,2491.86,83.66,NO INFO,,NO,
LTCC_1484,BUILDING,BUILDING,375556.050N,0401015.223E,2478.67,83.66,NO INFO,,NO,
LTCC_1485,BUILDING,BUILDING,375556.695N,0400957.796E,2491.24,83.66,NO INFO,,NO,
LTCC_1486,BUILDING,BUILDING,375554.632N,0401054.856E,2450.59,93.50,NO INFO,,NO,
LTCC_1487,BUILDING,BUILDING,375556.364N,0401009.599E,2482.22,83.66,NO INFO,,NO,
LTCC_1488,BUILDING,BUILDING,375556.706N,0400958.652E,2490.85,83.66,NO INFO,,NO,
LTCC_1489,BUILDING,BUILDING,375555.401N,0401025.197E,2471.82,83.66,NO INFO,,NO,
LTCC_1490,BUILDING,BUILDING,375555.585N,0401038.526E,2415.42,44.29,NO INFO,,NO,
LTCC_1491,BUILDING,BUILDING,375556.032N,0401020.080E,2478.67,83.66,NO INFO,,NO,
LTCC_1492,BUILDING,BUILDING,375559.418N,0400848.205E,2616.47,172.24,NO INFO,,NO,
LTCC_1493,BUILDING,BUILDING,375554.828N,0401056.217E,2449.61,93.50,NO INFO,,NO,
LTCC_1494,BUILDING,BUILDING,375557.628N,0400943.362E,2499.25,83.66,NO INFO,,NO,
LTCC_1495,BUILDING,BUILDING,375557.798N,0400938.650E,2505.71,83.66,NO INFO,,NO,
LTCC_1496,BUILDING,BUILDING,375554.766N,0401105.259E,2402.95,54.13,NO INFO,,NO,
LTCC_1497,BUILDING,BUILDING,375557.769N,0400940.758E,2502.23,83.66,NO INFO,,NO,
LTCC_1498,BUILDING,BUILDING,375556.927N,0401000.496E,2501.08,93.50,NO INFO,,NO,
LTCC_1499,BUILDING,BUILDING,375556.570N,0401022.960E,2451.80,59.06,NO INFO,,NO,
LTCC_1500,BUILDING,BUILDING,375553.864N,0401124.861E,2400.98,83.66,NO INFO,,NO,
LTCC_1501,BUILDING,BUILDING,375557.924N,0400936.809E,2508.60,83.66,NO INFO,,NO,
LTCC_1502,BUILDING,BUILDING,375554.771N,0401106.539E,2401.77,54.13,NO INFO,,NO,
LTCC_1503,BUILDING,BUILDING,375558.190N,0400932.839E,2511.81,83.66,NO INFO,,NO,
LTCC_1504,BUILDING,BUILDING,375556.982N,0401001.352E,2490.75,83.66,NO INFO,,NO,
LTCC_1505,BUILDING,BUILDING,375554.978N,0401057.495E,2448.46,93.50,NO INFO,,NO,
LTCC_1506,BUILDING,BUILDING,375558.205N,0400929.961E,2516.93,83.66,NO INFO,,NO,
LTCC_1507,BUILDING,BUILDING,375558.281N,0400931.481E,2514.40,83.66,NO INFO,,NO,
LTCC_1508,BUILDING,BUILDING,375558.164N,0400934.443E,2511.48,83.66,NO INFO,,NO,
LTCC_1509,BUILDING,BUILDING,375558.488N,0400925.938E,2542.03,103.35,NO INFO,,NO,
LTCC_1510,BUILDING,BUILDING,375558.264N,0400927.968E,2539.93,103.35,NO INFO,,NO,
LTCC_1511,BUILDING,BUILDING,375557.086N,0401002.163E,2490.52,83.66,NO INFO,,NO,
LTCC_1512,BUILDING,BUILDING,375558.553N,0400924.638E,2543.50,103.35,NO INFO,,NO,
LTCC_1513,BUILDING,BUILDING,375555.980N,0401031.556E,2460.99,83.66,NO INFO,,NO,
LTCC_1514,BUILDING,BUILDING,375558.599N,0400923.568E,2545.08,103.35,NO INFO,,NO,
LTCC_1515,BUILDING,BUILDING,375554.970N,0401104.121E,2403.77,54.13,NO INFO,,NO,
LTCC_1516,BUILDING,BUILDING,375556.549N,0401018.213E,2478.67,83.66,NO INFO,,NO,
LTCC_1517,BUILDING,BUILDING,375557.509N,0400954.128E,2494.88,83.66,NO INFO,,NO,
LTCC_1518,BUILDING,BUILDING,375557.732N,0400955.037E,2494.62,83.66,NO INFO,,NO,
LTCC_1519,BUILDING,BUILDING,375557.745N,0400955.845E,2494.23,83.66,NO INFO,,NO,
LTCC_1520,BUILDING,BUILDING,375558.897N,0400921.746E,2546.88,103.35,NO INFO,,NO,
LTCC_1521,BUILDING,BUILDING,375556.365N,0401030.390E,2462.07,83.66,NO INFO,,NO,
LTCC_1522,BUILDING,BUILDING,375555.130N,0401108.541E,2400.26,54.13,NO INFO,,NO,
LTCC_1523,BUILDING,BUILDING,375557.474N,0401022.546E,2512.04,118.11,NO INFO,,NO,
LTCC_1524,BUILDING,BUILDING,375555.604N,0401054.516E,2451.02,93.50,NO INFO,,NO,
LTCC_1525,BUILDING,BUILDING,375557.851N,0400956.714E,2494.03,83.66,NO INFO,,NO,
LTCC_1526,BUILDING,BUILDING,375559.132N,0400919.063E,2547.34,103.35,NO INFO,,NO,
LTCC_1527,BUILDING,BUILDING,375555.755N,0401055.903E,2449.87,93.50,NO INFO,,NO,
LTCC_1528,BUILDING,BUILDING,375557.886N,0400957.611E,2493.64,83.66,NO INFO,,NO,
LTCC_1529,BUILDING,BUILDING,375555.477N,0401106.033E,2402.20,54.13,NO INFO,,NO,
LTCC_1530,BUILDING,BUILDING,375557.954N,0400958.485E,2493.77,83.66,NO INFO,,NO,
LTCC_1531,BUILDING,BUILDING,375557.571N,0401007.799E,2495.80,93.50,NO INFO,,NO,
LTCC_1532,BUILDING,BUILDING,375557.150N,0401020.592E,2478.67,83.66,NO INFO,,NO,
LTCC_1533,BUILDING,BUILDING,375555.941N,0401057.242E,2448.88,93.50,NO INFO,,NO,
LTCC_1534,BUILDING,BUILDING,375555.791N,0401103.368E,2404.33,54.13,NO INFO,,NO,
LTCC_1535,BUILDING,BUILDING,375557.647N,0401010.707E,2492.26,93.50,NO INFO,,NO,
LTCC_1536,BUILDING,BUILDING,375558.018N,0401000.376E,2503.22,93.50,NO INFO,,NO,
LTCC_1537,BUILDING,BUILDING,375557.467N,0401015.013E,2478.67,83.66,NO INFO,,NO,
LTCC_1538,BUILDING,BUILDING,375600.995N,0400848.766E,2616.47,172.24,NO INFO,,NO,
LTCC_1539,BUILDING,BUILDING,375557.713N,0401009.293E,2493.93,93.50,NO INFO,,NO,
LTCC_1540,BUILDING,BUILDING,375557.023N,0401027.718E,2466.47,83.66,NO INFO,,NO,
LTCC_1541,BUILDING,BUILDING,375558.148N,0401001.221E,2493.08,83.66,NO INFO,,NO,
LTCC_1542,BUILDING,BUILDING,375556.295N,0401052.450E,2452.76,93.50,NO INFO,,NO,
LTCC_1543,BUILDING,BUILDING,375558.241N,0401002.005E,2492.88,83.66,NO INFO,,NO,
LTCC_1544,BUILDING,BUILDING,375557.594N,0401026.411E,2469.13,83.66,NO INFO,,NO,
LTCC_1545,BUILDING,BUILDING,375558.267N,0401002.906E,2501.94,93.50,NO INFO,,NO,
LTCC_1546,BUILDING,BUILDING,375556.570N,0401054.327E,2451.08,93.50,NO INFO,,NO,
LTCC_1547,BUILDING,BUILDING,375558.191N,0401012.713E,2480.51,83.66,NO INFO,,NO,
LTCC_1548,BUILDING,BUILDING,375557.345N,0401032.320E,2460.04,83.66,NO INFO,,NO,
LTCC_1549,BUILDING,BUILDING,375557.843N,0401018.071E,2478.67,83.66,NO INFO,,NO,
LTCC_1550,BUILDING,BUILDING,375557.502N,0401031.555E,2460.47,83.66,NO INFO,,NO,
LTCC_1551,BUILDING,BUILDING,375557.626N,0401030.753E,2461.19,83.66,NO INFO,,NO,
LTCC_1552,BUILDING,BUILDING,375558.387N,0401004.130E,2500.89,93.50,NO INFO,,NO,
LTCC_1553,BUILDING,BUILDING,375556.703N,0401055.676E,2449.80,93.50,NO INFO,,NO,
LTCC_1554,BUILDING,BUILDING,375558.475N,0401005.250E,2499.97,93.50,NO INFO,,NO,
LTCC_1555,BUILDING,BUILDING,375556.692N,0401103.634E,2403.87,54.13,NO INFO,,NO,
LTCC_1556,BUILDING,BUILDING,375556.900N,0401056.990E,2448.72,93.50,NO INFO,,NO,
LTCC_1557,BUILDING,BUILDING,375558.720N,0401007.610E,2496.92,93.50,NO INFO,,NO,
LTCC_1558,BUILDING,BUILDING,375556.876N,0401105.691E,2402.07,54.13,NO INFO,,NO,
LTCC_1559,BUILDING,BUILDING,375558.509N,0401014.827E,2478.67,83.66,NO INFO,,NO,
LTCC_1560,BUILDING,BUILDING,375559.765N,0400949.457E,2501.08,83.66,NO INFO,,NO,
LTCC_1561,BUILDING,BUILDING,375600.213N,0400941.148E,2505.61,83.66,NO INFO,,NO,
LTCC_1562,BUILDING,BUILDING,375558.160N,0401030.127E,2461.58,83.66,NO INFO,,NO,
LTCC_1563,BUILDING,BUILDING,375557.287N,0401104.666E,2402.76,54.13,NO INFO,,NO,
LTCC_1564,BUILDING,BUILDING,375558.362N,0401032.289E,2459.55,83.66,NO INFO,,NO,
LTCC_1565,BUILDING,BUILDING,375559.166N,0401012.382E,2482.05,83.66,NO INFO,,NO,
LTCC_1566,BUILDING,BUILDING,375600.005N,0400947.516E,2502.62,83.66,NO INFO,,NO,
LTCC_1567,BUILDING,BUILDING,375600.079N,0400946.159E,2503.02,83.66,NO INFO,,NO,
LTCC_1568,BUILDING,BUILDING,375600.186N,0400943.481E,2503.97,83.66,NO INFO,,NO,
LTCC_1569,BUILDING,BUILDING,375600.012N,0400951.571E,2500.10,83.66,NO INFO,,NO,
LTCC_1570,BUILDING,BUILDING,375600.177N,0400944.735E,2503.58,83.66,NO INFO,,NO,
LTCC_1571,BUILDING,BUILDING,375600.578N,0400936.123E,2511.48,83.66,NO INFO,,NO,
LTCC_1572,BUILDING,BUILDING,375602.593N,0400849.680E,2616.47,172.24,NO INFO,,NO,
LTCC_1573,BUILDING,BUILDING,375559.307N,0401013.622E,2490.62,93.50,NO INFO,,NO,
LTCC_1574,BUILDING,BUILDING,375600.090N,0400952.695E,2499.21,83.66,NO INFO,,NO,
LTCC_1575,BUILDING,BUILDING,375558.665N,0401028.612E,2463.29,83.66,NO INFO,,NO,
LTCC_1576,BUILDING,BUILDING,375557.529N,0401105.652E,2401.84,54.13,NO INFO,,NO,
LTCC_1577,BUILDING,BUILDING,375600.914N,0400932.147E,2501.97,73.82,NO INFO,,NO,
LTCC_1578,BUILDING,BUILDING,375557.584N,0401107.529E,2400.23,54.13,NO INFO,,NO,
LTCC_1579,BUILDING,BUILDING,375600.988N,0400930.687E,2504.89,73.82,NO INFO,,NO,
LTCC_1580,BUILDING,BUILDING,375602.949N,0400838.486E,2616.47,172.24,NO INFO,,NO,
LTCC_1581,BUILDING,BUILDING,375600.243N,0400953.865E,2499.05,83.66,NO INFO,,NO,
LTCC_1582,BUILDING,BUILDING,375600.281N,0400954.944E,2497.97,83.66,NO INFO,,NO,
LTCC_1583,BUILDING,BUILDING,375600.926N,0400933.499E,2501.64,73.82,NO INFO,,NO,
LTCC_1584,BUILDING,BUILDING,375558.966N,0401027.459E,2464.93,83.66,NO INFO,,NO,
LTCC_1585,BUILDING,BUILDING,375600.901N,0400934.508E,2511.48,83.66,NO INFO,,NO,
LTCC_1586,BUILDING,BUILDING,375600.368N,0400956.057E,2496.75,83.66,NO INFO,,NO,
LTCC_1587,BUILDING,BUILDING,375558.118N,0401056.506E,2448.82,93.50,NO INFO,,NO,
LTCC_1588,BUILDING,BUILDING,375558.082N,0401055.061E,2450.03,93.50,NO INFO,,NO,
LTCC_1589,BUILDING,BUILDING,375558.208N,0401053.763E,2451.15,93.50,NO INFO,,NO,
LTCC_1590,BUILDING,BUILDING,375559.400N,0401019.874E,2478.67,83.66,NO INFO,,NO,
LTCC_1591,BUILDING,BUILDING,375600.493N,0400956.976E,2495.41,83.66,NO INFO,,NO,
LTCC_1592,BUILDING,BUILDING,375558.314N,0401100.141E,2406.23,54.13,NO INFO,,NO,
LTCC_1593,BUILDING,BUILDING,375559.469N,0401021.093E,2478.67,83.66,NO INFO,,NO,
LTCC_1594,BUILDING,BUILDING,375603.395N,0400847.461E,2616.47,172.24,NO INFO,,NO,
LTCC_1595,BUILDING,BUILDING,375559.368N,0401030.907E,2460.37,83.66,NO INFO,,NO,
LTCC_1596,BUILDING,BUILDING,375558.478N,0401101.103E,2405.32,54.13,NO INFO,,NO,
LTCC_1597,BUILDING,BUILDING,375559.504N,0401032.609E,2458.63,83.66,NO INFO,,NO,
LTCC_1598,BUILDING,BUILDING,375601.154N,0400949.447E,2503.28,83.66,NO INFO,,NO,
LTCC_1599,BUILDING,BUILDING,375558.063N,0401112.589E,2423.13,83.66,NO INFO,,NO,
LTCC_1600,BUILDING,BUILDING,375559.827N,0401023.460E,2475.30,83.66,NO INFO,,NO,
LTCC_1601,BUILDING,BUILDING,375558.973N,0401056.408E,2448.62,93.50,NO INFO,,NO,
LTCC_1602,BUILDING,BUILDING,375558.454N,0401105.161E,2431.36,83.66,NO INFO,,NO,
LTCC_1603,BUILDING,BUILDING,375559.073N,0401051.651E,2452.76,93.50,NO INFO,,NO,
LTCC_1604,BUILDING,BUILDING,375559.930N,0401024.757E,2471.62,83.66,NO INFO,,NO,
LTCC_1605,BUILDING,BUILDING,375601.289N,0400951.770E,2501.57,83.66,NO INFO,,NO,
LTCC_1606,BUILDING,BUILDING,375601.961N,0400936.002E,2511.48,83.66,NO INFO,,NO,
LTCC_1607,BUILDING,BUILDING,375600.041N,0401026.081E,2467.26,83.66,NO INFO,,NO,
LTCC_1608,BUILDING,BUILDING,375602.112N,0400938.609E,2510.07,83.66,NO INFO,,NO,
LTCC_1609,BUILDING,BUILDING,375601.781N,0400941.562E,2507.81,83.66,NO INFO,,NO,
LTCC_1610,BUILDING,BUILDING,375559.355N,0401054.012E,2450.39,93.50,NO INFO,,NO,
LTCC_1611,BUILDING,BUILDING,375601.632N,0400954.260E,2499.84,83.66,NO INFO,,NO,
LTCC_1612,BUILDING,BUILDING,375600.250N,0401028.080E,2462.27,83.66,NO INFO,,NO,
LTCC_1613,BUILDING,BUILDING,375603.863N,0400852.005E,2615.81,172.24,NO INFO,,NO,
LTCC_1614,BUILDING,BUILDING,375604.271N,0400839.087E,2616.47,172.24,NO INFO,,NO,
LTCC_1615,BUILDING,BUILDING,375601.286N,0401007.105E,2500.46,93.50,NO INFO,,NO,
LTCC_1616,BUILDING,BUILDING,375601.757N,0400955.674E,2498.10,83.66,NO INFO,,NO,
LTCC_1617,BUILDING,BUILDING,375600.296N,0401029.279E,2461.38,83.66,NO INFO,,NO,
LTCC_1618,BUILDING,BUILDING,375604.298N,0400844.569E,2616.47,172.24,NO INFO,,NO,
LTCC_1619,BUILDING,BUILDING,375559.153N,0401103.853E,2432.35,83.66,NO INFO,,NO,
LTCC_1620,BUILDING,BUILDING,375602.600N,0400941.886E,2499.41,73.82,NO INFO,,NO,
LTCC_1621,BUILDING,BUILDING,375601.730N,0400956.915E,2496.49,83.66,NO INFO,,NO,
LTCC_1622,BUILDING,BUILDING,375559.676N,0401056.136E,2448.36,93.50,NO INFO,,NO,
LTCC_1623,BUILDING,BUILDING,375559.261N,0401059.792E,2406.23,54.13,NO INFO,,NO,
LTCC_1624,BUILDING,BUILDING,375600.475N,0401031.114E,2459.61,83.66,NO INFO,,NO,
LTCC_1625,BUILDING,BUILDING,375601.510N,0401008.383E,2489.34,83.66,NO INFO,,NO,
LTCC_1626,BUILDING,BUILDING,375600.943N,0401032.229E,2477.89,103.35,NO INFO,,NO,
LTCC_1627,BUILDING,BUILDING,375559.975N,0401051.478E,2452.89,93.50,NO INFO,,NO,
LTCC_1628,BUILDING,BUILDING,375557.645N,0401154.905E,2400.69,93.50,NO INFO,,NO,
LTCC_1629,BUILDING,BUILDING,375559.185N,0401113.848E,2420.18,83.66,NO INFO,,NO,
LTCC_1630,BUILDING,BUILDING,375601.691N,0401009.410E,2488.48,83.66,NO INFO,,NO,
LTCC_1631,BUILDING,BUILDING,375600.724N,0401033.155E,2467.42,93.50,NO INFO,,NO,
LTCC_1632,BUILDING,BUILDING,375602.853N,0400941.593E,2509.84,83.66,NO INFO,,NO,
LTCC_1633,BUILDING,BUILDING,375604.999N,0400842.086E,2616.47,172.24,NO INFO,,NO,
LTCC_1634,BUILDING,BUILDING,375603.719N,0400928.385E,2586.35,152.56,NO INFO,,NO,
LTCC_1635,BUILDING,BUILDING,375602.672N,0400947.342E,2526.90,103.35,NO INFO,,NO,
LTCC_1636,BUILDING,BUILDING,375602.179N,0401006.988E,2501.41,93.50,NO INFO,,NO,
LTCC_1637,BUILDING,BUILDING,375601.915N,0401010.422E,2487.43,83.66,NO INFO,,NO,
LTCC_1638,BUILDING,BUILDING,375602.884N,0400943.918E,2508.83,83.66,NO INFO,,NO,
LTCC_1639,BUILDING,BUILDING,375605.551N,0400839.778E,2616.47,172.24,NO INFO,,NO,
LTCC_1640,BUILDING,BUILDING,375602.002N,0401011.360E,2486.22,83.66,NO INFO,,NO,
LTCC_1641,BUILDING,BUILDING,375603.294N,0400938.749E,2511.48,83.66,NO INFO,,NO,
LTCC_1642,BUILDING,BUILDING,375602.182N,0401012.151E,2485.24,83.66,NO INFO,,NO,
LTCC_1643,BUILDING,BUILDING,375603.494N,0400936.072E,2511.48,83.66,NO INFO,,NO,
LTCC_1644,BUILDING,BUILDING,375602.920N,0400951.426E,2514.21,93.50,NO INFO,,NO,
LTCC_1645,BUILDING,BUILDING,375603.990N,0400924.569E,2595.83,152.56,NO INFO,,NO,
LTCC_1646,BUILDING,BUILDING,375602.346N,0401012.999E,2484.25,83.66,NO INFO,,NO,
LTCC_1647,BUILDING,BUILDING,375602.204N,0401019.165E,2478.67,83.66,NO INFO,,NO,
LTCC_1648,BUILDING,BUILDING,375602.397N,0401013.774E,2483.27,83.66,NO INFO,,NO,
LTCC_1649,BUILDING,BUILDING,375603.614N,0400941.711E,2511.15,83.66,NO INFO,,NO,
LTCC_1650,BUILDING,BUILDING,375603.116N,0400953.879E,2511.12,93.50,NO INFO,,NO,
LTCC_1651,BUILDING,BUILDING,375605.589N,0400846.886E,2616.47,172.24,NO INFO,,NO,
LTCC_1652,BUILDING,BUILDING,375604.321N,0400921.527E,2488.52,44.29,NO INFO,,NO,
LTCC_1653,BUILDING,BUILDING,375602.322N,0401020.614E,2478.67,83.66,NO INFO,,NO,
LTCC_1654,BUILDING,BUILDING,375603.235N,0400954.989E,2509.65,93.50,NO INFO,,NO,
LTCC_1655,BUILDING,BUILDING,375602.614N,0401014.850E,2482.05,83.66,NO INFO,,NO,
LTCC_1656,BUILDING,BUILDING,375600.394N,0401112.730E,2421.69,83.66,NO INFO,,NO,
LTCC_1657,BUILDING,BUILDING,375603.309N,0400956.593E,2507.61,93.50,NO INFO,,NO,
LTCC_1658,BUILDING,BUILDING,375602.536N,0401021.802E,2478.67,83.66,NO INFO,,NO,
LTCC_1659,BUILDING,BUILDING,375603.928N,0400940.340E,2511.48,83.66,NO INFO,,NO,
LTCC_1660,BUILDING,BUILDING,375600.870N,0401103.650E,2431.82,83.66,NO INFO,,NO,
LTCC_1661,BUILDING,BUILDING,375602.597N,0401023.066E,2475.07,83.66,NO INFO,,NO,
LTCC_1662,BUILDING,BUILDING,375605.944N,0400852.383E,2617.59,172.24,NO INFO,,NO,
LTCC_1663,BUILDING,BUILDING,375604.734N,0400923.130E,2488.52,44.29,NO INFO,,NO,
LTCC_1664,BUILDING,BUILDING,375602.708N,0401024.353E,2470.31,83.66,NO INFO,,NO,
LTCC_1665,BUILDING,BUILDING,375603.690N,0401018.348E,2409.78,14.76,NO INFO,,NO,
LTCC_1666,BUILDING,BUILDING,375604.417N,0400941.821E,2511.48,83.66,NO INFO,,NO,
LTCC_1667,BUILDING,BUILDING,375602.826N,0401025.658E,2465.16,83.66,NO INFO,,NO,
LTCC_1668,BUILDING,BUILDING,375601.186N,0401105.401E,2430.15,83.66,NO INFO,,NO,
LTCC_1669,BUILDING,BUILDING,375606.515N,0400851.062E,2619.62,172.24,NO INFO,,NO,
LTCC_1670,BUILDING,BUILDING,375559.779N,0401151.614E,2406.33,83.66,NO INFO,,NO,
LTCC_1671,BUILDING,BUILDING,375603.231N,0401017.332E,2420.28,24.61,NO INFO,,NO,
LTCC_1672,BUILDING,BUILDING,375605.401N,0400928.464E,2585.70,152.56,NO INFO,,NO,
LTCC_1673,BUILDING,BUILDING,375601.467N,0401107.347E,2428.48,83.66,NO INFO,,NO,
LTCC_1674,BUILDING,BUILDING,375603.717N,0401006.736E,2501.44,93.50,NO INFO,,NO,
LTCC_1675,BUILDING,BUILDING,375603.585N,0401018.648E,2409.78,14.76,NO INFO,,NO,
LTCC_1676,BUILDING,BUILDING,375603.614N,0401019.123E,2409.78,14.76,NO INFO,,NO,
LTCC_1677,BUILDING,BUILDING,375603.829N,0401009.176E,2488.78,83.66,NO INFO,,NO,
LTCC_1678,BUILDING,BUILDING,375604.594N,0400951.133E,2515.49,93.50,NO INFO,,NO,
LTCC_1679,BUILDING,BUILDING,375605.579N,0400924.848E,2594.62,152.56,NO INFO,,NO,
LTCC_1680,BUILDING,BUILDING,375607.427N,0400840.679E,2623.52,172.24,NO INFO,,NO,
LTCC_1681,BUILDING,BUILDING,375603.859N,0401008.166E,2499.77,93.50,NO INFO,,NO,
LTCC_1682,BUILDING,BUILDING,375600.050N,0401153.161E,2406.23,83.66,NO INFO,,NO,
LTCC_1683,BUILDING,BUILDING,375601.723N,0401109.182E,2425.82,83.66,NO INFO,,NO,
LTCC_1684,BUILDING,BUILDING,375605.203N,0400941.932E,2511.48,83.66,NO INFO,,NO,
LTCC_1685,BUILDING,BUILDING,375603.955N,0401010.168E,2497.47,93.50,NO INFO,,NO,
