Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT) ,Height (FT),Lighting,Color of Lighting,Group,
LTCC_21,BUILDING,BUILDING,375435.001N,0400906.865E,2436.58,83.66,NO INFO,,NO,
LTCC_22,BUILDING,BUILDING,375434.941N,0400914.757E,2431.10,83.66,NO INFO,,NO,
LTCC_23,BUILDING,BUILDING,375436.119N,0400852.719E,2470.83,103.35,NO INFO,,NO,
LTCC_24,BUILDING,BUILDING,375435.734N,0400916.425E,2431.69,83.66,NO INFO,,NO,
LTCC_25,BUILDING,BUILDING,375436.041N,0400903.898E,2439.96,83.66,NO INFO,,NO,
LTCC_26,BUILDING,BUILDING,375436.717N,0400850.796E,2473.75,103.35,NO INFO,,NO,
LTCC_27,BUILDING,BUILDING,375436.358N,0400914.815E,2432.61,83.66,NO INFO,,NO,
LTCC_28,BUILDING,BUILDING,375434.143N,0401009.655E,2407.02,83.66,NO INFO,,NO,
LTCC_29,BUILDING,BUILDING,375434.520N,0401007.798E,2408.63,83.66,NO INFO,,NO,
LTCC_30,BUILDING,BUILDING,375437.049N,0400857.279E,2466.11,103.35,NO INFO,,NO,
LTCC_31,BUILDING,BUILDING,375437.361N,0400848.975E,2476.64,103.35,NO INFO,,NO,
LTCC_32,BUILDING,BUILDING,375436.984N,0400913.199E,2433.96,83.66,NO INFO,,NO,
LTCC_33,BUILDING,BUILDING,375437.691N,0400853.491E,2471.82,103.35,NO INFO,,NO,
LTCC_34,BUILDING,BUILDING,375438.083N,0400847.090E,2479.53,103.35,NO INFO,,NO,
LTCC_35,BUILDING,BUILDING,375437.679N,0400904.706E,2440.09,83.66,NO INFO,,NO,
LTCC_36,BUILDING,BUILDING,375435.661N,0401006.295E,2410.07,83.66,NO INFO,,NO,
LTCC_37,BUILDING,BUILDING,375435.584N,0401010.252E,2406.76,83.66,NO INFO,,NO,
LTCC_38,BUILDING,BUILDING,375438.195N,0400857.812E,2466.63,103.35,NO INFO,,NO,
LTCC_39,BUILDING,BUILDING,375437.063N,0400958.572E,2419.32,83.66,NO INFO,,NO,
LTCC_40,BUILDING,BUILDING,375439.237N,0400854.263E,2472.21,103.35,NO INFO,,NO,
LTCC_41,BUILDING,BUILDING,375437.391N,0400956.993E,2421.65,83.66,NO INFO,,NO,
LTCC_42,BUILDING,BUILDING,375436.562N,0401020.310E,2409.38,93.50,NO INFO,,NO,
LTCC_43,BUILDING,BUILDING,375439.314N,0400858.382E,2466.63,103.35,NO INFO,,NO,
LTCC_44,BUILDING,BUILDING,375436.826N,0401018.444E,2410.76,93.50,NO INFO,,NO,
LTCC_45,BUILDING,BUILDING,375439.790N,0400847.932E,2480.94,103.35,NO INFO,,NO,
LTCC_46,BUILDING,BUILDING,375437.827N,0400955.281E,2423.92,83.66,NO INFO,,NO,
LTCC_47,BUILDING,BUILDING,375437.031N,0401010.795E,2406.50,83.66,NO INFO,,NO,
LTCC_48,BUILDING,BUILDING,375438.301N,0400953.976E,2425.59,83.66,NO INFO,,NO,
LTCC_49,BUILDING,BUILDING,375437.590N,0401007.071E,2409.78,83.66,NO INFO,,NO,
LTCC_50,BUILDING,BUILDING,375437.775N,0401009.093E,2408.07,83.66,NO INFO,,NO,
LTCC_51,BUILDING,BUILDING,375438.425N,0400959.088E,2418.77,83.66,NO INFO,,NO,
LTCC_52,BUILDING,BUILDING,375437.813N,0401018.798E,2410.93,93.50,NO INFO,,NO,
LTCC_53,BUILDING,BUILDING,375440.441N,0400858.925E,2467.03,103.35,NO INFO,,NO,
LTCC_54,BUILDING,BUILDING,375440.835N,0400855.036E,2472.47,103.35,NO INFO,,NO,
LTCC_55,BUILDING,BUILDING,375441.380N,0400848.639E,2481.46,103.35,NO INFO,,NO,
LTCC_56,BUILDING,BUILDING,375438.654N,0401011.388E,2406.56,83.66,NO INFO,,NO,
LTCC_57,BUILDING,BUILDING,375438.855N,0401004.554E,2421.69,93.50,NO INFO,,NO,
LTCC_58,BUILDING,BUILDING,375439.340N,0401002.111E,2424.25,93.50,NO INFO,,NO,
LTCC_59,BUILDING,BUILDING,375439.682N,0400954.393E,2424.64,83.66,NO INFO,,NO,
LTCC_60,BUILDING,BUILDING,375439.878N,0400959.586E,2417.72,83.66,NO INFO,,NO,
LTCC_61,BUILDING,BUILDING,375441.873N,0400852.350E,2476.80,103.35,NO INFO,,NO,
LTCC_62,BUILDING,BUILDING,375441.803N,0400859.634E,2466.77,103.35,NO INFO,,NO,
LTCC_63,BUILDING,BUILDING,375439.956N,0400956.439E,2421.92,83.66,NO INFO,,NO,
LTCC_64,BUILDING,BUILDING,375442.124N,0400856.020E,2462.57,93.50,NO INFO,,NO,
LTCC_65,BUILDING,BUILDING,375439.760N,0401011.798E,2406.73,83.66,NO INFO,,NO,
LTCC_66,BUILDING,BUILDING,375442.658N,0400854.376E,2465.16,93.50,NO INFO,,NO,
