Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,
LTCP_137,MAST,POLE,374421.18N,0382512.33E,2436.96,29.53,NO,,NO,,,,
LTCP_138,BUILDING,BUILDING,374458.29N,0382527.24E,2370.38,24.61,NO,,NO,,,,
LTCP_139,ELECTRICITY MAST,POLE,374448.81N,0382519.91E,2392.97,42.65,NO,,NO,,,,
LTCP_140,BUILDING,BUILDING,374451.09N,0382528.71E,2369.81,24.61,NO,,NO,,,,
LTCP_141,BUILDING,BUILDING,374449.85N,0382531.57E,2356.45,24.61,NO,,NO,,,,
LTCP_142,BUILDING,BUILDING,374443.84N,0382533.53E,2364.71,24.61,NO,,NO,,,,
LTCP_143,BUILDING,BUILDING,374444.36N,0382535.43E,2349.66,24.61,NO,,NO,,,,
LTCP_144,ELECTRICITY MAST,POLE,375022.99N,0383521.95E,2772.31,49.21,NO,,NO,,,,
LTCP_145,ELECTRICITY MAST,POLE,375022.86N,0383522.62E,2773.92,49.21,NO,,NO,,,,
LTCP_146,ELECTRICITY MAST,POLE,375017.28N,0383524.30E,2772.28,49.21,NO,,NO,,,,
LTCP_147,ELECTRICITY MAST,POLE,375011.17N,0383536.13E,2744.78,49.21,NO,,NO,,,,
LTCP_148,ELECTRICITY MAST,POLE,375013.59N,0383536.12E,2742.62,49.21,NO,,NO,,,,
LTCP_149,ELECTRICITY MAST,POLE,375013.65N,0383541.46E,2727.73,49.21,NO,,NO,,,,
LTCP_150,ELECTRICITY MAST,POLE,375007.76N,0383508.26E,2723.06,49.21,NO,,NO,,,,
LTCP_151,ELECTRICITY MAST,POLE,375009.53N,0383511.63E,2739.47,49.21,NO,,NO,,,,
LTCP_152,ELECTRICITY MAST,POLE,375011.14N,0383516.07E,2745.51,49.21,NO,,NO,,,,
LTCP_153,ELECTRICITY MAST,POLE,374942.35N,0383502.94E,2713.39,49.21,NO,,NO,,,,
LTCP_154,ELECTRICITY MAST,POLE,374941.61N,0383501.84E,2709.59,49.21,NO,,NO,,,,
LTCP_155,ELECTRICITY MAST,POLE,374936.33N,0383503.59E,2702.64,49.21,NO,,NO,,,,
LTCP_156,ELECTRICITY MAST,POLE,374949.57N,0383500.71E,2706.66,49.21,NO,,NO,,,,
LTCP_157,ELECTRICITY MAST,POLE,374949.08N,0383459.64E,2702.60,49.21,NO,,NO,,,,
LTCP_158,ELECTRICITY MAST,POLE,374957.22N,0383458.30E,2726.01,49.21,NO,,NO,,,,
LTCP_159,ELECTRICITY MAST,POLE,374956.71N,0383457.38E,2722.20,49.21,NO,,NO,,,,
