Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,,,,,,,,,,,
LTBS35,WALL,BUILDING,364234.7N,0284712.9E,24,17,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS36,WALL,BUILDING,364330.0N,0284753.7E,30,17,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS37,BUILDING,BUILDING,364352.5N,0284739.1E,50,30,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS38,BUILDING,BUILDING,364341.8N,0284737.2E,30,13,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS39,BUILDING,BUILDING,364214.0N,0284709.0E,29,18,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS40,BUILDING,BUILDING,364245.1N,0284719.6E,30,16,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS41,BUILDING,BUILDING,364159.6N,0284703.0E,30,18,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS42,TWR,BUILDING,364311.9N,0284720.3E,135,115,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS43,TACAN,POLE,364246.2N,0284720.3E,64,51,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS44,GCA,POLE,364251.9N,0284741.8E,20,13,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS45,LIGHT POLE,POLE,364157.1N,0284703.8E,36,28,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS46,LIGHT POLE,POLE,364157.3N,0284702.0E,36,28,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS47,WIND SOCK,POLE,364204.5N,0284713.4E,31,21,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS48,WIND SOCK,POLE,364204.7N,0284714.1E,30,22,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
LTBS49,WIND SOCK,POLE,364332.3N,0284743.9E,41,22,YES,RED,NO,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
