Obstacle_Designator ,AIXM_NAME,Obstacle Type (AIXM),Latitude,Longitude,Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,
LTAW1407,TREE,TREE,401657.74N,0362206.06E,2299.84,32.15,NO INFO,,NO,
LTAW1408,TREE,TREE,401657.69N,0362205.29E,2303.12,31.24,NO INFO,,NO,
LTAW1409,TREE,TREE,401657.82N,0362204.61E,2322.81,53.84,NO INFO,,NO,
LTAW1410,TREE,TREE,401658.19N,0362204.21E,2319.53,56.34,NO INFO,,NO,
LTAW1411,TREE,TREE,401658.68N,0362203.68E,2276.88,24.41,NO INFO,,NO,
LTAW1412,TREE,TREE,401658.81N,0362202.03E,2322.81,57.97,NO INFO,,NO,
LTAW1413,TREE,TREE,401658.91N,0362201.92E,2329.37,66.75,NO INFO,,NO,
LTAW1414,TREE,TREE,401659.19N,0362201.60E,2309.68,52.20,NO INFO,,NO,
LTAW1415,TREE,TREE,401658.51N,0362202.88E,2309.68,36.88,NO INFO,,NO,
LTAW1416,TREE,TREE,401659.16N,0362204.13E,2263.75,24.34,NO INFO,,NO,
LTAW1417,TREE,TREE,401659.03N,0362200.86E,2296.56,37.33,NO INFO,,NO,
LTAW1418,TREE,TREE,401659.09N,0362205.70E,2270.31,37.44,NO INFO,,NO,
LTAW1419,TREE,TREE,401658.95N,0362205.66E,2267.03,30.11,NO INFO,,NO,
LTAW1420,TREE,TREE,401658.83N,0362203.07E,2303.12,44.37,NO INFO,,NO,
LTAW1421,TREE,TREE,401658.50N,0362203.16E,2309.68,37.81,NO INFO,,NO,
LTAW1422,TREE,TREE,401652.45N,0362155.76E,2385.14,44.21,NO INFO,,NO,
LTAW1423,TREE,TREE,401652.52N,0362155.35E,2427.79,86.04,NO INFO,,NO,
LTAW1424,TREE,TREE,401652.63N,0362154.90E,2411.39,69.90,NO INFO,,NO,
LTAW1425,TREE,TREE,401653.47N,0362155.02E,2345.77,27.43,NO INFO,,NO,
LTAW1426,TREE,TREE,401645.92N,0362205.87E,2588.55,26.56,NO INFO,,NO,
LTAW1427,TREE,TREE,401646.07N,0362205.89E,2595.11,36.36,NO INFO,,NO,
LTAW1428,TREE,TREE,401646.63N,0362205.55E,2581.99,32.39,NO INFO,,NO,
LTAW1429,TREE,TREE,401646.89N,0362206.03E,2572.15,32.14,NO INFO,,NO,
LTAW1430,TREE,TREE,401647.24N,0362205.93E,2575.43,36.00,NO INFO,,NO,
LTAW1431,TREE,TREE,401647.14N,0362205.52E,2578.71,35.75,NO INFO,,NO,
LTAW1432,TREE,TREE,401646.84N,0362206.33E,2575.43,33.48,NO INFO,,NO,
LTAW1433,TREE,TREE,401647.05N,0362204.41E,2575.43,25.92,NO INFO,,NO,
LTAW1434,TREE,TREE,401647.07N,0362205.08E,2565.59,19.41,NO INFO,,NO,
LTAW1435,TREE,TREE,401647.37N,0362204.62E,2572.15,26.09,NO INFO,,NO,
LTAW1436,TREE,TREE,401647.82N,0362204.94E,2562.30,24.78,NO INFO,,NO,
LTAW1437,TREE,TREE,401648.05N,0362204.70E,2565.59,31.86,NO INFO,,NO,
LTAW1438,TREE,TREE,401648.20N,0362204.63E,2562.30,32.89,NO INFO,,NO,
LTAW1439,TREE,TREE,401648.41N,0362204.33E,2555.74,32.24,NO INFO,,NO,
LTAW1440,TREE,TREE,401648.67N,0362204.03E,2545.90,27.96,NO INFO,,NO,
LTAW1441,TREE,TREE,401648.74N,0362200.81E,2513.09,24.27,NO INFO,,NO,
LTAW1442,TREE,TREE,401649.12N,0362200.79E,2516.37,29.57,NO INFO,,NO,
LTAW1443,TREE,TREE,401649.79N,0362201.80E,2529.50,34.85,NO INFO,,NO,
LTAW1444,TREE,TREE,401645.45N,0362219.23E,2650.89,57.90,NO INFO,,NO,
LTAW1445,TREE,TREE,401646.11N,0362217.61E,2631.20,61.16,NO INFO,,NO,
LTAW1446,TREE,TREE,401646.39N,0362217.25E,2637.76,75.41,NO INFO,,NO,
LTAW1447,TREE,TREE,401646.41N,0362216.85E,2624.64,67.71,NO INFO,,NO,
LTAW1448,TREE,TREE,401646.23N,0362216.63E,2627.92,72.08,NO INFO,,NO,
LTAW1449,TREE,TREE,401645.89N,0362216.90E,2634.48,72.69,NO INFO,,NO,
LTAW1450,TREE,TREE,401645.74N,0362216.20E,2624.64,66.63,NO INFO,,NO,
LTAW1451,TREE,TREE,401645.90N,0362215.67E,2581.99,36.24,NO INFO,,NO,
LTAW1452,TREE,TREE,401646.29N,0362215.53E,2562.30,30.22,NO INFO,,NO,
LTAW1453,TREE,TREE,401646.92N,0362214.43E,2529.50,33.99,NO INFO,,NO,
LTAW1454,TREE,TREE,401644.73N,0362401.75E,2972.40,61.28,NO INFO,,NO,
LTAW1455,TREE,TREE,401648.42N,0362407.91E,2969.12,27.56,NO INFO,,NO,
LTAW1456,TREE,TREE,401648.19N,0362407.56E,2985.53,46.74,NO INFO,,NO,
LTAW1457,TREE,TREE,401647.99N,0362407.72E,2992.09,46.91,NO INFO,,NO,
LTAW1458,TREE,TREE,401648.14N,0362406.76E,2942.88,26.24,NO INFO,,NO,
LTAW1459,TREE,TREE,401648.73N,0362407.00E,2936.32,24.69,NO INFO,,NO,
LTAW1460,TREE,TREE,401648.03N,0362406.37E,2926.47,22.57,NO INFO,,NO,
LTAW1461,TREE,TREE,401648.03N,0362406.11E,2919.91,24.90,NO INFO,,NO,
LTAW1462,TREE,TREE,401648.32N,0362405.53E,2880.54,25.26,NO INFO,,NO,
LTAW1463,TREE,TREE,401648.24N,0362404.75E,2844.45,21.34,NO INFO,,NO,
LTAW1464,TREE,TREE,401651.50N,0362426.88E,3152.85,58.81,NO INFO,,NO,
LTAW1465,TREE,TREE,401651.60N,0362426.64E,3149.57,59.17,NO INFO,,NO,
LTAW1466,TREE,TREE,401651.03N,0362426.90E,3133.16,27.02,NO INFO,,NO,
LTAW1467,TREE,TREE,401651.33N,0362426.62E,3136.44,39.51,NO INFO,,NO,
LTAW1468,TREE,TREE,401651.75N,0362426.06E,3106.92,27.40,NO INFO,,NO,
LTAW1469,TREE,TREE,401651.03N,0362425.99E,3120.04,29.29,NO INFO,,NO,
LTAW1470,TREE,TREE,401651.52N,0362427.13E,3126.60,31.89,NO INFO,,NO,
LTAW1471,TREE,TREE,401652.04N,0362426.55E,3106.92,27.18,NO INFO,,NO,
LTAW1472,TREE,TREE,401652.12N,0362426.40E,3100.36,24.03,NO INFO,,NO,
LTAW1473,TREE,TREE,401652.30N,0362426.33E,3097.08,27.66,NO INFO,,NO,
LTAW1474,TREE,TREE,401652.39N,0362426.64E,3097.08,27.63,NO INFO,,NO,
LTAW1475,TREE,TREE,401652.66N,0362425.64E,3080.67,36.16,NO INFO,,NO,
LTAW1476,TREE,TREE,401653.11N,0362425.18E,3051.14,27.32,NO INFO,,NO,
LTAW1477,TREE,TREE,401652.96N,0362425.01E,3051.14,26.82,NO INFO,,NO,
LTAW1478,TREE,TREE,401651.33N,0362423.49E,3100.36,68.27,NO INFO,,NO,
LTAW1479,TREE,TREE,401651.61N,0362423.90E,3093.79,62.19,NO INFO,,NO,
LTAW1480,TREE,TREE,401651.49N,0362423.20E,3083.95,50.81,NO INFO,,NO,
LTAW1481,TREE,TREE,401651.89N,0362423.27E,3087.23,55.84,NO INFO,,NO,
LTAW1482,TREE,TREE,401652.26N,0362423.19E,3087.23,59.34,NO INFO,,NO,
LTAW1483,TREE,TREE,401652.56N,0362423.02E,3087.23,63.72,NO INFO,,NO,
LTAW1484,TREE,TREE,401652.95N,0362423.29E,3080.67,68.09,NO INFO,,NO,
LTAW1485,TREE,TREE,401652.86N,0362423.65E,3070.83,54.81,NO INFO,,NO,
LTAW1486,TREE,TREE,401652.23N,0362424.06E,3087.23,58.76,NO INFO,,NO,
LTAW1487,TREE,TREE,401652.60N,0362424.14E,3077.39,54.18,NO INFO,,NO,
LTAW1488,TREE,TREE,401652.99N,0362424.20E,3064.27,50.53,NO INFO,,NO,
LTAW1489,TREE,TREE,401653.18N,0362423.49E,3067.55,61.59,NO INFO,,NO,
LTAW1490,TREE,TREE,401653.43N,0362423.60E,3064.27,62.12,NO INFO,,NO,
LTAW1491,TREE,TREE,401653.68N,0362423.66E,3077.39,78.08,NO INFO,,NO,
LTAW1492,TREE,TREE,401653.84N,0362423.64E,3070.83,72.85,NO INFO,,NO,
LTAW1493,TREE,TREE,401653.93N,0362423.88E,3047.86,51.41,NO INFO,,NO,
LTAW1494,TREE,TREE,401653.78N,0362423.62E,3077.39,78.90,NO INFO,,NO,
LTAW1495,TREE,TREE,401654.75N,0362423.75E,3060.99,70.37,NO INFO,,NO,
LTAW1496,TREE,TREE,401654.95N,0362423.68E,3054.42,64.89,NO INFO,,NO,
LTAW1497,TREE,TREE,401655.08N,0362423.72E,3054.42,65.98,NO INFO,,NO,
LTAW1498,TREE,TREE,401655.31N,0362423.72E,3041.30,54.87,NO INFO,,NO,
LTAW1499,TREE,TREE,401655.47N,0362423.74E,3044.58,59.40,NO INFO,,NO,
LTAW1500,TREE,TREE,401655.63N,0362423.73E,3041.30,57.31,NO INFO,,NO,
LTAW1501,TREE,TREE,401655.93N,0362423.71E,3041.30,59.21,NO INFO,,NO,
LTAW1502,TREE,TREE,401656.26N,0362423.62E,3038.02,57.87,NO INFO,,NO,
LTAW1503,TREE,TREE,401656.51N,0362423.62E,3031.46,52.59,NO INFO,,NO,
LTAW1504,TREE,TREE,401656.70N,0362423.58E,3034.74,56.73,NO INFO,,NO,
LTAW1505,TREE,TREE,401654.78N,0362426.95E,3038.02,29.79,NO INFO,,NO,
LTAW1506,TREE,TREE,401644.29N,0362424.87E,3188.94,53.62,NO INFO,,NO,
LTAW1507,TREE,TREE,401644.50N,0362425.12E,3188.94,56.03,NO INFO,,NO,
LTAW1508,TREE,TREE,401644.87N,0362426.16E,3179.10,37.12,NO INFO,,NO,
LTAW1509,TREE,TREE,401645.04N,0362426.63E,3182.38,31.94,NO INFO,,NO,
LTAW1510,TREE,TREE,401645.41N,0362426.82E,3169.25,19.12,NO INFO,,NO,
LTAW1511,TREE,TREE,401645.13N,0362421.41E,3211.90,37.25,NO INFO,,NO,
LTAW1512,TREE,TREE,401645.01N,0362420.85E,3208.62,23.39,NO INFO,,NO,
LTAW1513,TREE,TREE,401644.97N,0362420.56E,3215.18,30.31,NO INFO,,NO,
LTAW1514,TREE,TREE,401644.95N,0362420.31E,3215.18,27.70,NO INFO,,NO,
LTAW1515,TREE,TREE,401644.89N,0362420.07E,3218.46,28.36,NO INFO,,NO,
LTAW1516,TREE,TREE,401644.80N,0362419.83E,3221.75,29.30,NO INFO,,NO,
LTAW1517,TREE,TREE,401645.30N,0362426.92E,3188.94,35.59,NO INFO,,NO,
LTAW1518,TREE,TREE,401644.76N,0362423.30E,3179.10,26.88,NO INFO,,NO,
LTAW1519,TREE,TREE,401645.08N,0362423.15E,3175.81,24.79,NO INFO,,NO,
LTAW1520,TREE,TREE,401645.53N,0362422.92E,3179.10,27.63,NO INFO,,NO,
LTAW1521,TREE,TREE,401647.42N,0362420.58E,3195.50,25.34,NO INFO,,NO,
LTAW1522,TREE,TREE,401648.81N,0362420.89E,3179.10,29.65,NO INFO,,NO,
LTAW1523,TREE,TREE,401648.33N,0362421.21E,3179.10,25.57,NO INFO,,NO,
LTAW1524,TREE,TREE,401647.94N,0362421.64E,3175.81,22.94,NO INFO,,NO,
LTAW1525,TREE,TREE,401647.30N,0362421.85E,3182.38,25.67,NO INFO,,NO,
LTAW1526,TREE,TREE,401646.88N,0362422.12E,3179.10,23.68,NO INFO,,NO,
LTAW1527,TREE,TREE,401648.36N,0362425.88E,3136.44,23.60,NO INFO,,NO,
LTAW1528,TREE,TREE,401648.57N,0362426.94E,3159.41,22.16,NO INFO,,NO,
LTAW1529,TREE,TREE,401648.31N,0362408.66E,2998.65,35.38,NO INFO,,NO,
LTAW1530,TREE,TREE,401645.31N,0362409.75E,3060.99,64.40,NO INFO,,NO,
LTAW1531,TREE,TREE,401644.93N,0362409.83E,3054.42,52.23,NO INFO,,NO,
LTAW1532,TREE,TREE,401644.67N,0362409.31E,3044.58,57.19,NO INFO,,NO,
LTAW1533,TREE,TREE,401644.87N,0362408.28E,3028.18,55.40,NO INFO,,NO,
LTAW1534,TREE,TREE,401645.58N,0362410.16E,3034.74,29.87,NO INFO,,NO,
LTAW1535,TREE,TREE,401645.82N,0362410.42E,3041.30,30.54,NO INFO,,NO,
LTAW1536,TREE,TREE,401645.67N,0362411.48E,3077.39,36.98,NO INFO,,NO,
LTAW1537,TREE,TREE,401645.69N,0362411.07E,3054.42,29.01,NO INFO,,NO,
LTAW1538,TREE,TREE,401646.30N,0362410.57E,3038.02,25.75,NO INFO,,NO,
LTAW1539,TREE,TREE,401645.03N,0362412.04E,3106.92,39.05,NO INFO,,NO,
LTAW1540,TREE,TREE,401644.95N,0362411.48E,3077.39,28.24,NO INFO,,NO,
LTAW1541,TREE,TREE,401644.57N,0362411.23E,3074.11,25.86,NO INFO,,NO,
LTAW1542,TREE,TREE,401646.70N,0362412.50E,3103.64,30.41,NO INFO,,NO,
LTAW1543,TREE,TREE,401649.01N,0362408.59E,2988.81,29.86,NO INFO,,NO,
LTAW1544,TREE,TREE,401649.05N,0362411.67E,3083.95,24.31,NO INFO,,NO,
LTAW1545,TREE,TREE,401647.41N,0362418.32E,3205.34,29.67,NO INFO,,NO,
LTAW1546,TREE,TREE,401647.70N,0362418.41E,3198.78,26.16,NO INFO,,NO,
LTAW1547,TREE,TREE,401647.86N,0362418.25E,3195.50,25.13,NO INFO,,NO,
LTAW1548,TREE,TREE,401648.06N,0362418.23E,3195.50,26.81,NO INFO,,NO,
LTAW1549,TREE,TREE,401650.48N,0362417.46E,3165.97,27.88,NO INFO,,NO,
LTAW1550,TREE,TREE,401651.02N,0362417.72E,3159.41,26.71,NO INFO,,NO,
LTAW1551,TREE,TREE,401650.97N,0362418.22E,3156.13,23.32,NO INFO,,NO,
LTAW1552,TREE,TREE,401651.10N,0362418.64E,3152.85,21.71,NO INFO,,NO,
LTAW1553,TREE,TREE,401651.53N,0362418.61E,3156.13,27.93,NO INFO,,NO,
LTAW1554,TREE,TREE,401651.62N,0362418.10E,3146.29,17.94,NO INFO,,NO,
LTAW1555,TREE,TREE,401651.35N,0362417.47E,3152.85,22.22,NO INFO,,NO,
LTAW1556,TREE,TREE,401655.83N,0362445.87E,3018.34,30.52,NO INFO,,NO,
LTAW1557,TREE,TREE,401655.95N,0362445.89E,3021.62,34.61,NO INFO,,NO,
LTAW1558,TREE,TREE,401656.31N,0362445.78E,3008.49,22.90,NO INFO,,NO,
LTAW1559,TREE,TREE,401656.44N,0362445.69E,3008.49,23.34,NO INFO,,NO,
LTAW1560,TREE,TREE,401652.60N,0362445.14E,3041.30,24.02,NO INFO,,NO,
LTAW1561,TREE,TREE,401652.86N,0362444.31E,3057.71,35.56,NO INFO,,NO,
LTAW1562,TREE,TREE,401652.98N,0362444.59E,3041.30,23.66,NO INFO,,NO,
LTAW1563,TREE,TREE,401653.33N,0362444.28E,3038.02,21.03,NO INFO,,NO,
LTAW1564,TREE,TREE,401653.48N,0362444.00E,3034.74,16.81,NO INFO,,NO,
LTAW1565,TREE,TREE,401653.62N,0362443.68E,3044.58,25.44,NO INFO,,NO,
LTAW1566,TREE,TREE,401653.90N,0362444.77E,3051.14,43.25,NO INFO,,NO,
LTAW1567,TREE,TREE,401654.14N,0362444.88E,3044.58,39.00,NO INFO,,NO,
LTAW1568,TREE,TREE,401653.91N,0362443.21E,3074.11,54.16,NO INFO,,NO,
LTAW1569,TREE,TREE,401654.04N,0362442.76E,3080.67,57.83,NO INFO,,NO,
LTAW1570,TREE,TREE,401653.81N,0362442.98E,3077.39,54.48,NO INFO,,NO,
LTAW1571,TREE,TREE,401654.88N,0362441.83E,3051.14,27.22,NO INFO,,NO,
LTAW1572,TREE,TREE,401655.02N,0362441.99E,3044.58,23.83,NO INFO,,NO,
LTAW1573,TREE,TREE,401655.48N,0362441.56E,3051.14,30.44,NO INFO,,NO,
LTAW1574,TREE,TREE,401655.97N,0362444.26E,3047.86,50.54,NO INFO,,NO,
LTAW1575,TREE,TREE,401656.00N,0362444.20E,3044.58,47.18,NO INFO,,NO,
LTAW1576,TREE,TREE,401656.12N,0362443.99E,3054.42,56.92,NO INFO,,NO,
LTAW1577,TREE,TREE,401656.15N,0362443.89E,3044.58,46.75,NO INFO,,NO,
LTAW1578,TREE,TREE,401656.13N,0362443.90E,3047.86,49.86,NO INFO,,NO,
LTAW1579,TREE,TREE,401656.28N,0362443.64E,3051.14,52.62,NO INFO,,NO,
LTAW1580,TREE,TREE,401656.31N,0362443.58E,3051.14,52.29,NO INFO,,NO,
LTAW1581,TREE,TREE,401656.37N,0362443.46E,3044.58,45.19,NO INFO,,NO,
LTAW1582,TREE,TREE,401656.40N,0362443.23E,3041.30,40.10,NO INFO,,NO,
LTAW1583,TREE,TREE,401656.46N,0362443.13E,3034.74,32.87,NO INFO,,NO,
LTAW1584,TREE,TREE,401656.50N,0362443.02E,3051.14,48.41,NO INFO,,NO,
LTAW1585,TREE,TREE,401656.90N,0362442.75E,3024.90,22.19,NO INFO,,NO,
LTAW1586,TREE,TREE,401657.51N,0362442.50E,3031.46,30.21,NO INFO,,NO,
LTAW1587,TREE,TREE,401657.63N,0362442.69E,3031.46,33.32,NO INFO,,NO,
LTAW1588,TREE,TREE,401657.57N,0362443.18E,3021.62,27.52,NO INFO,,NO,
LTAW1589,TREE,TREE,401658.01N,0362442.28E,3024.90,24.79,NO INFO,,NO,
LTAW1590,TREE,TREE,401658.24N,0362442.59E,3018.34,22.85,NO INFO,,NO,
LTAW1591,TREE,TREE,401658.37N,0362442.93E,3018.34,27.01,NO INFO,,NO,
LTAW1592,TREE,TREE,401658.63N,0362442.67E,3015.06,23.55,NO INFO,,NO,
LTAW1593,TREE,TREE,401658.23N,0362441.31E,3047.86,42.47,NO INFO,,NO,
LTAW1594,TREE,TREE,401657.80N,0362441.10E,3034.74,24.54,NO INFO,,NO,
LTAW1595,TREE,TREE,401657.98N,0362441.13E,3031.46,22.80,NO INFO,,NO,
LTAW1596,TREE,TREE,401655.81N,0362437.39E,3100.36,60.62,NO INFO,,NO,
LTAW1597,TREE,TREE,401654.64N,0362437.43E,3110.20,55.33,NO INFO,,NO,
LTAW1598,TREE,TREE,401654.78N,0362436.82E,3106.92,55.63,NO INFO,,NO,
LTAW1599,TREE,TREE,401654.88N,0362436.10E,3103.64,56.44,NO INFO,,NO,
LTAW1600,TREE,TREE,401654.39N,0362436.25E,3116.76,59.11,NO INFO,,NO,
LTAW1601,TREE,TREE,401654.31N,0362436.63E,3113.48,53.94,NO INFO,,NO,
LTAW1602,TREE,TREE,401654.41N,0362437.07E,3110.20,51.80,NO INFO,,NO,
LTAW1603,TREE,TREE,401654.32N,0362437.37E,3110.20,49.88,NO INFO,,NO,
LTAW1604,TREE,TREE,401654.44N,0362437.80E,3110.20,51.13,NO INFO,,NO,
LTAW1605,TREE,TREE,401654.45N,0362438.81E,3113.48,55.61,NO INFO,,NO,
LTAW1606,TREE,TREE,401653.91N,0362439.17E,3110.20,49.48,NO INFO,,NO,
LTAW1607,TREE,TREE,401653.16N,0362439.95E,3116.76,59.56,NO INFO,,NO,
LTAW1608,TREE,TREE,401653.08N,0362439.56E,3123.32,61.10,NO INFO,,NO,
LTAW1609,TREE,TREE,401653.12N,0362439.39E,3126.60,62.55,NO INFO,,NO,
LTAW1610,TREE,TREE,401653.79N,0362436.24E,3116.76,48.01,NO INFO,,NO,
LTAW1611,TREE,TREE,401653.61N,0362435.99E,3110.20,37.91,NO INFO,,NO,
LTAW1612,TREE,TREE,401653.30N,0362435.21E,3116.76,36.37,NO INFO,,NO,
LTAW1613,TREE,TREE,401653.17N,0362435.02E,3123.32,42.29,NO INFO,,NO,
LTAW1614,TREE,TREE,401653.28N,0362434.38E,3143.01,69.17,NO INFO,,NO,
LTAW1615,TREE,TREE,401653.28N,0362433.97E,3103.64,32.65,NO INFO,,NO,
LTAW1616,TREE,TREE,401653.15N,0362433.34E,3100.36,32.76,NO INFO,,NO,
LTAW1617,TREE,TREE,401653.59N,0362434.09E,3097.08,32.25,NO INFO,,NO,
LTAW1618,TREE,TREE,401653.90N,0362435.04E,3116.76,49.66,NO INFO,,NO,
LTAW1619,TREE,TREE,401654.52N,0362435.17E,3083.95,32.22,NO INFO,,NO,
LTAW1620,TREE,TREE,401654.70N,0362434.86E,3070.83,29.02,NO INFO,,NO,
LTAW1621,TREE,TREE,401655.10N,0362435.40E,3074.11,34.86,NO INFO,,NO,
LTAW1622,TREE,TREE,401651.88N,0362433.14E,3129.88,39.74,NO INFO,,NO,
LTAW1623,TREE,TREE,401651.84N,0362433.01E,3126.60,36.22,NO INFO,,NO,
LTAW1624,TREE,TREE,401651.72N,0362432.76E,3126.60,34.56,NO INFO,,NO,
LTAW1625,TREE,TREE,401651.80N,0362432.39E,3116.76,29.40,NO INFO,,NO,
LTAW1626,TREE,TREE,401651.63N,0362432.04E,3126.60,33.63,NO INFO,,NO,
LTAW1627,TREE,TREE,401651.82N,0362431.24E,3136.44,51.52,NO INFO,,NO,
LTAW1628,TREE,TREE,401651.67N,0362431.27E,3136.44,44.62,NO INFO,,NO,
LTAW1629,TREE,TREE,401651.68N,0362430.70E,3126.60,33.03,NO INFO,,NO,
LTAW1630,TREE,TREE,401651.73N,0362430.36E,3129.88,36.37,NO INFO,,NO,
LTAW1631,TREE,TREE,401650.67N,0362430.06E,3156.13,36.55,NO INFO,,NO,
LTAW1632,TREE,TREE,401650.94N,0362429.60E,3146.29,33.81,NO INFO,,NO,
LTAW1633,TREE,TREE,401651.08N,0362429.38E,3133.16,23.52,NO INFO,,NO,
LTAW1634,TREE,TREE,401650.99N,0362429.25E,3143.01,31.57,NO INFO,,NO,
LTAW1635,TREE,TREE,401651.22N,0362429.08E,3139.73,33.17,NO INFO,,NO,
LTAW1636,TREE,TREE,401651.47N,0362429.05E,3136.44,35.30,NO INFO,,NO,
LTAW1637,TREE,TREE,401651.18N,0362428.45E,3146.29,39.97,NO INFO,,NO,
LTAW1638,TREE,TREE,401651.69N,0362428.21E,3126.60,31.77,NO INFO,,NO,
LTAW1639,TREE,TREE,401651.57N,0362427.84E,3133.16,33.77,NO INFO,,NO,
LTAW1640,TREE,TREE,401651.52N,0362427.51E,3123.32,27.11,NO INFO,,NO,
LTAW1641,TREE,TREE,401654.06N,0362428.54E,3060.99,31.30,NO INFO,,NO,
LTAW1642,TREE,TREE,401654.12N,0362428.78E,3054.42,25.86,NO INFO,,NO,
LTAW1643,TREE,TREE,401654.14N,0362428.97E,3054.42,26.08,NO INFO,,NO,
LTAW1644,TREE,TREE,401654.17N,0362429.25E,3054.42,26.30,NO INFO,,NO,
LTAW1645,TREE,TREE,401654.27N,0362429.85E,3051.14,24.82,NO INFO,,NO,
LTAW1646,TREE,TREE,401654.56N,0362430.56E,3051.14,31.07,NO INFO,,NO,
LTAW1647,TREE,TREE,401654.93N,0362430.36E,3034.74,20.89,NO INFO,,NO,
LTAW1648,TREE,TREE,401655.23N,0362430.42E,3031.46,22.39,NO INFO,,NO,
LTAW1649,TREE,TREE,401656.39N,0362430.81E,3021.62,28.47,NO INFO,,NO,
LTAW1650,TREE,TREE,401656.41N,0362430.63E,3018.34,26.02,NO INFO,,NO,
LTAW1651,TREE,TREE,401657.39N,0362431.09E,3018.34,34.40,NO INFO,,NO,
LTAW1652,TREE,TREE,401656.59N,0362432.97E,3018.34,23.90,NO INFO,,NO,
LTAW1653,TREE,TREE,401657.11N,0362434.65E,3021.62,23.81,NO INFO,,NO,
LTAW1654,TREE,TREE,401657.32N,0362434.75E,3038.02,43.39,NO INFO,,NO,
LTAW1655,TREE,TREE,401657.05N,0362434.93E,3034.74,32.99,NO INFO,,NO,
LTAW1656,TREE,TREE,401657.68N,0362435.53E,3024.90,28.59,NO INFO,,NO,
LTAW1657,TREE,TREE,401657.62N,0362435.75E,3024.90,24.83,NO INFO,,NO,
LTAW1658,TREE,TREE,401657.33N,0362436.11E,3038.02,29.05,NO INFO,,NO,
LTAW1659,TREE,TREE,401658.64N,0362436.28E,3028.18,36.33,NO INFO,,NO,
LTAW1660,TREE,TREE,401658.52N,0362436.39E,3028.18,34.70,NO INFO,,NO,
LTAW1661,TREE,TREE,401644.14N,0362439.98E,3175.81,29.46,NO INFO,,NO,
LTAW1662,TREE,TREE,401644.20N,0362440.30E,3165.97,22.62,NO INFO,,NO,
LTAW1663,TREE,TREE,401644.55N,0362440.32E,3162.69,28.44,NO INFO,,NO,
LTAW1664,TREE,TREE,401645.12N,0362443.13E,3123.32,24.53,NO INFO,,NO,
LTAW1665,TREE,TREE,401645.76N,0362437.32E,3162.69,25.67,NO INFO,,NO,
LTAW1666,TREE,TREE,401646.07N,0362437.28E,3152.85,18.94,NO INFO,,NO,
LTAW1667,TREE,TREE,401646.25N,0362443.74E,3103.64,25.05,NO INFO,,NO,
LTAW1668,TREE,TREE,401647.04N,0362440.96E,3152.85,56.47,NO INFO,,NO,
LTAW1669,TREE,TREE,401647.10N,0362440.93E,3149.57,53.69,NO INFO,,NO,
LTAW1670,TREE,TREE,401647.21N,0362440.89E,3146.29,50.94,NO INFO,,NO,
LTAW1671,TREE,TREE,401647.60N,0362440.65E,3133.16,38.43,NO INFO,,NO,
LTAW1672,TREE,TREE,401647.80N,0362440.87E,3116.76,27.56,NO INFO,,NO,
LTAW1673,TREE,TREE,401648.28N,0362440.55E,3116.76,29.41,NO INFO,,NO,
LTAW1674,TREE,TREE,401648.49N,0362439.03E,3129.88,30.50,NO INFO,,NO,
LTAW1675,TREE,TREE,401648.32N,0362437.68E,3136.44,24.84,NO INFO,,NO,
LTAW1676,TREE,TREE,401648.73N,0362442.76E,3087.23,22.16,NO INFO,,NO,
LTAW1677,TREE,TREE,401648.02N,0362443.50E,3090.51,25.98,NO INFO,,NO,
LTAW1678,TREE,TREE,401648.32N,0362446.21E,3064.27,24.17,NO INFO,,NO,
LTAW1679,TREE,TREE,401657.85N,0362453.78E,2896.95,25.25,NO INFO,,NO,
LTAW1680,TREE,TREE,401657.58N,0362453.93E,2910.07,35.65,NO INFO,,NO,
LTAW1681,TREE,TREE,401656.36N,0362454.53E,2946.16,60.20,NO INFO,,NO,
LTAW1682,TREE,TREE,401656.31N,0362454.66E,2946.16,58.22,NO INFO,,NO,
LTAW1683,TREE,TREE,401656.35N,0362455.33E,2952.72,54.15,NO INFO,,NO,
LTAW1684,TREE,TREE,401656.42N,0362455.48E,2956.00,55.44,NO INFO,,NO,
LTAW1685,TREE,TREE,401656.44N,0362455.78E,2956.00,50.80,NO INFO,,NO,
LTAW1686,TREE,TREE,401656.39N,0362455.91E,2959.28,51.69,NO INFO,,NO,
LTAW1687,TREE,TREE,401656.42N,0362456.49E,2965.84,50.18,NO INFO,,NO,
LTAW1688,TREE,TREE,401656.23N,0362457.51E,2982.25,50.60,NO INFO,,NO,
LTAW1689,TREE,TREE,401656.22N,0362457.34E,2978.97,50.07,NO INFO,,NO,
LTAW1690,TREE,TREE,401655.88N,0362458.00E,2988.81,49.98,NO INFO,,NO,
LTAW1691,TREE,TREE,401655.86N,0362458.11E,2978.97,38.63,NO INFO,,NO,
LTAW1692,TREE,TREE,401655.82N,0362458.30E,2975.69,32.57,NO INFO,,NO,
LTAW1693,TREE,TREE,401655.75N,0362458.48E,2985.53,39.70,NO INFO,,NO,
LTAW1694,TREE,TREE,401655.63N,0362458.77E,2988.81,39.21,NO INFO,,NO,
LTAW1695,TREE,TREE,401655.63N,0362459.06E,2982.25,28.06,NO INFO,,NO,
LTAW1696,TREE,TREE,401655.55N,0362459.33E,2995.37,37.46,NO INFO,,NO,
