Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_40,BUILDING,BUILDING,375220.789N,0301848.837E,3092.15,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_41,BUILDING,BUILDING,375220.662N,0301849.142E,3093.35,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_42,BUILDING,BUILDING,375220.102N,0301849.316E,3089.59,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_43,BUILDING,BUILDING,375221.259N,0301849.524E,3082.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_44,BUILDING,BUILDING,375221.388N,0301849.262E,3082.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_45,BUILDING,BUILDING,375223.073N,0301848.182E,3091.70,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_46,BUILDING,BUILDING,375222.428N,0301847.064E,3092.15,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_47,BUILDING,BUILDING,375224.261N,0301849.632E,3090.53,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_48,MOSQUE,BUILDING,375224.106N,0301850.119E,3090.60,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_49,MINARET,BUILDING,375224.373N,0301850.018E,3139.60,73.82,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_50,BUILDING,BUILDING,375222.007N,0301848.900E,3092.15,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_51,BUILDING,BUILDING,375221.931N,0301849.559E,3092.15,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_52,BUILDING,BUILDING,375222.749N,0301850.793E,3091.68,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_53,BUILDING,BUILDING,375221.865N,0301850.370E,3102.00,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_54,BUILDING,BUILDING,375221.793N,0301850.793E,3082.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_55,BUILDING,BUILDING,375221.773N,0301851.217E,3082.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_56,BUILDING,BUILDING,375222.339N,0301850.406E,3092.09,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_57,BUILDING,BUILDING,375222.112N,0301850.387E,3082.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_58,BUILDING,BUILDING,375222.349N,0301850.889E,3082.16,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_59,BUILDING,BUILDING,375222.106N,0301850.972E,3082.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_60,BUILDING,BUILDING,375221.915N,0301851.591E,3082.31,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_61,BUILDING,BUILDING,375222.689N,0301849.953E,3091.87,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
