Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_173,BUILDING,BUILDING,375233.394N,0301911.522E,3064.40,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_174,BUILDING,BUILDING,375231.351N,0301856.393E,3093.36,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_175,BUILDING,BUILDING,375137.037N,0302544.640E,3160.68,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_176,BUILDING,BUILDING,375139.758N,0302527.878E,3097.08,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_177,BUILDING,BUILDING,375138.516N,0302525.487E,3092.92,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_178,GSM MAST,POLE,375144.496N,0302516.246E,3215.18,196.85,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_179,GSM MAST,POLE,375145.030N,0302517.782E,3216.30,196.85,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_180,BUILDING,BUILDING,375113.548N,0302515.107E,3034.85,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_181,BUILDING,BUILDING,375114.423N,0302512.608E,2992.59,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_182,BUILDING,BUILDING,375114.413N,0302512.327E,2990.57,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_183,BUILDING,BUILDING,375115.771N,0302516.417E,3035.16,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_184,BUILDING,BUILDING,375117.583N,0302511.592E,2992.86,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_185,BUILDING,BUILDING,375119.749N,0302511.900E,3024.25,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_186,BUILDING,BUILDING,375119.318N,0302510.533E,3002.44,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_187,BUILDING,BUILDING,375121.174N,0302511.806E,3027.51,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_188,BUILDING,BUILDING,375121.991N,0302511.029E,3021.75,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_189,BUILDING,BUILDING,375122.469N,0302513.025E,3033.30,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_190,BUILDING,BUILDING,375123.122N,0302510.064E,3002.85,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_191,MINARET,BUILDING,375123.479N,0302510.201E,3042.10,63.98,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_192,BUILDING,BUILDING,375124.233N,0302509.967E,2998.49,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_193,BUILDING,BUILDING,375124.901N,0302510.240E,2998.39,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_194,BUILDING,BUILDING,375125.049N,0302510.227E,2987.96,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_195,BUILDING,BUILDING,375125.262N,0302510.748E,3001.03,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_196,BUILDING,BUILDING,375125.372N,0302509.134E,2989.49,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_197,BUILDING,BUILDING,375125.855N,0302510.506E,2988.66,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_198,BUILDING,BUILDING,375125.800N,0302510.956E,2992.21,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_199,BUILDING,BUILDING,375122.932N,0302514.387E,3041.39,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_200,BUILDING,BUILDING,375121.941N,0302514.250E,3042.33,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_201,BUILDING,BUILDING,375127.839N,0302514.793E,3031.08,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_202,BUILDING,BUILDING,375126.962N,0302511.139E,2998.67,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_203,BUILDING,BUILDING,375127.295N,0302511.491E,3000.01,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_204,BUILDING,BUILDING,375127.526N,0302511.822E,2992.34,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_205,BUILDING,BUILDING,375127.627N,0302511.182E,2987.13,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_206,BUILDING,BUILDING,375127.810N,0302511.933E,3002.41,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_207,BUILDING,BUILDING,375127.900N,0302511.495E,2999.37,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_208,BUILDING,BUILDING,375127.896N,0302511.282E,2988.61,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_209,BUILDING,BUILDING,375128.132N,0302511.245E,2988.78,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_210,BUILDING,BUILDING,375128.473N,0302511.386E,2989.65,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_211,BUILDING,BUILDING,375128.375N,0302511.736E,2992.36,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_212,BUILDING,BUILDING,375128.752N,0302511.694E,3001.87,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_213,BUILDING,BUILDING,375129.858N,0302511.074E,3000.86,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_214,BUILDING,BUILDING,375131.069N,0302514.776E,3043.43,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_215,BUILDING,BUILDING,375135.257N,0302520.796E,3080.41,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_216,BUILDING,BUILDING,375124.102N,0302521.033E,3091.01,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_217,BUILDING,BUILDING,375124.045N,0302517.797E,3063.27,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_218,BUILDING,BUILDING,375126.163N,0302510.477E,2987.43,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_219,BUILDING,BUILDING,375126.354N,0302509.939E,2982.78,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_220,BUILDING,BUILDING,375126.795N,0302510.022E,2981.96,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_221,BUILDING,BUILDING,375127.477N,0302510.168E,2980.20,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_222,BUILDING,BUILDING,375127.831N,0302510.358E,2980.87,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_223,BUILDING,BUILDING,375128.072N,0302510.610E,2984.06,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_224,BUILDING,BUILDING,375128.264N,0302510.065E,2989.71,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_225,BUILDING,BUILDING,375127.312N,0302509.198E,2983.97,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_226,BUILDING,BUILDING,375127.746N,0302508.711E,2988.75,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_227,BUILDING,BUILDING,375126.206N,0302508.202E,2979.61,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_228,BUILDING,BUILDING,375124.255N,0302509.634E,2986.03,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_229,BUILDING,BUILDING,375123.820N,0302508.842E,3001.08,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_230,BUILDING,BUILDING,375123.150N,0302507.858E,2985.11,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_231,BUILDING,BUILDING,375122.939N,0302508.542E,2980.84,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_232,BUILDING,BUILDING,375122.885N,0302509.025E,2994.53,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_233,BUILDING,BUILDING,375123.134N,0302509.103E,2985.61,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_234,BUILDING,BUILDING,375122.504N,0302508.956E,2994.12,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_235,BUILDING,BUILDING,375122.121N,0302508.931E,3004.25,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_236,BUILDING,BUILDING,375122.154N,0302508.395E,2989.57,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_237,BUILDING,BUILDING,375119.095N,0302507.415E,2985.95,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_238,BUILDING,BUILDING,375118.249N,0302509.446E,2979.04,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_239,BUILDING,BUILDING,375118.255N,0302509.695E,2991.04,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_240,BUILDING,BUILDING,375117.531N,0302509.591E,2985.67,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_241,BUILDING,BUILDING,375117.889N,0302509.805E,2980.16,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_242,BUILDING,BUILDING,375117.342N,0302510.935E,2996.32,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_243,BUILDING,BUILDING,375117.018N,0302510.995E,2985.35,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_244,BUILDING,BUILDING,375117.098N,0302511.284E,2987.91,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_245,BUILDING,BUILDING,375116.117N,0302512.107E,3000.87,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_246,BUILDING,BUILDING,375115.656N,0302511.559E,2996.28,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_247,BUILDING,BUILDING,375115.756N,0302511.941E,2989.51,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_248,BUILDING,BUILDING,375112.929N,0302510.917E,2983.61,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_249,BUILDING,BUILDING,375113.475N,0302508.841E,2986.94,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_250,BUILDING,BUILDING,375114.338N,0302508.407E,2982.19,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_251,BUILDING,BUILDING,375114.356N,0302510.221E,2984.39,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_252,BUILDING,BUILDING,375114.704N,0302510.320E,2983.97,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_253,BUILDING,BUILDING,375115.079N,0302510.054E,2982.01,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_254,BUILDING,BUILDING,375115.881N,0302509.360E,2988.14,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_255,BUILDING,BUILDING,375115.555N,0302510.296E,2985.91,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_256,BUILDING,BUILDING,375239.797N,0302536.565E,3010.13,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_257,BUILDING,BUILDING,375241.640N,0302535.460E,2998.89,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_258,GSM MAST,POLE,375224.169N,0302554.552E,3152.78,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_259,GSM MAST,POLE,375223.981N,0302555.910E,3149.57,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_260,LOW VOLTAGE MAST,POLE,375224.577N,0302555.291E,3098.79,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_261,MEDIUM VOLTAGE MAST,POLE,375224.308N,0302556.184E,3149.57,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_262,LOW VOLTAGE MAST,POLE,375223.639N,0302555.541E,3097.08,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_263,LOW VOLTAGE MAST,POLE,375223.825N,0302555.081E,3097.08,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_264,LOW VOLTAGE MAST,POLE,375224.191N,0302552.844E,3107.06,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_265,LOW VOLTAGE MAST,POLE,375222.926N,0302553.062E,3097.98,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_266,LOW VOLTAGE MAST,POLE,375222.871N,0302553.692E,3100.75,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_267,LOW VOLTAGE MAST,POLE,375222.536N,0302555.407E,3101.88,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_268,LOW VOLTAGE MAST,POLE,375223.307N,0302559.154E,3101.71,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_269,LOW VOLTAGE MAST,POLE,375223.415N,0302604.050E,3109.49,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_270,LOW VOLTAGE MAST,POLE,375222.754N,0302603.249E,3122.14,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_271,LOW VOLTAGE MAST,POLE,375222.325N,0302602.437E,3128.97,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_272,LOW VOLTAGE MAST,POLE,375221.902N,0302605.549E,3128.29,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_273,LOW VOLTAGE MAST,POLE,375221.977N,0302607.342E,3121.42,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_274,LOW VOLTAGE MAST,POLE,375221.898N,0302612.441E,3153.88,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_275,LOW VOLTAGE MAST,POLE,375221.959N,0302614.593E,3181.11,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_276,LOW VOLTAGE MAST,POLE,375222.615N,0302615.206E,3191.60,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_277,LOW VOLTAGE MAST,POLE,375221.683N,0302617.712E,3202.26,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_278,LOW VOLTAGE MAST,POLE,375221.228N,0302621.573E,3202.37,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_279,LOW VOLTAGE MAST,POLE,375222.011N,0302623.125E,3224.48,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_280,LOW VOLTAGE MAST,POLE,375220.674N,0302624.269E,3192.57,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_281,GSM MAST,POLE,375223.415N,0302623.539E,3365.60,131.23,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_282,GSM MAST,POLE,375223.250N,0302627.621E,3295.62,131.23,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_283,LOW VOLTAGE MAST,POLE,375228.898N,0302557.734E,3085.90,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_284,LOW VOLTAGE MAST,POLE,375228.465N,0302557.560E,3091.48,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_285,LOW VOLTAGE MAST,POLE,375228.702N,0302557.180E,3093.40,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_286,MEDIUM VOLTAGE MAST,POLE,375230.328N,0302601.066E,3133.15,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_287,MEDIUM VOLTAGE MAST,POLE,375229.550N,0302600.000E,3133.20,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_288,MEDIUM VOLTAGE MAST,POLE,375228.724N,0302559.728E,3137.34,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_289,LOW VOLTAGE MAST,POLE,375230.509N,0302559.430E,3077.19,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_290,MEDIUM VOLTAGE MAST,POLE,375231.597N,0302554.249E,3128.00,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_291,HIGH VOLTAGE MAST,POLE,374838.049N,0302314.995E,3145.68,131.23,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_292,HIGH VOLTAGE MAST,POLE,374838.397N,0302319.042E,3160.38,131.23,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_293,HIGH VOLTAGE MAST,POLE,374842.777N,0302324.818E,3149.57,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_294,BUILDING,BUILDING,374834.354N,0302331.142E,3196.32,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_295,HIGH VOLTAGE MAST,POLE,374849.731N,0302328.860E,3170.07,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_296,HIGH VOLTAGE MAST,POLE,374846.233N,0302335.501E,3324.83,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_297,HIGH VOLTAGE MAST,POLE,374854.091N,0302339.140E,3286.19,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_298,HIGH VOLTAGE MAST,POLE,374856.792N,0302331.273E,3126.41,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_299,HIGH VOLTAGE MAST,POLE,374903.459N,0302343.129E,3224.84,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_300,HIGH VOLTAGE MAST,POLE,374915.500N,0302348.258E,3141.33,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_301,HIGH VOLTAGE MAST,POLE,374924.927N,0302354.571E,3077.59,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_302,MEDIUM VOLTAGE MAST,POLE,374931.545N,0302403.024E,3087.30,82.02,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_303,HIGH VOLTAGE MAST,POLE,374927.624N,0302351.418E,3036.26,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_304,HIGH VOLTAGE MAST,POLE,374935.643N,0302404.453E,3102.23,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_305,HIGH VOLTAGE MAST,POLE,374958.725N,0302426.920E,3083.95,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_306,HIGH VOLTAGE MAST,POLE,374954.965N,0302426.824E,3106.17,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_307,HIGH VOLTAGE MAST,POLE,375010.299N,0302437.043E,3106.58,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_308,HIGH VOLTAGE MAST,POLE,375016.160N,0302442.416E,3091.30,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_309,HIGH VOLTAGE MAST,POLE,374941.187N,0302409.757E,3127.31,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_310,HIGH VOLTAGE MAST,POLE,374946.467N,0302414.806E,3114.57,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_311,HIGH VOLTAGE MAST,POLE,374952.905N,0302420.976E,3083.95,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_312,HIGH VOLTAGE MAST,POLE,375020.451N,0302446.339E,3083.95,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_313,HIGH VOLTAGE MAST,POLE,375026.802N,0302451.918E,3083.95,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_314,HIGH VOLTAGE MAST,POLE,375033.241N,0302458.028E,3083.95,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_315,HIGH VOLTAGE MAST,POLE,375039.941N,0302504.588E,3110.82,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_316,HIGH VOLTAGE MAST,POLE,375047.011N,0302511.039E,3112.44,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_317,HIGH VOLTAGE MAST,POLE,375056.441N,0302519.924E,3124.10,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_318,HIGH VOLTAGE MAST,POLE,375110.207N,0302532.673E,3346.42,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_319,HIGH VOLTAGE MAST,POLE,375121.963N,0302543.739E,3373.81,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_320,HIGH VOLTAGE MAST,POLE,375135.828N,0302556.471E,3281.60,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_321,HIGH VOLTAGE MAST,POLE,375148.751N,0302608.528E,3392.38,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_322,HIGH VOLTAGE MAST,POLE,375154.701N,0302614.107E,3543.26,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_323,LOW VOLTAGE MAST,POLE,375222.002N,0302550.937E,3098.72,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_324,LOW VOLTAGE MAST,POLE,375222.368N,0302550.079E,3100.22,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_325,LOW VOLTAGE MAST,POLE,375220.909N,0302549.202E,3097.08,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_326,LOW VOLTAGE MAST,POLE,375219.853N,0302548.003E,3096.74,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_327,LOW VOLTAGE MAST,POLE,375217.750N,0302546.195E,3073.75,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_328,LOW VOLTAGE MAST,POLE,375216.468N,0302544.121E,3061.06,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_329,LOW VOLTAGE MAST,POLE,375215.625N,0302546.050E,3071.68,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_330,LOW VOLTAGE MAST,POLE,375213.957N,0302545.057E,3066.34,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_331,LOW VOLTAGE MAST,POLE,375212.420N,0302544.918E,3066.46,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_332,LOW VOLTAGE MAST,POLE,375211.824N,0302543.680E,3062.94,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_333,LOW VOLTAGE MAST,POLE,375210.468N,0302545.203E,3077.59,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_334,LOW VOLTAGE MAST,POLE,375207.087N,0302545.355E,3077.26,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_335,LOW VOLTAGE MAST,POLE,375222.731N,0302559.203E,3107.85,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_336,LOW VOLTAGE MAST,POLE,375222.645N,0302556.786E,3101.63,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_337,LOW VOLTAGE MAST,POLE,375217.890N,0302619.938E,3184.71,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_338,LOW VOLTAGE MAST,POLE,375216.891N,0302622.053E,3182.83,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_339,LOW VOLTAGE MAST,POLE,375215.922N,0302624.131E,3179.10,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_340,LOW VOLTAGE MAST,POLE,375214.993N,0302626.064E,3179.10,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_341,LOW VOLTAGE MAST,POLE,375214.080N,0302627.963E,3175.32,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_342,LOW VOLTAGE MAST,POLE,375155.037N,0302459.918E,2981.52,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_343,LOW VOLTAGE MAST,POLE,375201.179N,0302512.172E,2980.49,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_344,LOW VOLTAGE MAST,POLE,375200.781N,0302516.274E,2997.24,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_345,LOW VOLTAGE MAST,POLE,375200.570N,0302518.496E,3009.10,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
