Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,
LTCB93,BUILDING,BUILDING,405710.30N,0380158.02E,1188.96,34.45,NO INFO,,NO,,,,
LTCB94,BUILDING,BUILDING,405711.49N,0380200.74E,1133.61,34.45,NO INFO,,NO,,,,
LTCB95,BUILDING,BUILDING,405714.09N,0380155.52E,1146.97,44.29,NO INFO,,NO,,,,
LTCB96,BUILDING,BUILDING,405701.94N,0380206.11E,1227.69,34.45,NO INFO,,NO,,,,
LTCB97,BUILDING,BUILDING,405708.92N,0380042.05E,896.87,34.45,NO INFO,,NO,,,,
LTCB98,BUILDING,BUILDING,405627.77N,0380112.37E,1132.28,34.45,NO INFO,,NO,,,,
LTCB99,BUILDING,BUILDING,405751.72N,0380249.62E,307.12,34.45,NO INFO,,NO,,,,
LTCB100,BUILDING,BUILDING,405751.03N,0380252.52E,246.74,34.45,NO INFO,,NO,,,,
LTCB101,BUILDING,BUILDING,405749.37N,0380251.67E,279.77,34.45,NO INFO,,NO,,,,
LTCB102,BUILDING,BUILDING,405749.74N,0380243.31E,382.82,34.45,NO INFO,,NO,,,,
LTCB103,BUILDING,BUILDING,405749.06N,0380246.59E,379.04,34.45,NO INFO,,NO,,,,
LTCB104,BUILDING,BUILDING,405747.77N,0380248.10E,369.85,34.45,NO INFO,,NO,,,,
LTCB105,BUILDING,BUILDING,405746.86N,0380245.38E,403.61,34.45,NO INFO,,NO,,,,
LTCB106,BUILDING,BUILDING,405749.29N,0380245.47E,386.23,34.45,NO INFO,,NO,,,,
LTCB107,BUILDING,BUILDING,405747.75N,0380247.39E,375.51,34.45,NO INFO,,NO,,,,
LTCB108,BUILDING,BUILDING,405751.44N,0380301.36E,175.94,34.45,NO INFO,,NO,,,,
LTCB109,BUILDING,BUILDING,405754.75N,0380331.38E,194.44,93.50,NO INFO,,NO,,,,
LTCB110,BUILDING,BUILDING,405754.92N,0380330.18E,187.52,93.50,NO INFO,,NO,,,,
LTCB111,BUILDING,BUILDING,405754.57N,0380332.62E,202.28,93.50,NO INFO,,NO,,,,
LTCB112,BUILDING,BUILDING,405746.99N,0380333.67E,308.54,34.45,NO INFO,,NO,,,,
LTCB113,BUILDING,BUILDING,405716.74N,0380255.25E,926.60,34.45,NO INFO,,NO,,,,
LTCB114,BUILDING,BUILDING,405714.53N,0380236.53E,1344.76,34.45,NO INFO,,NO,,,,
LTCB115,BUILDING,BUILDING,405706.21N,0380232.55E,1248.34,34.45,NO INFO,,NO,,,,
LTCB116,BUILDING,BUILDING,405701.78N,0380236.23E,1122.90,34.45,NO INFO,,NO,,,,
LTCB117,BUILDING,BUILDING,405700.06N,0380237.72E,1103.70,34.45,NO INFO,,NO,,,,
LTCB118,BUILDING,BUILDING,405656.54N,0380234.12E,1207.45,34.45,NO INFO,,NO,,,,
LTCB119,BUILDING,BUILDING,405654.69N,0380236.20E,1239.06,34.45,NO INFO,,NO,,,,
LTCB120,BUILDING,BUILDING,405659.49N,0380224.41E,1264.28,34.45,NO INFO,,NO,,,,
LTCB121,BUILDING,BUILDING,405652.89N,0380246.16E,1205.45,34.45,NO INFO,,NO,,,,
LTCB122,BUILDING,BUILDING,405654.38N,0380245.86E,1186.49,34.45,NO INFO,,NO,,,,
LTCB123,BUILDING,BUILDING,405651.07N,0380252.92E,994.50,34.45,NO INFO,,NO,,,,
LTCB124,BUILDING,BUILDING,405648.65N,0380252.85E,1031.58,44.29,NO INFO,,NO,,,,
LTCB125,BUILDING,BUILDING,405648.18N,0380253.17E,1018.97,34.45,NO INFO,,NO,,,,
LTCB126,BUILDING,BUILDING,405648.51N,0380253.85E,1004.51,34.45,NO INFO,,NO,,,,
LTCB127,BUILDING,BUILDING,405649.19N,0380256.40E,932.24,34.45,NO INFO,,NO,,,,
LTCB128,BUILDING,BUILDING,405631.88N,0380254.69E,789.89,34.45,NO INFO,,NO,,,,
LTCB129,BUILDING,BUILDING,405633.10N,0380253.82E,824.19,34.45,NO INFO,,NO,,,,
LTCB130,BUILDING,BUILDING,405630.10N,0380254.98E,810.16,34.45,NO INFO,,NO,,,,
LTCB131,BUILDING,BUILDING,405630.09N,0380300.71E,670.07,34.45,NO INFO,,NO,,,,
LTCB132,BUILDING,BUILDING,405634.51N,0380253.50E,826.39,34.45,NO INFO,,NO,,,,
LTCB133,BUILDING,BUILDING,405640.93N,0380256.98E,770.16,34.45,NO INFO,,NO,,,,
LTCB134,BUILDING,BUILDING,405651.67N,0380306.57E,749.38,34.45,NO INFO,,NO,,,,
LTCB135,BUILDING,BUILDING,405652.00N,0380305.35E,772.35,44.29,NO INFO,,NO,,,,
LTCB136,BUILDING,BUILDING,405651.23N,0380305.33E,770.61,34.45,NO INFO,,NO,,,,
LTCB137,BUILDING,BUILDING,405658.39N,0380247.21E,1061.36,44.29,NO INFO,,NO,,,,
LTCB138,BUILDING,BUILDING,405735.27N,0380327.59E,350.56,34.45,NO INFO,,NO,,,,
LTCB139,BUILDING,BUILDING,405735.60N,0380327.67E,337.68,34.45,NO INFO,,NO,,,,
LTCB140,BUILDING,BUILDING,405735.66N,0380320.87E,454.61,34.45,NO INFO,,NO,,,,
LTCB141,BUILDING,BUILDING,405727.48N,0380313.46E,366.63,34.45,NO INFO,,NO,,,,
LTCB142,BUILDING,BUILDING,405721.89N,0380316.17E,339.92,34.45,NO INFO,,NO,,,,
LTCB143,BUILDING,BUILDING,405721.50N,0380313.34E,380.67,34.45,NO INFO,,NO,,,,
LTCB144,BUILDING,BUILDING,405747.16N,0380348.12E,219.54,44.29,NO INFO,,NO,,,,
LTCB145,BUILDING,BUILDING,405745.24N,0380349.49E,266.40,44.29,NO INFO,,NO,,,,
LTCB146,BUILDING,BUILDING,405745.34N,0380347.25E,274.72,34.45,NO INFO,,NO,,,,
LTCB147,BUILDING,BUILDING,405748.62N,0380346.20E,180.95,34.45,NO INFO,,NO,,,,
LTCB148,BUILDING,BUILDING,405739.90N,0380344.30E,285.02,34.45,NO INFO,,NO,,,,
LTCB149,BUILDING,BUILDING,405738.38N,0380344.96E,330.56,44.29,NO INFO,,NO,,,,
LTCB150,BUILDING,BUILDING,405734.91N,0380344.00E,345.85,44.29,NO INFO,,NO,,,,
LTCB151,BUILDING,BUILDING,405733.47N,0380338.42E,283.07,34.45,NO INFO,,NO,,,,
LTCB152,BUILDING,BUILDING,405728.82N,0380343.95E,579.64,34.45,NO INFO,,NO,,,,
LTCB153,BUILDING,BUILDING,405729.11N,0380343.58E,573.32,34.45,NO INFO,,NO,,,,
LTCB154,BUILDING,BUILDING,405721.20N,0380341.82E,622.02,34.45,NO INFO,,NO,,,,
LTCB155,BUILDING,BUILDING,405715.66N,0380335.18E,533.93,34.45,NO INFO,,NO,,,,
LTCB156,BUILDING,BUILDING,405709.52N,0380322.23E,349.68,34.45,NO INFO,,NO,,,,
LTCB157,BUILDING,BUILDING,405708.84N,0380321.95E,353.83,34.45,NO INFO,,NO,,,,
LTCB158,BUILDING,BUILDING,405710.92N,0380323.27E,336.36,34.45,NO INFO,,NO,,,,
LTCB159,BUILDING,BUILDING,405710.22N,0380322.67E,343.51,34.45,NO INFO,,NO,,,,
LTCB160,BUILDING,BUILDING,405703.61N,0380322.25E,403.80,34.45,NO INFO,,NO,,,,
LTCB161,BUILDING,BUILDING,405703.75N,0380324.03E,437.18,34.45,NO INFO,,NO,,,,
LTCB162,BUILDING,BUILDING,405702.85N,0380325.63E,480.17,34.45,NO INFO,,NO,,,,
LTCB163,BUILDING,BUILDING,405702.29N,0380325.31E,473.52,34.45,NO INFO,,NO,,,,
LTCB164,BUILDING,BUILDING,405701.17N,0380326.69E,518.11,34.45,NO INFO,,NO,,,,
LTCB165,BUILDING,BUILDING,405659.57N,0380330.29E,619.42,44.29,NO INFO,,NO,,,,
LTCB166,BUILDING,BUILDING,405653.71N,0380333.43E,612.93,34.45,NO INFO,,NO,,,,
LTCB167,BUILDING,BUILDING,405633.39N,0380329.94E,1065.82,44.29,NO INFO,,NO,,,,
LTCB168,BUILDING,BUILDING,405632.12N,0380331.34E,1094.15,44.29,NO INFO,,NO,,,,
LTCB169,BUILDING,BUILDING,405627.80N,0380336.04E,1080.88,44.29,NO INFO,,NO,,,,
LTCB170,BUILDING,BUILDING,405628.53N,0380334.71E,1061.89,34.45,NO INFO,,NO,,,,
LTCB171,BUILDING,BUILDING,405628.57N,0380336.22E,1073.50,34.45,NO INFO,,NO,,,,
LTCB172,BUILDING,BUILDING,405632.49N,0380332.47E,1070.04,34.45,NO INFO,,NO,,,,
LTCB173,BUILDING,BUILDING,405633.46N,0380331.27E,1063.77,34.45,NO INFO,,NO,,,,
LTCB174,BUILDING,BUILDING,405628.84N,0380333.91E,1058.12,34.45,NO INFO,,NO,,,,
LTCB175,BUILDING,BUILDING,405625.59N,0380336.24E,1089.28,34.45,NO INFO,,NO,,,,
LTCB176,BUILDING,BUILDING,405627.02N,0380336.88E,1085.13,34.45,NO INFO,,NO,,,,
LTCB177,BUILDING,BUILDING,405622.19N,0380336.44E,1111.46,34.45,NO INFO,,NO,,,,
LTCB178,BUILDING,BUILDING,405621.87N,0380337.62E,1129.67,34.45,NO INFO,,NO,,,,
LTCB179,BUILDING,BUILDING,405620.29N,0380338.18E,1129.59,44.29,NO INFO,,NO,,,,
LTCB180,BUILDING,BUILDING,405616.11N,0380336.32E,1126.08,44.29,NO INFO,,NO,,,,
LTCB181,BUILDING,BUILDING,405614.90N,0380332.24E,1012.38,34.45,NO INFO,,NO,,,,
LTCB182,BUILDING,BUILDING,405611.62N,0380342.64E,1209.30,44.29,NO INFO,,NO,,,,
LTCB183,BUILDING,BUILDING,405610.60N,0380338.89E,1178.06,34.45,NO INFO,,NO,,,,
LTCB184,BUILDING,BUILDING,405611.11N,0380340.06E,1198.71,44.29,NO INFO,,NO,,,,
LTCB185,BUILDING,BUILDING,405611.78N,0380340.97E,1198.95,44.29,NO INFO,,NO,,,,
LTCB186,BUILDING,BUILDING,405610.74N,0380340.89E,1205.45,34.45,NO INFO,,NO,,,,
LTCB187,BUILDING,BUILDING,405614.83N,0380345.74E,1195.92,34.45,NO INFO,,NO,,,,
LTCB188,BUILDING,BUILDING,405615.13N,0380347.48E,1221.12,54.13,NO INFO,,NO,,,,
LTCB189,BUILDING,BUILDING,405615.81N,0380346.69E,1195.76,34.45,NO INFO,,NO,,,,
LTCB190,BUILDING,BUILDING,405615.50N,0380348.01E,1217.69,44.29,NO INFO,,NO,,,,
LTCB191,BUILDING,BUILDING,405617.13N,0380346.87E,1208.85,44.29,NO INFO,,NO,,,,
LTCB192,BUILDING,BUILDING,405617.22N,0380347.98E,1215.54,34.45,NO INFO,,NO,,,,
LTCB193,BUILDING,BUILDING,405613.53N,0380347.12E,1199.13,34.45,NO INFO,,NO,,,,
LTCB194,BUILDING,BUILDING,405619.86N,0380346.69E,1215.54,34.45,NO INFO,,NO,,,,
LTCB195,BUILDING,BUILDING,405622.15N,0380345.18E,1215.00,44.29,NO INFO,,NO,,,,
LTCB196,BUILDING,BUILDING,405622.26N,0380352.61E,1215.54,34.45,NO INFO,,NO,,,,
LTCB197,BUILDING,BUILDING,405621.29N,0380352.12E,1221.42,44.29,NO INFO,,NO,,,,
LTCB198,BUILDING,BUILDING,405621.41N,0380350.68E,1225.38,44.29,NO INFO,,NO,,,,
LTCB199,BUILDING,BUILDING,405622.25N,0380351.16E,1225.38,44.29,NO INFO,,NO,,,,
LTCB200,BUILDING,BUILDING,405621.87N,0380351.01E,1215.54,34.45,NO INFO,,NO,,,,
LTCB201,BUILDING,BUILDING,405622.96N,0380353.03E,1211.95,34.45,NO INFO,,NO,,,,
LTCB202,BUILDING,BUILDING,405623.37N,0380351.81E,1224.39,44.29,NO INFO,,NO,,,,
LTCB203,BUILDING,BUILDING,405622.62N,0380351.57E,1215.54,34.45,NO INFO,,NO,,,,
LTCB204,BUILDING,BUILDING,405626.58N,0380356.08E,1164.76,34.45,NO INFO,,NO,,,,
LTCB205,BUILDING,BUILDING,405626.82N,0380353.95E,1182.73,34.45,NO INFO,,NO,,,,
LTCB206,BUILDING,BUILDING,405639.49N,0380401.10E,1126.95,44.29,NO INFO,,NO,,,,
LTCB207,BUILDING,BUILDING,405637.41N,0380400.75E,1129.52,34.45,NO INFO,,NO,,,,
LTCB208,BUILDING,BUILDING,405644.07N,0380358.85E,1050.36,34.45,NO INFO,,NO,,,,
LTCB209,BUILDING,BUILDING,405644.76N,0380400.49E,1064.74,34.45,NO INFO,,NO,,,,
LTCB210,BUILDING,BUILDING,405647.11N,0380402.25E,1027.89,34.45,NO INFO,,NO,,,,
LTCB211,BUILDING,BUILDING,405649.37N,0380400.17E,1028.44,44.29,NO INFO,,NO,,,,
LTCB212,BUILDING,BUILDING,405648.50N,0380401.50E,1018.69,34.45,NO INFO,,NO,,,,
LTCB213,BUILDING,BUILDING,405650.65N,0380358.92E,1001.94,34.45,NO INFO,,NO,,,,
LTCB214,BUILDING,BUILDING,405649.74N,0380359.20E,1007.78,34.45,NO INFO,,NO,,,,
LTCB215,BUILDING,BUILDING,405652.55N,0380405.52E,986.15,34.45,NO INFO,,NO,,,,
LTCB216,BUILDING,BUILDING,405655.87N,0380359.07E,939.58,34.45,NO INFO,,NO,,,,
LTCB217,BUILDING,BUILDING,405702.61N,0380359.51E,1035.38,34.45,NO INFO,,NO,,,,
LTCB218,BUILDING,BUILDING,405704.38N,0380358.53E,1027.54,34.45,NO INFO,,NO,,,,
LTCB219,BUILDING,BUILDING,405704.50N,0380359.53E,1018.16,34.45,NO INFO,,NO,,,,
LTCB220,BUILDING,BUILDING,405709.36N,0380410.55E,903.32,34.45,NO INFO,,NO,,,,
LTCB221,BUILDING,BUILDING,405706.36N,0380350.08E,956.32,34.45,NO INFO,,NO,,,,
LTCB222,BUILDING,BUILDING,405703.50N,0380349.62E,982.94,34.45,NO INFO,,NO,,,,
LTCB223,BUILDING,BUILDING,405705.46N,0380347.58E,916.16,34.45,NO INFO,,NO,,,,
LTCB224,BUILDING,BUILDING,405710.17N,0380340.01E,629.07,34.45,NO INFO,,NO,,,,
LTCB225,BUILDING,BUILDING,405609.74N,0380251.83E,1160.10,44.29,NO INFO,,NO,,,,
LTCB226,BUILDING,BUILDING,405613.05N,0380251.55E,1154.08,34.45,NO INFO,,NO,,,,
LTCB227,BUILDING,BUILDING,405612.68N,0380251.31E,1165.05,34.45,NO INFO,,NO,,,,
LTCB228,BUILDING,BUILDING,405612.75N,0380250.42E,1198.17,34.45,NO INFO,,NO,,,,
LTCB229,BUILDING,BUILDING,405612.37N,0380251.24E,1165.30,34.45,NO INFO,,NO,,,,
LTCB230,BUILDING,BUILDING,405610.77N,0380250.80E,1179.26,34.45,NO INFO,,NO,,,,
LTCB231,BUILDING,BUILDING,405608.54N,0380253.75E,1118.53,34.45,NO INFO,,NO,,,,
