Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationAtTop(FT),Height(FT),Lighting,ColorOfLighting,Group,,,,,,,,
LTBO251,BUILDING,BUILDING,384112.00N,0292459.26E,3107,34,NO INFO,,NO,,,,,,,,
LTBO252,BUILDING,BUILDING,384117.01N,0292450.87E,3256,34,NO INFO,,NO,,,,,,,,
LTBO253,BUILDING,BUILDING,384116.46N,0292453.30E,3218,34,NO INFO,,NO,,,,,,,,
LTBO254,BUILDING,BUILDING,384113.10N,0292446.80E,3250,34,NO INFO,,NO,,,,,,,,
LTBO255,BUILDING,BUILDING,384112.62N,0292446.56E,3250,34,NO INFO,,NO,,,,,,,,
LTBO256,BUILDING,BUILDING,384111.40N,0292449.03E,3225,34,NO INFO,,NO,,,,,,,,
LTBO257,BUILDING,BUILDING,384111.19N,0292449.39E,3223,34,NO INFO,,NO,,,,,,,,
LTBO258,BUILDING,BUILDING,384126.39N,0292538.36E,3184,34,NO INFO,,NO,,,,,,,,
LTBO259,BUILDING,BUILDING,384127.31N,0292536.82E,3218,44,NO INFO,,NO,,,,,,,,
LTBO260,BUILDING,BUILDING,384126.22N,0292534.55E,3224,34,NO INFO,,NO,,,,,,,,
LTBO261,BUILDING,BUILDING,384131.41N,0292525.05E,3296,34,NO INFO,,NO,,,,,,,,
LTBO262,BUILDING,BUILDING,384131.42N,0292532.85E,3275,34,NO INFO,,NO,,,,,,,,
LTBO263,BUILDING,BUILDING,384130.89N,0292534.05E,3262,34,NO INFO,,NO,,,,,,,,
LTBO264,BUILDING,BUILDING,384130.73N,0292535.06E,3248,34,NO INFO,,NO,,,,,,,,
LTBO265,BUILDING,BUILDING,384128.62N,0292535.36E,3232,34,NO INFO,,NO,,,,,,,,
LTBO266,BUILDING,BUILDING,384128.98N,0292535.16E,3236,34,NO INFO,,NO,,,,,,,,
LTBO267,BUILDING,BUILDING,384137.66N,0292507.72E,3217,34,NO INFO,,NO,,,,,,,,
LTBO268,BUILDING,BUILDING,384108.77N,0292445.05E,3231,34,NO INFO,,NO,,,,,,,,
LTBO269,BUILDING,BUILDING,384107.89N,0292445.12E,3224,34,NO INFO,,NO,,,,,,,,
LTBO270,BUILDING,BUILDING,384109.87N,0292450.35E,3217,34,NO INFO,,NO,,,,,,,,
LTBO271,BUILDING,BUILDING,384110.34N,0292450.93E,3214,34,NO INFO,,NO,,,,,,,,
LTBO272,BUILDING,BUILDING,384109.47N,0292449.94E,3219,34,NO INFO,,NO,,,,,,,,
LTBO273,BUILDING,BUILDING,384109.09N,0292449.60E,3221,34,NO INFO,,NO,,,,,,,,
LTBO274,BUILDING,BUILDING,384109.01N,0292451.99E,3199,34,NO INFO,,NO,,,,,,,,
LTBO275,BUILDING,BUILDING,384108.75N,0292451.67E,3210,34,NO INFO,,NO,,,,,,,,
LTBO276,BUILDING,BUILDING,384107.89N,0292450.26E,3217,34,NO INFO,,NO,,,,,,,,
LTBO277,BUILDING,BUILDING,384106.67N,0292448.89E,3218,34,NO INFO,,NO,,,,,,,,
LTBO278,BUILDING,BUILDING,384106.76N,0292447.41E,3221,34,NO INFO,,NO,,,,,,,,
LTBO279,BUILDING,BUILDING,384105.88N,0292449.76E,3218,54,NO INFO,,NO,,,,,,,,
LTBO280,BUILDING,BUILDING,384106.17N,0292457.86E,3101,34,NO INFO,,NO,,,,,,,,
LTBO281,BUILDING,BUILDING,384105.12N,0292457.72E,3095,34,NO INFO,,NO,,,,,,,,
LTBO282,BUILDING,BUILDING,384105.74N,0292456.52E,3107,34,NO INFO,,NO,,,,,,,,
LTBO283,BUILDING,BUILDING,384100.99N,0292454.41E,3088,34,NO INFO,,NO,,,,,,,,
LTBO284,BUILDING,BUILDING,384100.76N,0292455.52E,3086,34,NO INFO,,NO,,,,,,,,
LTBO285,BUILDING,BUILDING,384058.92N,0292456.03E,3069,25,NO INFO,,NO,,,,,,,,
LTBO286,BUILDING,BUILDING,384059.33N,0292456.27E,3058,15,NO INFO,,NO,,,,,,,,
LTBO287,BUILDING,BUILDING,384058.69N,0292454.23E,3093,34,NO INFO,,NO,,,,,,,,
LTBO288,BUILDING,BUILDING,384058.66N,0292453.57E,3098,34,NO INFO,,NO,,,,,,,,
LTBO289,BUILDING,BUILDING,384058.63N,0292452.13E,3112,34,NO INFO,,NO,,,,,,,,
LTBO290,BUILDING,BUILDING,384058.05N,0292455.05E,3089,34,NO INFO,,NO,,,,,,,,
LTBO291,BUILDING,BUILDING,384057.49N,0292455.04E,3099,44,NO INFO,,NO,,,,,,,,
LTBO292,BUILDING,BUILDING,384058.22N,0292456.07E,3057,15,NO INFO,,NO,,,,,,,,
LTBO293,BUILDING,BUILDING,384057.93N,0292456.69E,3061,25,NO INFO,,NO,,,,,,,,
LTBO294,BUILDING,BUILDING,384058.19N,0292456.66E,3052,15,NO INFO,,NO,,,,,,,,
LTBO295,BUILDING,BUILDING,384058.18N,0292457.40E,3058,25,NO INFO,,NO,,,,,,,,
LTBO296,BUILDING,BUILDING,384058.47N,0292457.61E,3057,25,NO INFO,,NO,,,,,,,,
LTBO297,BUILDING,BUILDING,384057.91N,0292457.87E,3062,34,NO INFO,,NO,,,,,,,,
LTBO298,BUILDING,BUILDING,384057.44N,0292457.46E,3054,25,NO INFO,,NO,,,,,,,,
LTBO299,BUILDING,BUILDING,384057.27N,0292457.15E,3059,25,NO INFO,,NO,,,,,,,,
LTBO300,BUILDING,BUILDING,384056.59N,0292456.20E,3077,34,NO INFO,,NO,,,,,,,,
LTBO301,MINARET,BUILDING,384056.33N,0292455.87E,3122,75,NO INFO,,NO,,,,,,,,
LTBO302,BUILDING,BUILDING,384056.16N,0292453.39E,3098,34,NO INFO,,NO,,,,,,,,
LTBO303,BUILDING,BUILDING,384056.61N,0292452.65E,3104,34,NO INFO,,NO,,,,,,,,
LTBO304,BUILDING,BUILDING,384056.18N,0292452.94E,3101,34,NO INFO,,NO,,,,,,,,
LTBO305,BUILDING,BUILDING,384056.50N,0292451.95E,3108,34,NO INFO,,NO,,,,,,,,
LTBO306,BUILDING,BUILDING,384057.43N,0292451.69E,3114,34,NO INFO,,NO,,,,,,,,
LTBO307,BUILDING,BUILDING,384057.90N,0292453.56E,3111,44,NO INFO,,NO,,,,,,,,
LTBO308,BUILDING,BUILDING,384056.87N,0292450.79E,3118,34,NO INFO,,NO,,,,,,,,
LTBO309,BUILDING,BUILDING,384053.13N,0292449.27E,3103,44,NO INFO,,NO,,,,,,,,
LTBO310,BUILDING,BUILDING,384053.08N,0292448.40E,3106,44,NO INFO,,NO,,,,,,,,
LTBO311,BUILDING,BUILDING,384052.84N,0292450.17E,3098,44,NO INFO,,NO,,,,,,,,
LTBO312,BUILDING,BUILDING,384053.22N,0292450.21E,3100,44,NO INFO,,NO,,,,,,,,
LTBO313,BUILDING,BUILDING,384053.63N,0292446.49E,3124,54,NO INFO,,NO,,,,,,,,
LTBO314,BUILDING,BUILDING,384054.20N,0292444.44E,3122,54,NO INFO,,NO,,,,,,,,
LTBO315,BUILDING,BUILDING,384054.76N,0292442.64E,3108,54,NO INFO,,NO,,,,,,,,
LTBO316,BUILDING,BUILDING,384053.79N,0292442.69E,3101,54,NO INFO,,NO,,,,,,,,
LTBO317,BUILDING,BUILDING,384053.03N,0292443.59E,3102,54,NO INFO,,NO,,,,,,,,
LTBO318,BUILDING,BUILDING,384053.07N,0292445.16E,3111,54,NO INFO,,NO,,,,,,,,
LTBO319,BUILDING,BUILDING,384051.95N,0292444.58E,3096,54,NO INFO,,NO,,,,,,,,
LTBO320,BUILDING,BUILDING,384051.82N,0292442.24E,3084,54,NO INFO,,NO,,,,,,,,
LTBO321,BUILDING,BUILDING,384052.99N,0292441.96E,3054,15,NO INFO,,NO,,,,,,,,
LTBO322,BUILDING,BUILDING,384050.75N,0292441.92E,3075,54,NO INFO,,NO,,,,,,,,
LTBO323,BUILDING,BUILDING,384050.73N,0292443.70E,3081,54,NO INFO,,NO,,,,,,,,
LTBO324,BUILDING,BUILDING,384050.74N,0292445.17E,3084,54,NO INFO,,NO,,,,,,,,
LTBO325,BUILDING,BUILDING,384053.02N,0292451.53E,3092,44,NO INFO,,NO,,,,,,,,
LTBO326,BUILDING,BUILDING,384054.17N,0292453.87E,3059,15,NO INFO,,NO,,,,,,,,
LTBO327,BUILDING,BUILDING,384054.58N,0292454.49E,3069,25,NO INFO,,NO,,,,,,,,
LTBO328,BUILDING,BUILDING,384054.68N,0292454.75E,3069,25,NO INFO,,NO,,,,,,,,
LTBO329,BUILDING,BUILDING,384055.14N,0292455.38E,3065,25,NO INFO,,NO,,,,,,,,
LTBO330,BUILDING,BUILDING,384054.67N,0292455.61E,3049,15,NO INFO,,NO,,,,,,,,
LTBO331,BUILDING,BUILDING,384055.31N,0292455.98E,3048,15,NO INFO,,NO,,,,,,,,
LTBO332,BUILDING,BUILDING,384056.17N,0292457.19E,3049,25,NO INFO,,NO,,,,,,,,
LTBO333,BUILDING,BUILDING,384055.64N,0292458.48E,3053,34,NO INFO,,NO,,,,,,,,
LTBO334,BUILDING,BUILDING,384055.38N,0292457.74E,3053,34,NO INFO,,NO,,,,,,,,
LTBO335,BUILDING,BUILDING,384053.26N,0292452.89E,3088,44,NO INFO,,NO,,,,,,,,
LTBO336,BUILDING,BUILDING,384053.36N,0292453.41E,3084,44,NO INFO,,NO,,,,,,,,
LTBO337,BUILDING,BUILDING,384053.43N,0292453.73E,3083,44,NO INFO,,NO,,,,,,,,
LTBO338,BUILDING,BUILDING,384053.57N,0292454.26E,3081,44,NO INFO,,NO,,,,,,,,
LTBO339,BUILDING,BUILDING,384053.71N,0292454.71E,3051,15,NO INFO,,NO,,,,,,,,
LTBO340,BUILDING,BUILDING,384054.05N,0292455.19E,3047,15,NO INFO,,NO,,,,,,,,
LTBO341,BUILDING,BUILDING,384054.22N,0292455.75E,3053,25,NO INFO,,NO,,,,,,,,
LTBO342,BUILDING,BUILDING,384054.03N,0292456.46E,3053,34,NO INFO,,NO,,,,,,,,
LTBO343,BUILDING,BUILDING,384054.47N,0292456.81E,3053,34,NO INFO,,NO,,,,,,,,
LTBO344,BUILDING,BUILDING,384054.41N,0292457.82E,3053,34,NO INFO,,NO,,,,,,,,
LTBO345,BUILDING,BUILDING,384053.73N,0292457.81E,3053,34,NO INFO,,NO,,,,,,,,
LTBO346,BUILDING,BUILDING,384052.92N,0292458.54E,3061,44,NO INFO,,NO,,,,,,,,
LTBO347,BUILDING,BUILDING,384052.38N,0292457.82E,3051,34,NO INFO,,NO,,,,,,,,
LTBO348,BUILDING,BUILDING,384052.12N,0292457.92E,3050,34,NO INFO,,NO,,,,,,,,
LTBO349,BUILDING,BUILDING,384051.82N,0292457.99E,3059,44,NO INFO,,NO,,,,,,,,
LTBO350,BUILDING,BUILDING,384052.32N,0292458.55E,3050,34,NO INFO,,NO,,,,,,,,
LTBO351,BUILDING,BUILDING,384051.70N,0292458.92E,3058,44,NO INFO,,NO,,,,,,,,
LTBO352,BUILDING,BUILDING,384051.50N,0292458.07E,3058,44,NO INFO,,NO,,,,,,,,
LTBO353,BUILDING,BUILDING,384051.16N,0292458.25E,3057,44,NO INFO,,NO,,,,,,,,
LTBO354,BUILDING,BUILDING,384050.83N,0292458.32E,3046,34,NO INFO,,NO,,,,,,,,
LTBO355,BUILDING,BUILDING,384051.12N,0292459.27E,3046,34,NO INFO,,NO,,,,,,,,
LTBO356,BUILDING,BUILDING,384050.66N,0292457.26E,3056,44,NO INFO,,NO,,,,,,,,
LTBO357,BUILDING,BUILDING,384050.69N,0292456.82E,3057,44,NO INFO,,NO,,,,,,,,
LTBO358,BUILDING,BUILDING,384050.80N,0292456.37E,3058,44,NO INFO,,NO,,,,,,,,
LTBO359,BUILDING,BUILDING,384050.77N,0292455.78E,3058,44,NO INFO,,NO,,,,,,,,
LTBO360,BUILDING,BUILDING,384050.78N,0292455.25E,3060,44,NO INFO,,NO,,,,,,,,
LTBO361,BUILDING,BUILDING,384051.34N,0292455.03E,3071,54,NO INFO,,NO,,,,,,,,
LTBO362,BUILDING,BUILDING,384051.54N,0292455.65E,3060,44,NO INFO,,NO,,,,,,,,
LTBO363,BUILDING,BUILDING,384051.66N,0292456.22E,3060,44,NO INFO,,NO,,,,,,,,
LTBO364,BUILDING,BUILDING,384051.73N,0292456.59E,3060,44,NO INFO,,NO,,,,,,,,
LTBO365,BUILDING,BUILDING,384051.80N,0292457.01E,3070,54,NO INFO,,NO,,,,,,,,
LTBO366,BUILDING,BUILDING,384051.26N,0292457.00E,3068,54,NO INFO,,NO,,,,,,,,
LTBO367,BUILDING,BUILDING,384052.77N,0292456.58E,3063,44,NO INFO,,NO,,,,,,,,
LTBO368,BUILDING,BUILDING,384053.27N,0292456.45E,3082,64,NO INFO,,NO,,,,,,,,
LTBO369,BUILDING,BUILDING,384053.03N,0292455.81E,3063,44,NO INFO,,NO,,,,,,,,
LTBO370,BUILDING,BUILDING,384052.42N,0292455.64E,3053,34,NO INFO,,NO,,,,,,,,
LTBO371,BUILDING,BUILDING,384052.44N,0292455.99E,3063,44,NO INFO,,NO,,,,,,,,
LTBO372,BUILDING,BUILDING,384052.25N,0292454.97E,3075,54,NO INFO,,NO,,,,,,,,
LTBO373,BUILDING,BUILDING,384052.55N,0292454.78E,3078,54,NO INFO,,NO,,,,,,,,
LTBO374,BUILDING,BUILDING,384052.41N,0292453.65E,3056,25,NO INFO,,NO,,,,,,,,
LTBO375,BUILDING,BUILDING,384052.25N,0292453.09E,3058,25,NO INFO,,NO,,,,,,,,
LTBO376,BUILDING,BUILDING,384052.24N,0292452.68E,3061,25,NO INFO,,NO,,,,,,,,
LTBO377,BUILDING,BUILDING,384051.68N,0292452.78E,3067,34,NO INFO,,NO,,,,,,,,
LTBO378,BUILDING,BUILDING,384051.16N,0292452.90E,3062,34,NO INFO,,NO,,,,,,,,
LTBO379,BUILDING,BUILDING,384051.56N,0292453.25E,3062,34,NO INFO,,NO,,,,,,,,
LTBO380,BUILDING,BUILDING,384051.21N,0292453.90E,3046,25,NO INFO,,NO,,,,,,,,
LTBO381,BUILDING,BUILDING,384050.67N,0292451.76E,3052,25,NO INFO,,NO,,,,,,,,
LTBO382,BUILDING,BUILDING,384049.62N,0292453.55E,3050,34,NO INFO,,NO,,,,,,,,
LTBO383,BUILDING,BUILDING,384049.02N,0292453.50E,3048,34,NO INFO,,NO,,,,,,,,
LTBO384,BUILDING,BUILDING,384049.07N,0292454.42E,3047,34,NO INFO,,NO,,,,,,,,
LTBO385,BUILDING,BUILDING,384049.41N,0292454.37E,3048,34,NO INFO,,NO,,,,,,,,
LTBO386,BUILDING,BUILDING,384048.17N,0292454.95E,3083,74,NO INFO,,NO,,,,,,,,
LTBO387,BUILDING,BUILDING,384048.75N,0292452.35E,3049,34,NO INFO,,NO,,,,,,,,
LTBO388,BUILDING,BUILDING,384048.65N,0292449.58E,3052,34,NO INFO,,NO,,,,,,,,
LTBO389,BUILDING,BUILDING,384048.55N,0292448.24E,3050,34,NO INFO,,NO,,,,,,,,
LTBO390,BUILDING,BUILDING,384048.54N,0292446.73E,3048,34,NO INFO,,NO,,,,,,,,
LTBO391,BUILDING,BUILDING,384049.15N,0292445.06E,3068,54,NO INFO,,NO,,,,,,,,
LTBO392,BUILDING,BUILDING,384048.24N,0292444.64E,3063,54,NO INFO,,NO,,,,,,,,
LTBO393,BUILDING,BUILDING,384049.35N,0292441.79E,3047,34,NO INFO,,NO,,,,,,,,
LTBO394,BUILDING,BUILDING,384059.58N,0292501.83E,3080,34,NO INFO,,NO,,,,,,,,
LTBO395,BUILDING,BUILDING,384059.45N,0292502.43E,3080,34,NO INFO,,NO,,,,,,,,
LTBO396,BUILDING,BUILDING,384059.36N,0292502.87E,3082,34,NO INFO,,NO,,,,,,,,
LTBO397,BUILDING,BUILDING,384059.90N,0292502.20E,3083,34,NO INFO,,NO,,,,,,,,
LTBO398,BUILDING,BUILDING,384100.81N,0292503.01E,3086,34,NO INFO,,NO,,,,,,,,
LTBO399,BUILDING,BUILDING,384100.61N,0292504.00E,3104,44,NO INFO,,NO,,,,,,,,
LTBO400,BUILDING,BUILDING,384101.24N,0292503.60E,3089,34,NO INFO,,NO,,,,,,,,
LTBO401,BUILDING,BUILDING,384059.70N,0292504.78E,3097,34,NO INFO,,NO,,,,,,,,
LTBO402,BUILDING,BUILDING,384102.22N,0292505.91E,3118,34,NO INFO,,NO,,,,,,,,
LTBO403,BUILDING,BUILDING,384101.49N,0292504.66E,3113,44,NO INFO,,NO,,,,,,,,
LTBO404,BUILDING,BUILDING,384103.08N,0292506.01E,3118,34,NO INFO,,NO,,,,,,,,
LTBO405,BUILDING,BUILDING,384103.46N,0292506.29E,3127,34,NO INFO,,NO,,,,,,,,
LTBO406,BUILDING,BUILDING,384103.86N,0292506.55E,3133,34,NO INFO,,NO,,,,,,,,
LTBO407,BUILDING,BUILDING,384103.58N,0292507.19E,3148,44,NO INFO,,NO,,,,,,,,
LTBO408,BUILDING,BUILDING,384102.12N,0292506.48E,3118,34,NO INFO,,NO,,,,,,,,
LTBO409,BUILDING,BUILDING,384100.29N,0292505.77E,3107,34,NO INFO,,NO,,,,,,,,
LTBO410,BUILDING,BUILDING,384059.93N,0292505.94E,3113,44,NO INFO,,NO,,,,,,,,
LTBO411,BUILDING,BUILDING,384059.33N,0292505.49E,3107,44,NO INFO,,NO,,,,,,,,
LTBO412,BUILDING,BUILDING,384102.16N,0292507.12E,3123,34,NO INFO,,NO,,,,,,,,
LTBO413,BUILDING,BUILDING,384100.89N,0292511.60E,3105,34,NO INFO,,NO,,,,,,,,
LTBO414,BUILDING,BUILDING,384058.96N,0292512.24E,3085,34,NO INFO,,NO,,,,,,,,
LTBO415,BUILDING,BUILDING,384059.07N,0292512.61E,3084,34,NO INFO,,NO,,,,,,,,
LTBO416,BUILDING,BUILDING,384102.91N,0292511.01E,3135,34,NO INFO,,NO,,,,,,,,
LTBO417,BUILDING,BUILDING,384102.91N,0292511.38E,3132,34,NO INFO,,NO,,,,,,,,
LTBO418,BUILDING,BUILDING,384103.15N,0292511.91E,3134,34,NO INFO,,NO,,,,,,,,
LTBO419,BUILDING,BUILDING,384100.01N,0292512.95E,3092,34,NO INFO,,NO,,,,,,,,
LTBO420,BUILDING,BUILDING,384058.92N,0292513.67E,3087,44,NO INFO,,NO,,,,,,,,
LTBO421,BUILDING,BUILDING,384059.09N,0292514.29E,3086,44,NO INFO,,NO,,,,,,,,
LTBO422,BUILDING,BUILDING,384059.89N,0292513.97E,3084,34,NO INFO,,NO,,,,,,,,
LTBO423,BUILDING,BUILDING,384100.56N,0292513.62E,3091,34,NO INFO,,NO,,,,,,,,
LTBO424,BUILDING,BUILDING,384100.52N,0292514.49E,3086,34,NO INFO,,NO,,,,,,,,
LTBO425,BUILDING,BUILDING,384101.43N,0292513.96E,3099,34,NO INFO,,NO,,,,,,,,
LTBO426,BUILDING,BUILDING,384101.49N,0292513.09E,3104,34,NO INFO,,NO,,,,,,,,
LTBO427,BUILDING,BUILDING,384101.17N,0292513.35E,3100,34,NO INFO,,NO,,,,,,,,
LTBO428,BUILDING,BUILDING,384102.30N,0292514.18E,3106,34,NO INFO,,NO,,,,,,,,
LTBO429,BUILDING,BUILDING,384101.94N,0292514.40E,3101,34,NO INFO,,NO,,,,,,,,
LTBO430,BUILDING,BUILDING,384101.49N,0292514.63E,3095,34,NO INFO,,NO,,,,,,,,
LTBO431,BUILDING,BUILDING,384100.68N,0292514.82E,3086,34,NO INFO,,NO,,,,,,,,
LTBO432,BUILDING,BUILDING,384059.65N,0292515.22E,3077,34,NO INFO,,NO,,,,,,,,
LTBO433,BUILDING,BUILDING,384059.35N,0292514.81E,3057,15,NO INFO,,NO,,,,,,,,
LTBO434,BUILDING,BUILDING,384100.17N,0292515.95E,3086,44,NO INFO,,NO,,,,,,,,
LTBO435,BUILDING,BUILDING,384100.39N,0292516.31E,3076,34,NO INFO,,NO,,,,,,,,
LTBO436,BUILDING,BUILDING,384100.50N,0292516.74E,3074,34,NO INFO,,NO,,,,,,,,
LTBO437,BUILDING,BUILDING,384101.19N,0292515.67E,3084,34,NO INFO,,NO,,,,,,,,
LTBO438,BUILDING,BUILDING,384101.96N,0292515.30E,3095,34,NO INFO,,NO,,,,,,,,
LTBO439,BUILDING,BUILDING,384101.66N,0292517.30E,3081,34,NO INFO,,NO,,,,,,,,
LTBO440,BUILDING,BUILDING,384100.70N,0292517.51E,3084,44,NO INFO,,NO,,,,,,,,
LTBO441,BUILDING,BUILDING,384101.18N,0292518.75E,3074,34,NO INFO,,NO,,,,,,,,
LTBO442,BUILDING,BUILDING,384101.82N,0292519.03E,3069,25,NO INFO,,NO,,,,,,,,
LTBO443,BUILDING,BUILDING,384102.37N,0292518.88E,3082,34,NO INFO,,NO,,,,,,,,
LTBO444,BUILDING,BUILDING,384103.52N,0292520.26E,3089,34,NO INFO,,NO,,,,,,,,
LTBO445,BUILDING,BUILDING,384104.06N,0292519.03E,3101,34,NO INFO,,NO,,,,,,,,
LTBO446,BUILDING,BUILDING,384104.29N,0292518.09E,3106,34,NO INFO,,NO,,,,,,,,
LTBO447,BUILDING,BUILDING,384105.11N,0292517.08E,3122,34,NO INFO,,NO,,,,,,,,
LTBO448,BUILDING,BUILDING,384103.77N,0292515.10E,3115,34,NO INFO,,NO,,,,,,,,
LTBO449,BUILDING,BUILDING,384102.88N,0292515.74E,3102,34,NO INFO,,NO,,,,,,,,
LTBO450,BUILDING,BUILDING,384102.69N,0292515.33E,3103,34,NO INFO,,NO,,,,,,,,
LTBO451,BUILDING,BUILDING,384103.41N,0292516.80E,3101,34,NO INFO,,NO,,,,,,,,
LTBO452,BUILDING,BUILDING,384103.21N,0292516.44E,3100,34,NO INFO,,NO,,,,,,,,
LTBO453,BUILDING,BUILDING,384103.49N,0292517.47E,3099,34,NO INFO,,NO,,,,,,,,
LTBO454,BUILDING,BUILDING,384103.62N,0292514.10E,3123,34,NO INFO,,NO,,,,,,,,
LTBO455,BUILDING,BUILDING,384103.98N,0292514.05E,3129,34,NO INFO,,NO,,,,,,,,
LTBO456,BUILDING,BUILDING,384105.02N,0292514.70E,3143,34,NO INFO,,NO,,,,,,,,
LTBO457,BUILDING,BUILDING,384104.91N,0292514.04E,3149,34,NO INFO,,NO,,,,,,,,
LTBO458,BUILDING,BUILDING,384105.28N,0292513.06E,3151,34,NO INFO,,NO,,,,,,,,
LTBO459,BUILDING,BUILDING,384104.92N,0292513.16E,3161,44,NO INFO,,NO,,,,,,,,
LTBO460,BUILDING,BUILDING,384104.86N,0292512.14E,3151,34,NO INFO,,NO,,,,,,,,
LTBO461,BUILDING,BUILDING,384104.80N,0292510.55E,3151,34,NO INFO,,NO,,,,,,,,
LTBO462,BUILDING,BUILDING,384105.70N,0292510.36E,3151,34,NO INFO,,NO,,,,,,,,
LTBO463,BUILDING,BUILDING,384106.65N,0292509.56E,3151,34,NO INFO,,NO,,,,,,,,
LTBO464,BUILDING,BUILDING,384106.87N,0292509.74E,3151,34,NO INFO,,NO,,,,,,,,
LTBO465,BUILDING,BUILDING,384105.75N,0292508.58E,3151,34,NO INFO,,NO,,,,,,,,
LTBO466,BUILDING,BUILDING,384105.75N,0292509.42E,3151,34,NO INFO,,NO,,,,,,,,
LTBO467,BUILDING,BUILDING,384104.72N,0292508.87E,3151,34,NO INFO,,NO,,,,,,,,
LTBO468,BUILDING,BUILDING,384105.29N,0292507.97E,3151,34,NO INFO,,NO,,,,,,,,
LTBO469,BUILDING,BUILDING,384102.02N,0292520.23E,3067,25,NO INFO,,NO,,,,,,,,
LTBO470,BUILDING,BUILDING,384102.23N,0292520.88E,3076,34,NO INFO,,NO,,,,,,,,
LTBO471,BUILDING,BUILDING,384101.76N,0292520.77E,3064,25,NO INFO,,NO,,,,,,,,
LTBO472,BUILDING,BUILDING,384101.77N,0292521.29E,3083,44,NO INFO,,NO,,,,,,,,
LTBO473,BUILDING,BUILDING,384102.10N,0292522.37E,3073,34,NO INFO,,NO,,,,,,,,
LTBO474,BUILDING,BUILDING,384102.40N,0292521.96E,3076,34,NO INFO,,NO,,,,,,,,
LTBO475,BUILDING,BUILDING,384103.02N,0292521.56E,3081,34,NO INFO,,NO,,,,,,,,
LTBO476,BUILDING,BUILDING,384103.19N,0292522.30E,3081,34,NO INFO,,NO,,,,,,,,
LTBO477,BUILDING,BUILDING,384102.65N,0292522.45E,3066,25,NO INFO,,NO,,,,,,,,
LTBO478,BUILDING,BUILDING,384103.49N,0292523.32E,3080,34,NO INFO,,NO,,,,,,,,
LTBO479,BUILDING,BUILDING,384103.65N,0292523.77E,3080,34,NO INFO,,NO,,,,,,,,
LTBO480,BUILDING,BUILDING,384102.49N,0292523.69E,3062,25,NO INFO,,NO,,,,,,,,
LTBO481,BUILDING,BUILDING,384102.76N,0292524.31E,3062,25,NO INFO,,NO,,,,,,,,
LTBO482,BUILDING,BUILDING,384103.05N,0292525.21E,3070,34,NO INFO,,NO,,,,,,,,
LTBO483,BUILDING,BUILDING,384103.89N,0292526.52E,3071,34,NO INFO,,NO,,,,,,,,
LTBO484,BUILDING,BUILDING,384104.47N,0292527.64E,3063,25,NO INFO,,NO,,,,,,,,
LTBO485,BUILDING,BUILDING,384103.64N,0292527.65E,3077,44,NO INFO,,NO,,,,,,,,
LTBO486,BUILDING,BUILDING,384107.65N,0292511.06E,3151,34,NO INFO,,NO,,,,,,,,
LTBO487,BUILDING,BUILDING,384106.71N,0292510.91E,3151,34,NO INFO,,NO,,,,,,,,
LTBO488,BUILDING,BUILDING,384106.24N,0292511.51E,3151,34,NO INFO,,NO,,,,,,,,
LTBO489,BUILDING,BUILDING,384108.99N,0292456.78E,3122,34,NO INFO,,NO,,,,,,,,
LTBO490,BUILDING,BUILDING,384109.21N,0292458.30E,3109,34,NO INFO,,NO,,,,,,,,
LTBO491,BUILDING,BUILDING,384108.51N,0292459.06E,3100,34,NO INFO,,NO,,,,,,,,
LTBO492,BUILDING,BUILDING,384121.28N,0292448.84E,3282,34,NO INFO,,NO,,,,,,,,
LTBO493,BUILDING,BUILDING,384128.61N,0292458.78E,3286,84,NO INFO,,NO,,,,,,,,
LTBO494,BUILDING,BUILDING,384128.95N,0292459.42E,3286,84,NO INFO,,NO,,,,,,,,
LTBO495,BUILDING,BUILDING,384131.80N,0292458.14E,3282,34,NO INFO,,NO,,,,,,,,
LTBO496,BUILDING,BUILDING,384131.10N,0292501.92E,3230,34,NO INFO,,NO,,,,,,,,
LTBO497,BUILDING,BUILDING,384138.84N,0292448.29E,3395,44,NO INFO,,NO,,,,,,,,
LTBO498,BUILDING,BUILDING,384139.85N,0292448.28E,3402,44,NO INFO,,NO,,,,,,,,
LTBO499,BUILDING,BUILDING,384140.86N,0292448.29E,3407,44,NO INFO,,NO,,,,,,,,
LTBO500,BUILDING,BUILDING,384141.71N,0292446.95E,3400,44,NO INFO,,NO,,,,,,,,
LTBO501,BUILDING,BUILDING,384141.65N,0292445.80E,3386,44,NO INFO,,NO,,,,,,,,
LTBO502,BUILDING,BUILDING,384141.58N,0292444.55E,3372,44,NO INFO,,NO,,,,,,,,
LTBO503,BUILDING,BUILDING,384142.48N,0292443.37E,3358,44,NO INFO,,NO,,,,,,,,
LTBO504,BUILDING,BUILDING,384142.88N,0292444.45E,3371,44,NO INFO,,NO,,,,,,,,
LTBO505,BUILDING,BUILDING,384142.99N,0292445.53E,3383,44,NO INFO,,NO,,,,,,,,
LTBO506,BUILDING,BUILDING,384143.02N,0292446.54E,3395,44,NO INFO,,NO,,,,,,,,
LTBO507,BUILDING,BUILDING,384153.27N,0292509.91E,3282,34,NO INFO,,NO,,,,,,,,
