Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationAtTop(FT),Height(FT),Lighting,ColorOfLighting,Group,,,,,,,,
LTBO58,BUILDING,BUILDING,384116.71N,0292310.59E,3347,44,NO INFO,,NO,,,,,,,,
LTBO59,BUILDING,BUILDING,384116.37N,0292310.67E,3336,34,NO INFO,,NO,,,,,,,,
LTBO60,BUILDING,BUILDING,384116.51N,0292308.40E,3339,25,NO INFO,,NO,,,,,,,,
LTBO61,BUILDING,BUILDING,384117.66N,0292306.46E,3368,44,NO INFO,,NO,,,,,,,,
LTBO62,BUILDING,BUILDING,384115.10N,0292306.36E,3346,34,NO INFO,,NO,,,,,,,,
LTBO63,BUILDING,BUILDING,384114.18N,0292306.78E,3312,25,NO INFO,,NO,,,,,,,,
LTBO64,BUILDING,BUILDING,384114.12N,0292306.22E,3313,25,NO INFO,,NO,,,,,,,,
LTBO65,BUILDING,BUILDING,384114.15N,0292305.47E,3316,25,NO INFO,,NO,,,,,,,,
LTBO66,BUILDING,BUILDING,384113.56N,0292305.14E,3306,25,NO INFO,,NO,,,,,,,,
LTBO67,BUILDING,BUILDING,384112.60N,0292305.59E,3311,44,NO INFO,,NO,,,,,,,,
LTBO68,BUILDING,BUILDING,384113.64N,0292303.88E,3313,25,NO INFO,,NO,,,,,,,,
LTBO69,BUILDING,BUILDING,384113.06N,0292302.87E,3310,25,NO INFO,,NO,,,,,,,,
LTBO70,BUILDING,BUILDING,384113.56N,0292303.16E,3317,25,NO INFO,,NO,,,,,,,,
LTBO71,BUILDING,BUILDING,384113.85N,0292303.23E,3321,25,NO INFO,,NO,,,,,,,,
LTBO72,BUILDING,BUILDING,384114.41N,0292303.33E,3326,25,NO INFO,,NO,,,,,,,,
LTBO73,BUILDING,BUILDING,384114.29N,0292302.72E,3318,15,NO INFO,,NO,,,,,,,,
LTBO74,BUILDING,BUILDING,384113.21N,0292302.23E,3314,25,NO INFO,,NO,,,,,,,,
LTBO75,BUILDING,BUILDING,384113.87N,0292301.68E,3333,34,NO INFO,,NO,,,,,,,,
LTBO76,BUILDING,BUILDING,384114.27N,0292301.83E,3329,25,NO INFO,,NO,,,,,,,,
LTBO77,BUILDING,BUILDING,384115.19N,0292300.37E,3360,44,NO INFO,,NO,,,,,,,,
LTBO78,BUILDING,BUILDING,384115.37N,0292259.64E,3360,44,NO INFO,,NO,,,,,,,,
LTBO79,BUILDING,BUILDING,384115.43N,0292258.74E,3337,25,NO INFO,,NO,,,,,,,,
LTBO80,BUILDING,BUILDING,384117.89N,0292302.12E,3367,25,NO INFO,,NO,,,,,,,,
LTBO81,BUILDING,BUILDING,384118.81N,0292302.15E,3381,34,NO INFO,,NO,,,,,,,,
LTBO82,BUILDING,BUILDING,384119.50N,0292301.41E,3381,34,NO INFO,,NO,,,,,,,,
LTBO83,BUILDING,BUILDING,384109.66N,0292545.07E,3086,34,NO INFO,,NO,,,,,,,,
LTBO84,BUILDING,BUILDING,384110.18N,0292546.57E,3086,34,NO INFO,,NO,,,,,,,,
LTBO85,BUILDING,BUILDING,384111.83N,0292547.62E,3093,34,NO INFO,,NO,,,,,,,,
LTBO86,BUILDING,BUILDING,384111.47N,0292545.30E,3086,34,NO INFO,,NO,,,,,,,,
LTBO87,BUILDING,BUILDING,384108.81N,0292544.40E,3086,34,NO INFO,,NO,,,,,,,,
LTBO88,BUILDING,BUILDING,384108.53N,0292545.83E,3086,34,NO INFO,,NO,,,,,,,,
