Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTCJ60,BUILDING,BUILDING,375514.372N,0411002.930E,2367.13,54.13,NO INFO,,NO,
LTCJ61,BUILDING,BUILDING,375515.601N,0411002.966E,2357.28,44.29,NO INFO,,NO,
LTCJ62,BUILDING,BUILDING,375515.699N,0411001.274E,2357.28,44.29,NO INFO,,NO,
LTCJ63,BUILDING,BUILDING,375516.251N,0410958.942E,2357.28,44.29,NO INFO,,NO,
LTCJ64,BUILDING,BUILDING,375517.089N,0410959.452E,2357.28,44.29,NO INFO,,NO,
LTCJ65,BUILDING,BUILDING,375518.026N,0410958.984E,2357.28,44.29,NO INFO,,NO,
LTCJ66,BUILDING,BUILDING,375519.568N,0410957.988E,2367.13,54.13,NO INFO,,NO,
LTCJ67,BUILDING,BUILDING,375521.331N,0410958.105E,2368.80,54.13,NO INFO,,NO,
LTCJ68,BUILDING,BUILDING,375520.658N,0411000.119E,2367.72,54.13,NO INFO,,NO,
LTCJ69,BUILDING,BUILDING,375519.027N,0411000.714E,2367.13,54.13,NO INFO,,NO,
LTCJ70,BUILDING,BUILDING,375517.834N,0411001.597E,2367.13,54.13,NO INFO,,NO,
LTCJ71,BUILDING,BUILDING,375516.654N,0411000.674E,2357.28,44.29,NO INFO,,NO,
LTCJ72,BUILDING,BUILDING,375516.641N,0411002.397E,2357.28,44.29,NO INFO,,NO,
LTCJ73,BUILDING,BUILDING,375517.706N,0411003.494E,2367.13,54.13,NO INFO,,NO,
LTCJ74,BUILDING,BUILDING,375519.464N,0411004.300E,2367.13,54.13,NO INFO,,NO,
LTCJ75,BUILDING,BUILDING,375521.058N,0411005.026E,2371.68,54.13,NO INFO,,NO,
LTCJ76,BUILDING,BUILDING,375522.682N,0411005.547E,2376.12,54.13,NO INFO,,NO,
LTCJ77,BUILDING,BUILDING,375522.632N,0411003.398E,2377.92,54.13,NO INFO,,NO,
LTCJ78,BUILDING,BUILDING,375522.566N,0411001.586E,2377.37,54.13,NO INFO,,NO,
LTCJ79,BUILDING,BUILDING,375522.269N,0410959.491E,2374.63,54.13,NO INFO,,NO,
LTCJ80,BUILDING,BUILDING,375520.191N,0411002.523E,2367.13,54.13,NO INFO,,NO,
LTCJ81,BUILDING,BUILDING,375544.488N,0411009.056E,2406.50,44.29,NO INFO,,NO,
LTCJ82,BUILDING,BUILDING,375550.865N,0411014.665E,2413.06,34.45,NO INFO,,NO,
LTCJ83,BUILDING,BUILDING,375552.124N,0411015.729E,2413.06,34.45,NO INFO,,NO,
LTCJ84,BUILDING,BUILDING,375555.185N,0411016.986E,2414.66,34.45,NO INFO,,NO,
LTCJ85,BUILDING,BUILDING,375557.380N,0411020.282E,2436.39,44.29,NO INFO,,NO,
LTCJ86,BUILDING,BUILDING,375559.764N,0411019.117E,2420.23,34.45,NO INFO,,NO,
LTCJ87,BUILDING,BUILDING,375558.644N,0411018.052E,2414.46,34.45,NO INFO,,NO,
LTCJ88,BUILDING,BUILDING,375603.079N,0411020.784E,2421.89,34.45,NO INFO,,NO,
LTCJ89,BUILDING,BUILDING,375510.304N,0410923.537E,2222.30,103.35,NO INFO,,NO,
LTCJ90,BUILDING,BUILDING,375512.136N,0410924.150E,2198.69,103.35,NO INFO,,NO,
LTCJ91,BUILDING,BUILDING,375510.994N,0410926.097E,2235.71,103.35,NO INFO,,NO,
LTCJ92,BUILDING,BUILDING,375512.869N,0410926.670E,2240.80,103.35,NO INFO,,NO,
LTCJ93,BUILDING,BUILDING,375521.038N,0410926.159E,2232.61,34.45,NO INFO,,NO,
LTCJ94,BUILDING,BUILDING,375511.557N,0410933.363E,2199.80,34.45,NO INFO,,NO,
LTCJ95,BUILDING,BUILDING,375504.142N,0410928.915E,2196.52,63.98,NO INFO,,NO,
LTCJ96,BUILDING,BUILDING,375455.935N,0410927.999E,2164.89,54.13,NO INFO,,NO,
LTCJ97,BUILDING,BUILDING,375455.087N,0410926.613E,2167.29,54.13,NO INFO,,NO,
LTCJ98,BUILDING,BUILDING,375454.098N,0410925.041E,2155.98,54.13,NO INFO,,NO,
LTCJ99,BUILDING,BUILDING,375456.680N,0410925.911E,2183.40,83.66,NO INFO,,NO,
LTCJ100,BUILDING,BUILDING,375456.493N,0410923.556E,2173.63,83.66,NO INFO,,NO,
LTCJ101,BUILDING,BUILDING,375456.002N,0410921.652E,2164.24,83.66,NO INFO,,NO,
LTCJ102,BUILDING,BUILDING,375455.212N,0410919.767E,2153.51,83.66,NO INFO,,NO,
LTCJ103,BUILDING,BUILDING,375501.121N,0410925.036E,2149.39,34.45,NO INFO,,NO,
LTCJ104,BUILDING,BUILDING,375501.004N,0410924.162E,2144.09,34.45,NO INFO,,NO,
LTCJ105,BUILDING,BUILDING,375500.292N,0410916.940E,2090.59,34.45,NO INFO,,NO,
LTCJ106,BUILDING,BUILDING,375459.040N,0410910.927E,2088.22,54.13,NO INFO,,NO,
LTCJ107,BUILDING,BUILDING,375504.025N,0410914.798E,2098.67,34.45,NO INFO,,NO,
LTCJ108,BUILDING,BUILDING,375506.280N,0410915.970E,2150.59,34.45,NO INFO,,NO,
LTCJ109,BUILDING,BUILDING,375506.268N,0410916.833E,2150.59,34.45,NO INFO,,NO,
LTCJ110,BUILDING,BUILDING,375506.056N,0410917.874E,2150.59,34.45,NO INFO,,NO,
LTCJ111,BUILDING,BUILDING,375505.948N,0410918.711E,2150.59,34.45,NO INFO,,NO,
LTCJ112,BUILDING,BUILDING,375505.853N,0410919.723E,2150.59,34.45,NO INFO,,NO,
LTCJ113,BUILDING,BUILDING,375505.765N,0410920.506E,2150.59,34.45,NO INFO,,NO,
LTCJ114,BUILDING,BUILDING,375507.008N,0410919.958E,2139.64,34.45,NO INFO,,NO,
LTCJ115,BUILDING,BUILDING,375508.171N,0410915.249E,2140.83,34.45,NO INFO,,NO,
LTCJ116,BUILDING,BUILDING,375507.985N,0410915.737E,2140.29,34.45,NO INFO,,NO,
LTCJ117,BUILDING,BUILDING,375508.390N,0410911.971E,2156.82,44.29,NO INFO,,NO,
LTCJ118,BUILDING,BUILDING,375508.301N,0410912.552E,2160.43,44.29,NO INFO,,NO,
LTCJ119,BUILDING,BUILDING,375511.096N,0410918.133E,2134.19,34.45,NO INFO,,NO,
LTCJ120,BUILDING,BUILDING,375506.316N,0410906.027E,2111.22,44.29,NO INFO,,NO,
LTCJ121,BUILDING,BUILDING,375502.298N,0410905.587E,2053.03,14.76,NO INFO,,NO,
LTCJ122,BUILDING,BUILDING,375502.046N,0410904.999E,2051.08,14.76,NO INFO,,NO,
LTCJ123,BUILDING,BUILDING,375501.642N,0410905.155E,2055.50,24.61,NO INFO,,NO,
LTCJ124,BUILDING,BUILDING,375501.103N,0410905.595E,2042.51,14.76,NO INFO,,NO,
LTCJ125,BUILDING,BUILDING,375501.470N,0410905.953E,2044.87,14.76,NO INFO,,NO,
LTCJ126,BUILDING,BUILDING,375501.764N,0410906.500E,2047.37,14.76,NO INFO,,NO,
LTCJ127,BUILDING,BUILDING,375501.051N,0410906.634E,2063.26,34.45,NO INFO,,NO,
LTCJ128,BUILDING,BUILDING,375500.254N,0410906.985E,2040.34,14.76,NO INFO,,NO,
LTCJ129,BUILDING,BUILDING,375501.005N,0410908.211E,2047.07,14.76,NO INFO,,NO,
LTCJ130,BUILDING,BUILDING,375458.980N,0410908.517E,2038.89,14.76,NO INFO,,NO,
LTCJ131,BUILDING,BUILDING,375458.778N,0410906.688E,2053.20,34.45,NO INFO,,NO,
LTCJ132,BUILDING,BUILDING,375458.427N,0410905.873E,2040.73,24.61,NO INFO,,NO,
LTCJ133,BUILDING,BUILDING,375458.356N,0410905.228E,2048.62,34.45,NO INFO,,NO,
LTCJ134,BUILDING,BUILDING,375459.507N,0410905.059E,2051.55,34.45,NO INFO,,NO,
LTCJ135,BUILDING,BUILDING,375459.668N,0410906.093E,2064.86,44.29,NO INFO,,NO,
LTCJ136,BUILDING,BUILDING,375500.367N,0410905.649E,2037.65,14.76,NO INFO,,NO,
LTCJ137,BUILDING,BUILDING,375457.277N,0410906.109E,2030.76,14.76,NO INFO,,NO,
LTCJ138,BUILDING,BUILDING,375451.799N,0410904.013E,2052.17,34.45,NO INFO,,NO,
LTCJ139,BUILDING,BUILDING,375452.225N,0410902.967E,2059.42,44.29,NO INFO,,NO,
LTCJ140,BUILDING,BUILDING,375451.469N,0410904.948E,2062.45,44.29,NO INFO,,NO,
LTCJ141,BUILDING,BUILDING,375453.827N,0410904.946E,2049.65,34.45,NO INFO,,NO,
LTCJ142,BUILDING,BUILDING,375453.666N,0410907.657E,2069.96,44.29,NO INFO,,NO,
LTCJ143,BUILDING,BUILDING,375453.749N,0410906.537E,2055.00,34.45,NO INFO,,NO,
LTCJ144,BUILDING,BUILDING,375453.554N,0410908.157E,2063.30,34.45,NO INFO,,NO,
LTCJ145,BUILDING,BUILDING,375449.618N,0410907.366E,2076.26,44.29,NO INFO,,NO,
LTCJ146,BUILDING,BUILDING,375451.433N,0410909.341E,2068.57,34.45,NO INFO,,NO,
LTCJ147,BUILDING,BUILDING,375452.267N,0410909.447E,2079.17,44.29,NO INFO,,NO,
LTCJ148,BUILDING,BUILDING,375452.818N,0410910.083E,2074.89,34.45,NO INFO,,NO,
LTCJ149,BUILDING,BUILDING,375453.758N,0410910.120E,2082.60,44.29,NO INFO,,NO,
LTCJ150,BUILDING,BUILDING,375447.247N,0410911.976E,2110.04,73.82,NO INFO,,NO,
LTCJ151,BUILDING,BUILDING,375448.182N,0410912.511E,2113.87,73.82,NO INFO,,NO,
LTCJ152,BUILDING,BUILDING,375449.064N,0410915.958E,2139.43,73.82,NO INFO,,NO,
LTCJ153,BUILDING,BUILDING,375448.596N,0410917.044E,2140.75,73.82,NO INFO,,NO,
LTCJ154,BUILDING,BUILDING,375449.912N,0410917.343E,2151.34,73.82,NO INFO,,NO,
LTCJ155,BUILDING,BUILDING,375450.447N,0410918.371E,2164.97,73.82,NO INFO,,NO,
LTCJ156,BUILDING,BUILDING,375451.841N,0410918.050E,2170.98,73.82,NO INFO,,NO,
LTCJ157,BUILDING,BUILDING,375452.581N,0410916.460E,2146.69,73.82,NO INFO,,NO,
LTCJ158,BUILDING,BUILDING,375452.156N,0410914.730E,2140.75,73.82,NO INFO,,NO,
LTCJ159,BUILDING,BUILDING,375451.879N,0410916.634E,2151.36,73.82,NO INFO,,NO,
LTCJ160,BUILDING,BUILDING,375450.836N,0410920.681E,2181.63,73.82,NO INFO,,NO,
LTCJ161,BUILDING,BUILDING,375450.019N,0410920.184E,2176.80,73.82,NO INFO,,NO,
LTCJ162,BUILDING,BUILDING,375448.107N,0410921.929E,2170.93,63.98,NO INFO,,NO,
LTCJ163,BUILDING,BUILDING,375447.532N,0410921.078E,2163.71,63.98,NO INFO,,NO,
