Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,
LTBA78,BUILDING,BUILDING,410039.662N,0284911.018E,276.5,93.50,NO INFO,,NO,,,,,
LTBA79,BUILDING,BUILDING,410040.259N,0284913.767E,256.2,63.97,NO INFO,,NO,,,,,
LTBA80,BUILDING,BUILDING,410041.100N,0284914.541E,271.4,63.97,NO INFO,,NO,,,,,
LTBA81,BUILDING,BUILDING,410040.953N,0284915.830E,290.1,63.97,NO INFO,,NO,,,,,
LTBA82,BUILDING,BUILDING,410042.292N,0284910.580E,275.4,93.50,NO INFO,,NO,,,,,
LTBA83,BUILDING,BUILDING,410042.870N,0284911.972E,288.2,93.50,NO INFO,,NO,,,,,
LTBA84,BUILDING,BUILDING,410043.449N,0284913.302E,299.5,93.50,NO INFO,,NO,,,,,
LTBA85,BUILDING,BUILDING,410043.989N,0284914.641E,305.3,93.50,NO INFO,,NO,,,,,
LTBA86,BUILDING,BUILDING,410046.590N,0284923.536E,288.2,14.76,NO INFO,,NO,,,,,
LTBA87,MOSQUE,BUILDING,410043.690N,0284925.062E,301.7,24.60,NO INFO,,NO,,,,,
LTBA88,MINARET,BUILDING,410043.553N,0284924.755E,344.7,68.89,YES,RED,NO,,,,,
LTBA89,BUILDING,BUILDING,410043.206N,0284924.683E,289.7,14.76,NO INFO,,NO,,,,,
LTBA90,BUILDING,BUILDING,410029.623N,0284758.180E,276.9,14.76,NO INFO,,NO,,,,,
LTBA91,BUILDING,BUILDING,410035.377N,0284758.147E,286.7,14.76,NO INFO,,NO,,,,,
LTBA92,MOSQUE,BUILDING,410037.809N,0284759.451E,304.1,34.44,NO INFO,,NO,,,,,
LTBA93,BUILDING,BUILDING,410038.219N,0284759.123E,286.7,14.76,NO INFO,,NO,,,,,
LTBA94,BUILDING,BUILDING,410038.074N,0284758.500E,289.3,14.76,NO INFO,,NO,,,,,
LTBA99,BUILDING,BUILDING,410033.821N,0284941.780E,263.7,14.76,NO INFO,,NO,,,,,
LTBA100,BUILDING,BUILDING,410034.097N,0284941.419E,264.4,14.76,NO INFO,,NO,,,,,
LTBA101,BUILDING,BUILDING,410029.902N,0284956.551E,267.6,24.60,NO INFO,,NO,,,,,
LTBA102,MOSQUE,BUILDING,410029.543N,0284956.808E,295.1,54.13,NO INFO,,NO,,,,,
LTBA103,BUILDING,BUILDING,410029.384N,0284956.190E,257.2,14.76,NO INFO,,NO,,,,,
LTBA104,BUILDING,BUILDING,410037.518N,0284948.396E,284.6,24.60,NO INFO,,NO,,,,,
LTBA105,BUILDING,BUILDING,410035.989N,0284952.637E,280.3,24.60,NO INFO,,NO,,,,,
LTBA106,BUILDING,BUILDING,410035.467N,0284951.953E,281.7,24.60,NO INFO,,NO,,,,,
LTBA107,BUILDING,BUILDING,410037.908N,0284950.415E,272.9,14.76,NO INFO,,NO,,,,,
LTBA108,BUILDING,BUILDING,410037.725N,0284950.231E,273.0,14.76,NO INFO,,NO,,,,,
LTBA109,BUILDING,BUILDING,410037.322N,0284950.053E,273.3,14.76,NO INFO,,NO,,,,,
LTBA110,MOSQUE,BUILDING,410040.895N,0284952.784E,337.6,82.02,NO INFO,,NO,,,,,
LTBA111,MINARET,BUILDING,410041.303N,0284953.197E,451.2,196.8,NO INFO,,NO,,,,,
LTBA112,MINARET,BUILDING,410040.874N,0284951.980E,453.9,196.8,NO INFO,,NO,,,,,
LTBA113,BUILDING,BUILDING,410055.680N,0284930.738E,333.7,54.13,NO INFO,,NO,,,,,
LTBA114,BUILDING,BUILDING,410049.219N,0284929.016E,316.2,34.44,NO INFO,,NO,,,,,
LTBA115,BUILDING,BUILDING,410048.966N,0284928.075E,316.7,34.44,NO INFO,,NO,,,,,
LTBA116,BUILDING,BUILDING,410043.479N,0284949.557E,333.9,73.81,NO INFO,,NO,,,,,
LTBA117,BUILDING,BUILDING,410043.632N,0284950.762E,313.0,54.13,NO INFO,,NO,,,,,
LTBA118,BUILDING,BUILDING,410042.127N,0284942.883E,299.2,34.44,NO INFO,,NO,,,,,
LTBA119,BUILDING,BUILDING,410037.098N,0284928.993E,268.7,14.76,NO INFO,,NO,,,,,
LTBA120,BUILDING,BUILDING,410037.164N,0284928.479E,267.2,14.76,NO INFO,,NO,,,,,
LTBA121,BUILDING,BUILDING,410037.239N,0284928.108E,265.0,14.76,NO INFO,,NO,,,,,
LTBA122,BUILDING,BUILDING,410028.964N,0284949.710E,272.1,24.60,NO INFO,,NO,,,,,
LTBA123,BUILDING,BUILDING,410039.111N,0284928.258E,277.7,14.76,NO INFO,,NO,,,,,
LTBA124,BUILDING,BUILDING,410038.303N,0284927.159E,272.4,14.76,NO INFO,,NO,,,,,
LTBA125,BUILDING,BUILDING,410037.893N,0284927.821E,271.3,14.76,NO INFO,,NO,,,,,
LTBA126,BUILDING,BUILDING,410037.892N,0284927.349E,271.9,14.76,NO INFO,,NO,,,,,
LTBA127,BUILDING,BUILDING,410037.763N,0284924.238E,272.3,14.76,NO INFO,,NO,,,,,
LTBA128,BUILDING,BUILDING,410037.668N,0284924.886E,270.6,14.76,NO INFO,,NO,,,,,
LTBA129,BUILDING,BUILDING,410040.066N,0284932.851E,283.9,14.76,NO INFO,,NO,,,,,
LTBA130,BUILDING,BUILDING,410040.123N,0284932.483E,283.8,14.76,NO INFO,,NO,,,,,
LTBA131,BUILDING,BUILDING,410048.913N,0284924.028E,295.1,14.76,NO INFO,,NO,,,,,
LTBA132,BUILDING,BUILDING,410048.394N,0284923.572E,292.7,14.76,NO INFO,,NO,,,,,
LTBA133,BUILDING,BUILDING,410046.556N,0284921.197E,282.2,14.76,NO INFO,,NO,,,,,
LTBA134,BUILDING,BUILDING,410044.912N,0284923.514E,345.1,73.81,NO INFO,,NO,,,,,
LTBA135,BUILDING,BUILDING,410045.732N,0284937.619E,295.2,24.60,NO INFO,,NO,,,,,
LTBA136,BUILDING,BUILDING,410045.979N,0284937.314E,295.7,24.60,NO INFO,,NO,,,,,
LTBA137,BUILDING,BUILDING,410045.640N,0284937.158E,296.1,24.60,NO INFO,,NO,,,,,
LTBA138,MINARET,BUILDING,410025.515N,0285031.006E,290.8,118.1,NO INFO,,NO,,,,,
LTBA139,BUILDING,BUILDING,410042.936N,0284954.419E,299.3,54.13,NO INFO,,NO,,,,,
LTBA140,BUILDING,BUILDING,410030.419N,0285002.789E,274.1,73.81,NO INFO,,NO,,,,,
LTBA141,BUILDING,BUILDING,410039.192N,0284956.031E,314.2,63.97,NO INFO,,NO,,,,,
LTBA142,BUILDING,BUILDING,410027.688N,0285001.635E,270.4,63.97,NO INFO,,NO,,,,,
LTBA143,BUILDING,BUILDING,410030.259N,0284955.636E,310.6,63.97,NO INFO,,NO,,,,,
LTBA144,BUILDING,BUILDING,410030.749N,0284955.172E,332.4,83.66,NO INFO,,NO,,,,,
LTBA145,BUILDING,BUILDING,410019.027N,0284948.063E,271.1,54.13,NO INFO,,NO,,,,,
LTBA146,BUILDING,BUILDING,410022.596N,0284959.966E,278.6,63.97,NO INFO,,NO,,,,,
LTBA147,BUILDING,BUILDING,410022.519N,0284958.523E,296.6,73.81,NO INFO,,NO,,,,,
LTBA148,BUILDING,BUILDING,410022.480N,0284957.874E,299.1,73.81,NO INFO,,NO,,,,,
LTBA149,BUILDING,BUILDING,410022.551N,0284957.073E,312.0,83.66,NO INFO,,NO,,,,,
LTBA150,BUILDING,BUILDING,410022.594N,0284956.503E,304.1,73.81,NO INFO,,NO,,,,,
LTBA151,BUILDING,BUILDING,410022.555N,0284955.627E,296.6,63.97,NO INFO,,NO,,,,,
LTBA152,BUILDING,BUILDING,410022.611N,0284954.996E,288.1,54.13,NO INFO,,NO,,,,,
LTBA153,BUILDING,BUILDING,410022.593N,0284954.224E,298.8,63.97,NO INFO,,NO,,,,,
LTBA154,BUILDING,BUILDING,410022.627N,0284953.715E,309.4,73.81,NO INFO,,NO,,,,,
LTBA155,BUILDING,BUILDING,410022.623N,0284953.385E,309.6,73.81,NO INFO,,NO,,,,,
LTBA156,BUILDING,BUILDING,410022.689N,0284952.851E,310.5,73.81,NO INFO,,NO,,,,,
LTBA157,BUILDING,BUILDING,410023.066N,0284952.854E,311.3,73.81,NO INFO,,NO,,,,,
LTBA158,BUILDING,BUILDING,410023.071N,0284953.545E,300.5,63.97,NO INFO,,NO,,,,,
LTBA159,BUILDING,BUILDING,410023.112N,0284954.255E,299.9,63.97,NO INFO,,NO,,,,,
LTBA160,BUILDING,BUILDING,410023.766N,0284953.482E,302.7,63.97,NO INFO,,NO,,,,,
