Obstacle_designator,AIXM_NAME  ,OTHER Type(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,color of lighting,Group
ENR65,WIND POWER PLANT,WINDMILL,384903.86N,0270052.02E,655,490,YES,OTHER,NO
ENR66,WIND POWER PLANT,WINDMILL,401607.80N,0275124.65E,860,410,YES,OTHER,NO
ENR67,WIND POWER PLANT,WINDMILL,383849.44N,0262258.29E,1503,427,YES,OTHER,NO
ENR68,WIND POWER PLANT,WINDMILL,384846.71N,0270038.02E,700,490,YES,OTHER,NO
ENR69,WIND POWER PLANT,WINDMILL,383427.50N,0262519.35E,1599,589,YES,OTHER,NO
ENR70,WIND POWER PLANT,WINDMILL,365815.21N,0332755.93E,5833,617,YES,OTHER,NO
ENR71,WIND POWER PLANT,WINDMILL,395334.69N,0261112.12E,597,407,YES,OTHER,NO
ENR72,WIND POWER PLANT,WINDMILL,405550.64N,0353135.21E,4475,427,YES,OTHER,NO
ENR73,WIND POWER PLANT,WINDMILL,382905.16N,0302053.29E,6731,589,YES,OTHER,NO
ENR74,WIND POWER PLANT,WINDMILL,401610.77N,0275204.52E,923,490,YES,OTHER,NO
ENR75,WIND POWER PLANT,WINDMILL,383934.99N,0262517.62E,1181,427,YES,OTHER,NO
ENR76,WIND POWER PLANT,WINDMILL,383415.37N,0262607.30E,1934,589,YES,OTHER,NO
ENR77,WIND POWER PLANT,WINDMILL,393055.33N,0270832.10E,2070,407,YES,OTHER,NO
ENR78,WIND POWER PLANT,WINDMILL,405544.96N,0353253.70E,4277,490,YES,OTHER,NO
ENR79,WIND POWER PLANT,WINDMILL,382845.48N,0302043.49E,6465,589,YES,OTHER,NO
ENR80,WIND POWER PLANT,WINDMILL,384825.16N,0270006.91E,638,490,YES,OTHER,NO
ENR81,WIND POWER PLANT,WINDMILL,362320.61N,0360705.47E,3960,486,YES,OTHER,NO
ENR82,WIND POWER PLANT,WINDMILL,401613.63N,0275103.61E,899,410,YES,OTHER,NO
ENR83,WIND POWER PLANT,WINDMILL,411542.80N,0281601.97E,1253,535,YES,OTHER,NO
ENR84,WIND POWER PLANT,WINDMILL,383901.54N,0262335.37E,1211,427,YES,OTHER,NO
ENR85,WIND POWER PLANT,WINDMILL,383354.99N,0262553.24E,1822,589,YES,OTHER,NO
ENR86,WIND POWER PLANT,WINDMILL,400851.15N,0263842.84E,2357,438,YES,OTHER,NO
ENR87,WIND POWER PLANT,WINDMILL,373326.03N,0362749.18E,3865,489,YES,OTHER,NO
ENR88,WIND POWER PLANT,WINDMILL,405521.73N,0353352.40E,3839,427,YES,OTHER,NO
ENR89,WIND POWER PLANT,WINDMILL,382830.80N,0302043.99E,6455,589,YES,OTHER,NO
ENR90,WIND POWER PLANT,WINDMILL,373330.95N,0345328.18E,6552,525,YES,OTHER,NO
ENR91,WIND POWER PLANT,WINDMILL,362253.17N,0360708.45E,4147,486,YES,OTHER,NO
ENR92,WIND POWER PLANT,WINDMILL,401616.72N,0275140.75E,923,490,YES,OTHER,NO
ENR93,WIND POWER PLANT,WINDMILL,411028.25N,0280840.28E,1093,535,YES,OTHER,NO
ENR94,WIND POWER PLANT,WINDMILL,383942.43N,0262434.74E,1263,427,YES,OTHER,NO
ENR95,WIND POWER PLANT,WINDMILL,383324.64N,0262717.73E,1803,589,YES,OTHER,NO
ENR96,WIND POWER PLANT,WINDMILL,373223.57N,0362753.10E,3881,489,YES,OTHER,NO
ENR97,WIND POWER PLANT,WINDMILL,400523.39N,0274342.49E,1645,431,YES,OTHER,NO
ENR98,WIND POWER PLANT,WINDMILL,382306.73N,0302055.20E,7049,589,YES,OTHER,NO
ENR99,TOWER,TOWER,405810.98N,0392555.04E,5072,331,YES,OTHER,NO
ENR100,WIND POWER PLANT,WINDMILL,401652.75N,0275044.00E,982,490,YES,OTHER,NO
ENR101,WIND POWER PLANT,WINDMILL,411026.30N,0280843.57E,1027,535,YES,OTHER,NO
ENR102,WIND POWER PLANT,WINDMILL,383908.50N,0262436.79E,1552,427,YES,OTHER,NO
ENR103,WIND POWER PLANT,WINDMILL,383317.93N,0262645.55E,1767,589,YES,OTHER,NO
ENR104,WIND POWER PLANT,WINDMILL,404316.18N,0261123.43E,1647,410,YES,OTHER,NO
ENR105,WIND POWER PLANT,WINDMILL,395323.03N,0261105.10E,604,407,YES,OTHER,NO
ENR107,WIND POWER PLANT,WINDMILL,382252.62N,0302136.67E,7157,589,YES,OTHER,NO
ENR108,WIND POWER PLANT,WINDMILL,401600.85N,0275049.70E,959,490,YES,OTHER,NO
ENR109,WIND POWER PLANT,WINDMILL,411023.97N,0280909.25E,896,535,YES,OTHER,NO
ENR110,WIND POWER PLANT,WINDMILL,383445.89N,0262604.83E,1934,589,YES,OTHER,NO
ENR111,WIND POWER PLANT,WINDMILL,404255.26N,0261157.72E,1526,410,YES,OTHER,NO
ENR112,WIND POWER PLANT,WINDMILL,395302.54N,0261049.44E,617,407,YES,OTHER,NO
ENR114,WIND POWER PLANT,WINDMILL,382320.33N,0302054.29E,7029,589,YES,OTHER,NO
ENR115,WIND POWER PLANT,WINDMILL,401645.56N,0275015.92E,919,410,YES,OTHER,NO
ENR116,WIND POWER PLANT,WINDMILL,410942.29N,0280920.27E,932,535,YES,OTHER,NO
ENR117,WIND POWER PLANT,WINDMILL,383229.83N,0271031.22E,3243,490,YES,OTHER,NO
ENR118,WIND POWER PLANT,WINDMILL,383350.72N,0262616.41E,1905,589,YES,OTHER,NO
ENR119,WIND POWER PLANT,WINDMILL,404315.64N,0261049.04E,1742,410,YES,OTHER,NO
ENR120,WIND POWER PLANT,WINDMILL,395327.35N,0261120.15E,604,407,YES,OTHER,NO
ENR122,WIND POWER PLANT,WINDMILL,382305.70N,0302113.08E,7147,589,YES,OTHER,NO
ENR123,WIND POWER PLANT,WINDMILL,401625.63N,0275046.04E,886,410,YES,OTHER,NO
ENR124,WIND POWER PLANT,WINDMILL,383229.65N,0271017.47E,3259,490,YES,OTHER,NO
ENR125,WIND POWER PLANT,WINDMILL,383442.48N,0262750.04E,2249,589,YES,OTHER,NO
