Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTCU40,BUILDING,BUILDING,385235.051N,0403836.067E,3735.5,14.8,NO,,NO,
LTCU41,BUILDING,BUILDING,385234.544N,0403836.918E,3741.4,14.8,NO,,NO,
LTCU42,BUILDING,BUILDING,385234.674N,0403836.563E,3739.1,14.8,NO,,NO,
LTCU43,BUILDING,BUILDING,385235.609N,0403835.034E,3730.8,14.8,NO,,NO,
LTCU44,BUILDING,BUILDING,385235.264N,0403834.518E,3726.2,14.8,NO,,NO,
LTCU45,BUILDING,BUILDING,385235.601N,0403833.884E,3724.9,14.8,NO,,NO,
LTCU46,BUILDING,BUILDING,385236.034N,0403833.143E,3735.3,24.6,NO,,NO,
LTCU47,BUILDING,BUILDING,385235.713N,0403833.378E,3725.3,14.8,NO,,NO,
LTCU48,BUILDING,BUILDING,385236.746N,0403833.353E,3728.6,14.8,NO,,NO,
LTCU49,BUILDING,BUILDING,385236.176N,0403833.578E,3726.8,14.8,NO,,NO,
LTCU50,BUILDING,BUILDING,385236.604N,0403832.329E,3727.0,14.8,NO,,NO,
LTCU51,BUILDING,BUILDING,385237.144N,0403832.043E,3728.4,14.8,NO,,NO,
LTCU52,BUILDING,BUILDING,385237.290N,0403831.305E,3728.0,14.8,NO,,NO,
LTCU53,BUILDING,BUILDING,385239.789N,0403830.629E,3731.1,14.8,NO,,NO,
LTCU54,BUILDING,BUILDING,385225.254N,0403841.739E,3746.8,14.8,NO,,NO,
LTCU55,BUILDING,BUILDING,385226.055N,0403842.199E,3753.0,14.8,NO,,NO,
LTCU56,BUILDING,BUILDING,385226.667N,0403841.947E,3751.1,14.8,NO,,NO,
LTCU57,BUILDING,BUILDING,385229.409N,0403840.774E,3754.2,14.8,NO,,NO,
LTCU58,BUILDING,BUILDING,385230.074N,0403839.686E,3754.2,14.8,NO,,NO,
LTCU59,BUILDING,BUILDING,385230.111N,0403840.105E,3755.9,14.8,NO,,NO,
LTCU60,BUILDING,BUILDING,385230.523N,0403840.248E,3758.2,14.8,NO,,NO,
LTCU61,BUILDING,BUILDING,385230.230N,0403840.830E,3759.1,14.8,NO,,NO,
LTCU62,BUILDING,BUILDING,385230.972N,0403839.601E,3756.0,14.8,NO,,NO,
LTCU63,BUILDING,BUILDING,385231.364N,0403838.972E,3753.9,14.8,NO,,NO,
LTCU64,BUILDING,BUILDING,385230.743N,0403838.531E,3750.1,14.8,NO,,NO,
LTCU65,BUILDING,BUILDING,385229.318N,0403839.918E,3750.9,14.8,NO,,NO,
LTCU66,BUILDING,BUILDING,385229.775N,0403839.292E,3750.5,14.8,NO,,NO,
LTCU67,BUILDING,BUILDING,385230.351N,0403838.390E,3748.5,14.8,NO,,NO,
LTCU68,BUILDING,BUILDING,385229.627N,0403838.280E,3744.4,14.8,NO,,NO,
LTCU69,BUILDING,BUILDING,385229.835N,0403837.893E,3743.0,14.8,NO,,NO,
LTCU70,BUILDING,BUILDING,385229.197N,0403838.765E,3744.1,14.8,NO,,NO,
LTCU71,BUILDING,BUILDING,385228.794N,0403839.478E,3746.7,14.8,NO,,NO,
LTCU72,BUILDING,BUILDING,385231.941N,0403837.977E,3749.0,14.8,NO,,NO,
LTCU73,BUILDING,BUILDING,385232.339N,0403837.866E,3749.2,14.8,NO,,NO,
LTCU74,BUILDING,BUILDING,385232.405N,0403837.373E,3745.9,14.8,NO,,NO,
LTCU75,BUILDING,BUILDING,385232.983N,0403836.452E,3742.9,14.8,NO,,NO,
LTCU76,BUILDING,BUILDING,385233.212N,0403836.041E,3740.9,14.8,NO,,NO,
LTCU77,BUILDING,BUILDING,385233.662N,0403835.713E,3738.8,14.8,NO,,NO,
LTCU78,BUILDING,BUILDING,385233.648N,0403835.127E,3735.5,14.8,NO,,NO,
LTCU79,BUILDING,BUILDING,385233.956N,0403834.737E,3733.3,14.8,NO,,NO,
LTCU80,BUILDING,BUILDING,385233.569N,0403834.173E,3730.8,14.8,NO,,NO,
LTCU81,BUILDING,BUILDING,385233.084N,0403834.884E,3735.6,14.8,NO,,NO,
LTCU82,BUILDING,BUILDING,385232.675N,0403835.549E,3738.9,14.8,NO,,NO,
LTCU83,BUILDING,BUILDING,385232.330N,0403836.044E,3739.8,14.8,NO,,NO,
LTCU84,BUILDING,BUILDING,385231.956N,0403836.581E,3742.6,14.8,NO,,NO,
LTCU85,BUILDING,BUILDING,385231.574N,0403837.265E,3744.6,14.8,NO,,NO,
LTCU86,BUILDING,BUILDING,385231.738N,0403836.956E,3743.1,14.8,NO,,NO,
LTCU87,BUILDING,BUILDING,385231.964N,0403835.582E,3737.3,14.8,NO,,NO,
LTCU88,BUILDING,BUILDING,385231.212N,0403836.871E,3741.2,14.8,NO,,NO,
LTCU89,BUILDING,BUILDING,385231.813N,0403836.087E,3738.8,14.8,NO,,NO,
LTCU90,BUILDING,BUILDING,385232.433N,0403835.090E,3735.4,14.8,NO,,NO,
LTCU91,BUILDING,BUILDING,385232.891N,0403834.311E,3733.4,14.8,NO,,NO,
LTCU92,BUILDING,BUILDING,385230.590N,0403836.677E,3739.0,14.8,NO,,NO,
LTCU93,BUILDING,BUILDING,385231.016N,0403835.976E,3735.5,14.8,NO,,NO,
LTCU94,BUILDING,BUILDING,385231.418N,0403835.281E,3733.4,14.8,NO,,NO,
LTCU95,BUILDING,BUILDING,385232.269N,0403834.015E,3730.2,14.8,NO,,NO,
LTCU96,BUILDING,BUILDING,385234.290N,0403833.170E,3722.1,14.8,NO,,NO,
LTCU97,BUILDING,BUILDING,385233.991N,0403832.678E,3722.1,14.8,NO,,NO,
LTCU98,BUILDING,BUILDING,385235.324N,0403832.553E,3731.9,24.6,NO,,NO,
LTCU99,BUILDING,BUILDING,385235.727N,0403832.269E,3722.5,14.8,NO,,NO,
LTCU100,BUILDING,BUILDING,385235.846N,0403831.845E,3722.5,14.8,NO,,NO,
LTCU101,BUILDING,BUILDING,385236.136N,0403831.632E,3723.6,14.8,NO,,NO,
LTCU102,BUILDING,BUILDING,385236.270N,0403831.172E,3722.9,14.8,NO,,NO,
LTCU103,BUILDING,BUILDING,385235.009N,0403831.922E,3722.1,14.8,NO,,NO,
LTCU104,BUILDING,BUILDING,385235.253N,0403831.482E,3722.1,14.8,NO,,NO,
LTCU105,BUILDING,BUILDING,385236.678N,0403830.775E,3724.3,14.8,NO,,NO,
LTCU106,BUILDING,BUILDING,385236.806N,0403830.362E,3724.4,14.8,NO,,NO,
LTCU107,BUILDING,BUILDING,385237.079N,0403829.921E,3724.4,14.8,NO,,NO,
LTCU108,BUILDING,BUILDING,385237.486N,0403829.771E,3724.9,14.8,NO,,NO,
LTCU109,BUILDING,BUILDING,385237.458N,0403829.249E,3724.1,14.8,NO,,NO,
LTCU110,BUILDING,BUILDING,385237.209N,0403828.554E,3720.8,14.8,NO,,NO,
LTCU111,BUILDING,BUILDING,385236.593N,0403829.387E,3722.1,14.8,NO,,NO,
LTCU112,BUILDING,BUILDING,385236.365N,0403829.799E,3722.1,14.8,NO,,NO,
LTCU113,BUILDING,BUILDING,385235.807N,0403830.682E,3722.1,14.8,NO,,NO,
LTCU114,BUILDING,BUILDING,385236.113N,0403827.775E,3710.9,14.8,NO,,NO,
LTCU115,BUILDING,BUILDING,385237.111N,0403827.612E,3712.7,14.8,NO,,NO,
LTCU116,BUILDING,BUILDING,385236.552N,0403828.601E,3718.3,14.8,NO,,NO,
LTCU117,BUILDING,BUILDING,385235.859N,0403829.600E,3722.1,14.8,NO,,NO,
LTCU118,BUILDING,BUILDING,385235.596N,0403830.030E,3722.1,14.8,NO,,NO,
LTCU119,BUILDING,BUILDING,385235.413N,0403830.396E,3722.1,14.8,NO,,NO,
LTCU120,BUILDING,BUILDING,385235.152N,0403830.770E,3722.1,14.8,NO,,NO,
LTCU121,BUILDING,BUILDING,385234.945N,0403831.081E,3722.1,14.8,NO,,NO,
LTCU122,BUILDING,BUILDING,385234.619N,0403831.579E,3722.1,14.8,NO,,NO,
LTCU123,BUILDING,BUILDING,385235.342N,0403829.315E,3718.5,14.8,NO,,NO,
LTCU124,BUILDING,BUILDING,385235.714N,0403828.581E,3716.1,14.8,NO,,NO,
LTCU125,BUILDING,BUILDING,385235.357N,0403828.714E,3715.2,14.8,NO,,NO,
LTCU126,BUILDING,BUILDING,385234.886N,0403829.906E,3720.6,14.8,NO,,NO,
LTCU127,BUILDING,BUILDING,385234.517N,0403830.475E,3719.7,14.8,NO,,NO,
LTCU128,BUILDING,BUILDING,385234.111N,0403831.106E,3721.9,14.8,NO,,NO,
LTCU129,BUILDING,BUILDING,385233.805N,0403831.501E,3722.1,14.8,NO,,NO,
LTCU130,BUILDING,BUILDING,385233.400N,0403830.645E,3716.7,14.8,NO,,NO,
LTCU131,BUILDING,BUILDING,385233.886N,0403830.349E,3716.9,14.8,NO,,NO,
LTCU132,BUILDING,BUILDING,385233.932N,0403829.886E,3716.3,14.8,NO,,NO,
LTCU133,BUILDING,BUILDING,385234.368N,0403829.562E,3717.1,14.8,NO,,NO,
LTCU134,BUILDING,BUILDING,385234.400N,0403828.983E,3715.9,14.8,NO,,NO,
LTCU135,BUILDING,BUILDING,385234.686N,0403828.571E,3714.4,14.8,NO,,NO,
LTCU136,BUILDING,BUILDING,385234.415N,0403827.799E,3709.6,14.8,NO,,NO,
LTCU137,BUILDING,BUILDING,385234.210N,0403828.111E,3711.9,14.8,NO,,NO,
LTCU138,BUILDING,BUILDING,385233.956N,0403828.478E,3711.8,14.8,NO,,NO,
LTCU139,BUILDING,BUILDING,385233.028N,0403829.884E,3712.0,14.8,NO,,NO,
LTCU140,BUILDING,BUILDING,385232.362N,0403831.008E,3714.2,14.8,NO,,NO,
LTCU141,BUILDING,BUILDING,385231.966N,0403832.732E,3723.6,14.8,NO,,NO,
LTCU142,BUILDING,BUILDING,385231.673N,0403832.075E,3718.6,14.8,NO,,NO,
LTCU143,BUILDING,BUILDING,385231.169N,0403832.870E,3722.8,14.8,NO,,NO,
LTCU144,BUILDING,BUILDING,385231.643N,0403833.386E,3726.0,14.8,NO,,NO,
LTCU145,BUILDING,BUILDING,385231.212N,0403833.941E,3727.2,14.8,NO,,NO,
LTCU146,BUILDING,BUILDING,385230.549N,0403833.843E,3723.1,14.8,NO,,NO,
LTCU147,BUILDING,BUILDING,385230.789N,0403834.700E,3728.3,14.8,NO,,NO,
LTCU148,BUILDING,BUILDING,385231.010N,0403834.321E,3727.6,14.8,NO,,NO,
LTCU149,BUILDING,BUILDING,385230.507N,0403835.117E,3729.1,14.8,NO,,NO,
LTCU150,BUILDING,BUILDING,385229.925N,0403834.986E,3727.2,14.8,NO,,NO,
LTCU151,BUILDING,BUILDING,385230.083N,0403835.706E,3732.7,14.8,NO,,NO,
LTCU152,BUILDING,BUILDING,385229.515N,0403835.662E,3733.6,14.8,NO,,NO,
LTCU153,BUILDING,BUILDING,385230.033N,0403836.278E,3736.1,14.8,NO,,NO,
LTCU154,BUILDING,BUILDING,385229.538N,0403836.779E,3738.5,14.8,NO,,NO,
LTCU155,BUILDING,BUILDING,385228.895N,0403836.624E,3738.5,14.8,NO,,NO,
LTCU156,BUILDING,BUILDING,385229.056N,0403836.166E,3738.5,14.8,NO,,NO,
LTCU157,BUILDING,BUILDING,385228.531N,0403837.313E,3738.5,14.8,NO,,NO,
LTCU158,BUILDING,BUILDING,385229.035N,0403837.412E,3748.3,24.6,NO,,NO,
LTCU159,BUILDING,BUILDING,385228.286N,0403838.684E,3740.2,14.8,NO,,NO,
LTCU160,BUILDING,BUILDING,385227.649N,0403838.573E,3738.5,14.8,NO,,NO,
LTCU161,BUILDING,BUILDING,385227.275N,0403837.954E,3736.7,14.8,NO,,NO,
LTCU162,BUILDING,BUILDING,385227.545N,0403837.375E,3738.5,14.8,NO,,NO,
LTCU163,BUILDING,BUILDING,385228.103N,0403836.798E,3738.5,14.8,NO,,NO,
LTCU164,BUILDING,BUILDING,385227.287N,0403836.626E,3736.2,14.8,NO,,NO,
LTCU165,BUILDING,BUILDING,385226.795N,0403837.487E,3732.8,14.8,NO,,NO,
LTCU166,BUILDING,BUILDING,385226.728N,0403836.916E,3734.5,14.8,NO,,NO,
LTCU167,BUILDING,BUILDING,385227.613N,0403836.020E,3746.3,24.6,NO,,NO,
LTCU168,BUILDING,BUILDING,385228.000N,0403835.508E,3736.3,14.8,NO,,NO,
LTCU169,BUILDING,BUILDING,385228.588N,0403835.684E,3738.2,14.8,NO,,NO,
LTCU170,BUILDING,BUILDING,385229.348N,0403834.741E,3728.7,14.8,NO,,NO,
LTCU171,BUILDING,BUILDING,385230.266N,0403833.443E,3722.1,14.8,NO,,NO,
LTCU172,BUILDING,BUILDING,385230.593N,0403832.910E,3720.0,14.8,NO,,NO,
LTCU173,BUILDING,BUILDING,385231.249N,0403831.734E,3713.1,14.8,NO,,NO,
LTCU174,BUILDING,BUILDING,385230.792N,0403831.271E,3708.6,14.8,NO,,NO,
LTCU175,BUILDING,BUILDING,385230.361N,0403831.306E,3708.1,14.8,NO,,NO,
LTCU176,BUILDING,BUILDING,385230.468N,0403831.872E,3712.5,14.8,NO,,NO,
LTCU177,BUILDING,BUILDING,385229.986N,0403832.506E,3716.8,14.8,NO,,NO,
LTCU178,BUILDING,BUILDING,385229.507N,0403833.231E,3721.5,14.8,NO,,NO,
LTCU179,BUILDING,BUILDING,385229.131N,0403833.732E,3723.1,14.8,NO,,NO,
LTCU180,BUILDING,BUILDING,385228.667N,0403833.854E,3725.2,14.8,NO,,NO,
LTCU181,BUILDING,BUILDING,385228.595N,0403834.455E,3729.7,14.8,NO,,NO,
LTCU182,BUILDING,BUILDING,385227.866N,0403839.199E,3740.9,14.8,NO,,NO,
LTCU183,BUILDING,BUILDING,385234.013N,0403827.490E,3709.3,14.8,NO,,NO,
LTCU184,BUILDING,BUILDING,385233.439N,0403828.317E,3709.7,14.8,NO,,NO,
LTCU185,BUILDING,BUILDING,385233.580N,0403826.910E,3705.7,14.8,NO,,NO,
LTCU186,BUILDING,BUILDING,385232.943N,0403827.824E,3705.7,14.8,NO,,NO,
