Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,
LTCD58,BUILDING,BUILDING,394459.107N,0393236.938E,4068.9,14.76,NO INFO,,NO,,,,
LTCD59,BUILDING,BUILDING,394504.242N,0393239.438E,4075.2,14.76,NO INFO,,NO,,,,
LTCD60,BUILDING,BUILDING,394501.071N,0393237.835E,4071.5,14.76,NO INFO,,NO,,,,
LTCD61,BUILDING,BUILDING,394404.475N,0393210.185E,3926.3,14.76,NO INFO,,NO,,,,
LTCD62,BUILDING,BUILDING,394503.361N,0393238.899E,4074.2,14.76,NO INFO,,NO,,,,
LTCD63,BUILDING,BUILDING,394500.148N,0393237.171E,4070.2,14.76,NO INFO,,NO,,,,
LTCD64,BUILDING,BUILDING,394507.380N,0393240.512E,4088.6,24.60,NO INFO,,NO,,,,
LTCD65,BUILDING,BUILDING,394503.870N,0393238.762E,4084.8,24.60,NO INFO,,NO,,,,
LTCD66,BUILDING,BUILDING,394505.233N,0393239.399E,4076.3,14.76,NO INFO,,NO,,,,
LTCD67,BUILDING,BUILDING,394502.242N,0393237.872E,4073.2,14.76,NO INFO,,NO,,,,
LTCD68,BUILDING,BUILDING,394505.680N,0393239.543E,4076.7,14.76,NO INFO,,NO,,,,
LTCD69,BUILDING,BUILDING,394500.568N,0393237.043E,4071.0,14.76,NO INFO,,NO,,,,
LTCD70,BUILDING,BUILDING,394502.845N,0393238.111E,4083.8,24.60,NO INFO,,NO,,,,
LTCD71,BUILDING,BUILDING,394506.271N,0393239.767E,4087.2,24.60,NO INFO,,NO,,,,
LTCD72,BUILDING,BUILDING,394501.189N,0393237.273E,4071.9,14.76,NO INFO,,NO,,,,
LTCD73,BUILDING,BUILDING,394504.522N,0393238.861E,4085.5,24.60,NO INFO,,NO,,,,
LTCD74,BUILDING,BUILDING,394505.706N,0393239.152E,4087.0,24.60,NO INFO,,NO,,,,
LTCD75,BUILDING,BUILDING,394502.075N,0393237.353E,4072.7,14.76,NO INFO,,NO,,,,
