Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTFJ082,TREE,TREE,405630.25N,0292618.98E,761.82,30.15,NO,,NO
LTFJ083,TREE,TREE,405539.41N,0292424.49E,642.65,30.22,NO,,NO
LTFJ084,TREE,TREE,405611.55N,0292426.84E,682.58,32.15,NO,,NO
LTFJ085,TREE,TREE,405612.89N,0292434.52E,666.50,23.61,NO,,NO
LTFJ086,TREE,TREE,405541.66N,0292443.75E,675.10,16.93,NO,,NO
LTFJ087,TREE,TREE,405541.51N,0292436.60E,662.47,13.11,NO,,NO
LTFJ088,TREE,TREE,405541.97N,0292431.86E,657.87,34.11,NO,,NO
LTFJ089,TREE,TREE,405548.30N,0292417.64E,643.37,25.46,NO,,NO
LTFJ090,TREE,TREE,405545.66N,0292420.45E,641.96,35.18,NO,,NO
LTFJ091,TREE,TREE,405550.96N,0292425.38E,697.21,15.81,NO,,NO
LTFJ092,TREE,TREE,405551.64N,0292440.48E,693.21,24.07,NO,,NO
LTFJ093,TREE,TREE,405545.81N,0292444.02E,725.36,28.02,NO,,NO
LTFJ094,TREE,TREE,405557.06N,0292421.07E,644.81,52.52,NO,,NO
LTFJ095,TREE,TREE,405604.73N,0292406.94E,635.63,24.13,NO,,NO
LTFJ096,TREE,TREE,405607.71N,0292437.91E,706.40,21.70,NO,,NO
LTFJ097,TREE,TREE,405606.66N,0292442.95E,709.25,26.74,NO,,NO
LTFJ098,TREE,TREE,405553.37N,0292420.67E,636.78,20.21,NO,,NO
LTFJ099,TREE,TREE,405546.96N,0292408.98E,597.86,21.44,NO,,NO
LTFJ100,TREE,TREE,405540.40N,0292418.60E,626.57,60.03,NO,,NO
LTFJ101,TREE,TREE,405534.00N,0292411.02E,556.26,14.12,NO,,NO
LTFJ102,TREE,TREE,405640.57N,0292612.42E,731.07,27.62,NO,,NO
LTFJ103,TREE,TREE,405513.37N,0292611.94E,714.73,28.99,NO,,NO
LTFJ104,TREE,TREE,405527.11N,0292604.79E,712.99,13.24,NO,,NO
LTFJ105,TREE,TREE,405525.60N,0292610.99E,743.44,11.80,NO,,NO
LTFJ106,TREE,TREE,405518.25N,0292617.65E,675.98,39.46,NO,,NO
LTFJ107,TREE,TREE,405523.00N,0292537.58E,820.94,12.60,NO,,NO
LTFJ108,TREE,TREE,405517.35N,0292535.34E,819.95,56.89,NO,,NO
LTFJ109,TREE,TREE,405522.87N,0292549.13E,805.45,24.55,NO,,NO
LTFJ110,TREE,TREE,405523.10N,0292559.82E,717.03,25.40,NO,,NO
LTFJ111,TREE,TREE,405510.29N,0292551.83E,765.26,14.90,NO,,NO
LTFJ113,TREE,TREE,405345.36N,0292039.28E,346.54,67.65,NO,,NO
LTFJ115,TREE,TREE,405349.68N,0292044.50E,360.61,62.04,NO,,NO
LTFJ116,TREE,TREE,405330.55N,0291833.04E,297.62,18.82,NO,,NO
LTFJ117,TREE,TREE,405327.77N,0291824.19E,290.14,17.47,NO,,NO
LTFJ118,TREE,TREE,405331.01N,0291822.70E,296.73,17.64,NO,,NO
LTFJ119,TREE,TREE,405327.84N,0291818.11E,295.16,19.55,NO,,NO
LTFJ120,TREE,TREE,405322.70N,0291812.49E,285.12,19.39,NO,,NO
LTFJ122,TREE,TREE,405322.56N,0291812.09E,285.12,19.13,NO,,NO
LTFJ123,TREE,TREE,405328.07N,0291807.23E,292.57,13.68,NO,,NO
LTFJ124,TREE,TREE,405340.00N,0291839.93E,349.43,37.73,NO,,NO
LTFJ125,TREE,TREE,405331.39N,0291828.89E,296.73,17.86,NO,,NO
LTFJ126,TREE,TREE,405337.23N,0291834.75E,366.52,51.54,NO,,NO
LTFJ127,TREE,TREE,405341.77N,0292022.37E,326.75,27.66,NO,,NO
LTFJ129,TREE,TREE,405339.23N,0292032.80E,328.76,26.74,NO,,NO
LTFJ130,TREE,TREE,405350.84N,0292036.41E,325.61,20.12,NO,,NO
LTFJ133,TREE,TREE,405554.73N,0292549.27E,688.32,24.12,NO,,NO
LTFJ134,TREE,TREE,405549.56N,0292537.96E,767.82,22.32,NO,,NO
LTFJ135,TREE,TREE,405535.16N,0292553.90E,685.14,22.19,NO,,NO
LTFJ136,TREE,TREE,405543.77N,0292530.45E,736.81,32.67,NO,,NO
LTFJ137,TREE,TREE,405531.87N,0292547.24E,756.07,29.25,NO,,NO
LTFJ138,TREE,TREE,405532.33N,0292603.37E,672.51,42.55,NO,,NO
LTFJ139,TREE,TREE,405532.97N,0292532.41E,793.38,15.46,NO,,NO
LTFJ140,TREE,TREE,405546.50N,0292554.30E,683.99,38.14,NO,,NO
LTFJ141,TREE,TREE,405606.11N,0292552.76E,691.77,48.36,NO,,NO
LTFJ142,TREE,TREE,405556.44N,0292553.28E,659.32,20.79,NO,,NO
LTFJ143,TREE,TREE,405612.63N,0292551.49E,671.65,31.89,NO,,NO
LTFJ144,TREE,TREE,405554.47N,0292538.52E,757.22,29.11,NO,,NO
LTFJ145,TREE,TREE,405558.65N,0292536.85E,747.15,22.70,NO,,NO
LTFJ146,TREE,TREE,405607.47N,0292547.97E,685.14,35.63,NO,,NO
LTFJ147,TREE,TREE,405601.95N,0292544.62E,695.77,29.32,NO,,NO
LTFJ148,TREE,TREE,405605.02N,0292536.59E,670.21,20.49,NO,,NO
LTFJ149,TREE,TREE,405527.71N,0292537.95E,838.89,27.68,NO,,NO
LTFJ150,TREE,TREE,405518.69N,0292543.87E,841.48,14.78,NO,,NO
LTFJ151,TREE,TREE,405518.16N,0292543.88E,841.48,14.67,NO,,NO
LTFJ152,TREE,TREE,405518.40N,0292543.87E,841.48,14.67,NO,,NO
LTFJ153,TREE,TREE,405519.07N,0292551.44E,780.91,16.59,NO,,NO
LTFJ154,TREE,TREE,405507.86N,0292542.36E,833.57,15.45,NO,,NO
LTFJ155,TREE,TREE,405549.32N,0292544.05E,726.77,8.63,NO,,NO
LTFJ156,TREE,TREE,405543.83N,0292539.54E,777.01,12.64,NO,,NO
LTFJ157,TREE,TREE,405543.26N,0292545.68E,726.22,18.51,NO,,NO
LTFJ158,TREE,TREE,405549.76N,0292550.88E,721.89,19.23,NO,,NO
LTFJ159,TREE,TREE,405512.95N,0292536.67E,801.58,17.01,NO,,NO
LTFJ160,TREE,TREE,405527.07N,0292553.48E,725.20,21.39,NO,,NO
LTFJ161,TREE,TREE,405548.99N,0292532.60E,763.23,27.88,NO,,NO
LTFJ162,TREE,TREE,405444.69N,0292432.74E,604.29,40.38,NO,,NO
LTFJ163,TREE,TREE,405446.49N,0292439.16E,632.41,34.38,NO,,NO
LTFJ164,TREE,TREE,405406.61N,0291806.48E,359.17,38.49,NO,,NO
LTFJ165,TREE,TREE,405517.24N,0292633.97E,663.62,19.17,NO,,NO
