Obstacle_Designator,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationatTop(FT),Height(FT),Lighting,ColorofLighting,Group,
LTCM313,BUILDING,BUILDING,415902.957N,0350537.607E,307,44,NO,,NO,
LTCM314,BUILDING,BUILDING,415903.675N,0350537.304E,308,44,NO,,NO,
LTCM315,BUILDING,BUILDING,415904.692N,0350540.343E,296,34,NO,,NO,
LTCM316,BUILDING,BUILDING,415923.825N,0350530.981E,269,54,NO,,NO,
LTCM317,BUILDING,BUILDING,415924.984N,0350534.607E,244,44,NO,,NO,
LTCM318,BUILDING,BUILDING,415924.173N,0350534.903E,249,44,NO,,NO,
LTCM319,BUILDING,BUILDING,415923.242N,0350534.837E,257,44,NO,,NO,
LTCM320,BUILDING,BUILDING,415922.593N,0350534.705E,261,44,NO,,NO,
LTCM321,BUILDING,BUILDING,415922.633N,0350533.333E,271,44,NO,,NO,
LTCM322,BUILDING,BUILDING,415922.445N,0350535.811E,252,44,NO,,NO,
LTCM323,BUILDING,BUILDING,415923.150N,0350536.260E,245,44,NO,,NO,
LTCM324,BUILDING,BUILDING,415923.860N,0350536.864E,241,44,NO,,NO,
LTCM325,BUILDING,BUILDING,415924.734N,0350536.213E,241,44,NO,,NO,
LTCM326,BUILDING,BUILDING,415916.208N,0350528.258E,309,44,NO,,NO,
LTCM327,BUILDING,BUILDING,415914.742N,0350529.619E,306,34,NO,,NO,
LTCM328,BUILDING,BUILDING,415919.501N,0350533.883E,280,54,NO,,NO,
LTCM329,BUILDING,BUILDING,415915.954N,0350531.185E,283,34,NO,,NO,
LTCM330,BUILDING,BUILDING,415902.309N,0350545.291E,316,34,NO,,NO,
LTCM331,BUILDING,BUILDING,415859.959N,0350546.062E,357,34,NO,,NO,
LTCM332,BUILDING,BUILDING,415859.586N,0350551.640E,362,34,NO,,NO,
LTCM333,BUILDING,BUILDING,415900.780N,0350554.163E,341,34,NO,,NO,
LTCM334,BUILDING,BUILDING,415852.591N,0350549.714E,361,34,NO,,NO,
LTCM335,MINARET,BUILDING,415853.477N,0350546.008E,413,52,NO,,NO,
LTCM336,BUILDING,BUILDING,415850.150N,0350549.331E,351,34,NO,,NO,
LTCM337,BUILDING,BUILDING,415846.164N,0350548.402E,369,34,NO,,NO,
LTCM338,BUILDING,BUILDING,415845.515N,0350547.795E,370,34,NO,,NO,
LTCM339,BUILDING,BUILDING,415847.354N,0350547.489E,375,34,NO,,NO,
LTCM340,BUILDING,BUILDING,415847.432N,0350549.276E,364,34,NO,,NO,
LTCM341,BUILDING,BUILDING,415844.053N,0350545.232E,393,44,NO,,NO,
LTCM342,BUILDING,BUILDING,415842.316N,0350545.508E,387,44,NO,,NO,
LTCM343,BUILDING,BUILDING,415841.645N,0350546.171E,365,34,NO,,NO,
LTCM344,BUILDING,BUILDING,415840.982N,0350546.492E,357,34,NO,,NO,
LTCM345,BUILDING,BUILDING,415839.922N,0350535.809E,320,34,NO,,NO,
LTCM346,BUILDING,BUILDING,415914.680N,0350606.442E,211,34,NO,,NO,
LTCM347,BUILDING,BUILDING,415915.234N,0350605.466E,207,34,NO,,NO,
LTCM348,BUILDING,BUILDING,415915.014N,0350604.725E,209,34,NO,,NO,
LTCM349,BUILDING,BUILDING,415914.962N,0350603.946E,207,34,NO,,NO,
LTCM350,BUILDING,BUILDING,415912.861N,0350603.854E,218,34,NO,,NO,
LTCM351,BUILDING,BUILDING,415912.990N,0350604.533E,219,34,NO,,NO,
LTCM352,BUILDING,BUILDING,415913.185N,0350605.298E,217,34,NO,,NO,
LTCM353,BUILDING,BUILDING,415916.544N,0350605.079E,200,34,NO,,NO,
