Obstacle_Designator,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationatTop(FT),Height(FT),Lighting,ColorofLighting,Group
LTBU108,BUILDING,BUILDING,410928.990N,0275241.975E,738,34,NO INFO,,NO
LTBU109,BUILDING,BUILDING,410928.823N,0275240.403E,717,15,NO INFO,,NO
LTBU110,BUILDING,BUILDING,410929.029N,0275240.424E,718,15,NO INFO,,NO
LTBU111,BUILDING,BUILDING,410929.948N,0275243.886E,720,15,NO INFO,,NO
LTBU112,BUILDING,BUILDING,410929.356N,0275243.262E,720,15,NO INFO,,NO
LTBU113,BUILDING,BUILDING,410929.375N,0275239.910E,728,25,NO INFO,,NO
LTBU114,BUILDING,BUILDING,410929.671N,0275243.339E,730,25,NO INFO,,NO
LTBU115,BUILDING,BUILDING,410928.092N,0275243.216E,717,15,NO INFO,,NO
LTBU116,BUILDING,BUILDING,410928.546N,0275241.154E,717,15,NO INFO,,NO
LTBU117,BUILDING,BUILDING,410928.423N,0275241.559E,717,15,NO INFO,,NO
LTBU118,BUILDING,BUILDING,410928.411N,0275241.924E,717,15,NO INFO,,NO
LTBU119,BUILDING,BUILDING,410928.380N,0275240.781E,717,15,NO INFO,,NO
LTBU120,BUILDING,BUILDING,410927.486N,0275244.260E,716,15,NO INFO,,NO
LTBU121,BUILDING,BUILDING,410925.026N,0275243.041E,718,25,NO INFO,,NO
LTBU122,BUILDING,BUILDING,410925.294N,0275243.099E,719,25,NO INFO,,NO
LTBU123,BUILDING,BUILDING,410922.760N,0275241.520E,723,34,NO INFO,,NO
LTBU124,BUILDING,BUILDING,410927.039N,0275236.432E,721,25,NO INFO,,NO
LTBU125,BUILDING,BUILDING,410928.110N,0275239.627E,715,15,NO INFO,,NO
LTBU126,BUILDING,BUILDING,410929.923N,0275237.432E,715,15,NO INFO,,NO
LTBU127,BUILDING,BUILDING,410930.716N,0275238.604E,717,15,NO INFO,,NO
LTBU128,BUILDING,BUILDING,410930.749N,0275238.006E,716,15,NO INFO,,NO
LTBU129,BUILDING,BUILDING,410927.715N,0275234.660E,719,25,NO INFO,,NO
LTBU130,BUILDING,BUILDING,410928.095N,0275233.867E,719,25,NO INFO,,NO
LTBU131,BUILDING,BUILDING,410928.855N,0275233.673E,719,25,NO INFO,,NO
LTBU132,BUILDING,BUILDING,410925.477N,0275234.688E,717,25,NO INFO,,NO
LTBU133,BUILDING,BUILDING,410922.950N,0275235.445E,722,34,NO INFO,,NO
LTBU134,BUILDING,BUILDING,410923.286N,0275246.659E,720,25,NO INFO,,NO
LTBU135,BUILDING,BUILDING,410923.359N,0275247.630E,722,25,NO INFO,,NO
LTBU136,BUILDING,BUILDING,410922.987N,0275249.558E,716,15,NO INFO,,NO
LTBU137,BUILDING,BUILDING,410922.799N,0275250.251E,726,25,NO INFO,,NO
LTBU138,BUILDING,BUILDING,410923.844N,0275250.733E,720,15,NO INFO,,NO
LTBU139,BUILDING,BUILDING,410925.428N,0275245.634E,723,25,NO INFO,,NO
LTBU140,BUILDING,BUILDING,410925.169N,0275248.086E,717,15,NO INFO,,NO
LTBU141,BUILDING,BUILDING,410925.421N,0275247.779E,717,15,NO INFO,,NO
LTBU142,BUILDING,BUILDING,410925.162N,0275248.904E,719,15,NO INFO,,NO
LTBU143,BUILDING,BUILDING,410924.963N,0275248.429E,718,15,NO INFO,,NO
LTBU144,BUILDING,BUILDING,410924.003N,0275248.626E,716,15,NO INFO,,NO
LTBU145,BUILDING,BUILDING,410925.678N,0275248.356E,719,15,NO INFO,,NO
LTBU146,BUILDING,BUILDING,410925.661N,0275248.748E,720,15,NO INFO,,NO
LTBU147,BUILDING,BUILDING,410927.287N,0275246.142E,717,15,NO INFO,,NO
LTBU148,BUILDING,BUILDING,410927.092N,0275245.087E,716,15,NO INFO,,NO
LTBU149,BUILDING,BUILDING,410927.549N,0275245.144E,717,15,NO INFO,,NO
LTBU150,BUILDING,BUILDING,410928.228N,0275245.392E,719,15,NO INFO,,NO
LTBU151,BUILDING,BUILDING,410926.992N,0275248.633E,731,25,NO INFO,,NO
LTBU152,BUILDING,BUILDING,410927.635N,0275247.772E,721,15,NO INFO,,NO
LTBU153,BUILDING,BUILDING,410928.101N,0275248.654E,723,15,NO INFO,,NO
LTBU154,BUILDING,BUILDING,410929.866N,0275246.571E,722,15,NO INFO,,NO
LTBU155,BUILDING,BUILDING,410929.793N,0275247.542E,723,15,NO INFO,,NO
LTBU156,BUILDING,BUILDING,410929.960N,0275247.713E,723,15,NO INFO,,NO
LTBU157,BUILDING,BUILDING,410929.882N,0275247.143E,722,15,NO INFO,,NO
LTBU158,BUILDING,BUILDING,410929.341N,0275248.310E,724,15,NO INFO,,NO
LTBU159,BUILDING,BUILDING,410929.222N,0275248.049E,724,15,NO INFO,,NO
LTBU160,BUILDING,BUILDING,410929.865N,0275244.303E,720,15,NO INFO,,NO
LTBU161,BUILDING,BUILDING,410930.950N,0275245.896E,721,15,NO INFO,,NO
LTBU162,BUILDING,BUILDING,410930.918N,0275246.901E,722,15,NO INFO,,NO
LTBU163,BUILDING,BUILDING,410930.858N,0275245.165E,720,15,NO INFO,,NO
LTBU164,BUILDING,BUILDING,410931.183N,0275248.004E,724,15,NO INFO,,NO
LTBU165,BUILDING,BUILDING,410930.818N,0275248.107E,724,15,NO INFO,,NO
LTBU166,BUILDING,BUILDING,410933.656N,0275245.230E,730,25,NO INFO,,NO
LTBU167,BUILDING,BUILDING,410933.405N,0275245.632E,721,15,NO INFO,,NO
LTBU168,BUILDING,BUILDING,410933.070N,0275246.430E,722,15,NO INFO,,NO
LTBU169,BUILDING,BUILDING,410933.545N,0275246.394E,722,15,NO INFO,,NO
LTBU170,BUILDING,BUILDING,410933.735N,0275247.674E,724,15,NO INFO,,NO
LTBU171,BUILDING,BUILDING,410933.272N,0275247.274E,733,25,NO INFO,,NO
LTBU172,BUILDING,BUILDING,410933.887N,0275245.853E,721,15,NO INFO,,NO
LTBU173,BUILDING,BUILDING,410934.878N,0275246.105E,732,25,NO INFO,,NO
LTBU174,BUILDING,BUILDING,410935.042N,0275246.706E,723,15,NO INFO,,NO
LTBU175,BUILDING,BUILDING,410935.580N,0275247.419E,724,15,NO INFO,,NO
LTBU176,BUILDING,BUILDING,410936.141N,0275247.366E,723,15,NO INFO,,NO
