Obstacle_Designator,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationatTop(FT),Height(FT),Lighting,ColorofLighting,Group
LTBU299,TERRAIN,NATURAL_HIGHPOINT,410819.142N,0275521.640E,558,0.10,NO INFO,,NO
LTBU300,TERRAIN,NATURAL_HIGHPOINT,410822.093N,0275528.391E,574,0.10,NO INFO,,NO
LTBU301,TERRAIN,NATURAL_HIGHPOINT,410826.586N,0275532.019E,574,0.10,NO INFO,,NO
LTBU302,TERRAIN,NATURAL_HIGHPOINT,410828.010N,0275536.154E,581,0.10,NO INFO,,NO
LTBU303,TERRAIN,NATURAL_HIGHPOINT,410830.407N,0275540.524E,585,0.10,NO INFO,,NO
LTBU304,TERRAIN,NATURAL_HIGHPOINT,410834.322N,0275545.852E,588,0.10,NO INFO,,NO
LTBU305,TERRAIN,NATURAL_HIGHPOINT,410838.737N,0275550.696E,574,0.10,NO INFO,,NO
LTBU306,TERRAIN,NATURAL_HIGHPOINT,410816.713N,0275456.282E,539,0.10,NO INFO,,NO
LTBU307,TERRAIN,NATURAL_HIGHPOINT,410825.888N,0275507.736E,566,0.10,NO INFO,,NO
LTBU308,TERRAIN,NATURAL_HIGHPOINT,410828.205N,0275513.641E,574,0.10,NO INFO,,NO
LTBU309,TERRAIN,NATURAL_HIGHPOINT,410824.098N,0275507.090E,562,0.10,NO INFO,,NO
LTBU310,TERRAIN,NATURAL_HIGHPOINT,410833.853N,0275519.321E,578,0.10,NO INFO,,NO
LTBU311,TERRAIN,NATURAL_HIGHPOINT,410837.240N,0275527.062E,576,0.10,NO INFO,,NO
LTBU312,TERRAIN,NATURAL_HIGHPOINT,410843.419N,0275535.831E,574,0.10,NO INFO,,NO
LTBU313,TERRAIN,NATURAL_HIGHPOINT,410848.054N,0275544.121E,574,0.10,NO INFO,,NO
LTBU314,TERRAIN,NATURAL_HIGHPOINT,410852.936N,0275549.780E,593,0.10,NO INFO,,NO
LTBU315,TERRAIN,NATURAL_HIGHPOINT,410856.981N,0275553.336E,607,0.10,NO INFO,,NO
LTBU316,TERRAIN,NATURAL_HIGHPOINT,410902.949N,0275602.618E,607,0.10,NO INFO,,NO
LTBU317,TERRAIN,NATURAL_HIGHPOINT,410854.868N,0275556.761E,587,0.10,NO INFO,,NO
LTBU318,TERRAIN,NATURAL_HIGHPOINT,410857.889N,0275601.043E,586,0.10,NO INFO,,NO
LTBU319,TERRAIN,NATURAL_HIGHPOINT,410859.706N,0275607.435E,601,0.10,NO INFO,,NO
LTBU320,TERRAIN,NATURAL_HIGHPOINT,410905.370N,0275609.306E,607,0.10,NO INFO,,NO
LTBU321,TERRAIN,NATURAL_HIGHPOINT,410901.020N,0275603.936E,607,0.10,NO INFO,,NO
LTBU322,METEOROLOGY ANTENNA,ANTENNA,410757.812N,0275431.578E,510,8,YES,RED,NO
LTBU323,METEOROLOGY ANTENNA,ANTENNA,410842.452N,0275539.656E,563,8,YES,RED,NO
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
