Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,,
LTAP_679,BUILDING,BUILDING,405151.25N,0352744.86E,2291.09,34.45,NO,,NO,,
LTAP_680,BUILDING,BUILDING,405150.76N,0352744.89E,2288.49,34.45,NO,,NO,,
LTAP_681,BUILDING,BUILDING,405146.19N,0352744.57E,2273.60,34.45,NO,,NO,,
LTAP_682,BUILDING,BUILDING,405146.19N,0352746.26E,2281.06,44.29,NO,,NO,,
LTAP_683,BUILDING,BUILDING,405153.70N,0352743.93E,2304.58,34.45,NO,,NO,,
LTAP_684,MOSQUE,BUILDING,405153.54N,0352745.08E,2312.28,44.29,NO,,NO,,
LTAP_685,MINARET,BUILDING,405153.78N,0352744.79E,2338.40,68.90,NO,,NO,,
LTAP_686,BUILDING,BUILDING,405152.71N,0352745.19E,2298.37,34.45,NO,,NO,,
LTAP_687,BUILDING,BUILDING,405152.08N,0352745.13E,2295.16,34.45,NO,,NO,,
LTAP_688,BUILDING,BUILDING,405152.01N,0352745.78E,2294.00,34.45,NO,,NO,,
LTAP_689,BUILDING,BUILDING,405151.92N,0352746.49E,2292.57,34.45,NO,,NO,,
LTAP_690,BUILDING,BUILDING,405152.54N,0352747.24E,2294.92,34.45,NO,,NO,,
LTAP_691,BUILDING,BUILDING,405151.88N,0352747.28E,2291.76,34.45,NO,,NO,,
LTAP_692,BUILDING,BUILDING,405149.37N,0352730.33E,2298.21,34.45,NO,,NO,,
LTAP_693,BUILDING,BUILDING,405152.87N,0352729.57E,2309.47,24.61,NO,,NO,,
LTAP_694,BUILDING,BUILDING,405153.72N,0352730.65E,2314.59,24.61,NO,,NO,,
LTAP_695,BUILDING,BUILDING,405154.92N,0352732.84E,2321.17,24.61,NO,,NO,,
LTAP_696,BUILDING,BUILDING,405155.36N,0352732.86E,2321.17,24.61,NO,,NO,,
LTAP_697,BUILDING,BUILDING,405155.02N,0352732.17E,2311.32,14.76,NO,,NO,,
LTAP_698,BUILDING,BUILDING,405154.39N,0352738.92E,2313.94,34.45,NO,,NO,,
LTAP_699,BUILDING,BUILDING,405155.90N,0352737.49E,2332.80,44.29,NO,,NO,,
LTAP_700,BUILDING,BUILDING,405156.63N,0352739.64E,2333.49,44.29,NO,,NO,,
LTAP_701,BUILDING,BUILDING,405155.83N,0352738.82E,2331.02,44.29,NO,,NO,,
LTAP_702,BUILDING,BUILDING,405157.75N,0352738.05E,2341.32,44.29,NO,,NO,,
LTAP_703,BUILDING,BUILDING,405157.70N,0352738.79E,2329.99,34.45,NO,,NO,,
LTAP_704,BUILDING,BUILDING,405157.55N,0352740.10E,2327.43,34.45,NO,,NO,,
LTAP_705,BUILDING,BUILDING,405157.59N,0352739.49E,2328.38,34.45,NO,,NO,,
LTAP_706,BUILDING,BUILDING,405157.92N,0352736.67E,2343.44,44.29,NO,,NO,,
LTAP_707,BUILDING,BUILDING,405157.78N,0352737.44E,2332.22,34.45,NO,,NO,,
LTAP_708,BUILDING,BUILDING,405158.43N,0352739.53E,2352.34,54.13,NO,,NO,,
LTAP_709,BUILDING,BUILDING,405158.57N,0352738.18E,2344.96,44.29,NO,,NO,,
LTAP_710,BUILDING,BUILDING,405158.53N,0352738.88E,2333.64,34.45,NO,,NO,,
LTAP_711,BUILDING,BUILDING,405159.22N,0352741.36E,2334.87,34.45,NO,,NO,,
LTAP_712,BUILDING,BUILDING,405157.28N,0352742.28E,2343.24,54.13,NO,,NO,,
LTAP_713,BUILDING,BUILDING,405157.79N,0352743.30E,2324.23,34.45,NO,,NO,,
LTAP_714,BUILDING,BUILDING,405157.22N,0352743.23E,2321.79,34.45,NO,,NO,,
LTAP_715,BUILDING,BUILDING,405158.86N,0352743.42E,2328.49,34.45,NO,,NO,,
LTAP_716,BUILDING,BUILDING,405156.83N,0352737.69E,2347.06,54.13,NO,,NO,,
LTAP_717,BUILDING,BUILDING,405156.69N,0352738.41E,2345.60,54.13,NO,,NO,,
LTAP_718,BUILDING,BUILDING,405156.28N,0352742.58E,2328.28,44.29,NO,,NO,,
LTAP_719,BUILDING,BUILDING,405156.17N,0352743.16E,2336.92,54.13,NO,,NO,,
LTAP_720,BUILDING,BUILDING,405155.13N,0352744.17E,2320.85,44.29,NO,,NO,,
LTAP_721,BUILDING,BUILDING,405155.48N,0352742.93E,2333.90,54.13,NO,,NO,,
LTAP_722,BUILDING,BUILDING,405156.09N,0352745.34E,2313.48,34.45,NO,,NO,,
LTAP_723,BUILDING,BUILDING,405156.19N,0352744.39E,2315.50,34.45,NO,,NO,,
LTAP_724,BUILDING,BUILDING,405155.12N,0352745.26E,2309.56,34.45,NO,,NO,,
LTAP_725,BUILDING,BUILDING,405154.80N,0352745.22E,2308.12,34.45,NO,,NO,,
LTAP_726,BUILDING,BUILDING,405154.04N,0352742.69E,2307.61,34.45,NO,,NO,,
LTAP_727,BUILDING,BUILDING,405157.06N,0352744.54E,2328.84,44.29,NO,,NO,,
LTAP_728,BUILDING,BUILDING,405154.15N,0352732.03E,2337.18,44.29,NO,,NO,,
LTAP_729,BUILDING,BUILDING,405153.48N,0352732.60E,2332.92,44.29,NO,,NO,,
LTAP_730,BUILDING,BUILDING,405154.11N,0352732.70E,2326.88,34.45,NO,,NO,,
LTAP_731,BUILDING,BUILDING,405153.89N,0352736.12E,2318.20,34.45,NO,,NO,,
LTAP_732,BUILDING,BUILDING,405150.56N,0352731.86E,2306.06,34.45,NO,,NO,,
LTAP_733,BUILDING,BUILDING,405151.21N,0352731.89E,2309.61,34.45,NO,,NO,,
LTAP_734,BUILDING,BUILDING,405150.74N,0352735.98E,2304.97,34.45,NO,,NO,,
LTAP_735,BUILDING,BUILDING,405148.73N,0352735.01E,2307.01,44.29,NO,,NO,,
LTAP_736,BUILDING,BUILDING,405152.10N,0352732.58E,2325.16,44.29,NO,,NO,,
LTAP_737,BUILDING,BUILDING,405149.07N,0352731.81E,2298.11,34.45,NO,,NO,,
LTAP_738,BUILDING,BUILDING,405150.29N,0352734.19E,2305.25,34.45,NO,,NO,,
LTAP_739,BUILDING,BUILDING,405150.70N,0352736.63E,2303.26,34.45,NO,,NO,,
LTAP_740,BUILDING,BUILDING,405151.79N,0352735.78E,2310.37,34.45,NO,,NO,,
LTAP_741,BUILDING,BUILDING,405156.18N,0352734.96E,2339.35,44.29,NO,,NO,,
LTAP_742,BUILDING,BUILDING,405156.86N,0352735.08E,2331.53,34.45,NO,,NO,,
LTAP_743,BUILDING,BUILDING,405157.02N,0352735.85E,2330.64,34.45,NO,,NO,,
LTAP_744,MOSQUE,BUILDING,405141.07N,0352759.10E,2258.39,44.29,NO,,NO,,
LTAP_745,BUILDING,BUILDING,405141.44N,0352758.71E,2289.84,73.82,NO,,NO,,
LTAP_746,BUILDING,BUILDING,405129.53N,0352718.96E,2212.91,14.76,NO,,NO,,
LTAP_747,BUILDING,BUILDING,405129.34N,0352718.03E,2212.90,14.76,NO,,NO,,
LTAP_748,BUILDING,BUILDING,405128.76N,0352717.76E,2212.90,14.76,NO,,NO,,
LTAP_749,SILO,BUILDING,405028.41N,0352800.84E,2043.70,29.53,NO,,NO,,
LTAP_750,SILO,BUILDING,405028.41N,0352800.01E,2041.66,29.53,NO,,NO,,
LTAP_751,SILO,BUILDING,405027.90N,0352759.96E,2041.59,29.53,NO,,NO,,
LTAP_752,SILO,BUILDING,405027.89N,0352800.86E,2043.46,29.53,NO,,NO,,
LTAP_753,BUILDING,BUILDING,405036.84N,0352749.24E,2039.02,54.13,NO,,NO,,
LTAP_754,BUILDING,BUILDING,405035.47N,0352749.33E,2029.17,44.29,NO,,NO,,
LTAP_755,BUILDING,BUILDING,405035.02N,0352749.31E,2019.33,34.45,NO,,NO,,
LTAP_756,BUILDING,BUILDING,405036.79N,0352748.49E,2029.17,44.29,NO,,NO,,
LTAP_757,MOSQUE,BUILDING,405028.57N,0352910.28E,1975.92,34.45,NO,,NO,,
LTAP_758,MINARET,BUILDING,405028.88N,0352910.06E,2001.23,59.05,NO,,NO,,
LTAP_759,BUILDING,BUILDING,405023.83N,0352914.17E,1956.52,24.61,NO,,NO,,
LTAP_760,BUILDING,BUILDING,405023.49N,0352914.10E,1946.52,14.76,NO,,NO,,
LTAP_761,BUILDING,BUILDING,405023.20N,0352914.10E,1946.31,14.76,NO,,NO,,
LTAP_762,BUILDING,BUILDING,405022.68N,0352913.52E,1956.37,24.61,NO,,NO,,
LTAP_763,BUILDING,BUILDING,405025.42N,0352916.37E,1946.21,14.76,NO,,NO,,
LTAP_764,BUILDING,BUILDING,405025.47N,0352917.53E,1945.46,14.76,NO,,NO,,
LTAP_765,BUILDING,BUILDING,405027.26N,0352920.60E,1956.84,24.61,NO,,NO,,
LTAP_766,BUILDING,BUILDING,405026.79N,0352919.52E,1966.24,34.45,NO,,NO,,
LTAP_767,BUILDING,BUILDING,405026.89N,0352920.04E,1946.57,14.76,NO,,NO,,
LTAP_768,BUILDING,BUILDING,405026.89N,0352920.30E,1946.47,14.76,NO,,NO,,
LTAP_769,BUILDING,BUILDING,405158.49N,0352744.63E,2324.43,34.45,NO,,NO,,
LTAP_770,BUILDING,BUILDING,405200.60N,0352742.74E,2351.37,44.29,NO,,NO,,
LTAP_771,BUILDING,BUILDING,405156.97N,0352747.95E,2340.88,63.98,NO,,NO,,
LTAP_772,BUILDING,BUILDING,405202.00N,0352759.12E,2339.15,44.29,NO,,NO,,
LTAP_773,BUILDING,BUILDING,405025.69N,0352921.09E,1944.22,14.76,NO,,NO,,
LTAP_774,BUILDING,BUILDING,405026.79N,0352920.71E,1946.18,14.76,NO,,NO,,
LTAP_775,BUILDING,BUILDING,405027.29N,0352921.42E,1946.45,14.76,NO,,NO,,
LTAP_776,BUILDING,BUILDING,405026.71N,0352921.32E,1945.80,14.76,NO,,NO,,
LTAP_777,BUILDING,BUILDING,405025.45N,0352920.53E,1943.99,14.76,NO,,NO,,
LTAP_778,BUILDING,BUILDING,405023.15N,0352924.33E,1937.86,14.76,NO,,NO,,
LTAP_779,BUILDING,BUILDING,405024.74N,0352927.26E,1945.91,24.61,NO,,NO,,
LTAP_780,BUILDING,BUILDING,405025.23N,0352926.28E,1947.80,24.61,NO,,NO,,
LTAP_781,BUILDING,BUILDING,405025.47N,0352924.95E,1939.91,14.76,NO,,NO,,
LTAP_782,BUILDING,BUILDING,405025.83N,0352925.16E,1940.09,14.76,NO,,NO,,
LTAP_783,BUILDING,BUILDING,405025.91N,0352924.43E,1941.10,14.76,NO,,NO,,
LTAP_784,BUILDING,BUILDING,405026.37N,0352924.88E,1940.89,14.76,NO,,NO,,
LTAP_785,BUILDING,BUILDING,405026.69N,0352925.98E,1939.87,14.76,NO,,NO,,
LTAP_786,BUILDING,BUILDING,405025.88N,0352927.29E,1936.97,14.76,NO,,NO,,
LTAP_787,BUILDING,BUILDING,405025.47N,0352928.00E,1935.41,14.76,NO,,NO,,
LTAP_788,BUILDING,BUILDING,405024.92N,0352928.79E,1934.03,14.76,NO,,NO,,
LTAP_789,BUILDING,BUILDING,405024.35N,0352928.44E,1934.03,14.76,NO,,NO,,
LTAP_790,BUILDING,BUILDING,405024.58N,0352927.98E,1934.74,14.76,NO,,NO,,
LTAP_791,BUILDING,BUILDING,405203.13N,0352746.26E,2370.94,54.13,NO,,NO,,
LTAP_792,BUILDING,BUILDING,405203.30N,0352747.53E,2359.39,44.29,NO,,NO,,
LTAP_793,BUILDING,BUILDING,405206.32N,0352753.41E,2355.22,34.45,NO,,NO,,
LTAP_794,BUILDING,BUILDING,405205.89N,0352752.98E,2363.88,44.29,NO,,NO,,
LTAP_795,BUILDING,BUILDING,405203.74N,0352752.33E,2343.35,34.45,NO,,NO,,
LTAP_796,BUILDING,BUILDING,405205.84N,0352802.08E,2338.50,54.13,NO,,NO,,
LTAP_797,BUILDING,BUILDING,405205.93N,0352803.09E,2332.57,54.13,NO,,NO,,
LTAP_798,BUILDING,BUILDING,405206.05N,0352804.11E,2327.27,54.13,NO,,NO,,
LTAP_799,BUILDING,BUILDING,405206.10N,0352805.11E,2321.99,54.13,NO,,NO,,
LTAP_800,BUILDING,BUILDING,405211.17N,0352805.44E,2312.94,44.29,NO,,NO,,
LTAP_801,BUILDING,BUILDING,405212.19N,0352804.40E,2320.30,44.29,NO,,NO,,
LTAP_802,BUILDING,BUILDING,405212.62N,0352804.51E,2318.23,44.29,NO,,NO,,
LTAP_803,BUILDING,BUILDING,405211.62N,0352805.60E,2301.81,34.45,NO,,NO,,
LTAP_804,BUILDING,BUILDING,405212.47N,0352805.79E,2319.07,54.13,NO,,NO,,
LTAP_805,BUILDING,BUILDING,405213.94N,0352806.32E,2303.53,44.29,NO,,NO,,
LTAP_806,BUILDING,BUILDING,405213.04N,0352804.72E,2305.82,34.45,NO,,NO,,
LTAP_807,BUILDING,BUILDING,405213.08N,0352807.82E,2284.03,34.45,NO,,NO,,
LTAP_808,BUILDING,BUILDING,405213.26N,0352809.16E,2276.46,34.45,NO,,NO,,
LTAP_809,BUILDING,BUILDING,405214.02N,0352808.83E,2278.38,34.45,NO,,NO,,
LTAP_810,BUILDING,BUILDING,405213.87N,0352807.57E,2286.00,34.45,NO,,NO,,
LTAP_811,BUILDING,BUILDING,405202.93N,0352806.63E,2311.12,54.13,NO,,NO,,
