Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,,,,
LTBF_58,BUILDING,BUILDING,393733.042N,0275244.243E,640.88,83.66,NO INFO,,NO,,,,
LTBF_59,BUILDING,BUILDING,393734.340N,0275243.593E,645.58,83.66,NO INFO,,NO,,,,
LTBF_60,BUILDING,BUILDING,393736.405N,0275243.100E,647.73,83.66,NO INFO,,NO,,,,
LTBF_61,BUILDING,BUILDING,393735.658N,0275241.819E,657.08,83.66,NO INFO,,NO,,,,
LTBF_62,BUILDING,BUILDING,393736.455N,0275244.813E,636.71,83.66,NO INFO,,NO,,,,
LTBF_63,BUILDING,BUILDING,393736.968N,0275246.034E,627.61,83.66,NO INFO,,NO,,,,
LTBF_64,BUILDING,BUILDING,393737.123N,0275247.324E,619.36,83.66,NO INFO,,NO,,,,
LTBF_65,BUILDING,BUILDING,393737.266N,0275248.419E,612.57,83.66,NO INFO,,NO,,,,
LTBF_66,BUILDING,BUILDING,393733.860N,0275248.642E,614.86,83.66,NO INFO,,NO,,,,
LTBF_67,BUILDING,BUILDING,393735.251N,0275249.236E,611.45,83.66,NO INFO,,NO,,,,
LTBF_68,BUILDING,BUILDING,393733.438N,0275247.303E,623.53,83.66,NO INFO,,NO,,,,
LTBF_69,BUILDING,BUILDING,393733.368N,0275246.019E,630.97,83.66,NO INFO,,NO,,,,
LTBF_70,BUILDING,BUILDING,393730.966N,0275240.122E,683.22,93.50,NO INFO,,NO,,,,
LTBF_71,BUILDING,BUILDING,393730.787N,0275250.711E,560.13,44.29,NO INFO,,NO,,,,
LTBF_72,BUILDING,BUILDING,393731.513N,0275252.199E,553.54,44.29,NO INFO,,NO,,,,
LTBF_73,BUILDING,BUILDING,393729.503N,0275251.988E,562.92,54.13,NO INFO,,NO,,,,
LTBF_74,BUILDING,BUILDING,393727.775N,0275253.440E,534.53,34.45,NO INFO,,NO,,,,
LTBF_75,BUILDING,BUILDING,393727.073N,0275253.052E,534.99,34.45,NO INFO,,NO,,,,
LTBF_76,BUILDING,BUILDING,393726.972N,0275253.600E,531.87,34.45,NO INFO,,NO,,,,
LTBF_77,BUILDING,BUILDING,393725.454N,0275252.273E,533.41,34.45,NO INFO,,NO,,,,
LTBF_78,BUILDING,BUILDING,393726.104N,0275252.615E,534.07,34.45,NO INFO,,NO,,,,
LTBF_79,BUILDING,BUILDING,393726.084N,0275253.295E,531.41,34.45,NO INFO,,NO,,,,
LTBF_80,BUILDING,BUILDING,393725.398N,0275253.019E,529.36,34.45,NO INFO,,NO,,,,
LTBF_81,BUILDING,BUILDING,393725.196N,0275253.657E,526.45,34.45,NO INFO,,NO,,,,
LTBF_82,BUILDING,BUILDING,393726.064N,0275253.946E,528.19,34.45,NO INFO,,NO,,,,
LTBF_83,BUILDING,BUILDING,393727.729N,0275254.200E,531.75,34.45,NO INFO,,NO,,,,
LTBF_84,BUILDING,BUILDING,393727.581N,0275254.842E,527.71,34.45,NO INFO,,NO,,,,
LTBF_85,BUILDING,BUILDING,393727.578N,0275255.606E,525.96,34.45,NO INFO,,NO,,,,
LTBF_86,BUILDING,BUILDING,393726.966N,0275254.892E,526.48,34.45,NO INFO,,NO,,,,
LTBF_87,BUILDING,BUILDING,393725.926N,0275254.603E,555.50,63.98,NO INFO,,NO,,,,
LTBF_88,BUILDING,BUILDING,393725.810N,0275255.261E,554.33,63.98,NO INFO,,NO,,,,
LTBF_89,BUILDING,BUILDING,393725.261N,0275254.343E,545.58,54.13,NO INFO,,NO,,,,
LTBF_90,BUILDING,BUILDING,393725.132N,0275255.055E,544.32,54.13,NO INFO,,NO,,,,
LTBF_91,BUILDING,BUILDING,393724.301N,0275253.726E,525.68,34.45,NO INFO,,NO,,,,
LTBF_92,BUILDING,BUILDING,393724.405N,0275254.499E,524.43,34.45,NO INFO,,NO,,,,
LTBF_93,BUILDING,BUILDING,393723.368N,0275254.613E,523.45,34.45,NO INFO,,NO,,,,
LTBF_94,BUILDING,BUILDING,393723.446N,0275253.619E,525.01,34.45,NO INFO,,NO,,,,
LTBF_95,BUILDING,BUILDING,393723.367N,0275254.182E,524.07,34.45,NO INFO,,NO,,,,
LTBF_96,BUILDING,BUILDING,393723.486N,0275252.524E,527.07,34.45,NO INFO,,NO,,,,
LTBF_97,BUILDING,BUILDING,393723.632N,0275251.465E,533.88,34.45,NO INFO,,NO,,,,
LTBF_98,BUILDING,BUILDING,393724.470N,0275251.933E,534.06,34.45,NO INFO,,NO,,,,
LTBF_99,BUILDING,BUILDING,393722.644N,0275250.755E,538.37,34.45,NO INFO,,NO,,,,
LTBF_100,BUILDING,BUILDING,393722.585N,0275251.751E,530.28,34.45,NO INFO,,NO,,,,
LTBF_101,BUILDING,BUILDING,393722.576N,0275252.217E,527.04,34.45,NO INFO,,NO,,,,
LTBF_102,BUILDING,BUILDING,393721.568N,0275254.224E,523.08,34.45,NO INFO,,NO,,,,
LTBF_103,BUILDING,BUILDING,393721.826N,0275250.325E,538.74,34.45,NO INFO,,NO,,,,
LTBF_104,BUILDING,BUILDING,393721.723N,0275251.434E,530.11,34.45,NO INFO,,NO,,,,
LTBF_105,BUILDING,BUILDING,393720.875N,0275249.968E,548.72,44.29,NO INFO,,NO,,,,
LTBF_106,BUILDING,BUILDING,393719.952N,0275250.963E,540.47,44.29,NO INFO,,NO,,,,
LTBF_107,BUILDING,BUILDING,393719.926N,0275251.812E,545.87,54.13,NO INFO,,NO,,,,
LTBF_108,BUILDING,BUILDING,393715.539N,0275247.954E,552.42,54.13,NO INFO,,NO,,,,
LTBF_109,BUILDING,BUILDING,393715.800N,0275246.223E,538.37,34.45,NO INFO,,NO,,,,
LTBF_110,BUILDING,BUILDING,393714.418N,0275246.817E,543.36,44.29,NO INFO,,NO,,,,
LTBF_111,BUILDING,BUILDING,393713.988N,0275246.650E,543.71,44.29,NO INFO,,NO,,,,
LTBF_112,BUILDING,BUILDING,393716.400N,0275243.018E,570.44,54.13,NO INFO,,NO,,,,
LTBF_113,BUILDING,BUILDING,393717.131N,0275243.942E,548.92,34.45,NO INFO,,NO,,,,
LTBF_114,BUILDING,BUILDING,393716.731N,0275243.377E,559.55,44.29,NO INFO,,NO,,,,
LTBF_115,BUILDING,BUILDING,393716.334N,0275244.163E,546.83,34.45,NO INFO,,NO,,,,
LTBF_116,MINARET,BUILDING,393715.244N,0275246.247E,551.93,49.21,NO INFO,,NO,,,,
LTBF_117,BUILDING,BUILDING,393717.214N,0275246.366E,551.72,44.29,NO INFO,,NO,,,,
LTBF_118,BUILDING,BUILDING,393719.027N,0275243.922E,554.30,34.45,NO INFO,,NO,,,,
LTBF_119,BUILDING,BUILDING,393719.341N,0275244.096E,554.48,34.45,NO INFO,,NO,,,,
LTBF_120,BUILDING,BUILDING,393721.943N,0275245.514E,571.24,34.45,NO INFO,,NO,,,,
LTBF_121,BUILDING,BUILDING,393720.333N,0275243.861E,579.13,54.13,NO INFO,,NO,,,,
LTBF_122,BUILDING,BUILDING,393720.713N,0275244.002E,573.19,44.29,NO INFO,,NO,,,,
LTBF_123,BUILDING,BUILDING,393720.953N,0275244.159E,566.31,34.45,NO INFO,,NO,,,,
LTBF_124,BUILDING,BUILDING,393722.530N,0275244.907E,579.55,34.45,NO INFO,,NO,,,,
LTBF_125,BUILDING,BUILDING,393721.632N,0275245.282E,578.81,44.29,NO INFO,,NO,,,,
LTBF_126,BUILDING,BUILDING,393722.348N,0275245.601E,572.73,34.45,NO INFO,,NO,,,,
LTBF_127,BUILDING,BUILDING,393720.759N,0275246.479E,574.98,54.13,NO INFO,,NO,,,,
LTBF_128,BUILDING,BUILDING,393721.173N,0275246.608E,567.29,44.29,NO INFO,,NO,,,,
LTBF_129,BUILDING,BUILDING,393721.931N,0275247.181E,560.44,34.45,NO INFO,,NO,,,,
