Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,,,,
LTCV_31,TERRAIN,NATURAL_HIGHPOINT,372211.29N, 0420222.06E,2061.07,0.10,YES,RED,NO,,,,
LTCV_32,TERRAIN,NATURAL_HIGHPOINT,372209.96N, 0420226.88E,2044.86,0.10,YES,RED,NO,,,,
LTCV_33,TERRAIN,NATURAL_HIGHPOINT,372227.68N, 0415945.19E,2198.00,0.10,NO,,NO,,,,
LTCV_34,TERRAIN,NATURAL_HIGHPOINT,372522.21N, 0420338.29E,2742.74,0.10,NO,,NO,,,,
LTCV_35,TERRAIN,NATURAL_HIGHPOINT,372509.79N, 0420417.10E,2762.43,0.10,NO,,NO,,,,
LTCV_36,TERRAIN,NATURAL_HIGHPOINT,372435.42N, 0420524.96E,2542.62,0.10,NO,,NO,,,,
LTCV_37,TERRAIN,NATURAL_HIGHPOINT,372428.34N, 0420605.26E,2565.58,0.10,NO,,NO,,,,
LTCV_38,TERRAIN,NATURAL_HIGHPOINT,372411.08N, 0420644.03E,3083.95,0.10,NO,,NO,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
