Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group
LTFO64,BUILDING,BUILDING,411000.29N,0405326.28E,325.82,24.61,NO INFO,,NO
LTFO65,BUILDING,BUILDING,411001.61N,0405325.42E,370.99,44.29,NO INFO,,NO
LTFO66,BUILDING,BUILDING,411002.01N,0405324.33E,364.80,24.61,NO INFO,,NO
LTFO67,BUILDING,BUILDING,411001.78N,0405322.52E,380.03,34.45,NO INFO,,NO
LTFO68,BUILDING,BUILDING,411005.08N,0405319.45E,421.36,24.61,NO INFO,,NO
LTFO69,BUILDING,BUILDING,411003.76N,0405319.63E,429.35,34.45,NO INFO,,NO
LTFO70,BUILDING,BUILDING,411006.23N,0405318.77E,443.97,24.61,NO INFO,,NO
LTFO71,BUILDING,BUILDING,411007.43N,0405318.02E,485.40,44.29,NO INFO,,NO
LTFO72,BUILDING,BUILDING,411007.95N,0405317.47E,475.25,24.61,NO INFO,,NO
LTFO73,BUILDING,BUILDING,411007.29N,0405314.59E,535.35,24.61,NO INFO,,NO
LTFO74,BUILDING,BUILDING,411004.79N,0405310.02E,615.15,24.61,NO INFO,,NO
LTFO75,BUILDING,BUILDING,411005.68N,0405310.62E,613.45,34.45,NO INFO,,NO
LTFO76,BUILDING,BUILDING,411004.47N,0405308.37E,624.99,34.45,NO INFO,,NO
LTFO77,BUILDING,BUILDING,410959.90N,0405305.89E,680.77,24.61,NO INFO,,NO
LTFO78,BUILDING,BUILDING,410959.83N,0405302.11E,678.30,24.61,NO INFO,,NO
LTFO79,BUILDING,BUILDING,410957.25N,0405303.91E,713.94,24.61,NO INFO,,NO
LTFO80,BUILDING,BUILDING,410957.12N,0405302.75E,746.38,24.61,NO INFO,,NO
LTFO81,BUILDING,BUILDING,410957.93N,0405303.52E,734.68,34.45,NO INFO,,NO
LTFO82,BUILDING,BUILDING,410956.85N,0405306.95E,643.56,24.61,NO INFO,,NO
LTFO83,BUILDING,BUILDING,410958.98N,0405307.15E,656.20,24.61,NO INFO,,NO
LTFO84,BUILDING,BUILDING,410959.26N,0405307.25E,656.44,24.61,NO INFO,,NO
LTFO85,BUILDING,BUILDING,411000.20N,0405305.28E,690.61,34.45,NO INFO,,NO
LTFO86,BUILDING,BUILDING,410958.25N,0405310.01E,580.96,24.61,NO INFO,,NO
LTFO87,BUILDING,BUILDING,410958.32N,0405309.25E,606.10,24.61,NO INFO,,NO
LTFO88,BUILDING,BUILDING,410958.49N,0405308.89E,615.15,24.61,NO INFO,,NO
LTFO89,BUILDING,BUILDING,410953.96N,0405301.78E,752.00,24.61,NO INFO,,NO
LTFO90,BUILDING,BUILDING,410954.93N,0405301.99E,756.88,24.61,NO INFO,,NO
LTFO91,BUILDING,BUILDING,410956.14N,0405258.15E,761.54,44.29,NO INFO,,NO
LTFO92,BUILDING,BUILDING,410956.93N,0405259.29E,750.02,34.45,NO INFO,,NO
LTFO93,BUILDING,BUILDING,410958.90N,0405257.88E,664.34,24.61,NO INFO,,NO
LTFO94,BUILDING,BUILDING,410959.44N,0405257.80E,637.97,24.61,NO INFO,,NO
LTFO95,BUILDING,BUILDING,411002.30N,0405258.43E,540.12,24.61,NO INFO,,NO
LTFO96,BUILDING,BUILDING,411002.57N,0405255.92E,540.61,24.61,NO INFO,,NO
LTFO97,BUILDING,BUILDING,411003.13N,0405255.66E,518.05,24.61,NO INFO,,NO
LTFO98,BUILDING,BUILDING,411002.65N,0405240.71E,691.92,24.61,NO INFO,,NO
LTFO99,BUILDING,BUILDING,411003.14N,0405242.13E,682.06,24.61,NO INFO,,NO
LTFO100,BUILDING,BUILDING,411005.05N,0405243.36E,678.78,44.29,NO INFO,,NO
