Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group
LTFO897,BUILDING,BUILDING,410916.88N,0405244.64E,762.06,24.61,NO INFO,,NO
LTFO898,BUILDING,BUILDING,410915.57N,0405248.14E,658.20,24.61,NO INFO,,NO
LTFO899,BUILDING,BUILDING,410914.64N,0405247.13E,668.97,24.61,NO INFO,,NO
LTFO900,BUILDING,BUILDING,410914.12N,0405248.55E,647.96,24.61,NO INFO,,NO
LTFO901,BUILDING,BUILDING,410914.95N,0405251.95E,561.58,24.61,NO INFO,,NO
LTFO902,BUILDING,BUILDING,410918.39N,0405249.66E,630.26,24.61,NO INFO,,NO
LTFO903,BUILDING,BUILDING,410900.56N,0405227.18E,930.22,24.61,NO INFO,,NO
LTFO904,BUILDING,BUILDING,410900.92N,0405227.56E,919.78,24.61,NO INFO,,NO
LTFO905,BUILDING,BUILDING,410901.86N,0405225.28E,887.22,24.61,NO INFO,,NO
LTFO906,BUILDING,BUILDING,410902.69N,0405225.82E,878.14,24.61,NO INFO,,NO
LTFO907,BUILDING,BUILDING,410903.16N,0405224.68E,860.69,24.61,NO INFO,,NO
LTFO908,BUILDING,BUILDING,410904.00N,0405224.77E,841.65,24.61,NO INFO,,NO
LTFO909,BUILDING,BUILDING,410904.01N,0405222.97E,838.61,24.61,NO INFO,,NO
LTFO910,BUILDING,BUILDING,410904.03N,0405221.25E,822.50,24.61,NO INFO,,NO
LTFO911,BUILDING,BUILDING,410905.75N,0405221.87E,812.91,24.61,NO INFO,,NO
LTFO912,BUILDING,BUILDING,410859.14N,0405222.63E,877.90,24.61,NO INFO,,NO
LTFO913,BUILDING,BUILDING,410859.61N,0405220.02E,840.86,24.61,NO INFO,,NO
LTFO914,BUILDING,BUILDING,410900.08N,0405220.37E,824.28,24.61,NO INFO,,NO
LTFO915,BUILDING,BUILDING,410858.27N,0405219.91E,866.23,24.61,NO INFO,,NO
LTFO916,BUILDING,BUILDING,410834.83N,0405214.77E,1198.43,44.29,NO INFO,,NO
LTFO917,BUILDING,BUILDING,410837.09N,0405215.39E,1140.21,24.61,NO INFO,,NO
LTFO918,BUILDING,BUILDING,410843.40N,0405158.93E,896.21,24.61,NO INFO,,NO
LTFO919,BUILDING,BUILDING,410842.53N,0405155.46E,959.63,24.61,NO INFO,,NO
LTFO920,BUILDING,BUILDING,410844.31N,0405157.38E,933.38,24.61,NO INFO,,NO
LTFO921,BUILDING,BUILDING,410846.48N,0405156.92E,883.90,34.45,NO INFO,,NO
LTFO922,BUILDING,BUILDING,410847.97N,0405152.43E,875.28,24.61,NO INFO,,NO
LTFO923,BUILDING,BUILDING,410847.78N,0405151.90E,874.58,24.61,NO INFO,,NO
LTFO924,BUILDING,BUILDING,410848.94N,0405153.57E,875.55,34.45,NO INFO,,NO
LTFO925,BUILDING,BUILDING,410851.19N,0405153.63E,918.90,24.61,NO INFO,,NO
LTFO926,BUILDING,BUILDING,410851.36N,0405154.40E,910.83,34.45,NO INFO,,NO
LTFO927,BUILDING,BUILDING,410853.23N,0405155.66E,950.15,24.61,NO INFO,,NO
LTFO928,BUILDING,BUILDING,410853.52N,0405156.37E,952.66,24.61,NO INFO,,NO
LTFO929,BUILDING,BUILDING,410852.68N,0405157.46E,907.05,24.61,NO INFO,,NO
LTFO930,BUILDING,BUILDING,410854.28N,0405157.93E,963.21,34.45,NO INFO,,NO
LTFO931,BUILDING,BUILDING,410854.70N,0405158.42E,951.76,24.61,NO INFO,,NO
LTFO932,BUILDING,BUILDING,410854.60N,0405159.20E,934.37,24.61,NO INFO,,NO
LTFO933,BUILDING,BUILDING,410855.03N,0405158.77E,948.71,24.61,NO INFO,,NO
LTFO934,BUILDING,BUILDING,410855.52N,0405155.10E,1054.71,24.61,NO INFO,,NO
LTFO935,BUILDING,BUILDING,410853.46N,0405151.74E,1027.36,24.61,NO INFO,,NO
LTFO936,BUILDING,BUILDING,410853.11N,0405150.52E,1041.18,24.61,NO INFO,,NO
LTFO937,BUILDING,BUILDING,410852.69N,0405150.05E,1047.50,24.61,NO INFO,,NO
LTFO938,BUILDING,BUILDING,410853.29N,0405149.70E,1062.61,24.61,NO INFO,,NO
LTFO939,BUILDING,BUILDING,410851.74N,0405149.72E,1031.40,24.61,NO INFO,,NO
LTFO940,BUILDING,BUILDING,410850.55N,0405148.62E,1020.76,24.61,NO INFO,,NO
LTFO941,BUILDING,BUILDING,410850.85N,0405148.91E,1025.66,24.61,NO INFO,,NO
LTFO942,BUILDING,BUILDING,410850.51N,0405144.49E,1093.49,24.61,NO INFO,,NO
LTFO943,BUILDING,BUILDING,410848.90N,0405143.76E,1084.41,34.45,NO INFO,,NO
LTFO944,BUILDING,BUILDING,410849.09N,0405142.33E,1123.24,24.61,NO INFO,,NO
LTFO945,BUILDING,BUILDING,410849.70N,0405142.23E,1138.16,24.61,NO INFO,,NO
LTFO946,BUILDING,BUILDING,410850.11N,0405141.46E,1171.42,24.61,NO INFO,,NO
LTFO947,BUILDING,BUILDING,410850.41N,0405141.53E,1177.11,24.61,NO INFO,,NO
LTFO948,BUILDING,BUILDING,410851.64N,0405141.66E,1181.09,24.61,NO INFO,,NO
LTFO949,BUILDING,BUILDING,410853.08N,0405141.50E,1181.00,24.61,NO INFO,,NO
LTFO950,BUILDING,BUILDING,410853.93N,0405145.62E,1151.36,24.61,NO INFO,,NO
LTFO951,BUILDING,BUILDING,410854.07N,0405145.97E,1151.22,24.61,NO INFO,,NO
LTFO952,BUILDING,BUILDING,410854.22N,0405146.47E,1149.48,24.61,NO INFO,,NO
LTFO953,BUILDING,BUILDING,410854.45N,0405147.17E,1144.35,24.61,NO INFO,,NO
LTFO954,BUILDING,BUILDING,410855.07N,0405147.07E,1163.12,24.61,NO INFO,,NO
LTFO955,BUILDING,BUILDING,410855.20N,0405147.46E,1164.85,24.61,NO INFO,,NO
LTFO956,BUILDING,BUILDING,410853.75N,0405146.51E,1131.51,24.61,NO INFO,,NO
LTFO957,BUILDING,BUILDING,410853.88N,0405147.00E,1127.70,24.61,NO INFO,,NO
LTFO958,BUILDING,BUILDING,410854.18N,0405147.31E,1127.37,24.61,NO INFO,,NO
LTFO959,BUILDING,BUILDING,410856.13N,0405149.35E,1194.59,34.45,NO INFO,,NO
LTFO960,BUILDING,BUILDING,410856.91N,0405150.93E,1196.37,24.61,NO INFO,,NO
LTFO961,BUILDING,BUILDING,410856.39N,0405150.36E,1185.11,24.61,NO INFO,,NO
LTFO962,BUILDING,BUILDING,410856.94N,0405152.21E,1172.66,24.61,NO INFO,,NO
LTFO963,BUILDING,BUILDING,410856.74N,0405153.00E,1145.82,24.61,NO INFO,,NO
LTFO964,BUILDING,BUILDING,410856.81N,0405155.20E,1107.27,24.61,NO INFO,,NO
LTFO965,BUILDING,BUILDING,410856.49N,0405155.40E,1095.41,24.61,NO INFO,,NO
LTFO966,BUILDING,BUILDING,410856.72N,0405156.46E,1079.83,24.61,NO INFO,,NO
LTFO967,BUILDING,BUILDING,410858.75N,0405152.41E,1175.48,34.45,NO INFO,,NO
LTFO968,BUILDING,BUILDING,410859.38N,0405152.69E,1169.96,34.45,NO INFO,,NO
LTFO969,BUILDING,BUILDING,410859.83N,0405152.36E,1172.93,34.45,NO INFO,,NO
LTFO970,BUILDING,BUILDING,410859.64N,0405151.53E,1178.21,24.61,NO INFO,,NO
LTFO971,BUILDING,BUILDING,410900.10N,0405153.43E,1161.60,44.29,NO INFO,,NO
LTFO972,BUILDING,BUILDING,410901.55N,0405150.79E,1164.42,34.45,NO INFO,,NO
LTFO973,BUILDING,BUILDING,410900.88N,0405156.82E,985.34,24.61,NO INFO,,NO
LTFO974,BUILDING,BUILDING,410903.07N,0405152.79E,1112.22,34.45,NO INFO,,NO
LTFO975,BUILDING,BUILDING,410902.31N,0405152.24E,1118.46,24.61,NO INFO,,NO
LTFO976,BUILDING,BUILDING,410902.25N,0405149.97E,1165.03,34.45,NO INFO,,NO
LTFO977,BUILDING,BUILDING,410901.86N,0405149.45E,1169.36,24.61,NO INFO,,NO
LTFO978,BUILDING,BUILDING,410901.88N,0405148.40E,1178.35,24.61,NO INFO,,NO
LTFO979,BUILDING,BUILDING,410902.62N,0405149.18E,1172.21,24.61,NO INFO,,NO
LTFO980,BUILDING,BUILDING,410902.81N,0405148.51E,1182.89,24.61,NO INFO,,NO
LTFO981,BUILDING,BUILDING,410904.36N,0405146.95E,1245.41,34.45,NO INFO,,NO
LTFO982,BUILDING,BUILDING,410904.13N,0405147.63E,1212.11,24.61,NO INFO,,NO
LTFO983,BUILDING,BUILDING,410905.44N,0405147.24E,1248.34,34.45,NO INFO,,NO
LTFO984,BUILDING,BUILDING,410905.28N,0405146.77E,1248.34,34.45,NO INFO,,NO
LTFO985,BUILDING,BUILDING,410905.27N,0405145.79E,1238.39,24.61,NO INFO,,NO
LTFO986,BUILDING,BUILDING,410905.49N,0405142.69E,1256.19,34.45,NO INFO,,NO
LTFO987,BUILDING,BUILDING,410906.56N,0405144.89E,1201.90,24.61,NO INFO,,NO
LTFO988,BUILDING,BUILDING,410906.71N,0405152.28E,1132.15,34.45,NO INFO,,NO
LTFO989,BUILDING,BUILDING,410954.32N,0405333.31E,173.88,34.45,NO INFO,,NO
LTFO990,BUILDING,BUILDING,410951.50N,0405335.64E,172.50,34.45,NO INFO,,NO
LTFO991,BUILDING,BUILDING,410946.90N,0405335.79E,165.68,34.45,NO INFO,,NO
LTFO992,BUILDING,BUILDING,410946.08N,0405334.83E,179.25,34.45,NO INFO,,NO
LTFO993,BUILDING,BUILDING,410947.46N,0405335.25E,184.96,44.29,NO INFO,,NO
LTFO994,BUILDING,BUILDING,410947.32N,0405335.77E,168.97,34.45,NO INFO,,NO
LTFO995,BUILDING,BUILDING,410947.87N,0405335.59E,176.80,44.29,NO INFO,,NO
LTFO996,BUILDING,BUILDING,410948.61N,0405335.66E,175.52,44.29,NO INFO,,NO
LTFO997,BUILDING,BUILDING,410948.70N,0405334.73E,180.97,34.45,NO INFO,,NO
LTFO998,BUILDING,BUILDING,410949.10N,0405333.51E,188.65,24.61,NO INFO,,NO
LTFO999,BUILDING,BUILDING,410948.89N,0405331.26E,214.52,34.45,NO INFO,,NO
LTFO1000,BUILDING,BUILDING,410947.49N,0405331.12E,221.45,24.61,NO INFO,,NO
LTFO1001,BUILDING,BUILDING,410946.36N,0405331.44E,241.27,44.29,NO INFO,,NO
LTFO1002,BUILDING,BUILDING,410946.44N,0405330.41E,237.16,24.61,NO INFO,,NO
LTFO1003,BUILDING,BUILDING,410945.99N,0405328.51E,250.92,24.61,NO INFO,,NO
LTFO1004,BUILDING,BUILDING,410946.15N,0405327.86E,268.38,24.61,NO INFO,,NO
LTFO1005,BUILDING,BUILDING,410941.66N,0405314.65E,524.01,24.61,NO INFO,,NO
LTFO1006,BUILDING,BUILDING,410941.29N,0405314.84E,512.77,24.61,NO INFO,,NO
LTFO1007,BUILDING,BUILDING,410944.09N,0405314.72E,493.76,34.45,NO INFO,,NO
LTFO1008,BUILDING,BUILDING,410931.31N,0405356.02E,173.94,34.45,NO INFO,,NO
LTFO1009,BUILDING,BUILDING,410932.45N,0405355.10E,165.68,34.45,NO INFO,,NO
LTFO1010,BUILDING,BUILDING,410932.36N,0405351.55E,214.96,34.45,NO INFO,,NO
LTFO1011,BUILDING,BUILDING,410943.82N,0405345.24E,212.89,44.29,NO INFO,,NO
LTFO1012,BUILDING,BUILDING,410931.63N,0405306.81E,538.33,24.61,NO INFO,,NO
LTFO1013,BUILDING,BUILDING,410930.74N,0405306.59E,541.76,24.61,NO INFO,,NO
LTFO1014,BUILDING,BUILDING,410930.32N,0405307.06E,514.77,24.61,NO INFO,,NO
LTFO1015,BUILDING,BUILDING,410930.70N,0405307.64E,508.78,24.61,NO INFO,,NO
LTFO1016,BUILDING,BUILDING,410929.81N,0405306.79E,511.80,24.61,NO INFO,,NO
LTFO1017,BUILDING,BUILDING,410930.28N,0405313.27E,362.53,34.45,NO INFO,,NO
LTFO1018,BUILDING,BUILDING,410931.05N,0405313.67E,347.63,24.61,NO INFO,,NO
LTFO1019,BUILDING,BUILDING,410931.50N,0405313.93E,341.49,24.61,NO INFO,,NO
LTFO1020,BUILDING,BUILDING,410931.33N,0405314.72E,335.48,34.45,NO INFO,,NO
LTFO1021,BUILDING,BUILDING,410929.65N,0405314.08E,345.12,24.61,NO INFO,,NO
LTFO1022,BUILDING,BUILDING,410930.10N,0405314.09E,344.27,24.61,NO INFO,,NO
LTFO1023,BUILDING,BUILDING,410924.83N,0405307.21E,586.75,34.45,NO INFO,,NO
LTFO1024,BUILDING,BUILDING,410924.19N,0405307.17E,589.51,34.45,NO INFO,,NO
LTFO1025,BUILDING,BUILDING,410923.42N,0405307.00E,588.16,34.45,NO INFO,,NO
LTFO1026,BUILDING,BUILDING,410923.03N,0405306.74E,593.12,34.45,NO INFO,,NO
LTFO1027,BUILDING,BUILDING,410924.70N,0405311.41E,483.92,24.61,NO INFO,,NO
LTFO1028,BUILDING,BUILDING,410925.00N,0405311.05E,492.56,24.61,NO INFO,,NO
LTFO1029,BUILDING,BUILDING,410924.10N,0405311.02E,489.37,24.61,NO INFO,,NO
LTFO1030,BUILDING,BUILDING,410923.01N,0405302.96E,676.37,24.61,NO INFO,,NO
LTFO1031,BUILDING,BUILDING,410922.54N,0405302.95E,675.79,24.61,NO INFO,,NO
LTFO1032,BUILDING,BUILDING,410922.14N,0405302.71E,679.27,24.61,NO INFO,,NO
LTFO1033,BUILDING,BUILDING,410924.05N,0405302.48E,697.96,24.61,NO INFO,,NO
LTFO1034,BUILDING,BUILDING,410924.10N,0405301.63E,713.57,24.61,NO INFO,,NO
LTFO1035,BUILDING,BUILDING,410924.35N,0405301.07E,716.12,24.61,NO INFO,,NO
LTFO1036,BUILDING,BUILDING,410925.18N,0405301.69E,722.05,24.61,NO INFO,,NO
LTFO1037,BUILDING,BUILDING,410925.20N,0405300.22E,729.47,24.61,NO INFO,,NO
LTFO1038,BUILDING,BUILDING,410925.51N,0405259.74E,725.10,24.61,NO INFO,,NO
LTFO1039,BUILDING,BUILDING,410924.51N,0405300.28E,721.62,34.45,NO INFO,,NO
LTFO1040,BUILDING,BUILDING,410924.08N,0405300.49E,708.38,24.61,NO INFO,,NO
LTFO1041,BUILDING,BUILDING,410920.07N,0405305.36E,619.36,34.45,NO INFO,,NO
LTFO1042,BUILDING,BUILDING,410920.80N,0405302.71E,648.55,24.61,NO INFO,,NO
LTFO1043,BUILDING,BUILDING,410920.55N,0405303.20E,647.96,24.61,NO INFO,,NO
LTFO1044,BUILDING,BUILDING,410920.26N,0405302.80E,647.96,24.61,NO INFO,,NO
LTFO1045,BUILDING,BUILDING,410920.02N,0405259.82E,599.91,34.45,NO INFO,,NO
LTFO1046,BUILDING,BUILDING,410919.54N,0405302.06E,632.84,24.61,NO INFO,,NO
LTFO1047,BUILDING,BUILDING,410919.02N,0405302.18E,632.23,24.61,NO INFO,,NO
LTFO1048,BUILDING,BUILDING,410918.62N,0405302.42E,630.09,24.61,NO INFO,,NO
LTFO1049,BUILDING,BUILDING,410918.06N,0405302.49E,618.51,24.61,NO INFO,,NO
LTFO1050,BUILDING,BUILDING,410917.67N,0405302.12E,609.54,34.45,NO INFO,,NO
LTFO1051,BUILDING,BUILDING,410918.45N,0405303.77E,623.79,24.61,NO INFO,,NO
LTFO1052,BUILDING,BUILDING,410918.11N,0405304.22E,615.15,24.61,NO INFO,,NO
LTFO1053,BUILDING,BUILDING,410917.75N,0405304.50E,615.15,24.61,NO INFO,,NO
LTFO1054,BUILDING,BUILDING,410917.23N,0405304.67E,615.15,24.61,NO INFO,,NO
LTFO1055,BUILDING,BUILDING,410916.85N,0405303.84E,615.15,24.61,NO INFO,,NO
LTFO1056,BUILDING,BUILDING,410917.34N,0405303.24E,615.15,24.61,NO INFO,,NO
LTFO1057,BUILDING,BUILDING,410916.35N,0405304.85E,624.97,34.45,NO INFO,,NO
LTFO1058,BUILDING,BUILDING,410916.07N,0405304.16E,610.05,24.61,NO INFO,,NO
LTFO1059,BUILDING,BUILDING,410915.77N,0405304.79E,605.24,24.61,NO INFO,,NO
LTFO1060,BUILDING,BUILDING,410915.23N,0405305.22E,595.69,24.61,NO INFO,,NO
LTFO1061,BUILDING,BUILDING,410914.81N,0405305.58E,584.23,24.61,NO INFO,,NO
LTFO1062,BUILDING,BUILDING,410915.59N,0405305.33E,600.21,24.61,NO INFO,,NO
LTFO1063,BUILDING,BUILDING,410915.88N,0405305.27E,607.83,24.61,NO INFO,,NO
LTFO1064,BUILDING,BUILDING,410916.18N,0405305.77E,601.05,24.61,NO INFO,,NO
LTFO1065,BUILDING,BUILDING,410916.89N,0405306.45E,608.37,34.45,NO INFO,,NO
LTFO1066,BUILDING,BUILDING,410916.62N,0405307.26E,569.05,24.61,NO INFO,,NO
LTFO1067,BUILDING,BUILDING,410916.79N,0405307.72E,564.18,24.61,NO INFO,,NO
LTFO1068,BUILDING,BUILDING,410912.56N,0405305.78E,513.99,24.61,NO INFO,,NO
LTFO1069,BUILDING,BUILDING,410912.81N,0405306.34E,523.60,24.61,NO INFO,,NO
LTFO1070,BUILDING,BUILDING,410912.65N,0405306.49E,516.08,24.61,NO INFO,,NO
LTFO1071,BUILDING,BUILDING,410916.48N,0405315.00E,308.82,34.45,NO INFO,,NO
LTFO1072,BUILDING,BUILDING,410908.49N,0405309.46E,324.77,24.61,NO INFO,,NO
LTFO1073,BUILDING,BUILDING,410908.04N,0405310.29E,311.22,24.61,NO INFO,,NO
LTFO1074,BUILDING,BUILDING,410906.52N,0405313.10E,221.45,24.61,NO INFO,,NO
LTFO1075,BUILDING,BUILDING,410905.35N,0405314.50E,242.10,24.61,NO INFO,,NO
LTFO1076,BUILDING,BUILDING,410907.76N,0405316.34E,221.45,24.61,NO INFO,,NO
LTFO1077,BUILDING,BUILDING,410909.83N,0405320.96E,221.45,24.61,NO INFO,,NO
LTFO1078,BUILDING,BUILDING,410910.74N,0405320.58E,231.30,34.45,NO INFO,,NO
LTFO1079,BUILDING,BUILDING,410910.14N,0405318.45E,222.10,24.61,NO INFO,,NO
LTFO1080,BUILDING,BUILDING,410911.11N,0405319.09E,232.91,24.61,NO INFO,,NO
LTFO1081,BUILDING,BUILDING,410911.55N,0405321.15E,221.45,24.61,NO INFO,,NO
LTFO1082,BUILDING,BUILDING,410914.80N,0405325.08E,304.74,24.61,NO INFO,,NO
LTFO1083,BUILDING,BUILDING,410914.63N,0405323.14E,249.73,24.61,NO INFO,,NO
LTFO1084,BUILDING,BUILDING,410915.11N,0405322.97E,252.62,24.61,NO INFO,,NO
LTFO1085,BUILDING,BUILDING,410902.99N,0405321.42E,221.45,24.61,NO INFO,,NO
LTFO1086,BUILDING,BUILDING,410900.86N,0405312.26E,399.14,24.61,NO INFO,,NO
LTFO1087,BUILDING,BUILDING,410900.33N,0405311.18E,428.14,34.45,NO INFO,,NO
LTFO1088,BUILDING,BUILDING,410859.53N,0405310.22E,422.12,24.61,NO INFO,,NO
LTFO1089,BUILDING,BUILDING,410859.32N,0405309.54E,463.93,34.45,NO INFO,,NO
LTFO1090,BUILDING,BUILDING,410859.09N,0405309.12E,468.34,24.61,NO INFO,,NO
LTFO1091,BUILDING,BUILDING,410857.73N,0405307.20E,549.53,24.61,NO INFO,,NO
LTFO1092,BUILDING,BUILDING,410857.43N,0405310.91E,488.04,34.45,NO INFO,,NO
LTFO1093,BUILDING,BUILDING,410856.91N,0405311.33E,475.56,24.61,NO INFO,,NO
LTFO1094,BUILDING,BUILDING,410857.03N,0405301.71E,516.73,24.61,NO INFO,,NO
LTFO1095,BUILDING,BUILDING,410856.87N,0405301.14E,516.73,24.61,NO INFO,,NO
LTFO1096,BUILDING,BUILDING,410856.01N,0405300.84E,513.01,24.61,NO INFO,,NO
LTFO1097,BUILDING,BUILDING,410854.10N,0405317.54E,337.89,24.61,NO INFO,,NO
LTFO1098,BUILDING,BUILDING,410854.50N,0405316.14E,377.93,34.45,NO INFO,,NO
LTFO1099,BUILDING,BUILDING,410854.03N,0405314.95E,371.89,24.61,NO INFO,,NO
LTFO1100,BUILDING,BUILDING,410854.81N,0405314.51E,395.34,34.45,NO INFO,,NO
LTFO1101,BUILDING,BUILDING,410854.80N,0405313.99E,403.51,34.45,NO INFO,,NO
LTFO1102,BUILDING,BUILDING,410854.25N,0405312.48E,408.30,34.45,NO INFO,,NO
LTFO1103,BUILDING,BUILDING,410853.91N,0405258.46E,549.53,24.61,NO INFO,,NO
LTFO1104,BUILDING,BUILDING,410852.93N,0405258.57E,549.53,24.61,NO INFO,,NO
LTFO1105,BUILDING,BUILDING,410849.99N,0405257.01E,591.24,34.45,NO INFO,,NO
LTFO1106,BUILDING,BUILDING,410849.34N,0405256.61E,582.34,24.61,NO INFO,,NO
LTFO1107,BUILDING,BUILDING,410849.21N,0405256.38E,611.87,54.13,NO INFO,,NO
LTFO1108,BUILDING,BUILDING,410849.08N,0405256.08E,582.34,24.61,NO INFO,,NO
LTFO1109,BUILDING,BUILDING,410849.27N,0405255.45E,581.08,34.45,NO INFO,,NO
LTFO1110,BUILDING,BUILDING,410856.19N,0405246.68E,708.30,24.61,NO INFO,,NO
LTFO1111,BUILDING,BUILDING,410855.71N,0405246.65E,697.53,24.61,NO INFO,,NO
LTFO1112,BUILDING,BUILDING,410855.58N,0405247.26E,684.98,24.61,NO INFO,,NO
LTFO1113,BUILDING,BUILDING,410855.26N,0405247.79E,677.67,24.61,NO INFO,,NO
LTFO1114,BUILDING,BUILDING,410847.60N,0405300.85E,483.07,24.61,NO INFO,,NO
LTFO1115,BUILDING,BUILDING,410848.19N,0405300.42E,497.90,24.61,NO INFO,,NO
LTFO1116,BUILDING,BUILDING,410847.12N,0405301.07E,464.12,24.61,NO INFO,,NO
LTFO1117,BUILDING,BUILDING,410856.84N,0405158.07E,1020.10,24.61,NO INFO,,NO
LTFO1118,BUILDING,BUILDING,410857.02N,0405157.80E,1046.86,24.61,NO INFO,,NO
LTFO1119,BUILDING,BUILDING,410856.95N,0405158.89E,996.23,24.61,NO INFO,,NO
LTFO1120,BUILDING,BUILDING,410857.13N,0405200.06E,971.07,24.61,NO INFO,,NO
LTFO1121,BUILDING,BUILDING,410857.19N,0405201.03E,965.15,24.61,NO INFO,,NO
LTFO1122,BUILDING,BUILDING,410858.08N,0405200.22E,1008.85,24.61,NO INFO,,NO
LTFO1123,BUILDING,BUILDING,410857.84N,0405159.83E,1013.79,24.61,NO INFO,,NO
LTFO1124,BUILDING,BUILDING,410858.28N,0405200.65E,1008.85,24.61,NO INFO,,NO
LTFO1125,BUILDING,BUILDING,410857.91N,0405200.76E,1001.44,24.61,NO INFO,,NO
LTFO1126,BUILDING,BUILDING,410858.09N,0405201.47E,1005.29,24.61,NO INFO,,NO
LTFO1127,BUILDING,BUILDING,410857.98N,0405201.94E,1004.52,24.61,NO INFO,,NO
LTFO1128,BUILDING,BUILDING,410858.27N,0405202.83E,1027.53,34.45,NO INFO,,NO
LTFO1129,BUILDING,BUILDING,410858.18N,0405203.47E,1005.47,24.61,NO INFO,,NO
LTFO1130,BUILDING,BUILDING,410859.15N,0405203.97E,1000.52,34.45,NO INFO,,NO
LTFO1131,BUILDING,BUILDING,410856.65N,0405204.26E,951.01,24.61,NO INFO,,NO
LTFO1132,BUILDING,BUILDING,410857.13N,0405204.62E,970.89,24.61,NO INFO,,NO
LTFO1133,BUILDING,BUILDING,410856.58N,0405204.81E,945.95,24.61,NO INFO,,NO
LTFO1134,BUILDING,BUILDING,410856.06N,0405205.97E,925.01,24.61,NO INFO,,NO
LTFO1135,BUILDING,BUILDING,410856.66N,0405205.97E,938.02,24.61,NO INFO,,NO
LTFO1136,BUILDING,BUILDING,410904.94N,0405157.70E,937.91,24.61,NO INFO,,NO
LTFO1137,BUILDING,BUILDING,410906.53N,0405156.57E,1014.85,34.45,NO INFO,,NO
LTFO1138,BUILDING,BUILDING,410906.54N,0405155.89E,1042.63,44.29,NO INFO,,NO
LTFO1139,BUILDING,BUILDING,410907.08N,0405155.97E,1026.45,24.61,NO INFO,,NO
LTFO1140,BUILDING,BUILDING,410907.60N,0405154.44E,1111.47,34.45,NO INFO,,NO
LTFO1141,BUILDING,BUILDING,410908.15N,0405154.58E,1111.86,34.45,NO INFO,,NO
LTFO1142,BUILDING,BUILDING,410909.03N,0405155.03E,1118.97,34.45,NO INFO,,NO
LTFO1143,BUILDING,BUILDING,410909.66N,0405155.96E,1119.54,34.45,NO INFO,,NO
LTFO1144,BUILDING,BUILDING,410910.24N,0405155.59E,1132.36,34.45,NO INFO,,NO
LTFO1145,BUILDING,BUILDING,410909.86N,0405159.00E,1029.39,34.45,NO INFO,,NO
LTFO1146,BUILDING,BUILDING,410908.36N,0405158.00E,1022.27,34.45,NO INFO,,NO
LTFO1147,BUILDING,BUILDING,410908.38N,0405158.53E,1017.30,34.45,NO INFO,,NO
LTFO1148,BUILDING,BUILDING,410907.98N,0405158.67E,999.37,34.45,NO INFO,,NO
LTFO1149,BUILDING,BUILDING,410908.83N,0405158.36E,1027.94,34.45,NO INFO,,NO
LTFO1150,BUILDING,BUILDING,410912.31N,0405156.67E,1030.35,34.45,NO INFO,,NO
LTFO1151,BUILDING,BUILDING,410912.76N,0405154.84E,1064.17,24.61,NO INFO,,NO
LTFO1152,BUILDING,BUILDING,410913.07N,0405154.68E,1063.53,24.61,NO INFO,,NO
LTFO1153,BUILDING,BUILDING,410914.10N,0405154.30E,1061.03,34.45,NO INFO,,NO
LTFO1154,BUILDING,BUILDING,410914.29N,0405153.57E,1066.33,34.45,NO INFO,,NO
LTFO1155,BUILDING,BUILDING,410913.85N,0405150.21E,1029.47,34.45,NO INFO,,NO
LTFO1156,BUILDING,BUILDING,410916.52N,0405155.61E,954.95,34.45,NO INFO,,NO
LTFO1157,BUILDING,BUILDING,410916.91N,0405155.16E,968.00,24.61,NO INFO,,NO
LTFO1158,BUILDING,BUILDING,410916.71N,0405154.99E,971.60,24.61,NO INFO,,NO
LTFO1159,BUILDING,BUILDING,410918.52N,0405215.91E,601.02,24.61,NO INFO,,NO
LTFO1160,BUILDING,BUILDING,410918.17N,0405215.90E,616.27,24.61,NO INFO,,NO
LTFO1161,BUILDING,BUILDING,410917.50N,0405215.91E,641.40,34.45,NO INFO,,NO
LTFO1162,BUILDING,BUILDING,410916.92N,0405215.98E,647.96,24.61,NO INFO,,NO
LTFO1163,BUILDING,BUILDING,410917.14N,0405216.50E,642.87,24.61,NO INFO,,NO
LTFO1164,BUILDING,BUILDING,410916.34N,0405215.86E,644.96,24.61,NO INFO,,NO
LTFO1165,BUILDING,BUILDING,410916.16N,0405215.86E,644.14,24.61,NO INFO,,NO
LTFO1166,BUILDING,BUILDING,410915.47N,0405223.54E,642.14,24.61,NO INFO,,NO
LTFO1167,BUILDING,BUILDING,410914.83N,0405231.59E,764.94,24.61,NO INFO,,NO
LTFO1168,BUILDING,BUILDING,410911.75N,0405235.96E,877.61,24.61,NO INFO,,NO
LTFO1169,BUILDING,BUILDING,410936.20N,0405313.19E,416.27,24.61,NO INFO,,NO
LTFO1170,BUILDING,BUILDING,410935.27N,0405313.33E,384.78,24.61,NO INFO,,NO
LTFO1171,BUILDING,BUILDING,410936.44N,0405313.50E,412.49,24.61,NO INFO,,NO
LTFO1172,BUILDING,BUILDING,410936.41N,0405314.15E,393.07,24.61,NO INFO,,NO
LTFO1173,BUILDING,BUILDING,410936.59N,0405314.56E,380.96,24.61,NO INFO,,NO
LTFO1174,BUILDING,BUILDING,410919.41N,0405323.81E,221.45,24.61,NO INFO,,NO
