Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTFG189,GREENHOUSE,BUILDING,361805.350N,0321839.600E,132.66,14.76,NO INFO,,NO,
LTFG190,GREENHOUSE,BUILDING,361806.109N,0321840.171E,134.91,14.76,NO INFO,,NO,
LTFG191,GREENHOUSE,BUILDING,361806.312N,0321840.533E,135.63,14.76,NO INFO,,NO,
LTFG192,GREENHOUSE,BUILDING,361806.260N,0321840.368E,135.52,14.76,NO INFO,,NO,
LTFG193,BUILDING,BUILDING,361802.396N,0321849.523E,155.85,24.61,NO INFO,,NO,
LTFG194,BUILDING,BUILDING,361815.186N,0321938.869E,236.07,14.76,NO INFO,,NO,
LTFG195,GREENHOUSE,BUILDING,361815.822N,0321935.495E,229.44,14.76,NO INFO,,NO,
LTFG196,GREENHOUSE,BUILDING,361815.617N,0321935.431E,225.66,14.76,NO INFO,,NO,
LTFG197,GREENHOUSE,BUILDING,361815.359N,0321935.393E,223.76,14.76,NO INFO,,NO,
LTFG198,GREENHOUSE,BUILDING,361814.934N,0321939.959E,236.67,14.76,NO INFO,,NO,
LTFG199,BUILDING,BUILDING,361813.635N,0321914.449E,196.61,24.61,NO INFO,,NO,
LTFG200,BUILDING,BUILDING,361813.476N,0321914.289E,193.62,24.61,NO INFO,,NO,
LTFG201,BUILDING,BUILDING,361813.460N,0321915.104E,198.99,24.61,NO INFO,,NO,
LTFG202,BUILDING,BUILDING,361813.591N,0321915.205E,201.97,24.61,NO INFO,,NO,
LTFG203,BUILDING,BUILDING,361812.801N,0321911.579E,188.66,24.61,NO INFO,,NO,
LTFG204,BUILDING,BUILDING,361811.097N,0321913.920E,188.66,24.61,NO INFO,,NO,
LTFG205,GREENHOUSE,BUILDING,361843.089N,0321852.279E,244.34,14.76,NO INFO,,NO,
LTFG206,GREENHOUSE,BUILDING,361842.331N,0321852.492E,242.50,14.76,NO INFO,,NO,
LTFG207,GREENHOUSE,BUILDING,361907.945N,0321849.050E,244.47,14.76,NO INFO,,NO,
LTFG208,GREENHOUSE,BUILDING,361907.262N,0321849.490E,239.16,14.76,NO INFO,,NO,
LTFG209,GREENHOUSE,BUILDING,361906.141N,0321907.174E,243.50,14.76,NO INFO,,NO,
LTFG210,GREENHOUSE,BUILDING,361908.745N,0321904.618E,241.70,14.76,NO INFO,,NO,
LTFG211,GREENHOUSE,BUILDING,361859.741N,0321906.726E,242.08,14.76,NO INFO,,NO,
LTFG212,GREENHOUSE,BUILDING,361900.217N,0321907.438E,246.17,14.76,NO INFO,,NO,
LTFG213,GREENHOUSE,BUILDING,361854.999N,0321905.282E,251.02,14.76,NO INFO,,NO,
LTFG214,GREENHOUSE,BUILDING,361848.979N,0321905.626E,244.43,14.76,NO INFO,,NO,
LTFG215,GREENHOUSE,BUILDING,361853.243N,0321904.170E,248.22,14.76,NO INFO,,NO,
LTFG216,GREENHOUSE,BUILDING,361852.712N,0321903.273E,242.20,14.76,NO INFO,,NO,
LTFG217,GREENHOUSE,BUILDING,361852.693N,0321901.787E,238.07,14.76,NO INFO,,NO,
LTFG218,GREENHOUSE,BUILDING,361849.870N,0321901.852E,249.63,14.76,NO INFO,,NO,
LTFG219,GREENHOUSE,BUILDING,361849.744N,0321902.264E,246.13,14.76,NO INFO,,NO,
LTFG220,BUILDING,BUILDING,361909.036N,0321848.085E,244.25,14.76,NO INFO,,NO,
LTFG221,GREENHOUSE,BUILDING,361906.021N,0321843.337E,239.71,14.76,NO INFO,,NO,
LTFG222,GREENHOUSE,BUILDING,361921.795N,0321831.281E,242.87,14.76,NO INFO,,NO,
LTFG223,GREENHOUSE,BUILDING,361934.284N,0321840.743E,247.66,14.76,NO INFO,,NO,
LTFG224,GREENHOUSE,BUILDING,361933.085N,0321841.327E,250.38,14.76,NO INFO,,NO,
LTFG225,GREENHOUSE,BUILDING,361932.731N,0321840.958E,244.43,14.76,NO INFO,,NO,
LTFG226,GREENHOUSE,BUILDING,361947.288N,0321847.052E,240.08,14.76,NO INFO,,NO,
LTFG227,GREENHOUSE,BUILDING,361837.276N,0321813.446E,243.33,14.76,NO INFO,,NO,
LTFG228,GREENHOUSE,BUILDING,361838.305N,0321811.081E,240.25,14.76,NO INFO,,NO,
