Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTCR_59,LIGHTING MAST,POLE,371253.655N,0403732.696E,1680.35,32.80,NO INFO,,NO
LTCR_60,LIGHTING MAST,POLE,371247.442N,0403726.768E,1670.97,32.80,NO INFO,,NO
LTCR_61,LIGHTING MAST,POLE,371248.221N,0403727.501E,1671.67,32.80,NO INFO,,NO
LTCR_62,LIGHTING MAST,POLE,371249.008N,0403728.230E,1672.41,32.80,NO INFO,,NO
LTCR_63,LIGHTING MAST,POLE,371249.772N,0403728.979E,1673.14,32.80,NO INFO,,NO
LTCR_64,LIGHTING MAST,POLE,371247.243N,0403720.813E,1669.82,32.80,NO INFO,,NO
LTCR_65,GSM MAST,POLE,372002.243N,0404236.200E,3247.64,196.85,NO INFO,,NO
LTCR_66,MOSQUE,BUILDING,371959.768N,0404329.339E,3126.99,29.53,NO INFO,,NO
LTCR_67,MOSQUE,BUILDING,371958.885N,0404329.209E,3127.45,39.37,NO INFO,,NO
LTCR_68,MINARET,BUILDING,371959.115N,0404328.927E,3166.24,78.74,NO INFO,,NO
LTCR_69,HIGH VOLTAGE MAST,POLE,371955.063N,0404227.549E,3176.13,147.64,NO INFO,,NO
LTCR_70,MOSQUE,BUILDING,371949.939N,0404249.094E,3080.67,29.53,NO INFO,,NO
LTCR_71,MOSQUE,BUILDING,371949.913N,0404249.066E,3100.36,49.21,NO INFO,,NO
LTCR_72,MINARET,BUILDING,371949.734N,0404248.637E,3129.88,78.74,NO INFO,,NO
LTCR_73,MINARET,BUILDING,371949.713N,0404249.538E,3129.88,78.74,NO INFO,,NO
LTCR_74,MEDIUM VOLTAGE MAST,POLE,371947.339N,0404234.186E,3255.46,147.64,NO INFO,,NO
LTCR_75,MOSQUE,BUILDING,371932.339N,0404318.275E,3096.73,39.37,NO INFO,,NO
LTCR_76,MOSQUE,BUILDING,371932.402N,0404317.542E,3095.54,39.37,NO INFO,,NO
LTCR_77,MINARET,BUILDING,371932.550N,0404317.496E,3113.38,59.05,NO INFO,,NO
LTCR_78,GSM MAST,POLE,371932.380N,0404234.977E,3257.78,91.86,NO INFO,,NO
LTCR_79,GSM MAST,POLE,371932.366N,0404234.504E,3262.12,98.42,NO INFO,,NO
LTCR_80,GSM MAST,POLE,371932.788N,0404234.411E,3250.11,91.86,NO INFO,,NO
LTCR_81,MEDIUM VOLTAGE MAST,POLE,371940.641N,0404239.855E,3261.80,147.64,NO INFO,,NO
LTCR_82,MOSQUE,BUILDING,371931.779N,0404318.226E,3103.86,39.37,NO INFO,,NO
LTCR_83,MOSQUE,BUILDING,371931.809N,0404317.497E,3103.33,39.37,NO INFO,,NO
LTCR_84,MOSQUE,BUILDING,371932.064N,0404317.827E,3109.60,49.21,NO INFO,,NO
LTCR_85,MINARET,BUILDING,371931.637N,0404317.440E,3125.55,59.05,NO INFO,,NO
LTCR_86,HIGH VOLTAGE MAST,POLE,371931.834N,0404247.148E,3265.49,147.64,NO INFO,,NO
LTCR_87,MEDIUM VOLTAGE MAST,POLE,371931.165N,0404235.111E,3257.83,91.86,NO INFO,,NO
LTCR_88,MINARET,BUILDING,371928.779N,0404413.833E,3107.26,78.74,NO INFO,,NO
LTCR_89,MEDIUM VOLTAGE MAST,POLE,371923.365N,0404253.959E,3165.64,147.64,NO INFO,,NO
LTCR_90,MOSQUE,BUILDING,371920.915N,0404355.324E,3102.51,29.53,NO INFO,,NO
LTCR_91,MOSQUE,BUILDING,371920.558N,0404355.256E,3146.48,68.90,NO INFO,,NO
LTCR_92,MINARET,BUILDING,371920.461N,0404354.756E,3193.83,108.27,NO INFO,,NO
LTCR_93,MINARET,BUILDING,371920.408N,0404355.762E,3185.42,108.27,NO INFO,,NO
LTCR_94,MOSQUE,BUILDING,371912.609N,0404352.095E,3322.33,39.37,NO INFO,,NO
LTCR_95,MEDIUM VOLTAGE MAST,POLE,371914.394N,0404300.946E,3116.76,114.83,NO INFO,,NO
LTCR_96,MOSQUE,BUILDING,371910.085N,0404305.556E,3067.55,49.21,NO INFO,,NO
LTCR_97,MOSQUE,BUILDING,371909.785N,0404305.211E,3057.71,39.37,NO INFO,,NO
LTCR_98,MOSQUE,BUILDING,371910.044N,0404305.556E,3047.86,29.53,NO INFO,,NO
LTCR_99,MOSQUE,BUILDING,371909.779N,0404305.797E,3057.71,39.37,NO INFO,,NO
LTCR_100,MOSQUE,BUILDING,371910.230N,0404305.865E,3058.51,39.37,NO INFO,,NO
LTCR_101,MOSQUE,BUILDING,371910.249N,0404305.252E,3057.71,39.37,NO INFO,,NO
LTCR_102,MINARET,BUILDING,371910.470N,0404305.861E,3097.95,78.74,NO INFO,,NO
LTCR_103,MOSQUE,BUILDING,371909.132N,0404321.104E,3120.57,39.37,NO INFO,,NO
LTCR_104,MINARET,BUILDING,371909.467N,0404320.651E,3158.25,78.74,NO INFO,,NO
LTCR_105,MINARET,BUILDING,371909.393N,0404321.618E,3160.48,78.74,NO INFO,,NO
LTCR_106,MINARET,BUILDING,371902.642N,0404451.255E,3666.88,39.37,NO INFO,,NO
LTCR_107,STADIUM,BUILDING,371854.010N,0404337.605E,3430.67,29.53,NO INFO,,NO
LTCR_108,STADIUM,BUILDING,371855.028N,0404338.652E,3431.29,29.53,NO INFO,,NO
LTCR_109,STADIUM,BUILDING,371856.231N,0404339.871E,3431.91,29.53,NO INFO,,NO
LTCR_110,MOSQUE,BUILDING,371855.444N,0404452.547E,3604.65,78.74,NO INFO,,NO
LTCR_111,MOSQUE,BUILDING,371851.872N,0404453.126E,3529.35,78.74,NO INFO,,NO
LTCR_112,MOSQUE,BUILDING,371857.210N,0404351.470E,3603.66,39.37,NO INFO,,NO
LTCR_113,MINARET,BUILDING,371857.019N,0404351.576E,3645.46,78.74,NO INFO,,NO
LTCR_114,MEDIUM VOLTAGE MAST,POLE,371856.524N,0404315.816E,3268.52,147.64,NO INFO,,NO
LTCR_115,MOSQUE,BUILDING,371848.569N,0404431.251E,3504.65,39.37,NO INFO,,NO
LTCR_116,MOSQUE,BUILDING,371849.386N,0404431.177E,3512.85,29.53,NO INFO,,NO
LTCR_117,MOSQUE,BUILDING,371849.323N,0404430.576E,3518.17,29.53,NO INFO,,NO
LTCR_118,MINARET,BUILDING,371848.927N,0404430.635E,3552.19,78.74,NO INFO,,NO
LTCR_119,MINARET,BUILDING,371850.094N,0404435.916E,3556.19,78.74,NO INFO,,NO
LTCR_120,MINARET,BUILDING,371847.565N,0404417.881E,3554.42,59.05,NO INFO,,NO
LTCR_121,MOSQUE,BUILDING,371851.440N,0404452.743E,3488.18,39.37,NO INFO,,NO
LTCR_122,MOSQUE,BUILDING,371850.610N,0404445.292E,3493.33,29.53,NO INFO,,NO
LTCR_123,MOSQUE,BUILDING,371848.158N,0404331.400E,3411.80,29.53,NO INFO,,NO
LTCR_124,MOSQUE,BUILDING,371848.076N,0404331.452E,3433.32,49.21,NO INFO,,NO
LTCR_125,MINARET,BUILDING,371848.251N,0404331.875E,3469.05,78.74,NO INFO,,NO
LTCR_126,MOSQUE,BUILDING,371841.275N,0404354.246E,3366.99,49.21,NO INFO,,NO
LTCR_127,MINARET,BUILDING,371846.443N,0404422.709E,3542.31,78.74,NO INFO,,NO
LTCR_128,MOSQUE,BUILDING,371845.726N,0404421.605E,3484.47,29.53,NO INFO,,NO
LTCR_129,MOSQUE,BUILDING,371845.558N,0404421.672E,3501.34,49.21,NO INFO,,NO
LTCR_130,MINARET,BUILDING,371845.675N,0404405.403E,3522.20,78.74,NO INFO,,NO
LTCR_131,MOSQUE,BUILDING,371841.283N,0404353.994E,3349.89,29.53,NO INFO,,NO
LTCR_132,MINARET,BUILDING,371846.805N,0404354.189E,3527.98,59.05,NO INFO,,NO
LTCR_133,MOSQUE,BUILDING,371844.882N,0404404.701E,3468.49,39.37,NO INFO,,NO
LTCR_134,MOSQUE,BUILDING,371845.244N,0404400.964E,3475.38,29.53,NO INFO,,NO
LTCR_135,MINARET,BUILDING,371840.682N,0404409.412E,3383.10,78.74,NO INFO,,NO
LTCR_136,MINARET,BUILDING,371839.670N,0404357.199E,3338.80,49.21,NO INFO,,NO
LTCR_137,MINARET,BUILDING,371841.010N,0404428.735E,3388.48,59.05,NO INFO,,NO
LTCR_138,MOSQUE,BUILDING,371840.849N,0404409.970E,3356.32,39.37,NO INFO,,NO
LTCR_139,MINARET,BUILDING,371830.330N,0404328.177E,3360.26,68.90,NO INFO,,NO
LTCR_140,MINARET,BUILDING,371834.138N,0404423.380E,3309.68,78.74,NO INFO,,NO
LTCR_141,MOSQUE,BUILDING,371834.582N,0404423.921E,3261.32,29.53,NO INFO,,NO
LTCR_142,MINARET,BUILDING,371835.039N,0404403.656E,3353.86,49.21,NO INFO,,NO
LTCR_143,LOW VOLTAGE MAST,POLE,371828.608N,0404350.950E,3168.99,49.21,NO INFO,,NO
LTCR_144,LOW VOLTAGE MAST,POLE,371821.680N,0404334.493E,3139.33,49.21,NO INFO,,NO
LTCR_145,LOW VOLTAGE MAST,POLE,371823.455N,0404338.444E,3128.30,49.21,NO INFO,,NO
LTCR_146,HIGH VOLTAGE MAST,POLE,371824.917N,0404347.414E,3230.78,131.23,NO INFO,,NO
LTCR_147,MEDIUM VOLTAGE MAST,POLE,371820.324N,0404322.486E,3163.21,98.42,NO INFO,,NO
LTCR_148,MEDIUM VOLTAGE MAST,POLE,371822.342N,0404312.476E,3124.21,98.42,NO INFO,,NO
LTCR_149,LOW VOLTAGE MAST,POLE,371817.982N,0404334.852E,3018.46,49.21,NO INFO,,NO
LTCR_150,MEDIUM VOLTAGE MAST,POLE,371818.989N,0404338.165E,3048.34,98.42,NO INFO,,NO
LTCR_151,LOW VOLTAGE MAST,POLE,371813.775N,0404322.009E,2789.71,49.21,NO INFO,,NO
LTCR_152,LOW VOLTAGE MAST,POLE,371811.571N,0404320.082E,2686.69,49.21,NO INFO,,NO
LTCR_153,MEDIUM VOLTAGE MAST,POLE,371811.802N,0404311.889E,2695.35,98.42,NO INFO,,NO
LTCR_154,MEDIUM VOLTAGE MAST,POLE,371811.604N,0404312.416E,2687.52,98.42,NO INFO,,NO
LTCR_155,MEDIUM VOLTAGE MAST,POLE,371814.889N,0404312.771E,2788.85,98.42,NO INFO,,NO
LTCR_156,MEDIUM VOLTAGE MAST,POLE,371815.133N,0404313.490E,2805.44,98.42,NO INFO,,NO
LTCR_157,LOW VOLTAGE MAST,POLE,371814.007N,0404327.105E,2848.13,49.21,NO INFO,,NO
LTCR_158,LOW VOLTAGE MAST,POLE,371815.640N,0404330.809E,2928.70,49.21,NO INFO,,NO
LTCR_159,LOW VOLTAGE MAST,POLE,371800.618N,0404217.741E,2391.67,49.21,NO INFO,,NO
LTCR_160,LOW VOLTAGE MAST,POLE,371758.955N,0404214.909E,2378.08,49.21,NO INFO,,NO
LTCR_161,LOW VOLTAGE MAST,POLE,371748.265N,0404220.524E,2448.53,49.21,NO INFO,,NO
LTCR_162,LOW VOLTAGE MAST,POLE,371748.699N,0404220.550E,2457.22,49.21,NO INFO,,NO
LTCR_163,LOW VOLTAGE MAST,POLE,371756.987N,0404211.538E,2343.25,49.21,NO INFO,,NO
LTCR_164,MEDIUM VOLTAGE MAST,POLE,371741.964N,0404220.101E,2410.29,98.42,NO INFO,,NO
LTCR_165,LOW VOLTAGE MAST,POLE,371745.243N,0404220.334E,2389.68,49.21,NO INFO,,NO
LTCR_166,LOW VOLTAGE MAST,POLE,371732.871N,0404219.164E,2532.87,49.21,NO INFO,,NO
LTCR_167,LOW VOLTAGE MAST,POLE,371735.799N,0404218.214E,2530.06,49.21,NO INFO,,NO
LTCR_168,HIGH VOLTAGE MAST,POLE,371654.741N,0403929.953E,2362.18,131.23,NO INFO,,NO
LTCR_169,HIGH VOLTAGE MAST,POLE,371654.123N,0403932.689E,2339.80,131.23,NO INFO,,NO
LTCR_170,HIGH VOLTAGE MAST,POLE,371653.472N,0403934.085E,2329.37,131.23,NO INFO,,NO
LTCR_171,HIGH VOLTAGE MAST,POLE,371644.915N,0403926.946E,2206.68,131.23,NO INFO,,NO
LTCR_172,HIGH VOLTAGE MAST,POLE,371644.274N,0403931.518E,2181.74,131.23,NO INFO,,NO
LTCR_173,WATER TANK,TANK,371646.006N,0403822.842E,2221.85,65.62,NO INFO,,NO
LTCR_174,HIGH VOLTAGE MAST,POLE,371640.324N,0403920.609E,2199.17,131.23,NO INFO,,NO
LTCR_175,SILO,BUILDING,371640.770N,0403938.805E,2059.81,49.21,NO INFO,,NO
LTCR_176,SILO,BUILDING,371641.197N,0403938.603E,2060.74,49.21,NO INFO,,NO
LTCR_177,HIGH VOLTAGE MAST,POLE,371633.614N,0403919.666E,2190.00,131.23,NO INFO,,NO
LTCR_178,HIGH VOLTAGE MAST,POLE,371629.386N,0403914.431E,2169.96,131.23,NO INFO,,NO
LTCR_179,MEDIUM VOLTAGE MAST,POLE,371632.927N,0403936.094E,2085.16,82.02,NO INFO,,NO
LTCR_180,HIGH VOLTAGE MAST,POLE,371618.626N,0403909.881E,2171.63,131.23,NO INFO,,NO
LTCR_181,HIGH VOLTAGE MAST,POLE,371619.244N,0403908.027E,2132.33,131.23,NO INFO,,NO
LTCR_182,MEDIUM VOLTAGE MAST,POLE,371621.760N,0403940.326E,2056.68,82.02,NO INFO,,NO
LTCR_183,HIGH VOLTAGE MAST,POLE,371606.475N,0403814.540E,2132.40,131.23,NO INFO,,NO
LTCR_184,HIGH VOLTAGE MAST,POLE,371607.589N,0403840.838E,2158.61,131.23,NO INFO,,NO
LTCR_185,HIGH VOLTAGE MAST,POLE,371608.001N,0403852.126E,2151.68,131.23,NO INFO,,NO
LTCR_186,HIGH VOLTAGE MAST,POLE,371607.436N,0404026.342E,2024.49,114.83,NO INFO,,NO
LTCR_187,HIGH VOLTAGE MAST,POLE,371610.633N,0404040.249E,2044.64,131.23,NO INFO,,NO
LTCR_188,MEDIUM VOLTAGE MAST,POLE,371606.441N,0403946.108E,2002.94,82.02,NO INFO,,NO
LTCR_189,MEDIUM VOLTAGE MAST,POLE,371610.651N,0403944.564E,2014.15,82.02,NO INFO,,NO
LTCR_190,HIGH VOLTAGE MAST,POLE,371605.369N,0403814.998E,2112.24,131.23,NO INFO,,NO
LTCR_191,HIGH VOLTAGE MAST,POLE,371604.424N,0404013.458E,2017.69,114.83,NO INFO,,NO
LTCR_192,HIGH VOLTAGE MAST,POLE,371601.654N,0403802.587E,2165.33,131.23,NO INFO,,NO
LTCR_193,HIGH VOLTAGE MAST,POLE,371603.970N,0403855.387E,2083.82,131.23,NO INFO,,NO
LTCR_194,WATER TANK,TANK,371602.327N,0403837.601E,2050.50,49.21,NO INFO,,NO
LTCR_195,HIGH VOLTAGE MAST,POLE,371558.403N,0403754.281E,2098.62,131.23,NO INFO,,NO
LTCR_196,HIGH VOLTAGE MAST,POLE,371555.290N,0403934.535E,2006.39,114.83,NO INFO,,NO
LTCR_197,HIGH VOLTAGE MAST,POLE,371558.783N,0403946.846E,2015.88,114.83,NO INFO,,NO
LTCR_198,MEDIUM VOLTAGE MAST,POLE,371558.234N,0403946.960E,1998.04,98.42,NO INFO,,NO
LTCR_199,HIGH VOLTAGE MAST,POLE,371601.041N,0403959.062E,2005.98,114.83,NO INFO,,NO
LTCR_200,LOW VOLTAGE MAST,POLE,371555.714N,0403947.548E,1942.07,49.21,NO INFO,,NO
LTCR_201,HIGH VOLTAGE MAST,POLE,371551.053N,0403735.306E,2059.79,131.23,NO INFO,,NO
LTCR_202,HIGH VOLTAGE MAST,POLE,371552.037N,0403920.604E,1987.21,114.83,NO INFO,,NO
LTCR_203,HIGH VOLTAGE MAST,POLE,371553.918N,0403845.682E,2045.44,131.23,NO INFO,,NO
LTCR_204,MINARET,BUILDING,371555.429N,0403831.597E,1988.96,59.05,NO INFO,,NO
LTCR_205,WATER TANK,TANK,371547.190N,0403752.842E,1983.41,65.62,NO INFO,,NO
LTCR_206,HIGH VOLTAGE MAST,POLE,371547.364N,0403726.616E,2119.01,131.23,NO INFO,,NO
LTCR_207,HIGH VOLTAGE MAST,POLE,371547.339N,0403824.656E,2024.58,131.23,NO INFO,,NO
LTCR_208,HIGH VOLTAGE MAST,POLE,371546.218N,0403855.564E,1984.88,114.83,NO INFO,,NO
LTCR_209,HIGH VOLTAGE MAST,POLE,371549.063N,0403907.605E,1984.83,114.83,NO INFO,,NO
LTCR_210,HIGH VOLTAGE MAST,POLE,371540.098N,0403711.741E,2072.67,131.23,NO INFO,,NO
LTCR_211,HIGH VOLTAGE MAST,POLE,371543.032N,0403835.001E,2025.01,131.23,NO INFO,,NO
LTCR_212,HIGH VOLTAGE MAST,POLE,371541.619N,0403836.438E,2011.25,114.83,NO INFO,,NO
LTCR_213,HIGH VOLTAGE MAST,POLE,371540.928N,0403836.751E,2028.12,131.23,NO INFO,,NO
LTCR_214,HIGH VOLTAGE MAST,POLE,371541.401N,0403906.074E,1965.51,98.42,NO INFO,,NO
LTCR_215,HIGH VOLTAGE MAST,POLE,371543.525N,0403844.118E,2001.73,114.83,NO INFO,,NO
LTCR_216,WATER TANK,TANK,371537.463N,0403538.480E,2079.90,65.62,NO INFO,,NO
LTCR_217,HIGH VOLTAGE MAST,POLE,371540.177N,0403828.391E,2017.69,131.23,NO INFO,,NO
LTCR_218,MEDIUM VOLTAGE MAST,POLE,371535.319N,0403835.620E,1993.35,98.42,NO INFO,,NO
LTCR_219,HIGH VOLTAGE MAST,POLE,371536.392N,0403837.824E,2001.25,98.42,NO INFO,,NO
LTCR_220,HIGH VOLTAGE MAST,POLE,371540.387N,0403843.872E,1989.41,98.42,NO INFO,,NO
LTCR_221,HIGH VOLTAGE MAST,POLE,371540.805N,0403853.144E,1968.48,98.42,NO INFO,,NO
LTCR_222,HIGH VOLTAGE MAST,POLE,371539.393N,0403914.852E,1945.68,98.42,NO INFO,,NO
LTCR_223,HIGH VOLTAGE MAST,POLE,371536.786N,0403926.101E,1943.80,98.42,NO INFO,,NO
LTCR_224,LOW VOLTAGE MAST,POLE,371536.249N,0403826.858E,1933.14,49.21,NO INFO,,NO
LTCR_225,LOW VOLTAGE MAST,POLE,371534.644N,0403955.097E,1886.46,49.21,NO INFO,,NO
LTCR_226,MAST,POLE,371538.113N,0404010.956E,1896.36,49.21,NO INFO,,NO
LTCR_227,MAST,POLE,371537.008N,0404009.494E,1892.54,49.21,NO INFO,,NO
LTCR_228,MAST,POLE,371536.040N,0404007.947E,1888.94,49.21,NO INFO,,NO
LTCR_229,MAST,POLE,371534.951N,0404006.434E,1886.46,49.21,NO INFO,,NO
LTCR_230,MAST,POLE,371533.867N,0404004.882E,1886.46,49.21,NO INFO,,NO
LTCR_231,MINARET,BUILDING,371535.979N,0403759.753E,1885.13,59.05,NO INFO,,NO
LTCR_232,HIGH VOLTAGE MAST,POLE,371534.433N,0403700.000E,2026.22,131.23,NO INFO,,NO
LTCR_233,HIGH VOLTAGE MAST,POLE,371533.344N,0403832.655E,2015.74,131.23,NO INFO,,NO
LTCR_234,HIGH VOLTAGE MAST,POLE,371533.859N,0403939.200E,1935.78,98.42,NO INFO,,NO
LTCR_235,LOW VOLTAGE MAST,POLE,371532.228N,0403851.382E,1931.69,49.21,NO INFO,,NO
LTCR_236,LOW VOLTAGE MAST,POLE,371531.035N,0403851.423E,1927.00,49.21,NO INFO,,NO
LTCR_237,LOW VOLTAGE MAST,POLE,371531.338N,0403825.925E,1922.40,49.21,NO INFO,,NO
LTCR_238,MAST,POLE,371532.719N,0404003.418E,1886.46,49.21,NO INFO,,NO
LTCR_239,MAST,POLE,371531.569N,0404001.904E,1886.46,49.21,NO INFO,,NO
LTCR_240,HIGH VOLTAGE MAST,POLE,371527.937N,0403646.823E,2032.75,131.23,NO INFO,,NO
LTCR_241,HIGH VOLTAGE MAST,POLE,371526.851N,0403828.900E,2001.30,131.23,NO INFO,,NO
LTCR_242,MEDIUM VOLTAGE MAST,POLE,371525.693N,0403833.774E,1977.09,98.42,NO INFO,,NO
LTCR_243,HIGH VOLTAGE MAST,POLE,371528.255N,0403836.067E,2019.64,131.23,NO INFO,,NO
LTCR_244,HIGH VOLTAGE MAST,POLE,371530.056N,0403955.385E,1933.75,98.42,NO INFO,,NO
LTCR_245,HIGH VOLTAGE MAST,POLE,371526.976N,0404008.384E,1964.59,131.23,NO INFO,,NO
LTCR_246,HIGH VOLTAGE MAST,POLE,371523.442N,0404023.454E,1958.14,131.23,NO INFO,,NO
LTCR_247,LOW VOLTAGE MAST,POLE,371529.069N,0403852.341E,1922.55,49.21,NO INFO,,NO
LTCR_248,LOW VOLTAGE MAST,POLE,371527.211N,0403853.182E,1919.42,49.21,NO INFO,,NO
LTCR_249,LOW VOLTAGE MAST,POLE,371527.078N,0403825.072E,1917.47,49.21,NO INFO,,NO
LTCR_250,MAST,POLE,371530.397N,0403957.022E,1885.57,49.21,NO INFO,,NO
LTCR_251,MAST,POLE,371530.933N,0403957.343E,1886.46,49.21,NO INFO,,NO
LTCR_252,MAST,POLE,371530.291N,0404000.484E,1886.00,49.21,NO INFO,,NO
LTCR_253,MAST,POLE,371528.664N,0403955.107E,1881.54,49.21,NO INFO,,NO
LTCR_254,MAST,POLE,371528.995N,0403955.254E,1882.27,49.21,NO INFO,,NO
LTCR_255,MAST,POLE,371527.635N,0403953.519E,1879.06,49.21,NO INFO,,NO
