Obstacle Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Colour of Lighting,Group,,,,
LTCI_129,TREE,TREE,382846.35N,0432036.55E,5485,16,NO INFO,,NO,,,,
LTCI_130,TREE,TREE,382845.66N,0432036.84E,5484,15,NO INFO,,NO,,,,
LTCI_131,TREE,TREE,382845.87N,0432037.06E,5484,15,NO INFO,,NO,,,,
LTCI_132,TREE,TREE,382845.62N,0432037.17E,5486,16,NO INFO,,NO,,,,
LTCI_133,TREE,TREE,382845.41N,0432037.17E,5485,14,NO INFO,,NO,,,,
LTCI_134,TREE,TREE,382845.39N,0432037.48E,5491,20,NO INFO,,NO,,,,
LTCI_135,TREE,TREE,382845.41N,0432037.68E,5484,13,NO INFO,,NO,,,,
LTCI_136,TREE,TREE,382845.65N,0432037.71E,5487,16,NO INFO,,NO,,,,
LTCI_137,TREE,TREE,382845.90N,0432037.69E,5485,15,NO INFO,,NO,,,,
LTCI_138,TREE,TREE,382845.83N,0432037.36E,5485,16,NO INFO,,NO,,,,
LTCI_139,TREE,TREE,382845.91N,0432037.13E,5485,15,NO INFO,,NO,,,,
LTCI_140,TREE,TREE,382846.13N,0432037.69E,5485,15,NO INFO,,NO,,,,
LTCI_141,TREE,TREE,382846.33N,0432037.34E,5488,18,NO INFO,,NO,,,,
LTCI_142,TREE,TREE,382846.36N,0432037.08E,5487,18,NO INFO,,NO,,,,
LTCI_143,TREE,TREE,382846.33N,0432037.99E,5489,19,NO INFO,,NO,,,,
LTCI_144,TREE,TREE,382846.37N,0432038.29E,5486,15,NO INFO,,NO,,,,
LTCI_145,TREE,TREE,382846.40N,0432038.55E,5490,18,NO INFO,,NO,,,,
LTCI_146,TREE,TREE,382846.13N,0432038.55E,5487,15,NO INFO,,NO,,,,
LTCI_147,TREE,TREE,382846.12N,0432038.33E,5486,15,NO INFO,,NO,,,,
LTCI_148,TREE,TREE,382845.92N,0432038.32E,5486,14,NO INFO,,NO,,,,
LTCI_149,TREE,TREE,382845.66N,0432038.09E,5485,13,NO INFO,,NO,,,,
LTCI_150,TREE,TREE,382845.43N,0432037.81E,5486,15,NO INFO,,NO,,,,
LTCI_151,TREE,TREE,382845.18N,0432038.09E,5485,14,NO INFO,,NO,,,,
LTCI_152,TREE,TREE,382845.18N,0432038.34E,5485,12,NO INFO,,NO,,,,
LTCI_153,TREE,TREE,382845.00N,0432038.39E,5486,13,NO INFO,,NO,,,,
LTCI_154,TREE,TREE,382844.99N,0432038.34E,5488,15,NO INFO,,NO,,,,
LTCI_155,TREE,TREE,382844.81N,0432039.15E,5489,15,NO INFO,,NO,,,,
LTCI_156,TREE,TREE,382844.84N,0432039.28E,5489,16,NO INFO,,NO,,,,
LTCI_157,TREE,TREE,382845.08N,0432039.20E,5489,16,NO INFO,,NO,,,,
LTCI_158,TREE,TREE,382845.22N,0432038.96E,5489,16,NO INFO,,NO,,,,
LTCI_159,TREE,TREE,382845.44N,0432038.92E,5488,15,NO INFO,,NO,,,,
LTCI_160,TREE,TREE,382845.48N,0432039.17E,5488,15,NO INFO,,NO,,,,
LTCI_161,TREE,TREE,382845.70N,0432038.83E,5488,15,NO INFO,,NO,,,,
LTCI_162,TREE,TREE,382845.73N,0432038.60E,5490,18,NO INFO,,NO,,,,
LTCI_163,TREE,TREE,382845.93N,0432038.57E,5486,14,NO INFO,,NO,,,,
LTCI_164,TREE,TREE,382845.93N,0432038.85E,5490,18,NO INFO,,NO,,,,
LTCI_165,TREE,TREE,382845.95N,0432039.16E,5494,22,NO INFO,,NO,,,,
LTCI_166,TREE,TREE,382845.99N,0432039.42E,5494,21,NO INFO,,NO,,,,
LTCI_167,TREE,TREE,382845.75N,0432039.42E,5487,14,NO INFO,,NO,,,,
LTCI_168,TREE,TREE,382845.50N,0432039.53E,5488,15,NO INFO,,NO,,,,
LTCI_169,TREE,TREE,382846.37N,0432038.81E,5489,17,NO INFO,,NO,,,,
LTCI_170,TREE,TREE,382846.44N,0432039.37E,5492,19,NO INFO,,NO,,,,
LTCI_171,TREE,TREE,382846.63N,0432039.08E,5489,17,NO INFO,,NO,,,,
LTCI_172,TREE,TREE,382846.74N,0432038.19E,5492,21,NO INFO,,NO,,,,
LTCI_173,TREE,TREE,382846.86N,0432038.47E,5487,16,NO INFO,,NO,,,,
LTCI_174,TREE,TREE,382846.81N,0432037.63E,5487,17,NO INFO,,NO,,,,
LTCI_175,TREE,TREE,382847.35N,0432039.07E,5491,19,NO INFO,,NO,,,,
LTCI_176,TREE,TREE,382846.50N,0432040.89E,5496,22,NO INFO,,NO,,,,
LTCI_177,TREE,TREE,382846.05N,0432040.63E,5495,21,NO INFO,,NO,,,,
LTCI_178,TREE,TREE,382846.01N,0432040.32E,5490,16,NO INFO,,NO,,,,
LTCI_179,TREE,TREE,382845.84N,0432040.45E,5487,14,NO INFO,,NO,,,,
LTCI_180,TREE,TREE,382845.87N,0432041.02E,5489,15,NO INFO,,NO,,,,
LTCI_181,TREE,TREE,382846.31N,0432040.39E,5488,14,NO INFO,,NO,,,,
LTCI_182,TREE,TREE,382846.44N,0432040.28E,5488,15,NO INFO,,NO,,,,
LTCI_183,TREE,TREE,382846.71N,0432041.50E,5498,24,NO INFO,,NO,,,,
LTCI_184,TREE,TREE,382846.52N,0432041.55E,5490,16,NO INFO,,NO,,,,
LTCI_185,TREE,TREE,382846.37N,0432041.49E,5491,17,NO INFO,,NO,,,,
LTCI_186,TREE,TREE,382846.36N,0432041.59E,5490,15,NO INFO,,NO,,,,
LTCI_187,TREE,TREE,382847.19N,0432041.15E,5492,19,NO INFO,,NO,,,,
LTCI_188,TREE,TREE,382848.10N,0432040.14E,5491,19,NO INFO,,NO,,,,
LTCI_189,TREE,TREE,382848.52N,0432040.12E,5492,20,NO INFO,,NO,,,,
LTCI_190,TREE,TREE,382843.78N,0432041.25E,5493,16,NO INFO,,NO,,,,
LTCI_191,TREE,TREE,382843.86N,0432041.47E,5486,9,NO INFO,,NO,,,,
LTCI_192,TREE,TREE,382844.08N,0432041.16E,5488,12,NO INFO,,NO,,,,
LTCI_193,TREE,TREE,382844.13N,0432041.46E,5498,22,NO INFO,,NO,,,,
LTCI_194,TREE,TREE,382844.31N,0432041.26E,5497,22,NO INFO,,NO,,,,
LTCI_195,TREE,TREE,382844.21N,0432041.55E,5499,23,NO INFO,,NO,,,,
LTCI_196,TREE,TREE,382844.39N,0432041.79E,5496,20,NO INFO,,NO,,,,
LTCI_197,TREE,TREE,382844.27N,0432041.77E,5496,20,NO INFO,,NO,,,,
LTCI_198,TREE,TREE,382844.58N,0432041.19E,5493,18,NO INFO,,NO,,,,
LTCI_199,TREE,TREE,382844.20N,0432039.96E,5492,17,NO INFO,,NO,,,,
LTCI_200,TREE,TREE,382844.47N,0432039.85E,5490,16,NO INFO,,NO,,,,
LTCI_201,TREE,TREE,382844.66N,0432039.86E,5493,19,NO INFO,,NO,,,,
LTCI_202,TREE,TREE,382844.63N,0432040.12E,5489,15,NO INFO,,NO,,,,
LTCI_203,TREE,TREE,382844.26N,0432040.69E,5494,19,NO INFO,,NO,,,,
LTCI_204,TREE,TREE,382844.31N,0432040.57E,5495,20,NO INFO,,NO,,,,
LTCI_205,TREE,TREE,382844.49N,0432040.56E,5491,17,NO INFO,,NO,,,,
LTCI_206,TREE,TREE,382844.87N,0432040.24E,5488,14,NO INFO,,NO,,,,
LTCI_207,TREE,TREE,382845.14N,0432040.15E,5487,13,NO INFO,,NO,,,,
LTCI_208,TREE,TREE,382845.11N,0432039.80E,5489,15,NO INFO,,NO,,,,
LTCI_209,TREE,TREE,382845.34N,0432039.81E,5487,14,NO INFO,,NO,,,,
LTCI_210,TREE,TREE,382845.54N,0432039.83E,5488,14,NO INFO,,NO,,,,
LTCI_211,TREE,TREE,382845.58N,0432040.39E,5488,14,NO INFO,,NO,,,,
