Obstacle Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Colour of Lighting,Group,,,,
LTCI_760,TREE,TREE,382847.69N,0432030.26E,5487,24,NO INFO,,NO,,,,
LTCI_761,TREE,TREE,382847.70N,0432030.14E,5488,26,NO INFO,,NO,,,,
LTCI_762,TREE,TREE,382847.71N,0432030.02E,5488,26,NO INFO,,NO,,,,
LTCI_763,TREE,TREE,382847.72N,0432029.91E,5487,26,NO INFO,,NO,,,,
LTCI_764,TREE,TREE,382847.69N,0432029.83E,5486,24,NO INFO,,NO,,,,
LTCI_765,TREE,TREE,382847.82N,0432030.61E,5485,21,NO INFO,,NO,,,,
LTCI_766,TREE,TREE,382847.91N,0432030.66E,5485,21,NO INFO,,NO,,,,
LTCI_767,TREE,TREE,382847.96N,0432030.69E,5486,23,NO INFO,,NO,,,,
LTCI_768,TREE,TREE,382848.17N,0432030.76E,5488,25,NO INFO,,NO,,,,
LTCI_769,TREE,TREE,382848.22N,0432030.83E,5490,27,NO INFO,,NO,,,,
LTCI_770,TREE,TREE,382848.27N,0432030.90E,5488,25,NO INFO,,NO,,,,
LTCI_771,TREE,TREE,382848.15N,0432031.06E,5490,27,NO INFO,,NO,,,,
LTCI_772,TREE,TREE,382848.22N,0432031.07E,5491,28,NO INFO,,NO,,,,
LTCI_773,TREE,TREE,382848.30N,0432031.01E,5488,25,NO INFO,,NO,,,,
LTCI_774,TREE,TREE,382848.22N,0432031.19E,5489,26,NO INFO,,NO,,,,
LTCI_775,TREE,TREE,382848.29N,0432031.30E,5488,25,NO INFO,,NO,,,,
LTCI_776,TREE,TREE,382848.24N,0432031.31E,5489,26,NO INFO,,NO,,,,
LTCI_777,TREE,TREE,382848.36N,0432031.73E,5498,35,NO INFO,,NO,,,,
LTCI_778,TREE,TREE,382848.37N,0432031.90E,5492,28,NO INFO,,NO,,,,
LTCI_779,TREE,TREE,382848.42N,0432032.03E,5493,30,NO INFO,,NO,,,,
LTCI_780,TREE,TREE,382848.80N,0432032.53E,5489,26,NO INFO,,NO,,,,
LTCI_781,TREE,TREE,382848.85N,0432032.24E,5489,26,NO INFO,,NO,,,,
LTCI_782,TREE,TREE,382848.73N,0432032.47E,5485,21,NO INFO,,NO,,,,
LTCI_783,TREE,TREE,382848.50N,0432032.64E,5496,32,NO INFO,,NO,,,,
LTCI_784,TREE,TREE,382849.52N,0432032.18E,5497,34,NO INFO,,NO,,,,
LTCI_785,TREE,TREE,382850.13N,0432033.23E,5508,44,NO INFO,,NO,,,,
LTCI_786,TREE,TREE,382850.18N,0432033.79E,5509,44,NO INFO,,NO,,,,
LTCI_787,TREE,TREE,382850.38N,0432034.71E,5490,24,NO INFO,,NO,,,,
LTCI_788,TREE,TREE,382850.33N,0432034.90E,5499,33,NO INFO,,NO,,,,
LTCI_789,TREE,TREE,382851.75N,0432038.78E,5503,34,NO INFO,,NO,,,,
LTCI_790,TREE,TREE,382851.84N,0432038.84E,5500,32,NO INFO,,NO,,,,
LTCI_791,TREE,TREE,382851.76N,0432039.03E,5498,29,NO INFO,,NO,,,,
LTCI_792,TREE,TREE,382852.04N,0432039.13E,5497,29,NO INFO,,NO,,,,
LTCI_793,TREE,TREE,382851.62N,0432039.42E,5496,27,NO INFO,,NO,,,,
LTCI_794,TREE,TREE,382852.80N,0432038.59E,5506,39,NO INFO,,NO,,,,
LTCI_795,TREE,TREE,382852.72N,0432038.96E,5497,29,NO INFO,,NO,,,,
LTCI_796,TREE,TREE,382853.39N,0432039.07E,5510,42,NO INFO,,NO,,,,
LTCI_797,TREE,TREE,382902.97N,0432057.89E,5541,60,NO INFO,,NO,,,,
LTCI_798,TREE,TREE,382903.21N,0432101.09E,5541,60,NO INFO,,NO,,,,
LTCI_799,TREE,TREE,382903.11N,0432101.16E,5543,62,NO INFO,,NO,,,,
LTCI_800,TREE,TREE,382901.67N,0432104.63E,5547,64,NO INFO,,NO,,,,
LTCI_801,TREE,TREE,382902.31N,0432103.81E,5548,65,NO INFO,,NO,,,,
LTCI_802,TREE,TREE,382859.50N,0432054.23E,5530,52,NO INFO,,NO,,,,
LTCI_803,TREE,TREE,382859.30N,0432054.37E,5529,51,NO INFO,,NO,,,,
LTCI_804,TREE,TREE,382859.22N,0432049.82E,5522,48,NO INFO,,NO,,,,
LTCI_805,TREE,TREE,382901.73N,0432052.89E,5529,52,NO INFO,,NO,,,,
LTCI_806,TREE,TREE,382902.10N,0432052.00E,5528,52,NO INFO,,NO,,,,
LTCI_807,TREE,TREE,382900.37N,0432058.58E,5550,68,NO INFO,,NO,,,,
LTCI_808,TREE,TREE,382900.35N,0432058.33E,5530,49,NO INFO,,NO,,,,
LTCI_809,TREE,TREE,382846.65N,0432033.95E,5488,21,NO INFO,,NO,,,,
LTCI_810,TREE,TREE,382846.63N,0432034.21E,5483,16,NO INFO,,NO,,,,
LTCI_811,TREE,TREE,382846.94N,0432034.18E,5488,22,NO INFO,,NO,,,,
LTCI_812,TREE,TREE,382846.71N,0432034.33E,5483,16,NO INFO,,NO,,,,
LTCI_813,TREE,TREE,382848.14N,0432034.40E,5490,24,NO INFO,,NO,,,,
LTCI_814,TREE,TREE,382848.73N,0432034.75E,5496,30,NO INFO,,NO,,,,
LTCI_815,TREE,TREE,382848.80N,0432034.72E,5498,33,NO INFO,,NO,,,,
LTCI_816,TREE,TREE,382848.98N,0432034.69E,5497,32,NO INFO,,NO,,,,
LTCI_817,TREE,TREE,382849.04N,0432034.71E,5497,32,NO INFO,,NO,,,,
LTCI_818,TREE,TREE,382849.10N,0432034.75E,5493,28,NO INFO,,NO,,,,
LTCI_819,TREE,TREE,382849.27N,0432034.79E,5497,32,NO INFO,,NO,,,,
LTCI_820,TREE,TREE,382848.71N,0432035.15E,5491,25,NO INFO,,NO,,,,
LTCI_821,TREE,TREE,382848.68N,0432034.86E,5487,20,NO INFO,,NO,,,,
LTCI_822,TREE,TREE,382848.60N,0432034.48E,5492,26,NO INFO,,NO,,,,
LTCI_823,TREE,TREE,382848.60N,0432034.40E,5494,28,NO INFO,,NO,,,,
LTCI_824,TREE,TREE,382848.62N,0432034.32E,5499,33,NO INFO,,NO,,,,
LTCI_825,TREE,TREE,382848.64N,0432034.23E,5499,34,NO INFO,,NO,,,,
LTCI_826,TREE,TREE,382848.63N,0432034.12E,5489,24,NO INFO,,NO,,,,
LTCI_827,TREE,TREE,382848.61N,0432034.02E,5498,33,NO INFO,,NO,,,,
LTCI_828,TREE,TREE,382848.58N,0432034.02E,5501,36,NO INFO,,NO,,,,
LTCI_829,TREE,TREE,382848.54N,0432033.81E,5500,35,NO INFO,,NO,,,,
LTCI_830,TREE,TREE,382848.59N,0432033.76E,5496,31,NO INFO,,NO,,,,
LTCI_831,TREE,TREE,382848.66N,0432033.77E,5494,30,NO INFO,,NO,,,,
LTCI_832,TREE,TREE,382848.63N,0432033.66E,5496,32,NO INFO,,NO,,,,
LTCI_833,TREE,TREE,382848.66N,0432033.52E,5489,24,NO INFO,,NO,,,,
LTCI_834,TREE,TREE,382848.70N,0432033.48E,5496,31,NO INFO,,NO,,,,
LTCI_835,TREE,TREE,382848.90N,0432033.50E,5488,24,NO INFO,,NO,,,,
LTCI_836,TREE,TREE,382848.97N,0432033.50E,5486,22,NO INFO,,NO,,,,
LTCI_837,TREE,TREE,382849.09N,0432033.53E,5492,28,NO INFO,,NO,,,,
LTCI_838,TREE,TREE,382849.17N,0432033.50E,5492,28,NO INFO,,NO,,,,
LTCI_839,TREE,TREE,382849.26N,0432033.45E,5491,28,NO INFO,,NO,,,,
LTCI_840,TREE,TREE,382849.25N,0432033.52E,5492,28,NO INFO,,NO,,,,
LTCI_841,TREE,TREE,382849.44N,0432033.51E,5494,30,NO INFO,,NO,,,,
LTCI_842,TREE,TREE,382849.06N,0432031.69E,5487,24,NO INFO,,NO,,,,
LTCI_843,TREE,TREE,382848.82N,0432031.46E,5487,25,NO INFO,,NO,,,,
LTCI_844,TREE,TREE,382849.02N,0432031.28E,5484,22,NO INFO,,NO,,,,
LTCI_845,TREE,TREE,382849.09N,0432031.09E,5483,21,NO INFO,,NO,,,,
LTCI_846,TREE,TREE,382849.24N,0432031.18E,5485,22,NO INFO,,NO,,,,
LTCI_847,TREE,TREE,382849.48N,0432031.15E,5487,25,NO INFO,,NO,,,,
LTCI_848,TREE,TREE,382849.32N,0432030.90E,5485,23,NO INFO,,NO,,,,
LTCI_849,TREE,TREE,382849.20N,0432030.93E,5488,25,NO INFO,,NO,,,,
LTCI_850,TREE,TREE,382848.99N,0432030.86E,5486,23,NO INFO,,NO,,,,
LTCI_851,TREE,TREE,382848.86N,0432030.81E,5483,21,NO INFO,,NO,,,,
LTCI_852,TREE,TREE,382848.71N,0432030.88E,5486,24,NO INFO,,NO,,,,
LTCI_853,TREE,TREE,382848.60N,0432030.47E,5483,22,NO INFO,,NO,,,,
LTCI_854,TREE,TREE,382855.22N,0432035.15E,5522,60,NO INFO,,NO,,,,
LTCI_855,TREE,TREE,382855.16N,0432035.25E,5521,58,NO INFO,,NO,,,,
LTCI_856,TREE,TREE,382855.09N,0432035.15E,5516,53,NO INFO,,NO,,,,
LTCI_857,TREE,TREE,382854.91N,0432035.26E,5502,39,NO INFO,,NO,,,,
LTCI_858,TREE,TREE,382854.96N,0432034.85E,5498,35,NO INFO,,NO,,,,
LTCI_859,TREE,TREE,382854.39N,0432035.42E,5500,35,NO INFO,,NO,,,,
LTCI_860,TREE,TREE,382854.62N,0432035.43E,5500,35,NO INFO,,NO,,,,
LTCI_861,TREE,TREE,382854.06N,0432035.29E,5503,39,NO INFO,,NO,,,,
LTCI_862,TREE,TREE,382854.07N,0432035.02E,5500,36,NO INFO,,NO,,,,
LTCI_863,TREE,TREE,382854.09N,0432035.87E,5502,37,NO INFO,,NO,,,,
LTCI_864,TREE,TREE,382854.09N,0432035.60E,5497,33,NO INFO,,NO,,,,
LTCI_865,TREE,TREE,382848.78N,0432046.74E,5499,21,NO INFO,,NO,,,,
LTCI_866,TREE,TREE,382848.52N,0432046.85E,5504,26,NO INFO,,NO,,,,
LTCI_867,TREE,TREE,382848.33N,0432046.86E,5500,22,NO INFO,,NO,,,,
LTCI_868,TREE,TREE,382847.79N,0432047.23E,5498,19,NO INFO,,NO,,,,
LTCI_869,TREE,TREE,382847.69N,0432047.46E,5499,19,NO INFO,,NO,,,,
LTCI_870,TREE,TREE,382847.86N,0432047.69E,5503,24,NO INFO,,NO,,,,
LTCI_871,TREE,TREE,382852.90N,0432049.10E,5510,34,NO INFO,,NO,,,,
LTCI_872,TREE,TREE,382852.94N,0432049.24E,5515,38,NO INFO,,NO,,,,
LTCI_873,TREE,TREE,382852.92N,0432049.60E,5515,39,NO INFO,,NO,,,,
LTCI_874,TREE,TREE,382852.98N,0432050.13E,5514,37,NO INFO,,NO,,,,
LTCI_875,TREE,TREE,382852.24N,0432051.32E,5518,40,NO INFO,,NO,,,,
LTCI_876,TREE,TREE,382852.12N,0432051.42E,5510,32,NO INFO,,NO,,,,
LTCI_877,TREE,TREE,382852.02N,0432051.43E,5510,32,NO INFO,,NO,,,,
LTCI_878,TREE,TREE,382851.90N,0432051.41E,5509,30,NO INFO,,NO,,,,
LTCI_879,TREE,TREE,382852.94N,0432052.80E,5515,36,NO INFO,,NO,,,,
LTCI_880,TREE,TREE,382842.98N,0432039.89E,5495,18,NO INFO,,NO,,,,
LTCI_881,TREE,TREE,382842.86N,0432040.05E,5495,18,NO INFO,,NO,,,,
LTCI_882,TREE,TREE,382842.95N,0432040.18E,5494,18,NO INFO,,NO,,,,
LTCI_883,TREE,TREE,382842.90N,0432040.41E,5494,17,NO INFO,,NO,,,,
LTCI_884,TREE,TREE,382842.89N,0432040.66E,5499,22,NO INFO,,NO,,,,
LTCI_885,TREE,TREE,382842.60N,0432040.44E,5496,20,NO INFO,,NO,,,,
LTCI_886,TREE,TREE,382842.82N,0432040.27E,5492,16,NO INFO,,NO,,,,
LTCI_887,TREE,TREE,382843.04N,0432040.60E,5494,17,NO INFO,,NO,,,,
LTCI_888,TREE,TREE,382839.28N,0432018.64E,5522,63,NO INFO,,NO,,,,
LTCI_889,TREE,TREE,382834.01N,0432013.78E,5495,41,NO INFO,,NO,,,,
LTCI_890,TREE,TREE,382833.35N,0432013.12E,5495,42,NO INFO,,NO,,,,
LTCI_891,TREE,TREE,382847.96N,0432041.66E,5492,18,NO INFO,,NO,,,,
LTCI_892,TREE,TREE,382848.10N,0432041.29E,5492,19,NO INFO,,NO,,,,
LTCI_893,TREE,TREE,382848.42N,0432041.54E,5493,19,NO INFO,,NO,,,,
LTCI_894,TREE,TREE,382848.18N,0432042.15E,5494,20,NO INFO,,NO,,,,
LTCI_895,TREE,TREE,382848.16N,0432041.88E,5493,19,NO INFO,,NO,,,,
LTCI_896,TREE,TREE,382847.50N,0432041.94E,5492,17,NO INFO,,NO,,,,
LTCI_897,TREE,TREE,382850.36N,0432040.98E,5496,24,NO INFO,,NO,,,,
LTCI_898,TREE,TREE,382850.08N,0432049.73E,5503,26,NO INFO,,NO,,,,
LTCI_899,TREE,TREE,382849.98N,0432049.83E,5504,26,NO INFO,,NO,,,,
LTCI_900,TREE,TREE,382850.00N,0432050.27E,5510,32,NO INFO,,NO,,,,
LTCI_901,TREE,TREE,382850.09N,0432050.32E,5505,27,NO INFO,,NO,,,,
LTCI_902,TREE,TREE,382850.09N,0432050.43E,5509,30,NO INFO,,NO,,,,
LTCI_903,TREE,TREE,382850.07N,0432050.57E,5512,33,NO INFO,,NO,,,,
LTCI_904,TREE,TREE,382850.22N,0432050.95E,5505,26,NO INFO,,NO,,,,
LTCI_905,TREE,TREE,382847.29N,0432033.23E,5488,22,NO INFO,,NO,,,,
LTCI_906,TREE,TREE,382847.58N,0432033.40E,5492,27,NO INFO,,NO,,,,
LTCI_907,TREE,TREE,382848.73N,0432031.17E,5492,30,NO INFO,,NO,,,,
LTCI_908,TREE,TREE,382848.56N,0432031.12E,5485,23,NO INFO,,NO,,,,
LTCI_909,SURVEILLANCE TOWER,TOWER,382841.81N,0432039.62E,5503,26,NO INFO,,NO,,,,
LTCI_910,STRUCTURE,OTHER,382843.24N,0432037.63E,5483,8,YES,RED,NO,,,,
LTCI_911,STRUCTURE,OTHER,382843.00N,0432037.90E,5480,6,YES,RED,NO,,,,
LTCI_912,BUILDING,BUILDING,382842.82N,0432040.87E,5513,37,NO INFO,,NO,,,,
LTCI_913,BUILDING,BUILDING,382843.58N,0432040.56E,5508,30,NO INFO,,NO,,,,
LTCI_914,BUILDING,BUILDING,382843.51N,0432039.28E,5485,9,NO INFO,,NO,,,,
LTCI_915,BUILDING,BUILDING,382850.03N,0432041.67E,5493,20,NO INFO,,NO,,,,
LTCI_916,BUILDING,BUILDING,382854.28N,0432041.22E,5500,30,NO INFO,,NO,,,,
LTCI_917,BUILDING,BUILDING,382854.16N,0432039.44E,5511,43,NO INFO,,NO,,,,
LTCI_918,BUILDING,BUILDING,382854.63N,0432037.52E,5511,45,NO INFO,,NO,,,,
LTCI_919,BUILDING,BUILDING,382853.17N,0432047.27E,5514,39,NO INFO,,NO,,,,
LTCI_920,BUILDING,BUILDING,382853.99N,0432055.94E,5521,38,NO INFO,,NO,,,,
LTCI_921,BUILDING,BUILDING,382854.84N,0432055.51E,5520,39,NO INFO,,NO,,,,
LTCI_922,BUILDING,BUILDING,382854.25N,0432054.83E,5513,32,NO INFO,,NO,,,,
LTCI_923,BUILDING,BUILDING,382855.34N,0432054.25E,5521,40,NO INFO,,NO,,,,
LTCI_924,BUILDING,BUILDING,382856.30N,0432054.08E,5518,37,NO INFO,,NO,,,,
LTCI_925,BUILDING,BUILDING,382857.35N,0432040.28E,5508,42,NO INFO,,NO,,,,
LTCI_926,BUILDING,BUILDING,382857.37N,0432040.61E,5506,40,NO INFO,,NO,,,,
LTCI_927,BUILDING,BUILDING,382857.38N,0432040.96E,5508,42,NO INFO,,NO,,,,
LTCI_928,BUILDING,BUILDING,382857.40N,0432038.77E,5506,42,NO INFO,,NO,,,,
LTCI_929,BUILDING,BUILDING,382856.60N,0432039.24E,5508,41,NO INFO,,NO,,,,
LTCI_930,BUILDING,BUILDING,382856.05N,0432039.34E,5511,43,NO INFO,,NO,,,,
LTCI_931,BUILDING,BUILDING,382856.22N,0432038.46E,5499,33,NO INFO,,NO,,,,
LTCI_932,BUILDING,BUILDING,382849.99N,0432039.50E,5494,23,NO INFO,,NO,,,,
LTCI_933,BUILDING,BUILDING,382849.98N,0432039.67E,5492,21,NO INFO,,NO,,,,
LTCI_934,BUILDING,BUILDING,382849.77N,0432037.08E,5488,21,NO INFO,,NO,,,,
LTCI_935,BUILDING,BUILDING,382850.60N,0432036.98E,5499,32,NO INFO,,NO,,,,
LTCI_936,BUILDING,BUILDING,382850.62N,0432034.71E,5492,27,NO INFO,,NO,,,,
LTCI_937,BUILDING,BUILDING,382849.66N,0432048.55E,5524,46,NO INFO,,NO,,,,
LTCI_938,BUILDING,BUILDING,382849.58N,0432046.87E,5507,30,NO INFO,,NO,,,,
LTCI_939,BUILDING,BUILDING,382850.42N,0432046.68E,5512,35,NO INFO,,NO,,,,
LTCI_940,BUILDING,BUILDING,382850.41N,0432045.45E,5505,28,NO INFO,,NO,,,,
LTCI_941,BUILDING,BUILDING,382850.19N,0432045.48E,5500,22,NO INFO,,NO,,,,
LTCI_942,BUILDING,BUILDING,382847.08N,0432046.27E,5493,13,NO INFO,,NO,,,,
LTCI_943,BUILDING,BUILDING,382848.11N,0432045.76E,5510,32,NO INFO,,NO,,,,
LTCI_944,BUILDING,BUILDING,382848.74N,0432045.70E,5502,25,NO INFO,,NO,,,,
LTCI_945,BUILDING,BUILDING,382849.35N,0432044.70E,5511,36,NO INFO,,NO,,,,
LTCI_946,BUILDING,BUILDING,382850.06N,0432044.41E,5496,21,NO INFO,,NO,,,,
LTCI_947,BUILDING,BUILDING,382852.23N,0432046.54E,5509,33,NO INFO,,NO,,,,
LTCI_948,BUILDING,BUILDING,382851.21N,0432050.08E,5522,44,NO INFO,,NO,,,,
LTCI_949,BUILDING,BUILDING,382850.86N,0432048.87E,5507,30,NO INFO,,NO,,,,
LTCI_950,BUILDING,BUILDING,382854.27N,0432044.35E,5508,37,NO INFO,,NO,,,,
LTCI_951,BUILDING,BUILDING,382855.42N,0432044.86E,5513,42,NO INFO,,NO,,,,
LTCI_952,BUILDING,BUILDING,382855.41N,0432043.65E,5508,38,NO INFO,,NO,,,,
LTCI_953,BUILDING,BUILDING,382847.64N,0432033.10E,5485,19,NO INFO,,NO,,,,
LTCI_954,BUILDING,BUILDING,382847.98N,0432033.02E,5484,19,NO INFO,,NO,,,,
LTCI_955,BUILDING,BUILDING,382848.63N,0432031.75E,5481,18,NO INFO,,NO,,,,
LTCI_956,BUILDING,BUILDING,382849.49N,0432031.60E,5488,25,NO INFO,,NO,,,,
LTCI_957,BUILDING,BUILDING,382849.34N,0432032.41E,5492,29,NO INFO,,NO,,,,
LTCI_958,BUILDING,BUILDING,382849.46N,0432032.76E,5489,26,NO INFO,,NO,,,,
LTCI_959,BUILDING,BUILDING,382849.65N,0432033.87E,5493,29,NO INFO,,NO,,,,
LTCI_960,BUILDING,BUILDING,382850.54N,0432034.09E,5486,21,NO INFO,,NO,,,,
LTCI_961,MINARET,BUILDING,382901.74N,0432057.85E,5549,67,NO,,NO,,,,
LTCI_962,BUILDING,BUILDING,382859.57N,0432053.30E,5520,42,NO INFO,,NO,,,,
LTCI_963,BUILDING,BUILDING,382901.34N,0432051.38E,5520,43,NO INFO,,NO,,,,
LTCI_964,BUILDING,BUILDING,382855.51N,0432052.70E,5513,34,NO INFO,,NO,,,,
LTCI_965,BUILDING,BUILDING,382848.35N,0432034.04E,5485,19,NO INFO,,NO,,,,
LTCI_966,BUILDING,BUILDING,382848.20N,0432047.76E,5499,20,NO INFO,,NO,,,,
LTCI_967,BUILDING,BUILDING,382837.63N,0432037.15E,5499,24,NO INFO,,NO,,,,
LTCI_968,BUILDING,BUILDING,382837.11N,0432036.44E,5488,14,NO INFO,,NO,,,,
LTCI_969,BUILDING,BUILDING,382837.60N,0432036.14E,5487,13,NO INFO,,NO,,,,
LTCI_970,BUILDING,BUILDING,382838.16N,0432037.15E,5486,11,NO INFO,,NO,,,,
LTCI_971,ANTENNA,ANTENNA,382838.05N,0432037.98E,5505,30,NO INFO,,NO,,,,
LTCI_972,BUILDING,BUILDING,382838.95N,0432036.54E,5479,7,NO INFO,,NO,,,,
LTCI_973,BUILDING,BUILDING,382838.85N,0432037.19E,5487,14,NO INFO,,NO,,,,
LTCI_974,WALL,WALL,382839.04N,0432036.24E,5476,3,NO INFO,,NO,,,,
LTCI_975,BUILDING,BUILDING,382842.42N,0432041.61E,5513,36,NO INFO,,NO,,,,
LTCI_976,BUILDING,BUILDING,382842.57N,0432042.23E,5505,27,NO INFO,,NO,,,,
LTCI_977,BUILDING,BUILDING,382849.97N,0432040.65E,5495,23,NO INFO,,NO,,,,
LTCI_978,BUILDING,BUILDING,382857.42N,0432046.88E,5509,36,NO INFO,,NO,,,,
LTCI_979,BUILDING,BUILDING,382856.86N,0432046.78E,5508,35,NO INFO,,NO,,,,
LTCI_980,MAST,POLE,382734.10N,0431916.14E,5451,33,YES,RED,NO,,,,
LTCI_981,MAST,POLE,382733.10N,0431916.13E,5451,33,NO,,NO,,,,
LTCI_982,MAST,POLE,382732.19N,0431916.20E,5452,33,NO,,NO,,,,
LTCI_983,MAST,POLE,382727.45N,0431927.10E,5452,33,YES,RED,NO,,,,
LTCI_984,MAST,POLE,382728.11N,0431927.74E,5452,33,NO,,NO,,,,
LTCI_985,MAST,POLE,382728.89N,0431928.51E,5453,33,NO,,NO,,,,
LTCI_986,MAST,POLE,382729.67N,0431929.24E,5452,33,NO,,NO,,,,
LTCI_987,MAST,POLE,382730.46N,0431929.99E,5452,33,NO,,NO,,,,
LTCI_988,MAST,POLE,382731.21N,0431930.73E,5453,33,NO,,NO,,,,
LTCI_989,MAST,POLE,382731.52N,0431931.72E,5452,33,NO,,NO,,,,
LTCI_990,MAST,POLE,382731.02N,0431932.75E,5453,33,NO,,NO,,,,
LTCI_991,SURVEILLANCE TOWER,TOWER,382727.89N,0431927.89E,5442,23,NO,,NO,,,,
LTCI_992,ROCK,OTHER,382731.01N,0431916.25E,5421,3,NO INFO,,NO,,,,
LTCI_993,ROCK,OTHER,382731.21N,0431916.23E,5421,3,NO INFO,,NO,,,,
LTCI_994,ROCK,OTHER,382731.33N,0431916.22E,5421,3,NO INFO,,NO,,,,
LTCI_995,ROCK,OTHER,382731.46N,0431916.20E,5421,3,NO INFO,,NO,,,,
LTCI_996,ROCK,OTHER,382731.59N,0431916.18E,5420,3,NO INFO,,NO,,,,
LTCI_997,ROCK,OTHER,382731.76N,0431916.16E,5420,3,NO INFO,,NO,,,,
LTCI_998,ROCK,OTHER,382731.95N,0431916.15E,5420,3,NO INFO,,NO,,,,
LTCI_999,ROCK,OTHER,382732.13N,0431916.14E,5419,3,NO INFO,,NO,,,,
LTCI_1000,ROCK,OTHER,382732.20N,0431916.11E,5419,3,NO INFO,,NO,,,,
LTCI_1001,ROCK,OTHER,382732.25N,0431916.09E,5419,3,NO INFO,,NO,,,,
LTCI_1002,APRON LIGTHING MAST,POLE,382812.23N,0432018.23E,5532,83,YES,RED,NO,,,,
LTCI_1003,APRON LIGTHING MAST,POLE,382814.23N,0432020.19E,5535,83,YES,RED,NO,,,,
LTCI_1004,MAST,POLE,382722.10N,0431922.06E,5449,33,NO,,NO,,,,
LTCI_1005,MAST,POLE,382722.91N,0431922.82E,5450,34,NO,,NO,,,,
LTCI_1006,MAST,POLE,382723.73N,0431923.64E,5450,35,YES,RED,NO,,,,
LTCI_1007,MAST,POLE,382725.25N,0431925.06E,5450,36,NO,,NO,,,,
LTCI_1008,MAST,POLE,382726.07N,0431925.84E,5450,37,NO,,NO,,,,
LTCI_1009,MAST,POLE,382726.78N,0431926.51E,5450,38,YES,RED,NO,,,,
LTCI_1010,VAN CASTLE,BUILDING,383010.28N,0432022.20E,5767,311,NO,,NO,,,,
LTCI_1011,MAST,POLE,383124.99N,0432414.41E,6808,246,NO INFO,,NO,,,,
LTCI_1012,MAST,POLE,382622.76N,0432323.06E,7408,440,NO INFO,,NO,,,,
LTCI_1013,BASE STATION,TOWER,382734.37N,0432132.19E,5824,165,NO INFO,,NO,,,,
LTCI_1014,BASE STATION,TOWER,382834.82N,0432106.90E,5637,132,NO INFO,,NO,,,,
LTCI_1015,BASE STATION,TOWER,382836.60N,0432150.50E,5643,99,NO INFO,,NO,,,,
LTCI_1016,BASE STATION,TOWER,382846.72N,0432247.53E,5788,164,NO INFO,,NO,,,,
LTCI_1017,BASE STATION,TOWER,382821.53N,0432343.50E,5922,164,NO INFO,,NO,,,,
LTCI_1018,POLE,POLE,382730.80N,0431915.90E,5448,32,NO,,NO,,,,
LTCI_1019,POLE,POLE,382726.90N,0431915.90E,5448,32,NO,,NO,,,,
LTCI_1020,POLE,POLE,382720.60N,0431922.60E,5445,32,NO,,NO,,,,
LTCI_1021,POLE,POLE,382719.80N,0431921.80E,5445,32,YES,RED,NO,,,,
LTCI_1022,CONCRETE WALL,WALL,382837.15N,0432035.27E,5481,8,NO,,NO,,,,
LTCI_1023,CONCRETE WALL,WALL,382836.86N,0432034.94E,5480,8,NO,,NO,,,,
LTCI_1024,LIGHTING MAST,POLE,382843.02N,0432038.96E,5500,23,NO,,NO,,,,
LTCI_1025,LIGHTING MAST,POLE,382842.58N,0432038.57E,5493,16,NO,,NO,,,,
LTCI_1026,LIGHTING MAST,POLE,382842.19N,0432039.07E,5494,16,NO,,NO,,,,
LTCI_1027,LIGHTING MAST,POLE,382842.06N,0432039.17E,5497,20,NO,,NO,,,,
LTCI_1028,LIGHTING MAST,POLE,382841.14N,0432038.06E,5495,20,NO,,NO,,,,
LTCI_1029,LIGHTING MAST,POLE,382840.05N,0432036.97E,5492,20,NO,,NO,,,,
LTCI_1030,LIGHTING MAST,POLE,382838.88N,0432035.73E,5491,20,NO,,NO,,,,
LTCI_1031,LIGHTING MAST,POLE,382837.79N,0432034.66E,5490,20,NO,,NO,,,,
LTCI_1032,LIGHTING MAST,POLE,382835.13N,0432032.33E,5488,20,NO,,NO,,,,
LTCI_1033,LIGHTING MAST,POLE,382833.86N,0432031.32E,5487,20,NO,,NO,,,,
LTCI_1034,LIGHTING MAST,POLE,382832.62N,0432030.83E,5487,20,NO,,NO,,,,
LTCI_1035,LIGHTING MAST,POLE,382831.30N,0432030.33E,5485,20,NO,,NO,,,,
LTCI_1036,LIGHTING MAST,POLE,382830.08N,0432029.86E,5483,20,NO,,NO,,,,
LTCI_1037,LIGHTING MAST,POLE,382835.41N,0432031.86E,5489,20,NO,,NO,,,,
LTCI_1038,CAMERA MAST,POLE,382843.14N,0432038.88E,5496,20,NO,,NO,,,,
LTCI_1039,CAMERA MAST,POLE,382841.23N,0432037.53E,5487,13,NO,,NO,,,,
LTCI_1040,CAMERA MAST,POLE,382839.04N,0432035.71E,5482,13,NO,,NO,,,,
LTCI_1041,CAMERA MAST,POLE,382835.16N,0432031.77E,5479,13,NO,,NO,,,,
LTCI_1042,CAMERA MAST,POLE,382833.64N,0432030.63E,5479,13,NO,,NO,,,,
LTCI_1043,CAMERA MAST,POLE,382831.11N,0432029.76E,5482,20,NO,,NO,,,,
LTCI_1044,CAMERA PANEL,OTHER,382831.11N,0432029.46E,5472,7,NO,,NO,,,,
LTCI_1045,CAMERA PANEL,OTHER,382831.17N,0432029.48E,5472,7,NO,,NO,,,,
LTCI_1046,CAMERA PANEL,OTHER,382831.16N,0432029.52E,5472,7,NO,,NO,,,,
