Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTFH_188,TREE,TREE,411427.76N,0363513.08E,80,,NO,,NO,
LTFH_189,TREE,TREE,411427.98N,0363513.05E,79,,NO,,NO,
LTFH_190,TREE,TREE,411428.05N,0363512.75E,79,,NO,,NO,
LTFH_191,TREE,TREE,411428.23N,0363512.33E,77,,NO,,NO,
LTFH_192,TREE,TREE,411428.19N,0363512.09E,76,,NO,,NO,
LTFH_193,TREE,TREE,411427.89N,0363511.98E,74,,NO,,NO,
LTFH_194,TREE,TREE,411428.01N,0363511.81E,74,,NO,,NO,
LTFH_195,TREE,TREE,411428.00N,0363512.18E,74,,NO,,NO,
LTFH_196,TREE,TREE,411429.16N,0363511.75E,83,,NO,,NO,
LTFH_197,TREE,TREE,411429.03N,0363511.95E,82,,NO,,NO,
LTFH_198,TREE,TREE,411428.91N,0363512.65E,87,,NO,,NO,
LTFH_199,TREE,TREE,411429.09N,0363512.48E,87,,NO,,NO,
LTFH_200,TREE,TREE,411428.80N,0363513.22E,87,,NO,,NO,
LTFH_201,TREE,TREE,411428.65N,0363513.01E,86,,NO,,NO,
LTFH_202,TREE,TREE,411428.61N,0363513.32E,86,,NO,,NO,
LTFH_203,TREE,TREE,411428.55N,0363513.46E,87,,NO,,NO,
LTFH_204,TREE,TREE,411427.05N,0363513.72E,82,,NO,,NO,
LTFH_205,TREE,TREE,411426.92N,0363514.23E,82,,NO,,NO,
LTFH_206,TREE,TREE,411426.74N,0363514.40E,80,,NO,,NO,
LTFH_207,TREE,TREE,411427.15N,0363512.65E,78,,NO,,NO,
LTFH_208,TREE,TREE,411426.64N,0363515.13E,79,,NO,,NO,
LTFH_209,TREE,TREE,411427.10N,0363514.46E,81,,NO,,NO,
LTFH_210,TREE,TREE,411426.93N,0363515.09E,80,,NO,,NO,
LTFH_211,TREE,TREE,411426.80N,0363515.60E,80,,NO,,NO,
LTFH_212,TREE,TREE,411426.74N,0363515.94E,82,,NO,,NO,
LTFH_213,TREE,TREE,411426.49N,0363516.16E,83,,NO,,NO,
LTFH_214,TREE,TREE,411426.41N,0363515.94E,80,,NO,,NO,
LTFH_215,TREE,TREE,411426.50N,0363515.71E,80,,NO,,NO,
LTFH_216,TREE,TREE,411426.38N,0363515.36E,74,,NO,,NO,
LTFH_217,TREE,TREE,411426.22N,0363516.62E,80,,NO,,NO,
LTFH_218,TREE,TREE,411426.38N,0363516.66E,81,,NO,,NO,
LTFH_219,TREE,TREE,411426.35N,0363516.96E,79,,NO,,NO,
LTFH_220,TREE,TREE,411426.69N,0363516.90E,77,,NO,,NO,
LTFH_221,TREE,TREE,411426.56N,0363517.38E,78,,NO,,NO,
LTFH_222,TREE,TREE,411426.34N,0363517.77E,79,,NO,,NO,
LTFH_223,TREE,TREE,411426.19N,0363517.58E,78,,NO,,NO,
LTFH_224,TREE,TREE,411426.17N,0363518.00E,79,,NO,,NO,
LTFH_225,TREE,TREE,411426.81N,0363516.38E,77,,NO,,NO,
LTFH_226,TREE,TREE,411426.98N,0363515.72E,79,,NO,,NO,
LTFH_227,TREE,TREE,411427.17N,0363515.59E,76,,NO,,NO,
LTFH_228,TREE,TREE,411427.53N,0363515.23E,73,,NO,,NO,
LTFH_229,TREE,TREE,411427.62N,0363514.93E,75,,NO,,NO,
LTFH_230,TREE,TREE,411427.81N,0363515.45E,75,,NO,,NO,
LTFH_231,TREE,TREE,411427.84N,0363514.73E,79,,NO,,NO,
LTFH_232,TREE,TREE,411427.72N,0363514.16E,78,,NO,,NO,
LTFH_233,TREE,TREE,411427.71N,0363513.72E,77,,NO,,NO,
LTFH_234,TREE,TREE,411427.95N,0363513.61E,79,,NO,,NO,
LTFH_235,TREE,TREE,411428.50N,0363514.02E,86,,NO,,NO,
LTFH_236,TREE,TREE,411428.60N,0363513.99E,86,,NO,,NO,
LTFH_237,TREE,TREE,411428.60N,0363513.85E,86,,NO,,NO,
LTFH_238,TREE,TREE,411428.96N,0363513.62E,86,,NO,,NO,
LTFH_239,TREE,TREE,411429.18N,0363513.41E,86,,NO,,NO,
LTFH_240,TREE,TREE,411428.60N,0363514.51E,86,,NO,,NO,
LTFH_241,TREE,TREE,411428.44N,0363514.41E,86,,NO,,NO,
LTFH_242,TREE,TREE,411428.28N,0363515.17E,81,,NO,,NO,
LTFH_243,TREE,TREE,411428.38N,0363515.25E,81,,NO,,NO,
LTFH_244,TREE,TREE,411428.50N,0363515.28E,81,,NO,,NO,
LTFH_245,TREE,TREE,411428.86N,0363514.72E,82,,NO,,NO,
LTFH_246,TREE,TREE,411428.65N,0363515.51E,80,,NO,,NO,
LTFH_247,TREE,TREE,411428.31N,0363515.57E,82,,NO,,NO,
LTFH_248,TREE,TREE,411428.18N,0363515.43E,82,,NO,,NO,
LTFH_249,TREE,TREE,411427.97N,0363515.81E,80,,NO,,NO,
LTFH_250,TREE,TREE,411427.63N,0363515.93E,73,,NO,,NO,
LTFH_251,TREE,TREE,411428.23N,0363513.63E,80,,NO,,NO,
LTFH_252,TREE,TREE,411428.75N,0363511.75E,79,,NO,,NO,
LTFH_253,TREE,TREE,411428.58N,0363512.57E,84,,NO,,NO,
LTFH_254,TREE,TREE,411427.86N,0363516.19E,78,,NO,,NO,
LTFH_255,TREE,TREE,411427.89N,0363516.81E,78,,NO,,NO,
LTFH_256,TREE,TREE,411427.87N,0363517.07E,78,,NO,,NO,
LTFH_257,TREE,TREE,411427.66N,0363517.77E,75,,NO,,NO,
LTFH_258,TREE,TREE,411427.57N,0363518.13E,76,,NO,,NO,
LTFH_259,TREE,TREE,411427.74N,0363518.20E,75,,NO,,NO,
LTFH_260,TREE,TREE,411428.27N,0363517.56E,77,,NO,,NO,
LTFH_261,TREE,TREE,411428.30N,0363516.50E,80,,NO,,NO,
LTFH_262,TREE,TREE,411428.64N,0363516.28E,75,,NO,,NO,
LTFH_263,TREE,TREE,411428.57N,0363516.00E,79,,NO,,NO,
LTFH_264,TREE,TREE,411428.78N,0363515.77E,79,,NO,,NO,
LTFH_265,TREE,TREE,411427.31N,0363514.09E,79,,NO,,NO,
LTFH_266,TREE,TREE,411428.81N,0363518.68E,79,,NO,,NO,
LTFH_267,TREE,TREE,411429.02N,0363519.54E,77,,NO,,NO,
LTFH_268,TREE,TREE,411429.33N,0363519.50E,82,,NO,,NO,
LTFH_269,TREE,TREE,411429.08N,0363520.03E,79,,NO,,NO,
LTFH_270,TREE,TREE,411429.21N,0363520.29E,75,,NO,,NO,
LTFH_271,TREE,TREE,411429.60N,0363518.81E,81,,NO,,NO,
LTFH_272,TREE,TREE,411429.37N,0363518.91E,82,,NO,,NO,
LTFH_273,TREE,TREE,411429.46N,0363519.21E,83,,NO,,NO,
LTFH_274,TREE,TREE,411429.42N,0363518.03E,83,,NO,,NO,
LTFH_275,TREE,TREE,411429.30N,0363517.98E,83,,NO,,NO,
LTFH_276,TREE,TREE,411429.19N,0363517.76E,82,,NO,,NO,
LTFH_277,TREE,TREE,411429.14N,0363517.92E,81,,NO,,NO,
LTFH_278,TREE,TREE,411428.98N,0363517.78E,78,,NO,,NO,
LTFH_279,TREE,TREE,411429.06N,0363517.46E,80,,NO,,NO,
LTFH_280,TREE,TREE,411429.29N,0363517.43E,81,,NO,,NO,
LTFH_281,TREE,TREE,411429.52N,0363517.34E,85,,NO,,NO,
LTFH_282,TREE,TREE,411429.65N,0363517.37E,85,,NO,,NO,
LTFH_283,TREE,TREE,411429.70N,0363517.69E,84,,NO,,NO,
LTFH_284,TREE,TREE,411429.54N,0363517.71E,82,,NO,,NO,
LTFH_285,TREE,TREE,411429.42N,0363517.53E,84,,NO,,NO,
LTFH_286,TREE,TREE,411429.75N,0363517.05E,82,,NO,,NO,
LTFH_287,TREE,TREE,411429.51N,0363517.07E,82,,NO,,NO,
LTFH_288,TREE,TREE,411429.52N,0363516.67E,80,,NO,,NO,
LTFH_289,TREE,TREE,411429.57N,0363516.44E,81,,NO,,NO,
LTFH_290,TREE,TREE,411429.63N,0363516.30E,81,,NO,,NO,
LTFH_291,TREE,TREE,411429.73N,0363516.11E,81,,NO,,NO,
LTFH_292,TREE,TREE,411429.86N,0363515.87E,82,,NO,,NO,
LTFH_293,TREE,TREE,411429.96N,0363516.05E,83,,NO,,NO,
LTFH_294,TREE,TREE,411429.79N,0363515.06E,86,,NO,,NO,
LTFH_295,TREE,TREE,411429.62N,0363515.31E,83,,NO,,NO,
LTFH_296,TREE,TREE,411429.61N,0363515.08E,84,,NO,,NO,
LTFH_297,TREE,TREE,411430.19N,0363515.02E,85,,NO,,NO,
LTFH_298,TREE,TREE,411430.27N,0363515.78E,86,,NO,,NO,
LTFH_299,TREE,TREE,411430.27N,0363515.59E,82,,NO,,NO,
LTFH_300,TREE,TREE,411430.26N,0363515.35E,82,,NO,,NO,
LTFH_301,TREE,TREE,411430.09N,0363515.36E,82,,NO,,NO,
LTFH_302,TREE,TREE,411430.01N,0363516.41E,82,,NO,,NO,
LTFH_303,TREE,TREE,411429.84N,0363516.70E,81,,NO,,NO,
LTFH_304,TREE,TREE,411429.94N,0363517.04E,81,,NO,,NO,
LTFH_305,TREE,TREE,411429.73N,0363516.51E,81,,NO,,NO,
LTFH_306,TREE,TREE,411429.76N,0363516.37E,80,,NO,,NO,
LTFH_307,TREE,TREE,411429.74N,0363515.85E,80,,NO,,NO,
LTFH_308,TREE,TREE,411429.54N,0363515.81E,79,,NO,,NO,
