Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTAZ_74,MAST,POLE,384621.800N,0343213.800E,3108.00,20.00,NO INFO,,NO
LTAZ_75,MAST,POLE,384621.200N,0343215.200E,3108.00,20.00,NO INFO,,NO
LTAZ_76,MAST,POLE,384613.500N,0343234.200E,3110.00,20.00,NO INFO,,NO
LTAZ_77,MINARET,BUILDING,384928.956N,0343243.430E,3545.92,91.86,NO INFO,,NO
LTAZ_78,BUILDING,BUILDING,384919.791N,0343237.672E,3458.23,34.45,NO INFO,,NO
LTAZ_79,BUILDING,BUILDING,384920.469N,0343234.555E,3450.55,34.45,NO INFO,,NO
LTAZ_80,BUILDING,BUILDING,384913.706N,0343234.992E,3424.96,24.61,NO INFO,,NO
LTAZ_81,BUILDING,BUILDING,384911.620N,0343238.221E,3420.23,24.61,NO INFO,,NO
LTAZ_82,BUILDING,BUILDING,384912.598N,0343233.677E,3430.08,34.45,NO INFO,,NO
LTAZ_83,BUILDING,BUILDING,384910.702N,0343237.032E,3410.29,14.76,NO INFO,,NO
LTAZ_84,BUILDING,BUILDING,384906.915N,0343215.596E,3371.15,14.76,NO INFO,,NO
LTAZ_85,BUILDING,BUILDING,384906.944N,0343253.591E,3426.80,14.76,NO INFO,,NO
LTAZ_86,BUILDING,BUILDING,384913.821N,0343301.333E,3478.53,14.76,NO INFO,,NO
LTAZ_87,BUILDING,BUILDING,384912.910N,0343303.946E,3478.60,14.76,NO INFO,,NO
LTAZ_88,BUILDING,BUILDING,384912.936N,0343304.618E,3479.81,14.76,NO INFO,,NO
LTAZ_89,BUILDING,BUILDING,384913.020N,0343305.196E,3481.13,14.76,NO INFO,,NO
LTAZ_90,BUILDING,BUILDING,384912.031N,0343304.510E,3485.26,24.61,NO INFO,,NO
LTAZ_91,BUILDING,BUILDING,384911.452N,0343232.370E,3410.39,14.76,NO INFO,,NO
LTAZ_92,BUILDING,BUILDING,384909.914N,0343232.800E,3419.74,24.61,NO INFO,,NO
LTAZ_93,BUILDING,BUILDING,384909.131N,0343231.980E,3403.53,14.76,NO INFO,,NO
LTAZ_94,BUILDING,BUILDING,384909.934N,0343232.083E,3407.34,14.76,NO INFO,,NO
LTAZ_95,BUILDING,BUILDING,384915.317N,0343225.888E,3413.67,34.45,NO INFO,,NO
LTAZ_96,MINARET,BUILDING,384916.050N,0343206.906E,3397.63,73.82,NO INFO,,NO
LTAZ_97,HIGH VOLTAGE MAST,POLE,384849.127N,0343237.756E,3470.63,131.23,NO INFO,,NO
LTAZ_98,HIGH VOLTAGE MAST,POLE,384850.306N,0343239.727E,3485.69,131.23,NO INFO,,NO
LTAZ_99,BUILDING,BUILDING,384728.377N,0343550.048E,3393.00,14.76,NO INFO,,NO
LTAZ_100,BUILDING,BUILDING,384730.580N,0343549.286E,3398.42,14.76,NO INFO,,NO
LTAZ_101,BUILDING,BUILDING,384728.986N,0343549.210E,3393.99,14.76,NO INFO,,NO
LTAZ_102,BUILDING,BUILDING,384730.344N,0343547.184E,3389.76,24.61,NO INFO,,NO
LTAZ_103,BUILDING,BUILDING,384729.417N,0343548.114E,3393.99,14.76,NO INFO,,NO
LTAZ_104,BUILDING,BUILDING,384729.119N,0343548.306E,3393.99,14.76,NO INFO,,NO
LTAZ_105,BUILDING,BUILDING,384732.970N,0343544.219E,3386.44,24.61,NO INFO,,NO
LTAZ_106,BUILDING,BUILDING,384734.122N,0343548.565E,3415.90,14.76,NO INFO,,NO
LTAZ_107,HIGH VOLTAGE MAST,POLE,384757.003N,0343453.193E,3444.84,131.23,NO INFO,,NO
LTAZ_108,HIGH VOLTAGE MAST,POLE,384750.688N,0343510.387E,3477.65,131.23,NO INFO,,NO
LTAZ_109,HIGH VOLTAGE MAST,POLE,384748.541N,0343506.952E,3475.55,131.23,NO INFO,,NO
LTAZ_110,HIGH VOLTAGE MAST,POLE,384753.773N,0343454.199E,3444.84,131.23,NO INFO,,NO
LTAZ_111,HIGH VOLTAGE MAST,POLE,384742.544N,0343521.041E,3492.90,131.23,NO INFO,,NO
LTAZ_112,HIGH VOLTAGE MAST,POLE,384818.144N,0343401.235E,3602.97,131.23,NO INFO,,NO
LTAZ_113,HIGH VOLTAGE MAST,POLE,384816.461N,0343400.067E,3596.12,131.23,NO INFO,,NO
LTAZ_114,HIGH VOLTAGE MAST,POLE,384844.046N,0343250.420E,3500.81,131.23,NO INFO,,NO
LTAZ_115,HIGH VOLTAGE MAST,POLE,384844.177N,0343255.566E,3501.89,131.23,NO INFO,,NO
LTAZ_116,HIGH VOLTAGE MAST,POLE,384839.234N,0343302.542E,3504.19,131.23,NO INFO,,NO
LTAZ_117,HIGH VOLTAGE MAST,POLE,384835.709N,0343311.768E,3543.26,131.23,NO INFO,,NO
LTAZ_118,HIGH VOLTAGE MAST,POLE,384837.597N,0343312.299E,3543.26,131.23,NO INFO,,NO
LTAZ_119,HIGH VOLTAGE MAST,POLE,384830.850N,0343323.428E,3549.89,131.23,NO INFO,,NO
LTAZ_120,HIGH VOLTAGE MAST,POLE,384829.828N,0343331.321E,3559.67,131.23,NO INFO,,NO
LTAZ_121,HIGH VOLTAGE MAST,POLE,384827.276N,0343332.617E,3558.72,131.23,NO INFO,,NO
LTAZ_122,HIGH VOLTAGE MAST,POLE,384823.431N,0343347.343E,3574.27,131.23,NO INFO,,NO
