Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTCN3377,BUILDING,BUILDING,373508.53N,0365706.53E,2259.29,24.61,NO INFO,,NO
LTCN3378,BUILDING,BUILDING,373507.77N,0365707.07E,2252.32,24.61,NO INFO,,NO
LTCN3379,BUILDING,BUILDING,373507.59N,0365706.88E,2252.64,24.61,NO INFO,,NO
LTCN3380,BUILDING,BUILDING,373507.91N,0365707.54E,2256.83,34.45,NO INFO,,NO
LTCN3381,BUILDING,BUILDING,373508.18N,0365707.89E,2247.97,24.61,NO INFO,,NO
LTCN3382,BUILDING,BUILDING,373508.60N,0365708.22E,2248.59,24.61,NO INFO,,NO
LTCN3383,BUILDING,BUILDING,373508.51N,0365707.81E,2240.88,14.76,NO INFO,,NO
LTCN3384,BUILDING,BUILDING,373508.41N,0365707.58E,2242.76,14.76,NO INFO,,NO
LTCN3385,BUILDING,BUILDING,373508.29N,0365707.41E,2243.26,14.76,NO INFO,,NO
LTCN3386,BUILDING,BUILDING,373509.05N,0365707.81E,2254.45,24.61,NO INFO,,NO
LTCN3387,BUILDING,BUILDING,373509.77N,0365706.92E,2263.47,24.61,NO INFO,,NO
LTCN3388,BUILDING,BUILDING,373504.73N,0365702.91E,2229.65,24.61,NO INFO,,NO
LTCN3389,BUILDING,BUILDING,373504.72N,0365703.85E,2230.68,24.61,NO INFO,,NO
LTCN3390,BUILDING,BUILDING,373504.53N,0365705.06E,2228.10,24.61,NO INFO,,NO
LTCN3391,BUILDING,BUILDING,373503.69N,0365704.31E,2227.23,34.45,NO INFO,,NO
LTCN3392,BUILDING,BUILDING,373503.59N,0365705.35E,2232.16,44.29,NO INFO,,NO
LTCN3393,BUILDING,BUILDING,373503.03N,0365705.26E,2203.01,24.61,NO INFO,,NO
LTCN3394,BUILDING,BUILDING,373503.00N,0365704.80E,2211.13,34.45,NO INFO,,NO
LTCN3395,BUILDING,BUILDING,373503.57N,0365706.42E,2198.93,24.61,NO INFO,,NO
LTCN3396,BUILDING,BUILDING,373502.97N,0365706.48E,2182.30,24.61,NO INFO,,NO
LTCN3397,BUILDING,BUILDING,373503.49N,0365707.23E,2199.26,34.45,NO INFO,,NO
LTCN3398,BUILDING,BUILDING,373504.76N,0365706.46E,2244.44,44.29,NO INFO,,NO
LTCN3399,BUILDING,BUILDING,373505.01N,0365707.26E,2214.72,14.76,NO INFO,,NO
LTCN3400,BUILDING,BUILDING,373505.58N,0365708.23E,2225.13,24.61,NO INFO,,NO
LTCN3401,BUILDING,BUILDING,373506.66N,0365708.18E,2243.14,34.45,NO INFO,,NO
LTCN3402,BUILDING,BUILDING,373506.50N,0365709.82E,2206.32,14.76,NO INFO,,NO
LTCN3403,BUILDING,BUILDING,373505.88N,0365710.69E,2195.61,14.76,NO INFO,,NO
LTCN3404,BUILDING,BUILDING,373504.71N,0365701.93E,2238.31,34.45,NO INFO,,NO
LTCN3405,BUILDING,BUILDING,373504.78N,0365701.17E,2239.38,34.45,NO INFO,,NO
LTCN3406,BUILDING,BUILDING,373505.31N,0365701.92E,2236.31,24.61,NO INFO,,NO
LTCN3407,BUILDING,BUILDING,373505.43N,0365701.46E,2247.22,34.45,NO INFO,,NO
LTCN3408,BUILDING,BUILDING,373506.39N,0365701.64E,2248.81,24.61,NO INFO,,NO
LTCN3409,BUILDING,BUILDING,373507.32N,0365701.34E,2247.35,14.76,NO INFO,,NO
LTCN3410,BUILDING,BUILDING,373504.21N,0365709.03E,2214.14,34.45,NO INFO,,NO
LTCN3411,BUILDING,BUILDING,373504.70N,0365710.34E,2200.26,24.61,NO INFO,,NO
LTCN3412,BUILDING,BUILDING,373504.39N,0365710.66E,2195.32,24.61,NO INFO,,NO
LTCN3413,BUILDING,BUILDING,373504.08N,0365711.27E,2180.09,14.76,NO INFO,,NO
LTCN3414,BUILDING,BUILDING,373505.09N,0365711.35E,2207.90,34.45,NO INFO,,NO
LTCN3415,BUILDING,BUILDING,373504.76N,0365711.85E,2191.64,24.61,NO INFO,,NO
LTCN3416,BUILDING,BUILDING,373505.82N,0365712.47E,2199.17,34.45,NO INFO,,NO
LTCN3417,BUILDING,BUILDING,373503.80N,0365713.06E,2192.17,34.45,NO INFO,,NO
LTCN3418,BUILDING,BUILDING,373503.01N,0365712.37E,2189.93,34.45,NO INFO,,NO
LTCN3419,BUILDING,BUILDING,373502.54N,0365710.24E,2184.02,34.45,NO INFO,,NO
LTCN3420,BUILDING,BUILDING,373502.97N,0365709.50E,2196.89,34.45,NO INFO,,NO
LTCN3421,BUILDING,BUILDING,373502.23N,0365708.80E,2166.00,34.45,NO INFO,,NO
LTCN3422,BUILDING,BUILDING,373502.28N,0365708.44E,2157.24,24.61,NO INFO,,NO
LTCN3423,BUILDING,BUILDING,373502.48N,0365707.39E,2156.27,24.61,NO INFO,,NO
LTCN3424,BUILDING,BUILDING,373502.86N,0365707.57E,2165.38,24.61,NO INFO,,NO
LTCN3425,BUILDING,BUILDING,373502.01N,0365709.38E,2146.74,14.76,NO INFO,,NO
LTCN3426,BUILDING,BUILDING,373501.67N,0365710.38E,2160.35,34.45,NO INFO,,NO
LTCN3427,BUILDING,BUILDING,373501.27N,0365711.38E,2140.74,34.45,NO INFO,,NO
LTCN3428,BUILDING,BUILDING,373505.04N,0365715.54E,2158.17,24.61,NO INFO,,NO
LTCN3429,BUILDING,BUILDING,373504.91N,0365715.89E,2152.99,24.61,NO INFO,,NO
LTCN3430,BUILDING,BUILDING,373504.50N,0365717.36E,2138.67,24.61,NO INFO,,NO
LTCN3431,BUILDING,BUILDING,373505.11N,0365717.68E,2149.35,24.61,NO INFO,,NO
LTCN3432,BUILDING,BUILDING,373505.18N,0365718.27E,2150.56,24.61,NO INFO,,NO
LTCN3433,BUILDING,BUILDING,373504.33N,0365718.36E,2134.09,24.61,NO INFO,,NO
LTCN3434,BUILDING,BUILDING,373505.46N,0365718.31E,2153.19,24.61,NO INFO,,NO
LTCN3435,BUILDING,BUILDING,373506.28N,0365718.91E,2164.05,24.61,NO INFO,,NO
LTCN3436,BUILDING,BUILDING,373506.62N,0365719.15E,2168.54,24.61,NO INFO,,NO
LTCN3437,BUILDING,BUILDING,373506.73N,0365719.67E,2166.89,24.61,NO INFO,,NO
LTCN3438,BUILDING,BUILDING,373507.43N,0365719.62E,2186.80,34.45,NO INFO,,NO
LTCN3439,BUILDING,BUILDING,373507.58N,0365719.13E,2184.16,24.61,NO INFO,,NO
LTCN3440,BUILDING,BUILDING,373508.34N,0365718.45E,2200.06,24.61,NO INFO,,NO
LTCN3441,BUILDING,BUILDING,373508.29N,0365717.97E,2202.37,24.61,NO INFO,,NO
LTCN3442,BUILDING,BUILDING,373508.26N,0365716.93E,2206.70,24.61,NO INFO,,NO
LTCN3443,BUILDING,BUILDING,373509.46N,0365717.72E,2219.88,24.61,NO INFO,,NO
LTCN3444,BUILDING,BUILDING,373509.51N,0365718.23E,2217.75,24.61,NO INFO,,NO
LTCN3445,BUILDING,BUILDING,373509.59N,0365719.19E,2214.50,24.61,NO INFO,,NO
LTCN3446,BUILDING,BUILDING,373509.71N,0365719.49E,2212.72,24.61,NO INFO,,NO
LTCN3447,BUILDING,BUILDING,373509.72N,0365720.09E,2209.79,24.61,NO INFO,,NO
LTCN3448,BUILDING,BUILDING,373508.65N,0365719.67E,2196.37,24.61,NO INFO,,NO
LTCN3449,BUILDING,BUILDING,373508.77N,0365720.27E,2200.83,34.45,NO INFO,,NO
LTCN3450,BUILDING,BUILDING,373506.78N,0365722.03E,2156.74,34.45,NO INFO,,NO
LTCN3451,BUILDING,BUILDING,373506.84N,0365721.49E,2149.57,24.61,NO INFO,,NO
LTCN3452,BUILDING,BUILDING,373506.81N,0365721.01E,2144.12,14.76,NO INFO,,NO
LTCN3453,BUILDING,BUILDING,373507.92N,0365725.06E,2169.15,24.61,NO INFO,,NO
LTCN3454,BUILDING,BUILDING,373509.92N,0365725.58E,2203.54,24.61,NO INFO,,NO
LTCN3455,BUILDING,BUILDING,373512.36N,0365723.98E,2240.90,24.61,NO INFO,,NO
LTCN3456,BUILDING,BUILDING,373512.47N,0365724.77E,2243.66,24.61,NO INFO,,NO
LTCN3457,BUILDING,BUILDING,373511.44N,0365726.69E,2227.31,24.61,NO INFO,,NO
LTCN3458,BUILDING,BUILDING,373508.98N,0365720.66E,2192.22,24.61,NO INFO,,NO
LTCN3459,BUILDING,BUILDING,373510.48N,0365711.30E,2247.63,24.61,NO INFO,,NO
LTCN3460,BUILDING,BUILDING,373424.42N,0365808.54E,1879.41,24.61,NO INFO,,NO
LTCN3461,BUILDING,BUILDING,373425.40N,0365810.91E,1877.28,14.76,NO INFO,,NO
LTCN3462,BUILDING,BUILDING,373425.12N,0365811.68E,1877.99,14.76,NO INFO,,NO
LTCN3463,BUILDING,BUILDING,373425.96N,0365812.25E,1881.14,14.76,NO INFO,,NO
LTCN3464,BUILDING,BUILDING,373423.36N,0365811.17E,1883.74,24.61,NO INFO,,NO
LTCN3465,BUILDING,BUILDING,373423.74N,0365813.67E,1879.52,14.76,NO INFO,,NO
LTCN3466,BUILDING,BUILDING,373422.73N,0365810.73E,1881.96,24.61,NO INFO,,NO
LTCN3467,BUILDING,BUILDING,373422.32N,0365810.61E,1881.07,24.61,NO INFO,,NO
LTCN3468,BUILDING,BUILDING,373423.34N,0365807.62E,1866.14,14.76,NO INFO,,NO
LTCN3469,BUILDING,BUILDING,373423.32N,0365807.20E,1865.28,14.76,NO INFO,,NO
LTCN3470,BUILDING,BUILDING,373423.92N,0365807.63E,1867.15,14.76,NO INFO,,NO
LTCN3471,BUILDING,BUILDING,373423.51N,0365806.37E,1873.61,24.61,NO INFO,,NO
LTCN3472,BUILDING,BUILDING,373423.77N,0365805.99E,1862.79,14.76,NO INFO,,NO
LTCN3473,BUILDING,BUILDING,373423.67N,0365805.56E,1861.81,14.76,NO INFO,,NO
LTCN3474,BUILDING,BUILDING,373423.78N,0365805.01E,1870.68,24.61,NO INFO,,NO
LTCN3475,BUILDING,BUILDING,373424.19N,0365803.78E,1869.52,24.61,NO INFO,,NO
LTCN3476,BUILDING,BUILDING,373424.96N,0365803.77E,1861.84,14.76,NO INFO,,NO
LTCN3477,BUILDING,BUILDING,373425.44N,0365803.25E,1870.92,24.61,NO INFO,,NO
LTCN3478,BUILDING,BUILDING,373424.96N,0365802.36E,1867.65,24.61,NO INFO,,NO
LTCN3479,BUILDING,BUILDING,373424.73N,0365802.86E,1868.10,24.61,NO INFO,,NO
LTCN3480,BUILDING,BUILDING,373425.77N,0365801.54E,1867.30,24.61,NO INFO,,NO
LTCN3481,BUILDING,BUILDING,373425.82N,0365802.18E,1859.10,14.76,NO INFO,,NO
LTCN3482,BUILDING,BUILDING,373426.33N,0365802.40E,1870.53,24.61,NO INFO,,NO
LTCN3483,BUILDING,BUILDING,373425.33N,0365801.83E,1856.91,14.76,NO INFO,,NO
LTCN3484,BUILDING,BUILDING,373424.03N,0365759.76E,1861.85,24.61,NO INFO,,NO
LTCN3485,BUILDING,BUILDING,373425.79N,0365758.33E,1861.85,24.61,NO INFO,,NO
LTCN3486,BUILDING,BUILDING,373425.61N,0365757.98E,1871.70,34.45,NO INFO,,NO
LTCN3487,BUILDING,BUILDING,373425.37N,0365757.57E,1861.85,24.61,NO INFO,,NO
LTCN3488,BUILDING,BUILDING,373424.76N,0365756.58E,1851.60,14.76,NO INFO,,NO
LTCN3489,BUILDING,BUILDING,373423.94N,0365756.91E,1850.93,14.76,NO INFO,,NO
LTCN3490,BUILDING,BUILDING,373423.79N,0365756.68E,1850.17,14.76,NO INFO,,NO
LTCN3491,BUILDING,BUILDING,373423.53N,0365756.42E,1858.81,24.61,NO INFO,,NO
LTCN3492,BUILDING,BUILDING,373423.99N,0365755.71E,1848.57,14.76,NO INFO,,NO
LTCN3493,BUILDING,BUILDING,373424.32N,0365755.97E,1849.64,14.76,NO INFO,,NO
LTCN3494,BUILDING,BUILDING,373423.68N,0365755.06E,1856.45,24.61,NO INFO,,NO
LTCN3495,BUILDING,BUILDING,373423.07N,0365755.83E,1856.98,24.61,NO INFO,,NO
LTCN3496,BUILDING,BUILDING,373422.84N,0365755.38E,1855.33,24.61,NO INFO,,NO
LTCN3497,BUILDING,BUILDING,373422.32N,0365756.44E,1856.32,24.61,NO INFO,,NO
LTCN3498,BUILDING,BUILDING,373423.29N,0365754.52E,1854.17,24.61,NO INFO,,NO
LTCN3499,BUILDING,BUILDING,373423.05N,0365754.21E,1843.57,14.76,NO INFO,,NO
LTCN3500,BUILDING,BUILDING,373422.72N,0365754.02E,1852.34,24.61,NO INFO,,NO
LTCN3501,BUILDING,BUILDING,373423.40N,0365752.90E,1850.91,24.61,NO INFO,,NO
LTCN3502,BUILDING,BUILDING,373423.01N,0365752.34E,1848.95,24.61,NO INFO,,NO
LTCN3503,BUILDING,BUILDING,373423.51N,0365751.96E,1849.44,24.61,NO INFO,,NO
LTCN3504,BUILDING,BUILDING,373423.88N,0365752.38E,1850.96,24.61,NO INFO,,NO
LTCN3505,BUILDING,BUILDING,373424.47N,0365753.38E,1844.59,14.76,NO INFO,,NO
LTCN3506,BUILDING,BUILDING,373425.41N,0365754.70E,1858.67,24.61,NO INFO,,NO
LTCN3507,BUILDING,BUILDING,373425.07N,0365755.10E,1858.94,24.61,NO INFO,,NO
LTCN3508,BUILDING,BUILDING,373425.83N,0365755.31E,1851.11,14.76,NO INFO,,NO
LTCN3509,BUILDING,BUILDING,373426.03N,0365755.75E,1852.01,14.76,NO INFO,,NO
LTCN3510,BUILDING,BUILDING,373426.21N,0365755.98E,1852.01,14.76,NO INFO,,NO
LTCN3511,BUILDING,BUILDING,373426.48N,0365756.38E,1861.85,24.61,NO INFO,,NO
LTCN3512,BUILDING,BUILDING,373425.61N,0365756.17E,1852.01,14.76,NO INFO,,NO
LTCN3513,BUILDING,BUILDING,373425.93N,0365756.43E,1852.01,14.76,NO INFO,,NO
LTCN3514,BUILDING,BUILDING,373426.30N,0365757.24E,1852.01,14.76,NO INFO,,NO
LTCN3515,BUILDING,BUILDING,373422.95N,0365751.09E,1846.27,24.61,NO INFO,,NO
LTCN3516,BUILDING,BUILDING,373422.70N,0365750.72E,1844.76,24.61,NO INFO,,NO
LTCN3517,BUILDING,BUILDING,373422.12N,0365749.97E,1852.33,34.45,NO INFO,,NO
LTCN3518,BUILDING,BUILDING,373422.69N,0365749.29E,1831.79,14.76,NO INFO,,NO
LTCN3519,BUILDING,BUILDING,373422.49N,0365749.12E,1841.32,24.61,NO INFO,,NO
LTCN3520,BUILDING,BUILDING,373422.88N,0365748.46E,1830.63,14.76,NO INFO,,NO
LTCN3521,BUILDING,BUILDING,373422.62N,0365748.16E,1829.56,14.76,NO INFO,,NO
LTCN3522,BUILDING,BUILDING,373422.44N,0365747.65E,1847.48,34.45,NO INFO,,NO
LTCN3523,BUILDING,BUILDING,373421.99N,0365748.14E,1838.16,24.61,NO INFO,,NO
LTCN3524,BUILDING,BUILDING,373422.31N,0365748.55E,1829.83,14.76,NO INFO,,NO
LTCN3525,BUILDING,BUILDING,373421.59N,0365749.14E,1839.76,24.61,NO INFO,,NO
LTCN3526,BUILDING,BUILDING,373421.83N,0365749.50E,1830.68,14.76,NO INFO,,NO
LTCN3527,BUILDING,BUILDING,373421.45N,0365749.92E,1840.79,24.61,NO INFO,,NO
LTCN3528,BUILDING,BUILDING,373420.97N,0365749.03E,1847.91,34.45,NO INFO,,NO
LTCN3529,BUILDING,BUILDING,373421.31N,0365748.70E,1827.96,14.76,NO INFO,,NO
LTCN3530,BUILDING,BUILDING,373421.11N,0365748.22E,1836.60,24.61,NO INFO,,NO
LTCN3531,BUILDING,BUILDING,373421.84N,0365750.65E,1843.20,24.61,NO INFO,,NO
LTCN3532,BUILDING,BUILDING,373421.16N,0365753.22E,1837.15,14.76,NO INFO,,NO
LTCN3533,BUILDING,BUILDING,373421.20N,0365753.70E,1838.80,14.76,NO INFO,,NO
LTCN3534,BUILDING,BUILDING,373420.85N,0365753.44E,1847.26,24.61,NO INFO,,NO
LTCN3535,BUILDING,BUILDING,373420.13N,0365753.70E,1846.91,24.61,NO INFO,,NO
LTCN3536,BUILDING,BUILDING,373420.14N,0365754.50E,1838.81,14.76,NO INFO,,NO
LTCN3537,BUILDING,BUILDING,373420.46N,0365755.79E,1841.70,14.76,NO INFO,,NO
LTCN3538,BUILDING,BUILDING,373418.63N,0365753.71E,1845.96,24.61,NO INFO,,NO
LTCN3539,BUILDING,BUILDING,373419.08N,0365753.37E,1845.41,24.61,NO INFO,,NO
LTCN3540,BUILDING,BUILDING,373419.50N,0365752.25E,1843.00,24.61,NO INFO,,NO
LTCN3541,BUILDING,BUILDING,373419.94N,0365751.50E,1842.01,24.61,NO INFO,,NO
LTCN3542,BUILDING,BUILDING,373419.03N,0365751.30E,1840.95,24.61,NO INFO,,NO
LTCN3543,BUILDING,BUILDING,373418.67N,0365751.36E,1840.74,24.61,NO INFO,,NO
LTCN3544,BUILDING,BUILDING,373418.13N,0365751.37E,1840.42,24.61,NO INFO,,NO
LTCN3545,BUILDING,BUILDING,373420.30N,0365758.43E,1857.03,24.61,NO INFO,,NO
LTCN3546,BUILDING,BUILDING,373420.94N,0365801.46E,1861.85,24.61,NO INFO,,NO
LTCN3547,BUILDING,BUILDING,373421.72N,0365801.74E,1861.85,24.61,NO INFO,,NO
LTCN3548,BUILDING,BUILDING,373422.80N,0365802.04E,1863.48,24.61,NO INFO,,NO
LTCN3549,BUILDING,BUILDING,373422.50N,0365802.34E,1854.03,14.76,NO INFO,,NO
LTCN3550,BUILDING,BUILDING,373422.56N,0365802.90E,1865.16,24.61,NO INFO,,NO
LTCN3551,BUILDING,BUILDING,373422.67N,0365803.31E,1856.41,14.76,NO INFO,,NO
LTCN3552,BUILDING,BUILDING,373422.47N,0365803.83E,1867.09,24.61,NO INFO,,NO
LTCN3553,BUILDING,BUILDING,373422.48N,0365804.21E,1858.11,14.76,NO INFO,,NO
LTCN3554,BUILDING,BUILDING,373422.21N,0365804.68E,1858.74,14.76,NO INFO,,NO
LTCN3555,BUILDING,BUILDING,373422.70N,0365806.40E,1862.64,14.76,NO INFO,,NO
LTCN3556,BUILDING,BUILDING,373422.63N,0365806.77E,1863.50,14.76,NO INFO,,NO
LTCN3557,BUILDING,BUILDING,373421.48N,0365812.16E,1872.80,14.76,NO INFO,,NO
LTCN3558,BUILDING,BUILDING,373422.48N,0365813.04E,1876.36,14.76,NO INFO,,NO
LTCN3559,BUILDING,BUILDING,373422.95N,0365813.25E,1877.51,14.76,NO INFO,,NO
LTCN3560,BUILDING,BUILDING,373422.15N,0365813.83E,1877.00,14.76,NO INFO,,NO
LTCN3561,BUILDING,BUILDING,373421.67N,0365816.27E,1898.85,34.45,NO INFO,,NO
LTCN3562,BUILDING,BUILDING,373419.92N,0365812.99E,1880.31,24.61,NO INFO,,NO
LTCN3563,BUILDING,BUILDING,373419.13N,0365810.78E,1875.45,24.61,NO INFO,,NO
LTCN3564,BUILDING,BUILDING,373419.36N,0365807.38E,1870.05,24.61,NO INFO,,NO
LTCN3565,BUILDING,BUILDING,373418.04N,0365802.31E,1852.01,14.76,NO INFO,,NO
LTCN3566,BUILDING,BUILDING,373418.51N,0365812.09E,1875.25,24.61,NO INFO,,NO
LTCN3567,BUILDING,BUILDING,373419.92N,0365816.09E,1884.23,24.61,NO INFO,,NO
LTCN3568,BUILDING,BUILDING,373416.94N,0365813.05E,1871.12,24.61,NO INFO,,NO
LTCN3569,BUILDING,BUILDING,373415.90N,0365811.77E,1877.01,34.45,NO INFO,,NO
LTCN3570,BUILDING,BUILDING,373419.65N,0365818.64E,1878.00,14.76,NO INFO,,NO
LTCN3571,BUILDING,BUILDING,373419.97N,0365818.97E,1879.60,14.76,NO INFO,,NO
LTCN3572,BUILDING,BUILDING,373422.85N,0365820.44E,1899.33,24.61,NO INFO,,NO
LTCN3573,BUILDING,BUILDING,373422.78N,0365821.45E,1900.90,24.61,NO INFO,,NO
LTCN3574,BUILDING,BUILDING,373422.21N,0365822.92E,1892.02,14.76,NO INFO,,NO
LTCN3575,BUILDING,BUILDING,373421.01N,0365822.80E,1898.24,24.61,NO INFO,,NO
LTCN3576,BUILDING,BUILDING,373422.22N,0365824.38E,1903.57,24.61,NO INFO,,NO
LTCN3577,BUILDING,BUILDING,373422.98N,0365825.18E,1906.53,24.61,NO INFO,,NO
LTCN3578,BUILDING,BUILDING,373421.91N,0365826.16E,1894.84,14.76,NO INFO,,NO
LTCN3579,BUILDING,BUILDING,373420.96N,0365826.70E,1902.56,24.61,NO INFO,,NO
LTCN3580,BUILDING,BUILDING,373418.83N,0365824.59E,1894.19,24.61,NO INFO,,NO
LTCN3581,BUILDING,BUILDING,373418.33N,0365824.61E,1893.36,24.61,NO INFO,,NO
LTCN3582,BUILDING,BUILDING,373415.56N,0365753.44E,1831.90,14.76,NO INFO,,NO
LTCN3583,BUILDING,BUILDING,373416.01N,0365753.58E,1833.14,14.76,NO INFO,,NO
LTCN3584,BUILDING,BUILDING,373416.29N,0365754.44E,1844.82,24.61,NO INFO,,NO
LTCN3585,BUILDING,BUILDING,373416.59N,0365754.39E,1835.54,14.76,NO INFO,,NO
LTCN3586,BUILDING,BUILDING,373417.00N,0365754.39E,1836.20,14.76,NO INFO,,NO
LTCN3587,BUILDING,BUILDING,373415.22N,0365754.47E,1843.14,24.61,NO INFO,,NO
LTCN3588,BUILDING,BUILDING,373417.14N,0365757.56E,1842.23,14.76,NO INFO,,NO
LTCN3589,BUILDING,BUILDING,373417.42N,0365758.87E,1855.37,24.61,NO INFO,,NO
LTCN3590,BUILDING,BUILDING,373416.50N,0365759.10E,1853.28,24.61,NO INFO,,NO
LTCN3591,BUILDING,BUILDING,373416.74N,0365800.09E,1845.63,14.76,NO INFO,,NO
LTCN3592,BUILDING,BUILDING,373417.29N,0365751.52E,1840.33,24.61,NO INFO,,NO
LTCN3593,BUILDING,BUILDING,373416.77N,0365751.54E,1839.99,24.61,NO INFO,,NO
LTCN3594,BUILDING,BUILDING,373419.93N,0365754.50E,1838.70,14.76,NO INFO,,NO
LTCN3595,BUILDING,BUILDING,373424.71N,0365821.26E,1905.79,24.61,NO INFO,,NO
LTCN3596,BUILDING,BUILDING,373425.75N,0365820.60E,1907.19,24.61,NO INFO,,NO
LTCN3597,BUILDING,BUILDING,373428.05N,0365820.83E,1904.25,14.76,NO INFO,,NO
LTCN3598,BUILDING,BUILDING,373428.14N,0365820.53E,1904.19,14.76,NO INFO,,NO
LTCN3599,BUILDING,BUILDING,373428.77N,0365820.33E,1915.56,24.61,NO INFO,,NO
LTCN3600,BUILDING,BUILDING,373428.79N,0365820.79E,1906.79,14.76,NO INFO,,NO
LTCN3601,BUILDING,BUILDING,373428.81N,0365821.35E,1917.21,24.61,NO INFO,,NO
LTCN3602,BUILDING,BUILDING,373427.66N,0365822.58E,1915.47,24.61,NO INFO,,NO
LTCN3603,BUILDING,BUILDING,373427.65N,0365823.03E,1916.65,24.61,NO INFO,,NO
LTCN3604,BUILDING,BUILDING,373426.54N,0365823.19E,1913.63,24.61,NO INFO,,NO
LTCN3605,BUILDING,BUILDING,373426.53N,0365824.08E,1915.20,24.61,NO INFO,,NO
LTCN3606,BUILDING,BUILDING,373425.95N,0365826.47E,1926.00,34.45,NO INFO,,NO
LTCN3607,BUILDING,BUILDING,373430.17N,0365825.06E,1926.88,24.61,NO INFO,,NO
LTCN3608,BUILDING,BUILDING,373430.26N,0365812.03E,1890.76,14.76,NO INFO,,NO
LTCN3609,BUILDING,BUILDING,373435.59N,0365808.13E,1910.83,24.61,NO INFO,,NO
LTCN3610,BUILDING,BUILDING,373436.64N,0365808.98E,1905.62,14.76,NO INFO,,NO
LTCN3611,BUILDING,BUILDING,373437.30N,0365810.06E,1919.70,24.61,NO INFO,,NO
LTCN3612,BUILDING,BUILDING,373436.89N,0365810.46E,1919.90,24.61,NO INFO,,NO
LTCN3613,BUILDING,BUILDING,373436.51N,0365810.75E,1919.49,24.61,NO INFO,,NO
LTCN3614,BUILDING,BUILDING,373436.59N,0365810.02E,1917.97,24.61,NO INFO,,NO
LTCN3615,BUILDING,BUILDING,373436.17N,0365810.02E,1906.64,14.76,NO INFO,,NO
LTCN3616,BUILDING,BUILDING,373436.75N,0365812.26E,1923.91,24.61,NO INFO,,NO
LTCN3617,BUILDING,BUILDING,373437.17N,0365811.43E,1922.86,24.61,NO INFO,,NO
LTCN3618,BUILDING,BUILDING,373437.53N,0365812.18E,1925.87,24.61,NO INFO,,NO
LTCN3619,BUILDING,BUILDING,373437.53N,0365812.69E,1926.90,24.61,NO INFO,,NO
LTCN3620,BUILDING,BUILDING,373436.80N,0365812.79E,1915.37,14.76,NO INFO,,NO
LTCN3621,BUILDING,BUILDING,373434.26N,0365813.72E,1907.74,14.76,NO INFO,,NO
LTCN3622,BUILDING,BUILDING,373439.84N,0365810.78E,1917.63,14.76,NO INFO,,NO
LTCN3623,BUILDING,BUILDING,373441.22N,0365809.00E,1918.24,14.76,NO INFO,,NO
LTCN3624,BUILDING,BUILDING,373433.29N,0365820.48E,1918.96,14.76,NO INFO,,NO
LTCN3625,BUILDING,BUILDING,373424.36N,0365757.54E,1852.01,14.76,NO INFO,,NO
LTCN3626,BUILDING,BUILDING,373424.34N,0365757.82E,1861.85,24.61,NO INFO,,NO
LTCN3627,BUILDING,BUILDING,373509.38N,0365711.12E,2235.62,24.61,NO INFO,,NO
LTCN3628,BUILDING,BUILDING,373509.68N,0365712.48E,2243.19,34.45,NO INFO,,NO
LTCN3629,BUILDING,BUILDING,373510.18N,0365707.61E,2261.36,24.61,NO INFO,,NO
LTCN3630,BUILDING,BUILDING,373510.58N,0365713.32E,2252.23,34.45,NO INFO,,NO
LTCN3631,BUILDING,BUILDING,373511.60N,0365712.66E,2257.12,24.61,NO INFO,,NO
LTCN3632,BUILDING,BUILDING,373511.80N,0365714.03E,2257.96,24.61,NO INFO,,NO
LTCN3633,BUILDING,BUILDING,373512.04N,0365714.91E,2259.68,24.61,NO INFO,,NO
LTCN3634,BUILDING,BUILDING,373512.71N,0365714.64E,2266.51,24.61,NO INFO,,NO
LTCN3635,BUILDING,BUILDING,373512.87N,0365715.54E,2268.42,24.61,NO INFO,,NO
LTCN3636,BUILDING,BUILDING,373514.11N,0365715.75E,2281.97,24.61,NO INFO,,NO
LTCN3637,BUILDING,BUILDING,373514.92N,0365716.67E,2289.24,24.61,NO INFO,,NO
LTCN3638,BUILDING,BUILDING,373511.21N,0365716.26E,2249.21,24.61,NO INFO,,NO
LTCN3639,BUILDING,BUILDING,373511.41N,0365716.68E,2251.18,24.61,NO INFO,,NO
LTCN3640,BUILDING,BUILDING,373510.95N,0365715.45E,2246.48,24.61,NO INFO,,NO
LTCN3641,BUILDING,BUILDING,373510.21N,0365715.93E,2236.87,24.61,NO INFO,,NO
LTCN3642,BUILDING,BUILDING,373513.63N,0365723.38E,2251.64,14.76,NO INFO,,NO
LTCN3643,BUILDING,BUILDING,373515.02N,0365724.88E,2272.46,24.61,NO INFO,,NO
LTCN3644,BUILDING,BUILDING,373513.17N,0365728.30E,2245.35,24.61,NO INFO,,NO
LTCN3645,BUILDING,BUILDING,373513.31N,0365728.73E,2243.96,24.61,NO INFO,,NO
LTCN3646,BUILDING,BUILDING,373512.30N,0365728.94E,2233.55,24.61,NO INFO,,NO
LTCN3647,BUILDING,BUILDING,373510.72N,0365729.28E,2199.16,14.76,NO INFO,,NO
LTCN3648,BUILDING,BUILDING,373510.37N,0365729.14E,2193.10,14.76,NO INFO,,NO
