Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,
LTCA_652,BUILDING,BUILDING,383716.07N,0391645.74E,3065,44,NO INFO,,NO,,,,,,,,
LTCA_653,BUILDING,BUILDING,383717.84N,0391643.53E,3038,15,NO INFO,,NO,,,,,,,,
LTCA_654,BUILDING,BUILDING,383717.09N,0391643.77E,3047,25,NO INFO,,NO,,,,,,,,
LTCA_655,BUILDING,BUILDING,383717.05N,0391644.06E,3057,34,NO INFO,,NO,,,,,,,,
LTCA_656,BUILDING,BUILDING,383720.13N,0391641.69E,3063,34,NO INFO,,NO,,,,,,,,
LTCA_657,BUILDING,BUILDING,383719.29N,0391643.22E,3061,34,NO INFO,,NO,,,,,,,,
LTCA_658,BUILDING,BUILDING,383718.99N,0391644.16E,3061,34,NO INFO,,NO,,,,,,,,
LTCA_659,BUILDING,BUILDING,383719.40N,0391642.26E,3051,25,NO INFO,,NO,,,,,,,,
LTCA_660,BUILDING,BUILDING,383719.31N,0391641.45E,3041,15,NO INFO,,NO,,,,,,,,
LTCA_661,BUILDING,BUILDING,383719.63N,0391641.06E,3052,25,NO INFO,,NO,,,,,,,,
LTCA_662,BUILDING,BUILDING,383718.53N,0391640.81E,3039,15,NO INFO,,NO,,,,,,,,
LTCA_663,BUILDING,BUILDING,383718.65N,0391640.40E,3039,15,NO INFO,,NO,,,,,,,,
LTCA_664,BUILDING,BUILDING,383718.50N,0391637.50E,3048,25,NO INFO,,NO,,,,,,,,
LTCA_665,BUILDING,BUILDING,383719.91N,0391637.13E,3042,15,NO INFO,,NO,,,,,,,,
LTCA_666,BUILDING,BUILDING,383721.32N,0391637.76E,3065,34,NO INFO,,NO,,,,,,,,
LTCA_667,BUILDING,BUILDING,383721.53N,0391637.35E,3046,15,NO INFO,,NO,,,,,,,,
LTCA_668,BUILDING,BUILDING,383721.15N,0391637.49E,3055,25,NO INFO,,NO,,,,,,,,
LTCA_669,BUILDING,BUILDING,383723.30N,0391631.92E,3060,25,NO INFO,,NO,,,,,,,,
LTCA_670,BUILDING,BUILDING,383722.94N,0391634.46E,3048,15,NO INFO,,NO,,,,,,,,
LTCA_671,BUILDING,BUILDING,383721.26N,0391632.18E,3044,15,NO INFO,,NO,,,,,,,,
LTCA_672,BUILDING,BUILDING,383721.60N,0391631.91E,3064,34,NO INFO,,NO,,,,,,,,
LTCA_673,BUILDING,BUILDING,383721.23N,0391631.74E,3053,25,NO INFO,,NO,,,,,,,,
LTCA_674,BUILDING,BUILDING,383721.70N,0391631.38E,3045,15,NO INFO,,NO,,,,,,,,
LTCA_675,BUILDING,BUILDING,383722.11N,0391631.40E,3046,15,NO INFO,,NO,,,,,,,,
LTCA_676,BUILDING,BUILDING,383721.97N,0391631.13E,3055,25,NO INFO,,NO,,,,,,,,
LTCA_677,BUILDING,BUILDING,383723.44N,0391628.27E,3057,25,NO INFO,,NO,,,,,,,,
LTCA_678,BUILDING,BUILDING,383723.08N,0391629.03E,3047,15,NO INFO,,NO,,,,,,,,
LTCA_679,BUILDING,BUILDING,383723.06N,0391629.38E,3047,15,NO INFO,,NO,,,,,,,,
LTCA_680,BUILDING,BUILDING,383722.89N,0391629.24E,3046,15,NO INFO,,NO,,,,,,,,
LTCA_681,BUILDING,BUILDING,383722.15N,0391626.60E,3042,15,NO INFO,,NO,,,,,,,,
LTCA_682,BUILDING,BUILDING,383722.11N,0391627.22E,3052,25,NO INFO,,NO,,,,,,,,
LTCA_683,BUILDING,BUILDING,383723.80N,0391626.66E,3048,15,NO INFO,,NO,,,,,,,,
LTCA_684,BUILDING,BUILDING,383723.56N,0391626.83E,3047,15,NO INFO,,NO,,,,,,,,
LTCA_685,BUILDING,BUILDING,383723.36N,0391626.67E,3046,15,NO INFO,,NO,,,,,,,,
LTCA_686,BUILDING,BUILDING,383723.94N,0391625.90E,3058,25,NO INFO,,NO,,,,,,,,
LTCA_687,BUILDING,BUILDING,383721.99N,0391624.92E,3061,34,NO INFO,,NO,,,,,,,,
LTCA_688,BUILDING,BUILDING,383715.64N,0391636.67E,3038,25,NO INFO,,NO,,,,,,,,
LTCA_689,BUILDING,BUILDING,383715.61N,0391606.61E,3043,34,NO INFO,,NO,,,,,,,,
LTCA_690,BUILDING,BUILDING,383718.25N,0391604.89E,3040,25,NO INFO,,NO,,,,,,,,
LTCA_691,BUILDING,BUILDING,383718.00N,0391603.88E,3038,25,NO INFO,,NO,,,,,,,,
LTCA_692,BUILDING,BUILDING,383718.68N,0391602.49E,3048,34,NO INFO,,NO,,,,,,,,
LTCA_693,BUILDING,BUILDING,383720.27N,0391602.68E,3043,25,NO INFO,,NO,,,,,,,,
LTCA_694,BUILDING,BUILDING,383716.32N,0391602.40E,3041,34,NO INFO,,NO,,,,,,,,
LTCA_695,BUILDING,BUILDING,383721.11N,0391617.11E,3038,15,NO INFO,,NO,,,,,,,,
LTCA_696,BUILDING,BUILDING,383721.19N,0391616.54E,3069,44,NO INFO,,NO,,,,,,,,
LTCA_697,BUILDING,BUILDING,383723.20N,0391619.21E,3052,25,NO INFO,,NO,,,,,,,,
LTCA_698,BUILDING,BUILDING,383723.59N,0391620.40E,3045,15,NO INFO,,NO,,,,,,,,
LTCA_699,BUILDING,BUILDING,383723.71N,0391620.57E,3055,25,NO INFO,,NO,,,,,,,,
LTCA_700,BUILDING,BUILDING,383723.70N,0391619.15E,3044,15,NO INFO,,NO,,,,,,,,
LTCA_701,BUILDING,BUILDING,383724.00N,0391619.30E,3045,15,NO INFO,,NO,,,,,,,,
LTCA_702,BUILDING,BUILDING,383724.20N,0391619.68E,3065,34,NO INFO,,NO,,,,,,,,
LTCA_703,BUILDING,BUILDING,383723.38N,0391605.18E,3051,25,NO INFO,,NO,,,,,,,,
LTCA_704,BUILDING,BUILDING,383722.97N,0391606.74E,3041,15,NO INFO,,NO,,,,,,,,
LTCA_705,BUILDING,BUILDING,383721.85N,0391606.45E,3039,15,NO INFO,,NO,,,,,,,,
LTCA_706,BUILDING,BUILDING,383721.90N,0391608.00E,3040,15,NO INFO,,NO,,,,,,,,
LTCA_707,BUILDING,BUILDING,383723.63N,0391608.10E,3044,15,NO INFO,,NO,,,,,,,,
LTCA_708,BUILDING,BUILDING,383720.79N,0391610.55E,3049,25,NO INFO,,NO,,,,,,,,
LTCA_709,BUILDING,BUILDING,383721.16N,0391610.08E,3040,15,NO INFO,,NO,,,,,,,,
LTCA_710,BUILDING,BUILDING,383722.47N,0391602.47E,3057,34,NO INFO,,NO,,,,,,,,
LTCA_711,MOSQUE,BUILDING,383722.14N,0391600.16E,3050,30,NO INFO,,NO,,,,,,,,
LTCA_712,BUILDING,BUILDING,383723.89N,0391559.37E,3038,15,NO INFO,,NO,,,,,,,,
LTCA_713,BUILDING,BUILDING,383722.03N,0391551.66E,3056,44,NO INFO,,NO,,,,,,,,
LTCA_714,BUILDING,BUILDING,383718.86N,0391553.49E,3039,34,NO INFO,,NO,,,,,,,,
LTCA_715,BUILDING,BUILDING,383724.39N,0391555.25E,3046,25,NO INFO,,NO,,,,,,,,
LTCA_716,BUILDING,BUILDING,383722.18N,0391551.48E,3046,34,NO INFO,,NO,,,,,,,,
LTCA_717,BUILDING,BUILDING,383719.82N,0391600.65E,3040,25,NO INFO,,NO,,,,,,,,
LTCA_718,BUILDING,BUILDING,383723.31N,0391607.05E,3042,15,NO INFO,,NO,,,,,,,,
LTCA_719,BUILDING,BUILDING,383722.14N,0391537.03E,3039,34,NO INFO,,NO,,,,,,,,
LTCA_720,BUILDING,BUILDING,383716.76N,0391750.35E,3049,34,NO INFO,,NO,,,,,,,,
LTCA_721,BUILDING,BUILDING,383716.17N,0391749.95E,3047,34,NO INFO,,NO,,,,,,,,
LTCA_722,BUILDING,BUILDING,383716.82N,0391747.79E,3155,138,NO INFO,,NO,,,,,,,,
LTCA_723,BUILDING,BUILDING,383717.27N,0391747.64E,3044,25,NO INFO,,NO,,,,,,,,
LTCA_724,BUILDING,BUILDING,383721.71N,0391607.80E,3040,15,NO INFO,,NO,,,,,,,,
LTCA_725,BUILDING,BUILDING,383722.03N,0391648.41E,3049,15,NO INFO,,NO,,,,,,,,
LTCA_726,BUILDING,BUILDING,383721.39N,0391651.45E,3048,15,NO INFO,,NO,,,,,,,,
LTCA_727,BUILDING,BUILDING,383721.48N,0391651.87E,3048,15,NO INFO,,NO,,,,,,,,
LTCA_728,BUILDING,BUILDING,383720.84N,0391648.10E,3046,15,NO INFO,,NO,,,,,,,,
LTCA_729,BUILDING,BUILDING,383720.81N,0391647.78E,3046,15,NO INFO,,NO,,,,,,,,
LTCA_730,BUILDING,BUILDING,383721.57N,0391648.40E,3068,34,NO INFO,,NO,,,,,,,,
LTCA_731,BUILDING,BUILDING,383720.77N,0391640.22E,3045,15,NO INFO,,NO,,,,,,,,
LTCA_732,BUILDING,BUILDING,383716.24N,0391512.20E,3164,34,NO INFO,,NO,,,,,,,,
LTCA_733,BUILDING,BUILDING,383715.20N,0391514.90E,3118,34,NO INFO,,NO,,,,,,,,
LTCA_734,BUILDING,BUILDING,383714.50N,0391506.47E,3193,34,NO INFO,,NO,,,,,,,,
LTCA_735,BUILDING,BUILDING,383717.43N,0391727.10E,3047,15,NO INFO,,NO,,,,,,,,
LTCA_736,BUILDING,BUILDING,383718.39N,0391745.97E,3078,54,NO INFO,,NO,,,,,,,,
LTCA_737,BUILDING,BUILDING,383720.68N,0391755.66E,3042,15,NO INFO,,NO,,,,,,,,
LTCA_738,BUILDING,BUILDING,383716.47N,0391728.16E,3044,15,NO INFO,,NO,,,,,,,,
LTCA_739,HIGH VOLTAGE MAST,POLE,383722.02N,0391720.29E,3177,131,NO INFO,,NO,,,,,,,,
LTCA_740,HIGH VOLTAGE MAST,POLE,383715.00N,0391348.07E,3612,131,NO INFO,,NO,,,,,,,,
LTCA_741,SILO,BUILDING,383716.41N,0391752.58E,3117,105,NO INFO,,NO,,,,,,,,
LTCA_742,MINARET,BUILDING,383721.88N,0391600.38E,3086,66,NO INFO,,NO,,,,,,,,
LTCA_743,MAST,POLE,383707.80N,0391448.80E,3477,55,NO INFO,,NO,,,,,,,,
LTCA_744,MINARET,BUILDING,383704.00N,0391614.00E,3057,72,YES,RED,NO,,,,,,,,
LTCA_745,MAST,POLE,383711.00N,0391731.00E,3103,98,NO INFO,,NO,,,,,,,,
LTCA_746,BUILDING,BUILDING,383712.80N,0391738.69E,3041,34,NO INFO,,NO,,,,,,,,
LTCA_747,BUILDING,BUILDING,383713.00N,0391737.62E,3052,44,NO INFO,,NO,,,,,,,,
LTCA_748,BUILDING,BUILDING,383713.29N,0391743.70E,3051,44,NO INFO,,NO,,,,,,,,
LTCA_749,BUILDING,BUILDING,383713.30N,0391744.15E,3061,54,NO INFO,,NO,,,,,,,,
LTCA_750,BUILDING,BUILDING,383713.02N,0391720.24E,3041,25,NO INFO,,NO,,,,,,,,
LTCA_751,BUILDING,BUILDING,383712.99N,0391709.49E,3038,25,NO INFO,,NO,,,,,,,,
LTCA_752,BUILDING,BUILDING,383711.24N,0391707.48E,3059,54,NO INFO,,NO,,,,,,,,
LTCA_753,BUILDING,BUILDING,383713.83N,0391707.40E,3041,25,NO INFO,,NO,,,,,,,,
LTCA_754,BUILDING,BUILDING,383713.52N,0391703.24E,3076,64,NO INFO,,NO,,,,,,,,
LTCA_755,MOSQUE,BUILDING,383708.74N,0391800.66E,3083,118,NO INFO,,NO,,,,,,,,
LTCA_756,MOSQUE,BUILDING,383708.74N,0391801.80E,3081,118,NO INFO,,NO,,,,,,,,
LTCA_757,BUILDING,BUILDING,383710.68N,0391700.83E,3043,44,NO INFO,,NO,,,,,,,,
LTCA_758,BUILDING,BUILDING,383713.85N,0391653.11E,3038,25,NO INFO,,NO,,,,,,,,
LTCA_759,BUILDING,BUILDING,383713.39N,0391608.89E,3038,34,NO INFO,,NO,,,,,,,,
LTCA_760,MOSQUE,BUILDING,383705.32N,0391611.57E,3074,89,NO INFO,,NO,,,,,,,,
LTCA_761,MOSQUE,BUILDING,383703.80N,0391614.29E,3121,138,NO INFO,,NO,,,,,,,,
LTCA_762,MOSQUE,BUILDING,383703.78N,0391615.14E,3120,138,NO INFO,,NO,,,,,,,,
LTCA_763,BUILDING,BUILDING,383708.86N,0391518.82E,3047,34,NO INFO,,NO,,,,,,,,
LTCA_764,BUILDING,BUILDING,383710.29N,0391522.57E,3039,34,NO INFO,,NO,,,,,,,,
LTCA_765,BUILDING,BUILDING,383713.42N,0391512.71E,3116,34,NO INFO,,NO,,,,,,,,
LTCA_766,BUILDING,BUILDING,383713.10N,0391510.46E,3133,34,NO INFO,,NO,,,,,,,,
LTCA_767,BUILDING,BUILDING,383712.71N,0391509.53E,3136,34,NO INFO,,NO,,,,,,,,
LTCA_768,BUILDING,BUILDING,383712.00N,0391508.85E,3142,44,NO INFO,,NO,,,,,,,,
LTCA_769,BUILDING,BUILDING,383710.50N,0391509.60E,3113,34,NO INFO,,NO,,,,,,,,
LTCA_770,BUILDING,BUILDING,383709.72N,0391509.74E,3107,34,NO INFO,,NO,,,,,,,,
LTCA_771,BUILDING,BUILDING,383711.06N,0391507.95E,3125,34,NO INFO,,NO,,,,,,,,
LTCA_772,BUILDING,BUILDING,383714.07N,0391507.97E,3171,34,NO INFO,,NO,,,,,,,,
LTCA_773,BUILDING,BUILDING,383712.87N,0391507.54E,3151,34,NO INFO,,NO,,,,,,,,
LTCA_774,BUILDING,BUILDING,383707.60N,0391510.32E,3095,34,NO INFO,,NO,,,,,,,,
LTCA_775,BUILDING,BUILDING,383706.90N,0391510.18E,3093,34,NO INFO,,NO,,,,,,,,
LTCA_776,BUILDING,BUILDING,383705.60N,0391511.32E,3066,15,NO INFO,,NO,,,,,,,,
LTCA_777,BUILDING,BUILDING,383706.11N,0391509.58E,3095,34,NO INFO,,NO,,,,,,,,
LTCA_778,BUILDING,BUILDING,383706.39N,0391508.12E,3102,34,NO INFO,,NO,,,,,,,,
LTCA_779,BUILDING,BUILDING,383707.13N,0391505.76E,3115,34,NO INFO,,NO,,,,,,,,
LTCA_780,BUILDING,BUILDING,383708.49N,0391506.61E,3115,34,NO INFO,,NO,,,,,,,,
LTCA_781,BUILDING,BUILDING,383710.71N,0391502.77E,3150,34,NO INFO,,NO,,,,,,,,
LTCA_782,BUILDING,BUILDING,383711.50N,0391459.47E,3202,34,NO INFO,,NO,,,,,,,,
LTCA_783,BUILDING,BUILDING,383710.94N,0391459.17E,3203,34,NO INFO,,NO,,,,,,,,
LTCA_784,BUILDING,BUILDING,383712.39N,0391501.40E,3197,44,NO INFO,,NO,,,,,,,,
LTCA_785,BUILDING,BUILDING,383710.22N,0391501.69E,3157,34,NO INFO,,NO,,,,,,,,
LTCA_786,BUILDING,BUILDING,383706.69N,0391502.21E,3144,34,NO INFO,,NO,,,,,,,,
LTCA_787,BUILDING,BUILDING,383706.18N,0391502.01E,3148,34,NO INFO,,NO,,,,,,,,
LTCA_788,BUILDING,BUILDING,383705.01N,0391501.56E,3168,44,NO INFO,,NO,,,,,,,,
LTCA_789,MOSQUE,BUILDING,383710.90N,0391505.56E,3188,89,NO INFO,,NO,,,,,,,,
LTCA_790,MOSQUE,BUILDING,383710.70N,0391505.73E,3125,30,NO INFO,,NO,,,,,,,,
LTCA_791,MOSQUE,BUILDING,383710.59N,0391506.03E,3141,49,NO INFO,,NO,,,,,,,,
LTCA_792,BUILDING,BUILDING,383708.83N,0391505.12E,3121,34,NO INFO,,NO,,,,,,,,
LTCA_793,BUILDING,BUILDING,383709.61N,0391505.45E,3118,34,NO INFO,,NO,,,,,,,,
LTCA_794,BUILDING,BUILDING,383705.73N,0391459.96E,3197,34,NO INFO,,NO,,,,,,,,
LTCA_795,BUILDING,BUILDING,383708.76N,0391512.83E,3069,15,NO INFO,,NO,,,,,,,,
LTCA_796,HIGH VOLTAGE MAST,POLE,383705.71N,0391421.80E,3583,131,NO INFO,,NO,,,,,,,,
LTCA_797,HIGH VOLTAGE MAST,POLE,383706.43N,0391400.77E,3519,131,NO INFO,,NO,,,,,,,,
LTCA_798,HIGH VOLTAGE MAST,POLE,383708.80N,0391350.51E,3558,131,NO INFO,,NO,,,,,,,,
LTCA_799,LOW VOLTAGE MAST,POLE,383706.37N,0391451.33E,3427,66,NO INFO,,NO,,,,,,,,
LTCA_800,LOW VOLTAGE MAST,POLE,383706.91N,0391451.02E,3435,66,NO INFO,,NO,,,,,,,,
LTCA_801,LOW VOLTAGE MAST,POLE,383707.76N,0391449.11E,3481,66,NO INFO,,NO,,,,,,,,
LTCA_802,MAST,POLE,383654.40N,0391436.70E,3429,54,NO INFO,,NO,,,,,,,,
LTCA_803,MAST,POLE,383654.80N,0391436.10E,3422,45,NO INFO,,NO,,,,,,,,
LTCA_804,MAST,POLE,383701.30N,0391441.10E,3565,67,NO INFO,,NO,,,,,,,,
LTCA_805,BUILDING,BUILDING,383658.70N,0391456.00E,3199,31,NO INFO,,NO,,,,,,,,
LTCA_806,MOSQUE,BUILDING,383703.56N,0391614.84E,3041,59,NO INFO,,NO,,,,,,,,
LTCA_807,MOSQUE,BUILDING,383703.32N,0391614.88E,3060,79,NO INFO,,NO,,,,,,,,
LTCA_808,MOSQUE,BUILDING,383703.14N,0391614.70E,3040,59,NO INFO,,NO,,,,,,,,
LTCA_809,BUILDING,BUILDING,383654.57N,0391510.64E,3041,25,NO INFO,,NO,,,,,,,,
LTCA_810,BUILDING,BUILDING,383655.04N,0391510.45E,3052,34,NO INFO,,NO,,,,,,,,
LTCA_811,BUILDING,BUILDING,383655.53N,0391509.50E,3045,15,NO INFO,,NO,,,,,,,,
LTCA_812,BUILDING,BUILDING,383655.60N,0391514.69E,3039,34,NO INFO,,NO,,,,,,,,
LTCA_813,BUILDING,BUILDING,383700.23N,0391516.82E,3055,54,NO INFO,,NO,,,,,,,,
LTCA_814,BUILDING,BUILDING,383700.91N,0391515.05E,3072,64,NO INFO,,NO,,,,,,,,
LTCA_815,BUILDING,BUILDING,383700.71N,0391514.74E,3073,64,NO INFO,,NO,,,,,,,,
LTCA_816,BUILDING,BUILDING,383700.68N,0391515.00E,3072,64,NO INFO,,NO,,,,,,,,
LTCA_817,BUILDING,BUILDING,383700.84N,0391515.57E,3070,64,NO INFO,,NO,,,,,,,,
LTCA_818,BUILDING,BUILDING,383700.87N,0391515.30E,3071,64,NO INFO,,NO,,,,,,,,
LTCA_819,BUILDING,BUILDING,383700.64N,0391515.26E,3071,64,NO INFO,,NO,,,,,,,,
LTCA_820,BUILDING,BUILDING,383700.94N,0391514.78E,3073,64,NO INFO,,NO,,,,,,,,
LTCA_821,BUILDING,BUILDING,383700.61N,0391515.53E,3070,64,NO INFO,,NO,,,,,,,,
LTCA_822,BUILDING,BUILDING,383653.66N,0391416.22E,3266,34,NO INFO,,NO,,,,,,,,
LTCA_823,BUILDING,BUILDING,383659.91N,0391502.17E,3118,34,NO INFO,,NO,,,,,,,,
LTCA_824,BUILDING,BUILDING,383658.38N,0391503.95E,3107,34,NO INFO,,NO,,,,,,,,
LTCA_825,BUILDING,BUILDING,383656.24N,0391504.94E,3109,44,NO INFO,,NO,,,,,,,,
LTCA_826,BUILDING,BUILDING,383658.54N,0391505.90E,3098,34,NO INFO,,NO,,,,,,,,
LTCA_827,BUILDING,BUILDING,383701.05N,0391511.96E,3040,15,NO INFO,,NO,,,,,,,,
LTCA_828,BUILDING,BUILDING,383658.15N,0391502.51E,3113,34,NO INFO,,NO,,,,,,,,
LTCA_829,BUILDING,BUILDING,383701.61N,0391458.48E,3183,34,NO INFO,,NO,,,,,,,,
LTCA_830,BUILDING,BUILDING,383700.79N,0391458.06E,3203,34,NO INFO,,NO,,,,,,,,
LTCA_831,BUILDING,BUILDING,383658.11N,0391456.70E,3190,34,NO INFO,,NO,,,,,,,,
LTCA_832,BUILDING,BUILDING,383703.27N,0391506.72E,3106,34,NO INFO,,NO,,,,,,,,
LTCA_833,BUILDING,BUILDING,383701.38N,0391507.78E,3096,34,NO INFO,,NO,,,,,,,,
LTCA_834,BUILDING,BUILDING,383700.37N,0391507.07E,3098,34,NO INFO,,NO,,,,,,,,
LTCA_835,BUILDING,BUILDING,383701.03N,0391501.22E,3136,34,NO INFO,,NO,,,,,,,,
LTCA_836,BUILDING,BUILDING,383702.53N,0391511.68E,3050,15,NO INFO,,NO,,,,,,,,
LTCA_837,BUILDING,BUILDING,383653.79N,0391506.76E,3086,34,NO INFO,,NO,,,,,,,,
LTCA_838,BUILDING,BUILDING,383653.76N,0391507.13E,3094,44,NO INFO,,NO,,,,,,,,
LTCA_839,MOSQUE,BUILDING,383703.20N,0391614.99E,3050,69,NO INFO,,NO,,,,,,,,
LTCA_840,MEDIUM VOLTAGE MAST,POLE,383656.12N,0391435.14E,3477,98,NO INFO,,NO,,,,,,,,
LTCA_841,LOW VOLTAGE MAST,POLE,383654.33N,0391436.96E,3437,66,NO INFO,,NO,,,,,,,,
LTCA_842,LOW VOLTAGE MAST,POLE,383658.31N,0391441.54E,3460,66,NO INFO,,NO,,,,,,,,
LTCA_843,LOW VOLTAGE MAST,POLE,383659.80N,0391442.00E,3499,66,NO INFO,,NO,,,,,,,,
LTCA_844,MAST,POLE,383650.40N,0391428.10E,3322,91,NO INFO,,NO,,,,,,,,
LTCA_845,BUILDING,BUILDING,383651.60N,0391453.90E,3161,39,NO INFO,,NO,,,,,,,,
LTCA_846,MINARET,BUILDING,383644.00N,0391446.30E,3179,81,NO INFO,,NO,,,,,,,,
LTCA_847,BUILDING,BUILDING,383646.60N,0391443.90E,3175,43,NO INFO,,NO,,,,,,,,
LTCA_848,BUILDING,BUILDING,383643.70N,0391442.00E,3139,27,NO INFO,,NO,,,,,,,,
LTCA_849,BUILDING,BUILDING,383647.20N,0391429.80E,3207,31,NO INFO,,NO,,,,,,,,
LTCA_850,BUILDING,BUILDING,383650.10N,0391505.50E,3073,37,NO INFO,,NO,,,,,,,,
LTCA_851,BUILDING,BUILDING,383649.40N,0391500.20E,3126,60,NO INFO,,NO,,,,,,,,
LTCA_852,BUILDING,BUILDING,383649.00N,0391442.00E,3277,59,YES,RED,NO,,,,,,,,
LTCA_853,BUILDING,BUILDING,383653.26N,0391416.48E,3260,34,NO INFO,,NO,,,,,,,,
LTCA_854,BUILDING,BUILDING,383648.37N,0391430.91E,3217,34,NO INFO,,NO,,,,,,,,
LTCA_855,BUILDING,BUILDING,383645.05N,0391455.11E,3098,34,NO INFO,,NO,,,,,,,,
LTCA_856,BUILDING,BUILDING,383644.95N,0391457.96E,3087,34,NO INFO,,NO,,,,,,,,
LTCA_857,BUILDING,BUILDING,383643.17N,0391456.96E,3091,44,NO INFO,,NO,,,,,,,,
LTCA_858,BUILDING,BUILDING,383643.10N,0391456.77E,3081,34,NO INFO,,NO,,,,,,,,
LTCA_859,BUILDING,BUILDING,383643.76N,0391459.80E,3055,15,NO INFO,,NO,,,,,,,,
LTCA_860,BUILDING,BUILDING,383647.11N,0391451.45E,3134,34,NO INFO,,NO,,,,,,,,
LTCA_861,BUILDING,BUILDING,383643.29N,0391449.81E,3112,34,NO INFO,,NO,,,,,,,,
LTCA_862,MOSQUE,BUILDING,383643.61N,0391446.55E,3143,49,NO INFO,,NO,,,,,,,,
LTCA_863,BUILDING,BUILDING,383643.54N,0391440.87E,3151,34,NO INFO,,NO,,,,,,,,
LTCA_864,BUILDING,BUILDING,383645.19N,0391441.11E,3174,34,NO INFO,,NO,,,,,,,,
LTCA_865,BUILDING,BUILDING,383645.03N,0391442.16E,3159,34,NO INFO,,NO,,,,,,,,
LTCA_866,BUILDING,BUILDING,383644.77N,0391437.31E,3180,34,NO INFO,,NO,,,,,,,,
LTCA_867,BUILDING,BUILDING,383644.97N,0391434.91E,3183,34,NO INFO,,NO,,,,,,,,
LTCA_868,BUILDING,BUILDING,383644.49N,0391433.29E,3183,34,NO INFO,,NO,,,,,,,,
LTCA_869,BUILDING,BUILDING,383645.26N,0391431.70E,3193,34,NO INFO,,NO,,,,,,,,
LTCA_870,BUILDING,BUILDING,383644.72N,0391435.90E,3180,34,NO INFO,,NO,,,,,,,,
LTCA_871,BUILDING,BUILDING,383644.06N,0391433.64E,3178,34,NO INFO,,NO,,,,,,,,
LTCA_872,BUILDING,BUILDING,383643.53N,0391429.97E,3183,34,NO INFO,,NO,,,,,,,,
LTCA_873,BUILDING,BUILDING,383644.43N,0391429.90E,3190,34,NO INFO,,NO,,,,,,,,
LTCA_874,BUILDING,BUILDING,383645.30N,0391428.21E,3196,34,NO INFO,,NO,,,,,,,,
LTCA_875,BUILDING,BUILDING,383646.16N,0391426.68E,3205,34,NO INFO,,NO,,,,,,,,
LTCA_876,BUILDING,BUILDING,383647.22N,0391429.21E,3211,34,NO INFO,,NO,,,,,,,,
LTCA_877,BUILDING,BUILDING,383647.12N,0391431.74E,3205,34,NO INFO,,NO,,,,,,,,
LTCA_878,BUILDING,BUILDING,383646.96N,0391433.18E,3203,34,NO INFO,,NO,,,,,,,,
LTCA_879,BUILDING,BUILDING,383648.01N,0391434.76E,3217,34,NO INFO,,NO,,,,,,,,
LTCA_880,MOSQUE,BUILDING,383646.66N,0391433.89E,3263,98,NO INFO,,NO,,,,,,,,
LTCA_881,MOSQUE,BUILDING,383646.26N,0391434.29E,3221,59,NO INFO,,NO,,,,,,,,
LTCA_882,MOSQUE,BUILDING,383646.48N,0391434.36E,3204,39,NO INFO,,NO,,,,,,,,
LTCA_883,MOSQUE,BUILDING,383646.49N,0391434.21E,3203,39,NO INFO,,NO,,,,,,,,
LTCA_884,MOSQUE,BUILDING,383646.37N,0391433.97E,3192,30,NO INFO,,NO,,,,,,,,
LTCA_885,BUILDING,BUILDING,383647.83N,0391430.05E,3214,34,NO INFO,,NO,,,,,,,,
LTCA_886,BUILDING,BUILDING,383643.93N,0391432.89E,3180,34,NO INFO,,NO,,,,,,,,
LTCA_887,BUILDING,BUILDING,383644.41N,0391447.34E,3130,34,NO INFO,,NO,,,,,,,,
LTCA_888,BUILDING,BUILDING,383645.55N,0391449.13E,3143,44,NO INFO,,NO,,,,,,,,
LTCA_889,BUILDING,BUILDING,383646.57N,0391446.17E,3153,34,NO INFO,,NO,,,,,,,,
LTCA_890,BUILDING,BUILDING,383646.86N,0391449.33E,3146,34,NO INFO,,NO,,,,,,,,
LTCA_891,BUILDING,BUILDING,383647.68N,0391449.70E,3153,34,NO INFO,,NO,,,,,,,,
LTCA_892,BUILDING,BUILDING,383648.79N,0391445.99E,3188,34,NO INFO,,NO,,,,,,,,
LTCA_893,BUILDING,BUILDING,383649.20N,0391448.65E,3187,34,NO INFO,,NO,,,,,,,,
LTCA_894,BUILDING,BUILDING,383650.35N,0391457.30E,3124,34,NO INFO,,NO,,,,,,,,
LTCA_895,BUILDING,BUILDING,383649.06N,0391455.36E,3129,34,NO INFO,,NO,,,,,,,,
LTCA_896,BUILDING,BUILDING,383649.93N,0391500.60E,3108,44,NO INFO,,NO,,,,,,,,
LTCA_897,BUILDING,BUILDING,383648.51N,0391501.99E,3066,15,NO INFO,,NO,,,,,,,,
LTCA_898,BUILDING,BUILDING,383646.69N,0391503.11E,3047,15,NO INFO,,NO,,,,,,,,
LTCA_899,BUILDING,BUILDING,383647.13N,0391502.39E,3064,25,NO INFO,,NO,,,,,,,,
LTCA_900,BUILDING,BUILDING,383646.40N,0391502.16E,3063,25,NO INFO,,NO,,,,,,,,
LTCA_901,BUILDING,BUILDING,383647.97N,0391500.79E,3088,34,NO INFO,,NO,,,,,,,,
LTCA_902,BUILDING,BUILDING,383647.81N,0391501.34E,3075,25,NO INFO,,NO,,,,,,,,
