Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,
LTCA_34,HIGH VOLTAGE MAST,POLE,383829.91N,0391834.90E,3527,131,NO INFO,,NO,,,,,,,,
LTCA_35,MEDIUM VOLTAGE MAST,POLE,383826.80N,0391551.49E,3327,98,NO INFO,,NO,,,,,,,,
LTCA_36,MEDIUM VOLTAGE MAST,POLE,383827.88N,0391552.79E,3334,98,NO INFO,,NO,,,,,,,,
LTCA_37,LOW VOLTAGE MAST,POLE,383827.70N,0391553.27E,3304,66,NO INFO,,NO,,,,,,,,
LTCA_38,HIGH VOLTAGE MAST,POLE,383835.50N,0391554.19E,3411,131,NO INFO,,NO,,,,,,,,
LTCA_39,LOW VOLTAGE MAST,POLE,383829.01N,0391550.90E,3293,66,NO INFO,,NO,,,,,,,,
LTCA_40,LOW VOLTAGE MAST,POLE,383831.06N,0391553.23E,3308,66,NO INFO,,NO,,,,,,,,
LTCA_41,MEDIUM VOLTAGE MAST,POLE,383835.57N,0391551.75E,3356,98,NO INFO,,NO,,,,,,,,
LTCA_42,MEDIUM VOLTAGE MAST,POLE,383835.30N,0391552.67E,3369,98,NO INFO,,NO,,,,,,,,
LTCA_43,MEDIUM VOLTAGE MAST,POLE,383835.52N,0391552.88E,3371,98,NO INFO,,NO,,,,,,,,
LTCA_44,MEDIUM VOLTAGE MAST,POLE,383834.46N,0391553.17E,3371,98,NO INFO,,NO,,,,,,,,
LTCA_45,LOW VOLTAGE MAST,POLE,383834.41N,0391551.23E,3319,66,NO INFO,,NO,,,,,,,,
LTCA_46,LOW VOLTAGE MAST,POLE,383834.11N,0391550.68E,3313,66,NO INFO,,NO,,,,,,,,
LTCA_47,LOW VOLTAGE MAST,POLE,383826.91N,0391604.36E,3359,66,NO INFO,,NO,,,,,,,,
LTCA_48,LOW VOLTAGE MAST,POLE,383827.76N,0391605.05E,3362,66,NO INFO,,NO,,,,,,,,
LTCA_49,LOW VOLTAGE MAST,POLE,383830.90N,0391558.94E,3344,66,NO INFO,,NO,,,,,,,,
LTCA_50,LOW VOLTAGE MAST,POLE,383832.13N,0391608.50E,3365,66,NO INFO,,NO,,,,,,,,
LTCA_51,LOW VOLTAGE MAST,POLE,383829.90N,0391606.78E,3372,66,NO INFO,,NO,,,,,,,,
LTCA_52,LOW VOLTAGE MAST,POLE,383835.00N,0391610.82E,3383,66,NO INFO,,NO,,,,,,,,
LTCA_53,HIGH VOLTAGE MAST,POLE,383832.96N,0391844.22E,3422,131,NO INFO,,NO,,,,,,,,
LTCA_54,BUILDING,BUILDING,383825.89N,0391501.20E,3248,54,NO INFO,,NO,,,,,,,,
