Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTBJ20,BUILDING,BUILDING,381808.433N,0270752.352E,596.64,12.61,NO INFO,,NO
LTBJ21,BUILDING,BUILDING,381810.025N,0270747.473E,633.19,9.84,NO INFO,,NO
LTBJ22,BUILDING,BUILDING,381809.834N,0270746.411E,643.04,9.84,NO INFO,,NO
LTBJ23,BUILDING,BUILDING,381807.217N,0270747.293E,628.97,9.84,NO INFO,,NO
LTBJ24,BUILDING,BUILDING,381807.362N,0270748.583E,612.74,9.84,NO INFO,,NO
LTBJ25,BUILDING,BUILDING,381807.393N,0270748.994E,607.98,9.84,NO INFO,,NO
LTBJ26,BUILDING,BUILDING,381810.538N,0270748.763E,614.73,9.84,NO INFO,,NO
LTBJ27,BUILDING,BUILDING,381807.659N,0270750.552E,613.41,21.08,NO INFO,,NO
LTBJ28,BUILDING,BUILDING,381808.642N,0270755.899E,564.23,10.50,NO INFO,,NO
LTBJ29,BUILDING,BUILDING,381808.218N,0270753.770E,582.38,9.76,NO INFO,,NO
LTBJ30,BUILDING,BUILDING,381807.567N,0270750.314E,600.57,9.84,NO INFO,,NO
LTBJ31,BUILDING,BUILDING,381810.763N,0270749.248E,610.96,9.84,NO INFO,,NO
LTBJ32,BUILDING,BUILDING,381803.831N,0270731.506E,668.20,9.84,NO INFO,,NO
LTBJ33,BUILDING,BUILDING,381807.544N,0270751.382E,602.46,9.76,NO INFO,,NO
LTBJ34,BUILDING,BUILDING,381805.329N,0270739.747E,694.68,9.84,NO INFO,,NO
LTBJ35,BUILDING,BUILDING,381811.016N,0270749.422E,612.85,9.84,NO INFO,,NO
LTBJ36,BUILDING,BUILDING,381806.613N,0270746.901E,633.19,9.84,NO INFO,,NO
LTBJ37,BUILDING,BUILDING,381807.666N,0270752.579E,588.03,10.50,NO INFO,,NO
LTBJ38,BUILDING,BUILDING,381807.546N,0270751.948E,597.01,10.55,NO INFO,,NO
LTBJ39,BUILDING,BUILDING,381810.776N,0270747.838E,623.27,9.84,NO INFO,,NO
